Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
high-performance-blockchain,"Jul 02, 2018",1.91,2.12,1.86,2.04,"12,235,400","63,773,200"
high-performance-blockchain,"Jul 01, 2018",2.08,2.09,1.89,1.92,"7,618,030","69,121,900"
high-performance-blockchain,"Jun 30, 2018",2.02,2.11,2.02,2.07,"7,615,490","60,041,500"
high-performance-blockchain,"Jun 29, 2018",1.92,2.03,1.82,2.01,"6,183,620","56,917,100"
high-performance-blockchain,"Jun 28, 2018",1.98,2.10,1.90,1.94,"6,819,340","58,755,700"
high-performance-blockchain,"Jun 27, 2018",1.78,2.20,1.76,1.96,"7,086,620","52,815,600"
high-performance-blockchain,"Jun 26, 2018",1.89,1.90,1.78,1.78,"4,749,220","56,210,100"
high-performance-blockchain,"Jun 25, 2018",1.92,1.94,1.86,1.89,"6,199,030","57,172,100"
high-performance-blockchain,"Jun 24, 2018",1.89,1.93,1.74,1.93,"5,881,250","56,127,200"
high-performance-blockchain,"Jun 23, 2018",1.92,1.98,1.88,1.89,"4,077,640","56,964,300"
high-performance-blockchain,"Jun 22, 2018",2.16,2.17,1.87,1.92,"2,543,550","64,120,700"
high-performance-blockchain,"Jun 21, 2018",2.39,2.42,2.16,2.16,"6,999,320","71,047,600"
high-performance-blockchain,"Jun 20, 2018",2.43,2.44,2.33,2.39,"5,532,930","72,194,300"
high-performance-blockchain,"Jun 19, 2018",2.50,2.63,2.35,2.43,"6,425,630","74,119,600"
high-performance-blockchain,"Jun 18, 2018",2.36,2.52,2.32,2.49,"5,199,030","70,084,700"
high-performance-blockchain,"Jun 17, 2018",2.43,2.45,2.34,2.36,"4,674,760","72,138,600"
high-performance-blockchain,"Jun 16, 2018",2.41,2.47,2.34,2.43,"4,917,000","71,696,600"
high-performance-blockchain,"Jun 15, 2018",2.62,2.63,2.40,2.42,"4,973,310","77,698,700"
high-performance-blockchain,"Jun 14, 2018",2.25,2.65,2.24,2.62,"5,715,350","66,941,000"
high-performance-blockchain,"Jun 13, 2018",2.49,2.50,2.21,2.26,"3,880,070","73,896,200"
high-performance-blockchain,"Jun 12, 2018",2.74,2.75,2.45,2.48,"5,905,750","81,251,800"
high-performance-blockchain,"Jun 11, 2018",2.91,2.91,2.65,2.72,"6,751,560","86,513,800"
high-performance-blockchain,"Jun 10, 2018",3.47,3.47,2.84,2.91,"7,030,290","103,208,000"
high-performance-blockchain,"Jun 09, 2018",3.67,3.72,3.46,3.47,"7,434,780","109,026,000"
high-performance-blockchain,"Jun 08, 2018",3.77,3.77,3.56,3.67,"7,738,590","111,854,000"
high-performance-blockchain,"Jun 07, 2018",3.78,3.88,3.74,3.76,"7,963,060","112,322,000"
high-performance-blockchain,"Jun 06, 2018",3.74,3.81,3.67,3.80,"7,816,970","111,231,000"
high-performance-blockchain,"Jun 05, 2018",3.41,3.78,3.34,3.74,"8,265,380","101,160,000"
high-performance-blockchain,"Jun 04, 2018",3.59,3.61,3.36,3.40,"7,225,150","106,679,000"
high-performance-blockchain,"Jun 03, 2018",3.65,3.76,3.57,3.60,"7,840,210","108,303,000"
high-performance-blockchain,"Jun 02, 2018",3.43,3.68,3.42,3.65,"7,188,830","101,859,000"
high-performance-blockchain,"Jun 01, 2018",3.45,3.48,3.23,3.43,"7,467,990","102,340,000"
high-performance-blockchain,"May 31, 2018",3.39,3.50,3.28,3.44,"8,903,210","100,767,000"
high-performance-blockchain,"May 30, 2018",3.03,3.42,3.03,3.40,"7,092,530","90,144,700"
high-performance-blockchain,"May 29, 2018",2.90,3.07,2.86,3.03,"6,254,830","86,228,500"
high-performance-blockchain,"May 28, 2018",2.98,2.99,2.86,2.90,"5,895,960","88,428,700"
high-performance-blockchain,"May 27, 2018",3.00,3.03,2.92,2.98,"5,784,680","89,023,000"
high-performance-blockchain,"May 26, 2018",2.99,3.11,2.94,3.00,"6,065,320","88,756,800"
high-performance-blockchain,"May 25, 2018",3.02,3.11,2.92,2.99,"6,096,940","89,809,000"
high-performance-blockchain,"May 24, 2018",2.92,3.04,2.81,3.02,"6,209,790","86,822,900"
high-performance-blockchain,"May 23, 2018",3.19,3.20,2.87,2.93,"5,958,750","94,762,800"
high-performance-blockchain,"May 22, 2018",3.34,3.38,3.18,3.19,"6,758,680","99,345,900"
high-performance-blockchain,"May 21, 2018",3.42,3.47,3.34,3.35,"6,865,440","101,498,000"
high-performance-blockchain,"May 20, 2018",3.38,3.46,3.32,3.42,"6,796,890","100,422,000"
high-performance-blockchain,"May 19, 2018",3.36,3.44,3.30,3.38,"6,372,920","99,888,100"
high-performance-blockchain,"May 18, 2018",3.20,3.36,3.15,3.35,"6,602,640","95,103,800"
high-performance-blockchain,"May 17, 2018",3.45,3.48,3.18,3.20,"6,635,270","102,589,000"
high-performance-blockchain,"May 16, 2018",3.52,3.53,3.35,3.45,"6,581,720","104,453,000"
high-performance-blockchain,"May 15, 2018",3.54,3.62,3.45,3.52,"6,858,480","105,117,000"
high-performance-blockchain,"May 14, 2018",3.45,3.55,3.28,3.53,"8,474,820","102,604,000"
high-performance-blockchain,"May 13, 2018",3.41,3.50,3.35,3.44,"7,358,190","101,431,000"
high-performance-blockchain,"May 12, 2018",3.43,3.49,3.25,3.42,"7,084,310","101,784,000"
high-performance-blockchain,"May 11, 2018",3.74,3.76,3.42,3.44,"7,210,170","111,028,000"
high-performance-blockchain,"May 10, 2018",3.86,3.95,3.74,3.74,"7,522,680","114,572,000"
high-performance-blockchain,"May 09, 2018",3.50,3.89,3.43,3.86,"8,256,940","103,853,000"
high-performance-blockchain,"May 08, 2018",3.98,4.10,3.37,3.50,"9,188,880","118,116,000"
high-performance-blockchain,"May 07, 2018",3.87,4.00,3.58,3.97,"8,557,310","114,869,000"
high-performance-blockchain,"May 06, 2018",3.95,4.05,3.74,3.86,"7,686,560","117,256,000"
high-performance-blockchain,"May 05, 2018",3.81,4.05,3.79,3.94,"8,077,910","113,197,000"
high-performance-blockchain,"May 04, 2018",3.83,3.89,3.66,3.82,"8,811,070","113,690,000"
high-performance-blockchain,"May 03, 2018",3.51,3.89,3.45,3.87,"7,346,810","104,376,000"
high-performance-blockchain,"May 02, 2018",3.43,3.58,3.33,3.54,"3,686,050","101,995,000"
high-performance-blockchain,"May 01, 2018",3.48,3.57,3.26,3.44,"2,093,620","103,473,000"
high-performance-blockchain,"Apr 30, 2018",3.80,3.84,3.37,3.49,"4,970,790","112,973,000"
high-performance-blockchain,"Apr 29, 2018",3.30,3.89,3.28,3.88,"8,619,190","98,124,500"
high-performance-blockchain,"Apr 28, 2018",3.33,3.51,3.24,3.30,"7,858,740","98,766,700"
high-performance-blockchain,"Apr 27, 2018",3.51,3.61,3.33,3.33,"7,258,010","104,305,000"
high-performance-blockchain,"Apr 26, 2018",3.38,3.53,3.28,3.51,"7,407,140","100,536,000"
high-performance-blockchain,"Apr 25, 2018",3.96,3.96,3.26,3.36,"7,811,160","117,730,000"
high-performance-blockchain,"Apr 24, 2018",3.77,3.98,3.69,3.98,"8,906,040","111,943,000"
high-performance-blockchain,"Apr 23, 2018",3.47,3.79,3.47,3.77,"8,329,760","103,216,000"
high-performance-blockchain,"Apr 22, 2018",3.34,3.57,3.29,3.48,"7,150,240","99,290,600"
high-performance-blockchain,"Apr 21, 2018",3.43,3.49,3.20,3.34,"5,921,260","101,960,000"
high-performance-blockchain,"Apr 20, 2018",3.32,3.46,3.16,3.45,"7,541,090","98,517,400"
high-performance-blockchain,"Apr 19, 2018",3.09,3.33,3.07,3.33,"6,641,830","91,722,100"
high-performance-blockchain,"Apr 18, 2018",3.00,3.12,3.00,3.09,"5,556,200","89,147,500"
high-performance-blockchain,"Apr 17, 2018",2.95,3.12,2.94,2.99,"5,958,200","87,627,800"
high-performance-blockchain,"Apr 16, 2018",3.50,3.52,2.88,2.94,"6,729,260","103,973,000"
high-performance-blockchain,"Apr 15, 2018",3.48,3.60,3.44,3.50,"5,817,520","103,323,000"
high-performance-blockchain,"Apr 14, 2018",3.63,3.75,3.41,3.48,"4,773,600","107,678,000"
high-performance-blockchain,"Apr 13, 2018",3.41,3.79,3.38,3.62,"7,484,060","101,150,000"
high-performance-blockchain,"Apr 12, 2018",3.07,3.47,3.01,3.41,"6,671,200","91,084,800"
high-performance-blockchain,"Apr 11, 2018",3.13,3.16,3.06,3.08,"4,298,380","93,114,400"
high-performance-blockchain,"Apr 10, 2018",3.14,3.26,3.00,3.13,"3,895,290","93,378,200"
high-performance-blockchain,"Apr 09, 2018",3.53,3.58,3.00,3.15,"4,504,280","78,517,300"
high-performance-blockchain,"Apr 08, 2018",3.19,3.59,3.19,3.53,"5,250,720","70,800,500"
high-performance-blockchain,"Apr 07, 2018",2.65,3.30,2.64,3.19,"5,107,020","58,935,800"
high-performance-blockchain,"Apr 06, 2018",2.62,2.71,2.36,2.64,"3,822,790","58,189,800"
high-performance-blockchain,"Apr 05, 2018",2.28,2.68,2.13,2.64,"4,079,450","50,575,200"
high-performance-blockchain,"Apr 04, 2018",2.68,2.68,2.04,2.28,"3,282,700","59,517,800"
high-performance-blockchain,"Apr 03, 2018",1.79,2.83,1.65,2.67,"5,175,580","39,834,200"
high-performance-blockchain,"Apr 02, 2018",1.97,2.19,1.59,1.79,"2,592,280","43,685,000"
high-performance-blockchain,"Apr 01, 2018",2.13,2.22,1.84,1.96,"2,206,900","47,374,100"
high-performance-blockchain,"Mar 31, 2018",2.17,2.40,2.04,2.13,"2,593,810","48,290,800"
high-performance-blockchain,"Mar 30, 2018",2.08,2.22,1.98,2.17,"2,376,570","46,274,900"
high-performance-blockchain,"Mar 29, 2018",2.48,2.51,2.05,2.09,"2,508,800","55,120,900"
high-performance-blockchain,"Mar 28, 2018",2.50,2.59,2.46,2.48,"2,727,240","55,611,400"
high-performance-blockchain,"Mar 27, 2018",2.80,2.87,2.49,2.50,"4,702,340","62,142,900"
high-performance-blockchain,"Mar 26, 2018",3.31,3.32,2.64,2.81,"8,028,570","73,439,600"
high-performance-blockchain,"Mar 25, 2018",3.32,3.41,3.21,3.31,"8,957,990","73,803,400"
