Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
hoqu,"Jul 02, 2018",0.024052,0.024205,0.021813,0.022529,"1,224,290","3,634,700"
hoqu,"Jul 01, 2018",0.023825,0.024163,0.022829,0.024049,"481,653","3,600,440"
hoqu,"Jun 30, 2018",0.023517,0.024830,0.021531,0.023820,"1,048,210","3,553,790"
hoqu,"Jun 29, 2018",0.023874,0.025228,0.021717,0.023485,"1,232,040","3,607,740"
hoqu,"Jun 28, 2018",0.019506,0.025205,0.018758,0.023449,"1,065,660","2,947,680"
hoqu,"Jun 27, 2018",0.018972,0.021257,0.018848,0.019499,"1,072,710","2,867,000"
hoqu,"Jun 26, 2018",0.019807,0.020616,0.018962,0.018979,"1,119,120","2,993,120"
hoqu,"Jun 25, 2018",0.019682,0.020092,0.018987,0.019807,"1,131,410","2,974,260"
hoqu,"Jun 24, 2018",0.020473,0.020620,0.018256,0.019720,"311,204","3,093,910"
hoqu,"Jun 23, 2018",0.021002,0.022676,0.019950,0.020476,"768,277","3,173,760"
hoqu,"Jun 22, 2018",0.021487,0.025811,0.017663,0.020999,"610,011","3,247,010"
hoqu,"Jun 21, 2018",0.021871,0.022606,0.020242,0.021510,"1,210,170","3,305,160"
hoqu,"Jun 20, 2018",0.021751,0.021907,0.020180,0.021867,"684,401","3,286,990"
hoqu,"Jun 19, 2018",0.023554,0.024284,0.021212,0.021738,"874,480","3,559,420"
hoqu,"Jun 18, 2018",0.023253,0.024632,0.020852,0.023567,"950,260","3,513,940"
hoqu,"Jun 17, 2018",0.023957,0.024542,0.022937,0.023332,"196,470","3,620,420"
hoqu,"Jun 16, 2018",0.026138,0.026809,0.021701,0.023894,"242,329","3,949,880"
hoqu,"Jun 15, 2018",0.022790,0.028658,0.021989,0.026233,"357,111","3,443,910"
hoqu,"Jun 14, 2018",0.023256,0.024314,0.021082,0.022827,"564,419","3,514,380"
hoqu,"Jun 13, 2018",0.027315,0.027607,0.022112,0.023266,"658,048","4,127,880"
hoqu,"Jun 12, 2018",0.027752,0.033774,0.026284,0.027245,"488,718","4,193,780"
hoqu,"Jun 11, 2018",0.025478,0.028015,0.025211,0.027766,"180,212","3,850,120"
hoqu,"Jun 10, 2018",0.030550,0.031558,0.025168,0.025441,"475,590","4,616,660"
hoqu,"Jun 09, 2018",0.034031,0.034167,0.030438,0.030511,"166,577","5,142,650"
hoqu,"Jun 08, 2018",0.025272,0.050912,0.023645,0.034044,"181,953","3,819,000"
hoqu,"Jun 07, 2018",0.024281,0.027009,0.022708,0.025252,"173,657","3,669,340"
hoqu,"Jun 06, 2018",0.025186,0.028134,0.024255,0.024259,"776,071","3,806,050"
hoqu,"Jun 05, 2018",0.025513,0.032073,0.021654,0.025201,"477,837","3,855,410"
hoqu,"Jun 04, 2018",0.026824,0.028962,0.021713,0.025500,"335,273","4,053,660"
hoqu,"Jun 03, 2018",0.028609,0.029280,0.024781,0.026812,"211,093","4,323,310"
hoqu,"Jun 02, 2018",0.029390,0.030611,0.026703,0.028601,"237,828","4,441,340"
hoqu,"Jun 01, 2018",0.029152,0.030604,0.027913,0.029403,"155,931","4,405,400"
hoqu,"May 31, 2018",0.031825,0.035708,0.027439,0.029130,"149,960","4,809,420"
hoqu,"May 30, 2018",0.032435,0.032930,0.028531,0.031832,"59,150","4,901,470"
hoqu,"May 29, 2018",0.027478,0.032603,0.024838,0.032413,"331,275","4,152,470"
hoqu,"May 28, 2018",0.029985,0.031279,0.027134,0.027487,"447,719","4,531,250"
hoqu,"May 27, 2018",0.030650,0.031312,0.028813,0.029978,"187,191","4,631,710"
hoqu,"May 26, 2018",0.033232,0.034149,0.030475,0.030635,"18,480","5,021,960"
hoqu,"May 25, 2018",0.031530,0.034941,0.030823,0.033276,"449,424","4,764,730"
hoqu,"May 24, 2018",0.033015,0.034008,0.031104,0.031490,"379,744","4,989,220"
hoqu,"May 23, 2018",0.034977,0.035727,0.031855,0.033099,"192,660","5,285,630"
hoqu,"May 22, 2018",0.038811,0.038841,0.034816,0.035013,"252,424","5,865,020"
hoqu,"May 21, 2018",0.042306,0.042336,0.037048,0.038818,"84,233","6,393,250"
hoqu,"May 20, 2018",0.039027,0.042253,0.037914,0.042253,"227,137","5,897,640"
hoqu,"May 19, 2018",0.039305,0.041078,0.038423,0.039382,"6,360","5,939,710"
hoqu,"May 18, 2018",0.038187,0.041400,0.036096,0.039311,"36,078","5,770,690"
hoqu,"May 17, 2018",0.038407,0.043449,0.036818,0.038155,"34,383","5,804,050"
