Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
hush,"Jul 02, 2018",0.420593,0.427598,0.384682,0.417650,"10,259","1,766,120"
hush,"Jul 01, 2018",0.411746,0.427348,0.405536,0.420800,"4,700","1,726,040"
hush,"Jun 30, 2018",0.391122,0.430037,0.391122,0.408531,"8,162","1,636,810"
hush,"Jun 29, 2018",0.433417,0.441263,0.353673,0.390550,"11,392","1,810,700"
hush,"Jun 28, 2018",0.403698,0.444912,0.401297,0.433776,"3,576","1,683,690"
hush,"Jun 27, 2018",0.420777,0.431876,0.390658,0.403856,"7,453","1,751,860"
hush,"Jun 26, 2018",0.456299,0.466238,0.421065,0.421065,"6,577","1,896,530"
hush,"Jun 25, 2018",0.395856,0.488776,0.394924,0.456259,"8,099","1,642,430"
hush,"Jun 24, 2018",0.454550,0.455115,0.394226,0.396415,"11,153","1,882,750"
hush,"Jun 23, 2018",0.449103,0.464009,0.437916,0.453525,"8,463","1,857,040"
hush,"Jun 22, 2018",0.532014,0.539050,0.441630,0.449035,"8,500","2,196,140"
hush,"Jun 21, 2018",0.536037,0.555885,0.521464,0.532402,"5,792","2,208,860"
hush,"Jun 20, 2018",0.554320,0.565793,0.529191,0.536018,"10,071","2,280,270"
hush,"Jun 19, 2018",0.526080,0.576915,0.526080,0.553860,"13,251","2,160,370"
hush,"Jun 18, 2018",0.508079,0.547552,0.489800,0.526069,"7,856","2,082,720"
hush,"Jun 17, 2018",0.507203,0.549262,0.493814,0.513543,"7,822","2,075,410"
hush,"Jun 16, 2018",0.528327,0.536040,0.502498,0.506703,"5,016","2,158,140"
hush,"Jun 15, 2018",0.549300,0.568940,0.519407,0.529146,"7,561","2,239,920"
hush,"Jun 14, 2018",0.511805,0.558345,0.511290,0.550769,"13,003","2,083,390"
hush,"Jun 13, 2018",0.571884,0.580175,0.507590,0.511956,"6,785","2,323,840"
hush,"Jun 12, 2018",0.578715,0.600189,0.546315,0.571792,"4,871","2,347,430"
hush,"Jun 11, 2018",0.578496,0.596060,0.549531,0.579059,"5,762","2,342,360"
hush,"Jun 10, 2018",0.679627,0.693569,0.566134,0.575679,"9,340","2,747,100"
hush,"Jun 09, 2018",0.702419,0.734055,0.676001,0.687916,"7,832","2,834,150"
hush,"Jun 08, 2018",0.717680,0.769461,0.694427,0.702614,"14,337","2,890,610"
hush,"Jun 07, 2018",0.723223,0.761757,0.684039,0.708887,"11,432","2,907,670"
hush,"Jun 06, 2018",0.727247,0.768061,0.676856,0.722776,"12,073","2,918,660"
hush,"Jun 05, 2018",0.715133,0.757889,0.706573,0.734566,"12,417","2,865,080"
hush,"Jun 04, 2018",0.786651,0.810754,0.708248,0.713331,"18,681","3,145,890"
hush,"Jun 03, 2018",0.769036,0.828785,0.754083,0.780989,"13,329","3,070,070"
hush,"Jun 02, 2018",0.761816,0.796690,0.741183,0.768944,"9,287","3,035,710"
hush,"Jun 01, 2018",0.778661,0.885128,0.741505,0.762122,"11,500","3,097,340"
hush,"May 31, 2018",0.745738,0.850597,0.727534,0.777582,"11,666","2,960,920"
hush,"May 30, 2018",0.778564,0.907904,0.736289,0.751448,"12,577","3,085,840"
hush,"May 29, 2018",0.800383,0.964583,0.743205,0.778872,"9,957","3,166,490"
hush,"May 28, 2018",0.836527,0.857789,0.755463,0.794107,"9,836","3,303,590"
hush,"May 27, 2018",0.875648,0.890998,0.779895,0.835632,"16,230","3,451,860"
hush,"May 26, 2018",0.877989,0.901931,0.826990,0.875457,"10,882","3,454,760"
hush,"May 25, 2018",0.868713,0.909428,0.839987,0.867333,"10,957","3,411,950"
hush,"May 24, 2018",0.929813,0.929813,0.831375,0.867100,"23,600","3,645,270"
hush,"May 23, 2018",0.993347,0.994505,0.896319,0.919854,"14,892","3,887,350"
hush,"May 22, 2018",1.07,1.07,0.950492,0.991342,"26,911","4,180,830"
hush,"May 21, 2018",1.03,1.07,0.964449,1.07,"27,300","4,022,350"
hush,"May 20, 2018",1.09,1.13,0.870496,1.04,"94,190","4,249,030"
hush,"May 19, 2018",1.05,1.13,1.05,1.10,"17,419","4,090,730"
hush,"May 18, 2018",1.07,1.09,1.02,1.05,"10,928","4,133,560"
hush,"May 17, 2018",1.13,1.13,1.06,1.07,"4,335","4,368,650"
hush,"May 16, 2018",1.16,1.21,1.09,1.15,"13,556","4,492,110"
hush,"May 15, 2018",1.17,1.27,1.15,1.17,"20,929","4,529,480"
hush,"May 14, 2018",1.22,1.24,1.10,1.17,"28,450","4,699,860"
hush,"May 13, 2018",1.17,1.24,1.10,1.22,"21,992","4,505,480"
hush,"May 12, 2018",1.17,1.19,1.05,1.12,"22,764","4,493,100"
hush,"May 11, 2018",1.26,1.28,1.07,1.13,"27,006","4,839,750"
hush,"May 10, 2018",1.26,1.40,1.17,1.24,"41,504","4,803,350"
hush,"May 09, 2018",1.22,1.29,1.11,1.20,"30,481","4,637,810"
hush,"May 08, 2018",1.19,1.30,1.16,1.20,"34,821","4,525,640"
hush,"May 07, 2018",1.26,1.26,1.16,1.17,"26,663","4,788,510"
hush,"May 06, 2018",1.26,1.31,1.20,1.26,"13,112","4,790,340"
hush,"May 05, 2018",1.38,1.45,1.22,1.30,"35,069","5,204,640"
hush,"May 04, 2018",1.50,1.50,1.35,1.38,"24,546","5,665,000"
hush,"May 03, 2018",1.29,1.49,1.26,1.46,"35,026","4,882,180"
hush,"May 02, 2018",1.25,1.30,1.23,1.29,"17,827","4,720,770"
hush,"May 01, 2018",1.35,1.35,1.24,1.26,"28,711","5,060,620"
hush,"Apr 30, 2018",1.40,1.42,1.31,1.35,"39,609","5,246,470"
hush,"Apr 29, 2018",1.50,1.55,1.38,1.40,"32,303","5,632,060"
hush,"Apr 28, 2018",1.44,1.59,1.43,1.51,"25,768","5,365,360"
hush,"Apr 27, 2018",1.52,1.55,1.36,1.44,"66,791","5,653,120"
hush,"Apr 26, 2018",1.51,1.52,1.40,1.51,"354,983","5,624,500"
hush,"Apr 25, 2018",1.62,1.62,1.37,1.50,"26,524","6,013,930"
hush,"Apr 24, 2018",1.41,1.63,1.41,1.63,"32,146","5,243,930"
hush,"Apr 23, 2018",1.64,1.65,1.40,1.43,"37,259","6,052,070"
hush,"Apr 22, 2018",1.71,1.82,1.56,1.64,"62,118","6,296,060"
hush,"Apr 21, 2018",1.82,2.02,1.47,1.68,"101,948","6,705,710"
hush,"Apr 20, 2018",1.51,2.19,1.51,1.85,"528,393","5,550,040"
hush,"Apr 19, 2018",1.10,1.65,1.10,1.54,"503,508","4,042,880"
hush,"Apr 18, 2018",1.06,1.11,1.02,1.11,"11,997","3,882,420"
hush,"Apr 17, 2018",0.942712,1.15,0.935787,1.06,"43,913","3,447,170"
hush,"Apr 16, 2018",0.973049,1.01,0.928803,0.942259,"18,714","3,550,950"
hush,"Apr 15, 2018",0.959315,1.02,0.955096,0.973440,"11,593","3,494,030"
hush,"Apr 14, 2018",0.942808,0.984194,0.939835,0.958314,"11,259","3,427,130"
hush,"Apr 13, 2018",0.982651,1.01,0.940151,0.942809,"15,897","3,564,890"
hush,"Apr 12, 2018",0.852458,1.02,0.824685,0.981698,"26,021","3,086,580"
hush,"Apr 11, 2018",0.899857,0.912684,0.805015,0.854305,"17,401","3,251,630"
hush,"Apr 10, 2018",0.910589,0.930604,0.877125,0.899012,"7,128","3,284,060"
