Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
hydrogen,"Jul 02, 2018",0.002879,0.003311,0.002724,0.003232,"280,752","8,815,820"
hydrogen,"Jul 01, 2018",0.002613,0.002891,0.002557,0.002878,"75,442","8,003,760"
hydrogen,"Jun 30, 2018",0.002364,0.002691,0.002269,0.002633,"42,325","7,240,180"
hydrogen,"Jun 29, 2018",0.002405,0.002465,0.002176,0.002361,"96,389","7,364,120"
hydrogen,"Jun 28, 2018",0.002648,0.002670,0.002380,0.002403,"43,908","8,110,430"
hydrogen,"Jun 27, 2018",0.002641,0.002716,0.002565,0.002614,"29,939","8,088,820"
hydrogen,"Jun 26, 2018",0.002766,0.002808,0.002641,0.002643,"41,315","8,471,780"
hydrogen,"Jun 25, 2018",0.002741,0.002819,0.002607,0.002766,"59,824","8,393,610"
hydrogen,"Jun 24, 2018",0.002871,0.002922,0.002459,0.002747,"94,311","8,791,370"
hydrogen,"Jun 23, 2018",0.003108,0.003164,0.002855,0.002872,"66,026","9,517,870"
hydrogen,"Jun 22, 2018",0.003722,0.003768,0.002884,0.003107,"185,830","11,399,200"
hydrogen,"Jun 21, 2018",0.002649,0.003777,0.002635,0.003756,"442,346","8,112,130"
hydrogen,"Jun 20, 2018",0.002554,0.002684,0.002202,0.002649,"193,963","7,821,850"
hydrogen,"Jun 19, 2018",0.002550,0.002648,0.002469,0.002552,"50,813","7,810,490"
hydrogen,"Jun 18, 2018",0.002545,0.002614,0.002441,0.002552,"61,713","7,793,570"
hydrogen,"Jun 17, 2018",0.002472,0.002620,0.002413,0.002552,"29,489","7,568,600"
hydrogen,"Jun 16, 2018",0.002426,0.002691,0.002314,0.002466,"68,876","7,429,480"
hydrogen,"Jun 15, 2018",0.002595,0.002706,0.002340,0.002434,"60,765","7,785,850"
hydrogen,"Jun 14, 2018",0.002594,0.002721,0.002413,0.002599,"60,178","7,781,340"
hydrogen,"Jun 13, 2018",0.002711,0.002842,0.002505,0.002594,"56,751","8,133,390"
hydrogen,"Jun 12, 2018",0.002939,0.003119,0.002643,0.002703,"90,535","8,817,880"
hydrogen,"Jun 11, 2018",0.002738,0.002940,0.002703,0.002940,"53,805","8,213,030"
hydrogen,"Jun 10, 2018",0.003291,0.003291,0.002578,0.002734,"145,593","9,872,330"
hydrogen,"Jun 09, 2018",0.003385,0.003525,0.003286,0.003286,"63,351","10,154,000"
hydrogen,"Jun 08, 2018",0.003736,0.003884,0.003271,0.003386,"141,911","11,206,800"
hydrogen,"Jun 07, 2018",0.003440,0.003983,0.003205,0.003732,"263,108","10,319,000"
hydrogen,"Jun 06, 2018",0.003434,0.003792,0.003225,0.003345,"116,747","10,301,500"
hydrogen,"Jun 05, 2018",0.003246,0.003607,0.002904,0.003435,"153,144","9,737,630"
hydrogen,"Jun 04, 2018",0.003482,0.003627,0.002640,0.003196,"221,011","10,445,700"
hydrogen,"Jun 03, 2018",0.003825,0.003957,0.003320,0.003544,"169,929","11,475,900"
hydrogen,"Jun 02, 2018",0.004242,0.004440,0.003365,0.003876,"146,957","12,726,300"
hydrogen,"Jun 01, 2018",0.004095,0.004373,0.003780,0.004244,"99,739","12,286,500"
hydrogen,"May 31, 2018",0.004313,0.004424,0.003869,0.004092,"197,600","12,938,600"
hydrogen,"May 30, 2018",0.004410,0.004643,0.004070,0.004293,"104,006","13,231,000"
hydrogen,"May 29, 2018",0.003786,0.004795,0.003325,0.004499,"288,535","11,357,200"
hydrogen,"May 28, 2018",0.004544,0.004702,0.003543,0.003809,"262,506","13,499,100"
hydrogen,"May 27, 2018",0.004961,0.005074,0.004504,0.004543,"157,939","14,456,100"
hydrogen,"May 26, 2018",0.005377,0.005467,0.004945,0.004993,"101,665","15,669,300"
hydrogen,"May 25, 2018",0.005137,0.005554,0.005029,0.005302,"211,708","14,969,200"
hydrogen,"May 24, 2018",0.004937,0.005636,0.004622,0.005076,"343,191","14,386,400"
hydrogen,"May 23, 2018",0.005471,0.005942,0.004063,0.004950,"690,263","15,943,300"
hydrogen,"May 22, 2018",0.006816,0.007083,0.005372,0.005495,"529,588","19,862,500"
hydrogen,"May 21, 2018",0.008215,0.008635,0.006407,0.006661,"712,278","23,939,400"
hydrogen,"May 20, 2018",0.008470,0.008532,0.007674,0.008163,"523,447","24,666,200"
hydrogen,"May 19, 2018",0.008158,0.009069,0.007794,0.008495,"1,337,710","23,755,500"
hydrogen,"May 18, 2018",0.007466,0.010105,0.005222,0.008335,"2,354,490","21,740,900"
hydrogen,"May 17, 2018",0.013765,0.015130,0.006064,0.007711,"2,492,430","36,260,100"
hydrogen,"May 16, 2018",0.007055,0.015260,0.006858,0.013869,"3,172,900","18,576,200"
hydrogen,"May 15, 2018",0.005870,0.007100,0.005870,0.006980,"673,037","15,454,900"
hydrogen,"May 14, 2018",0.005440,0.005965,0.004722,0.005881,"477,516","14,323,300"
hydrogen,"May 13, 2018",0.005592,0.006289,0.004468,0.005481,"1,076,120","14,722,900"
hydrogen,"May 12, 2018",0.003583,0.005595,0.002813,0.005595,"962,751","9,433,800"
hydrogen,"May 11, 2018",0.003015,0.003613,0.002896,0.003590,"491,123","7,939,080"
hydrogen,"May 10, 2018",0.002425,0.003136,0.002315,0.003020,"455,211","6,384,860"
hydrogen,"May 09, 2018",0.001843,0.002483,0.001721,0.002426,"208,092","4,851,930"
hydrogen,"May 08, 2018",0.001943,0.002062,0.001703,0.001847,"100,804","5,115,210"
hydrogen,"May 07, 2018",0.002317,0.002435,0.001738,0.001889,"185,351",-
hydrogen,"May 06, 2018",0.001948,0.002370,0.001708,0.002367,"146,967",-
hydrogen,"May 05, 2018",0.002372,0.002519,0.001519,0.001947,"160,759",-
hydrogen,"May 04, 2018",0.002223,0.003525,0.001897,0.002373,"465,849",-
hydrogen,"May 03, 2018",0.001082,0.002121,0.001052,0.002121,"130,253",-
