Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
i0coin,"Jul 02, 2018",0.158030,0.198052,0.133827,0.189748,"14,093","3,317,360"
i0coin,"Jul 01, 2018",0.164921,0.166117,0.138529,0.158012,285,"3,462,020"
i0coin,"Jun 30, 2018",0.127014,0.165468,0.115048,0.164884,"5,901","2,666,270"
i0coin,"Jun 29, 2018",0.106924,0.145535,0.106924,0.126842,"14,423","2,244,540"
i0coin,"Jun 28, 2018",0.107343,0.115133,0.092652,0.106855,"2,240","2,253,340"
i0coin,"Jun 27, 2018",0.108231,0.108861,0.102447,0.107305,181,"2,271,960"
i0coin,"Jun 26, 2018",0.111591,0.111833,0.103645,0.108274,689,"2,342,500"
i0coin,"Jun 25, 2018",0.091460,0.126490,0.091248,0.111591,"5,600","1,919,910"
i0coin,"Jun 24, 2018",0.092500,0.096782,0.084636,0.091636,"6,001","1,941,750"
i0coin,"Jun 23, 2018",0.065058,0.118474,0.064946,0.092513,"10,724","1,365,690"
i0coin,"Jun 22, 2018",0.070839,0.070960,0.064221,0.065050,400,"1,487,040"
i0coin,"Jun 21, 2018",0.073928,0.074260,0.070906,0.070918,33,"1,551,890"
i0coin,"Jun 20, 2018",0.059579,0.078088,0.055628,0.073913,"3,667","1,250,660"
i0coin,"Jun 19, 2018",0.052496,0.064259,0.052223,0.059542,"1,837","1,101,970"
i0coin,"Jun 18, 2018",0.061663,0.061977,0.052394,0.052524,211,"1,294,400"
i0coin,"Jun 17, 2018",0.049761,0.062242,0.048722,0.061874,"1,403","1,044,570"
i0coin,"Jun 16, 2018",0.049450,0.050024,0.049365,0.049901,15,"1,038,030"
i0coin,"Jun 15, 2018",0.051821,0.052687,0.049358,0.049631,125,"1,087,810"
i0coin,"Jun 14, 2018",0.034567,0.058621,0.034497,0.051907,"4,039","725,617"
i0coin,"Jun 13, 2018",0.034302,0.037071,0.033001,0.034582,96,"720,059"
i0coin,"Jun 12, 2018",0.038157,0.038157,0.036044,0.036321,21,"800,973"
i0coin,"Jun 11, 2018",0.036790,0.038375,0.035048,0.038177,30,"772,281"
i0coin,"Jun 10, 2018",0.039929,0.041721,0.034733,0.036738,229,"838,162"
i0coin,"Jun 09, 2018",0.055907,0.056320,0.038550,0.039878,662,"1,173,570"
i0coin,"Jun 08, 2018",0.056467,0.056583,0.055233,0.055931,35,"1,185,310"
i0coin,"Jun 07, 2018",0.055129,0.061672,0.055129,0.056424,331,"1,157,230"
i0coin,"Jun 06, 2018",0.045743,0.059678,0.045566,0.055078,"2,111","960,218"
i0coin,"Jun 05, 2018",0.045764,0.045838,0.044288,0.045756,18,"960,651"
i0coin,"Jun 04, 2018",0.039470,0.053406,0.038315,0.045742,459,"828,520"
i0coin,"Jun 03, 2018",0.041381,0.048547,0.039191,0.039451,374,"868,640"
i0coin,"Jun 02, 2018",0.044273,0.045182,0.041336,0.041370,69,"929,347"
i0coin,"Jun 01, 2018",0.041878,0.044392,0.041170,0.044292,12,"879,079"
