Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
icoin,"Jul 02, 2018",0.004062,0.004243,0.004020,0.004227,21,"120,968"
icoin,"Jul 01, 2018",0.004088,0.004111,0.004022,0.004061,20,"121,744"
icoin,"Jun 30, 2018",0.003537,0.004101,0.003537,0.004087,20,"105,331"
icoin,"Jun 29, 2018",0.003345,0.003593,0.003307,0.003532,5,"99,621"
icoin,"Jun 28, 2018",0.005336,0.005352,0.003324,0.003343,5,"158,930"
icoin,"Jun 27, 2018",0.005290,0.005360,0.005233,0.005335,73,"157,539"
icoin,"Jun 26, 2018",0.005186,0.005422,0.003415,0.005292,98,"154,430"
icoin,"Jun 25, 2018",0.004006,0.005242,0.003981,0.005186,15,"119,274"
icoin,"Jun 24, 2018",0.003823,0.003879,0.003582,0.003852,2,"113,839"
icoin,"Jun 23, 2018",0.003631,0.005099,0.003625,0.003824,38,"108,115"
icoin,"Jun 22, 2018",0.004700,0.004708,0.003567,0.003631,24,"139,929"
icoin,"Jun 21, 2018",0.004724,0.004737,0.004687,0.004705,2,"140,618"
icoin,"Jun 20, 2018",0.004728,0.004733,0.004611,0.004644,1,"140,746"
icoin,"Jun 19, 2018",0.004704,0.004759,0.004692,0.004726,1,"139,999"
icoin,"Jun 18, 2018",0.004210,0.004230,0.004179,0.004213,24,"125,293"
icoin,"Jun 17, 2018",0.004635,0.004656,0.004211,0.004225,24,"137,918"
icoin,"Jun 16, 2018",0.004560,0.004667,0.004518,0.004623,1,"135,667"
icoin,"Jun 15, 2018",0.004318,0.004682,0.004215,0.004576,4,"128,477"
icoin,"Jun 14, 2018",0.004316,0.004326,0.004294,0.004326,1,"128,406"
icoin,"Jun 12, 2018",0.005992,0.005992,0.005975,0.005975,1,"178,221"
icoin,"Jun 11, 2018",0.005884,0.006026,0.005811,0.005995,1,"174,991"
icoin,"Jun 10, 2018",0.004503,0.004503,0.004000,0.004050,0,"133,909"
icoin,"Jun 09, 2018",0.005263,0.005302,0.004498,0.004498,82,"156,493"
icoin,"Jun 08, 2018",0.007375,0.007390,0.005065,0.005265,42,"219,311"
icoin,"Jun 07, 2018",0.004594,0.007406,0.004594,0.007370,174,"136,597"
icoin,"Jun 06, 2018",0.002287,0.004680,0.002278,0.004590,12,"68,001"
