Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
iconomi,"Jul 02, 2018",0.615013,0.695047,0.614331,0.687221,"641,209","60,982,800"
iconomi,"Jul 01, 2018",0.622557,0.632228,0.611984,0.614313,"303,486","61,730,900"
iconomi,"Jun 30, 2018",0.581644,0.636995,0.581644,0.622019,"489,741","57,674,100"
iconomi,"Jun 29, 2018",0.553579,0.588196,0.543576,0.581103,"276,837","54,891,200"
iconomi,"Jun 28, 2018",0.592032,0.595440,0.551819,0.554514,"298,811","58,704,100"
iconomi,"Jun 27, 2018",0.575772,0.652628,0.571129,0.591776,"1,580,390","57,091,800"
iconomi,"Jun 26, 2018",0.613814,0.614545,0.577267,0.577291,"302,880","60,863,900"
iconomi,"Jun 25, 2018",0.583819,0.618147,0.568425,0.614069,"365,884","57,889,700"
iconomi,"Jun 24, 2018",0.643139,0.643961,0.556100,0.586441,"457,381","63,771,700"
iconomi,"Jun 23, 2018",0.640597,0.652232,0.633274,0.643241,"155,030","63,519,700"
iconomi,"Jun 22, 2018",0.728089,0.733925,0.639215,0.641273,"319,317","72,195,100"
iconomi,"Jun 21, 2018",0.731558,0.743238,0.722184,0.729373,"285,223","72,539,100"
iconomi,"Jun 20, 2018",0.716481,0.736604,0.682270,0.731663,"417,478","71,044,100"
iconomi,"Jun 19, 2018",0.720115,0.725182,0.709655,0.716184,"251,962","71,404,400"
iconomi,"Jun 18, 2018",0.689748,0.720557,0.679975,0.720557,"207,238","68,393,300"
iconomi,"Jun 17, 2018",0.705412,0.713318,0.688021,0.690773,"230,051","69,946,600"
iconomi,"Jun 16, 2018",0.699944,0.708377,0.688313,0.704318,"249,493","69,404,400"
iconomi,"Jun 15, 2018",0.721889,0.724806,0.697548,0.701927,"262,210","71,580,300"
iconomi,"Jun 14, 2018",0.668731,0.728205,0.666168,0.722249,"378,087","66,309,300"
iconomi,"Jun 13, 2018",0.709616,0.712825,0.649391,0.668493,"435,276","70,363,400"
iconomi,"Jun 12, 2018",0.751042,0.795077,0.700990,0.707754,"687,273","74,471,100"
iconomi,"Jun 11, 2018",0.744390,0.753444,0.724390,0.751513,"523,353","73,811,500"
iconomi,"Jun 10, 2018",0.880550,0.880550,0.737995,0.743458,"942,246","87,312,700"
iconomi,"Jun 09, 2018",0.886527,0.910469,0.879217,0.879217,"476,596","87,905,400"
iconomi,"Jun 08, 2018",0.907808,0.909637,0.877548,0.886716,"571,693","90,015,400"
iconomi,"Jun 07, 2018",0.928384,0.938611,0.905072,0.907503,"549,274","92,055,700"
iconomi,"Jun 06, 2018",0.952671,0.954266,0.915286,0.927681,"606,266","94,464,000"
iconomi,"Jun 05, 2018",0.938426,0.965949,0.899688,0.955809,"1,387,420","93,051,500"
iconomi,"Jun 04, 2018",0.976893,1.10,0.926412,0.937564,"5,584,280","96,865,800"
iconomi,"Jun 03, 2018",0.971191,0.986882,0.967014,0.975987,"517,757","96,300,400"
iconomi,"Jun 02, 2018",0.948710,0.985412,0.947564,0.972185,"520,643","94,071,200"
iconomi,"Jun 01, 2018",0.954730,0.963901,0.929502,0.949497,"439,609","94,668,200"
iconomi,"May 31, 2018",0.873812,0.967440,0.871529,0.953367,"859,697","86,644,500"
iconomi,"May 30, 2018",0.889864,0.910988,0.862045,0.873641,"536,153","88,236,200"
iconomi,"May 29, 2018",0.820125,0.898494,0.817602,0.889323,"553,816","81,321,100"
iconomi,"May 28, 2018",0.887618,0.909321,0.814228,0.819642,"1,164,930","88,013,600"
iconomi,"May 27, 2018",0.915033,0.918545,0.880974,0.887761,"491,323","90,731,900"
iconomi,"May 26, 2018",0.945479,0.959085,0.912433,0.913767,"470,509","93,750,800"
iconomi,"May 25, 2018",0.964149,0.992865,0.931636,0.946288,"574,262","95,602,100"
iconomi,"May 24, 2018",0.950135,0.984517,0.918878,0.962493,"703,223","94,212,500"
iconomi,"May 23, 2018",1.09,1.09,0.916365,0.953160,"1,104,500","107,623,000"
iconomi,"May 22, 2018",1.18,1.18,1.08,1.08,"534,618","116,652,000"
iconomi,"May 21, 2018",1.21,1.23,1.16,1.18,"645,060","120,434,000"
iconomi,"May 20, 2018",1.15,1.23,1.14,1.21,"687,973","114,216,000"
iconomi,"May 19, 2018",1.16,1.16,1.13,1.15,"690,281","114,884,000"
iconomi,"May 18, 2018",1.11,1.19,1.08,1.16,"1,935,150","109,946,000"
iconomi,"May 17, 2018",1.16,1.18,1.10,1.11,"571,366","115,097,000"
iconomi,"May 16, 2018",1.20,1.20,1.13,1.16,"645,052","119,090,000"
iconomi,"May 15, 2018",1.25,1.29,1.19,1.20,"873,813","123,603,000"
iconomi,"May 14, 2018",1.34,1.35,1.21,1.25,"2,067,210","132,966,000"
iconomi,"May 13, 2018",1.10,1.38,1.08,1.33,"2,600,020","109,455,000"
iconomi,"May 12, 2018",1.12,1.23,1.07,1.11,"2,524,550","111,069,000"
iconomi,"May 11, 2018",1.25,1.27,1.11,1.12,"1,642,990","123,533,000"
iconomi,"May 10, 2018",1.37,1.38,1.24,1.25,"2,162,100","135,461,000"
iconomi,"May 09, 2018",1.42,1.43,1.36,1.37,"1,301,910","141,290,000"
iconomi,"May 08, 2018",1.51,1.54,1.42,1.43,"1,793,450","150,948,000"
iconomi,"May 07, 2018",1.58,1.59,1.46,1.51,"1,124,880","157,458,000"
iconomi,"May 06, 2018",1.59,1.63,1.53,1.57,"1,560,120","158,150,000"
iconomi,"May 05, 2018",1.61,1.65,1.58,1.59,"1,410,630","160,810,000"
iconomi,"May 04, 2018",1.62,1.63,1.51,1.61,"2,064,770","161,205,000"
iconomi,"May 03, 2018",1.59,1.66,1.57,1.61,"2,128,140","158,562,000"
iconomi,"May 02, 2018",1.55,1.60,1.53,1.59,"2,453,580","154,535,000"
iconomi,"May 01, 2018",1.58,1.58,1.46,1.55,"1,759,640","157,327,000"
iconomi,"Apr 30, 2018",1.61,1.65,1.52,1.57,"3,331,730","161,005,000"
iconomi,"Apr 29, 2018",1.55,1.61,1.48,1.61,"2,180,950","154,520,000"
iconomi,"Apr 28, 2018",1.41,1.57,1.40,1.55,"2,047,290","140,240,000"
iconomi,"Apr 27, 2018",1.46,1.55,1.41,1.41,"1,562,690","145,478,000"
iconomi,"Apr 26, 2018",1.32,1.47,1.28,1.46,"1,717,070","131,219,000"
iconomi,"Apr 25, 2018",1.58,1.59,1.24,1.31,"3,278,120","158,049,000"
iconomi,"Apr 24, 2018",1.51,1.62,1.51,1.59,"2,709,850","150,393,000"
iconomi,"Apr 23, 2018",1.48,1.52,1.48,1.51,"1,395,660","147,765,000"
iconomi,"Apr 22, 2018",1.42,1.57,1.40,1.49,"2,169,960","141,774,000"
iconomi,"Apr 21, 2018",1.54,1.60,1.33,1.42,"4,752,040","153,631,000"
iconomi,"Apr 20, 2018",1.28,1.55,1.26,1.55,"3,639,980","127,487,000"
iconomi,"Apr 19, 2018",1.24,1.28,1.23,1.28,"1,506,160","123,777,000"
iconomi,"Apr 18, 2018",1.14,1.24,1.13,1.24,"1,290,750","114,130,000"
iconomi,"Apr 17, 2018",1.17,1.21,1.14,1.15,"1,390,860","116,296,000"
iconomi,"Apr 16, 2018",1.23,1.24,1.13,1.17,"908,281","122,573,000"
iconomi,"Apr 15, 2018",1.15,1.25,1.13,1.23,"1,485,240","114,231,000"
iconomi,"Apr 14, 2018",1.20,1.22,1.13,1.14,"1,982,070","119,807,000"
iconomi,"Apr 13, 2018",1.05,1.22,1.03,1.19,"2,738,860","105,109,000"
iconomi,"Apr 12, 2018",0.939498,1.06,0.903876,1.05,"1,526,350","93,701,400"
iconomi,"Apr 11, 2018",0.917686,0.950747,0.904783,0.941473,"1,107,230","91,526,100"
iconomi,"Apr 10, 2018",0.864803,0.958854,0.851379,0.917895,"3,158,810","86,251,800"
iconomi,"Apr 09, 2018",0.856270,0.916847,0.806152,0.862332,"2,378,360","85,400,700"
iconomi,"Apr 08, 2018",0.836174,0.906935,0.823879,0.853945,"1,776,460","83,396,400"
iconomi,"Apr 07, 2018",0.823292,0.854311,0.822578,0.835151,"993,993","82,111,600"
iconomi,"Apr 06, 2018",0.874878,0.882781,0.802401,0.823710,"1,386,390","87,256,600"
iconomi,"Apr 05, 2018",0.885487,1.09,0.788753,0.873893,"13,102,700","88,314,600"
iconomi,"Apr 04, 2018",0.847322,1.34,0.767018,0.877347,"16,875,500","84,508,300"
iconomi,"Apr 03, 2018",0.761602,0.848094,0.739802,0.846263,"983,710","75,958,900"
iconomi,"Apr 02, 2018",0.719451,0.843543,0.716504,0.759850,"2,245,510","71,754,900"
iconomi,"Apr 01, 2018",0.749919,0.763910,0.677262,0.715164,"566,976","74,793,700"
