Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
iethereum,"Jul 02, 2018",0.017772,0.017781,0.016756,0.017475,96,"319,576"
iethereum,"Jul 01, 2018",0.016876,0.017872,0.016733,0.017771,68,"303,468"
iethereum,"Jun 30, 2018",0.015111,0.016932,0.014900,0.016872,209,"271,722"
iethereum,"Jun 29, 2018",0.013811,0.015758,0.013657,0.015091,168,"248,346"
iethereum,"Jun 28, 2018",0.015151,0.016570,0.013726,0.013802,107,"272,440"
iethereum,"Jun 27, 2018",0.016113,0.016212,0.014462,0.015145,100,"289,744"
iethereum,"Jun 26, 2018",0.016807,0.016873,0.016104,0.016119,44,"302,231"
iethereum,"Jun 25, 2018",0.016601,0.017180,0.016539,0.016807,1,"298,524"
iethereum,"Jun 24, 2018",0.017433,0.017461,0.015827,0.016630,85,"313,484"
iethereum,"Jun 23, 2018",0.017472,0.019195,0.017430,0.017435,18,"314,175"
iethereum,"Jun 22, 2018",0.018534,0.018581,0.016088,0.017470,42,"333,282"
iethereum,"Jun 21, 2018",0.018516,0.020228,0.018378,0.018555,174,"332,961"
iethereum,"Jun 20, 2018",0.019008,0.019381,0.018506,0.018513,117,"341,808"
iethereum,"Jun 19, 2018",0.020825,0.020878,0.018867,0.019000,673,"374,476"
iethereum,"Jun 18, 2018",0.018392,0.022390,0.017986,0.020836,506,"330,732"
iethereum,"Jun 17, 2018",0.019058,0.020394,0.018394,0.018455,263,"342,693"
iethereum,"Jun 16, 2018",0.019646,0.019928,0.018687,0.019007,170,"353,281"
iethereum,"Jun 15, 2018",0.018620,0.020131,0.018417,0.019718,20,"334,821"
iethereum,"Jun 14, 2018",0.019401,0.020242,0.017853,0.018649,405,"348,872"
iethereum,"Jun 13, 2018",0.020102,0.020134,0.017691,0.019410,123,"361,465"
iethereum,"Jun 12, 2018",0.021468,0.021560,0.019420,0.020050,359,"386,044"
iethereum,"Jun 11, 2018",0.020583,0.022989,0.019972,0.021480,296,"370,131"
iethereum,"Jun 10, 2018",0.020292,0.023559,0.018234,0.020555,460,"364,893"
iethereum,"Jun 09, 2018",0.020348,0.024643,0.020268,0.020268,406,"365,898"
