Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
incakoin,"Jul 02, 2018",0.000057,0.000062,0.000055,0.000056,17,"880,401"
incakoin,"Jul 01, 2018",0.000054,0.000057,0.000053,0.000057,60,"845,359"
incakoin,"Jun 30, 2018",0.000043,0.000058,0.000043,0.000054,24,"665,475"
incakoin,"Jun 29, 2018",0.000050,0.000051,0.000040,0.000043,257,"775,967"
incakoin,"Jun 28, 2018",0.000056,0.000059,0.000050,0.000050,328,"865,503"
incakoin,"Jun 27, 2018",0.000055,0.000058,0.000053,0.000056,287,"850,830"
incakoin,"Jun 26, 2018",0.000058,0.000059,0.000055,0.000055,4,"901,526"
incakoin,"Jun 25, 2018",0.000060,0.000060,0.000056,0.000058,11,"928,367"
incakoin,"Jun 24, 2018",0.000057,0.000061,0.000053,0.000060,128,"880,380"
incakoin,"Jun 23, 2018",0.000062,0.000069,0.000056,0.000057,72,"959,211"
incakoin,"Jun 22, 2018",0.000082,0.000082,0.000060,0.000062,76,"1,262,090"
incakoin,"Jun 21, 2018",0.000070,0.000082,0.000066,0.000082,87,"1,064,380"
incakoin,"Jun 20, 2018",0.000079,0.000081,0.000069,0.000070,193,"1,203,350"
incakoin,"Jun 19, 2018",0.000088,0.000101,0.000074,0.000078,3,"1,353,850"
incakoin,"Jun 18, 2018",0.000073,0.000098,0.000071,0.000088,61,"1,109,150"
incakoin,"Jun 17, 2018",0.000072,0.000083,0.000070,0.000082,334,"1,101,750"
incakoin,"Jun 16, 2018",0.000070,0.000073,0.000068,0.000072,32,"1,070,300"
incakoin,"Jun 15, 2018",0.000111,0.000111,0.000069,0.000070,313,"1,702,600"
incakoin,"Jun 14, 2018",0.000078,0.000130,0.000077,0.000111,54,"1,194,300"
incakoin,"Jun 13, 2018",0.000072,0.000080,0.000067,0.000078,68,"1,101,350"
incakoin,"Jun 12, 2018",0.000085,0.000093,0.000070,0.000072,386,"1,296,680"
incakoin,"Jun 11, 2018",0.000106,0.000111,0.000063,0.000072,"1,037","1,618,510"
incakoin,"Jun 10, 2018",0.000096,0.000152,0.000094,0.000106,"1,859","1,474,160"
incakoin,"Jun 09, 2018",0.000109,0.000112,0.000096,0.000096,236,"1,660,010"
incakoin,"Jun 08, 2018",0.000077,0.000174,0.000061,0.000109,"6,183","1,164,750"
incakoin,"Jun 07, 2018",0.000094,0.000095,0.000076,0.000077,"1,015","1,420,030"
incakoin,"Jun 06, 2018",0.000098,0.000101,0.000082,0.000094,717,"1,484,220"
incakoin,"Jun 05, 2018",0.000096,0.000101,0.000080,0.000098,281,"1,458,100"
incakoin,"Jun 04, 2018",0.000087,0.000143,0.000084,0.000096,"1,540","1,326,000"
incakoin,"Jun 03, 2018",0.000101,0.000102,0.000085,0.000087,113,"1,530,220"
incakoin,"Jun 02, 2018",0.000097,0.000106,0.000080,0.000101,87,"1,460,550"
incakoin,"Jun 01, 2018",0.000071,0.000103,0.000071,0.000097,"1,558","1,066,840"
incakoin,"May 31, 2018",0.000070,0.000088,0.000070,0.000071,"1,228","1,052,240"
incakoin,"May 30, 2018",0.000066,0.000072,0.000066,0.000070,464,"984,863"
incakoin,"May 29, 2018",0.000058,0.000069,0.000055,0.000066,307,"869,090"
incakoin,"May 28, 2018",0.000088,0.000088,0.000056,0.000058,"1,176","1,323,660"
incakoin,"May 27, 2018",0.000080,0.000094,0.000068,0.000088,"4,556","1,192,030"
incakoin,"May 26, 2018",0.000052,0.000083,0.000052,0.000080,"4,990","785,471"
incakoin,"May 25, 2018",0.000047,0.000065,0.000042,0.000052,807,"699,741"
incakoin,"May 24, 2018",0.000048,0.000054,0.000042,0.000047,219,"714,120"
incakoin,"May 23, 2018",0.000049,0.000056,0.000040,0.000048,446,"731,846"
incakoin,"May 22, 2018",0.000045,0.000051,0.000041,0.000046,"2,735","668,314"
incakoin,"May 21, 2018",0.000042,0.000045,0.000039,0.000045,742,"624,395"
incakoin,"May 20, 2018",0.000042,0.000046,0.000041,0.000041,149,"628,485"
incakoin,"May 19, 2018",0.000045,0.000047,0.000042,0.000042,305,"671,965"
incakoin,"May 18, 2018",0.000040,0.000045,0.000037,0.000045,842,"596,651"
incakoin,"May 17, 2018",0.000053,0.000058,0.000038,0.000040,429,"790,226"
incakoin,"May 16, 2018",0.000049,0.000067,0.000042,0.000053,680,"723,084"
incakoin,"May 15, 2018",0.000056,0.000057,0.000046,0.000049,206,"832,116"
incakoin,"May 14, 2018",0.000050,0.000059,0.000045,0.000056,248,"735,895"
incakoin,"May 13, 2018",0.000053,0.000081,0.000049,0.000050,"1,195","778,467"
incakoin,"May 12, 2018",0.000065,0.000076,0.000049,0.000053,305,"959,986"
incakoin,"May 11, 2018",0.000069,0.000069,0.000059,0.000065,666,"1,013,850"
incakoin,"May 10, 2018",0.000093,0.000094,0.000063,0.000069,856,"1,363,390"
incakoin,"May 09, 2018",0.000159,0.000187,0.000091,0.000093,"1,361","2,324,640"
incakoin,"May 08, 2018",0.000094,0.000184,0.000091,0.000160,915,"1,371,630"
incakoin,"May 07, 2018",0.000096,0.000176,0.000093,0.000094,"2,948","1,400,130"
incakoin,"May 06, 2018",0.000114,0.000164,0.000095,0.000096,114,"1,664,240"
incakoin,"May 05, 2018",0.000147,0.000198,0.000098,0.000114,76,"2,141,580"
incakoin,"May 04, 2018",0.000191,0.000191,0.000108,0.000147,852,"2,780,890"
incakoin,"May 03, 2018",0.000170,0.000192,0.000093,0.000191,"2,686","2,472,890"
incakoin,"May 02, 2018",0.000176,0.000177,0.000099,0.000170,"2,198","2,539,530"
incakoin,"May 01, 2018",0.000178,0.000181,0.000089,0.000177,"12,986","2,542,710"
incakoin,"Apr 30, 2018",0.000185,0.000185,0.000094,0.000177,"1,355","2,635,100"
incakoin,"Apr 29, 2018",0.000093,0.000185,0.000092,0.000185,"4,289","1,326,360"
incakoin,"Apr 28, 2018",0.000146,0.000184,0.000093,0.000093,550,"2,077,710"
incakoin,"Apr 27, 2018",0.000185,0.000185,0.000099,0.000146,"1,291","2,634,340"
incakoin,"Apr 26, 2018",0.000177,0.000185,0.000173,0.000185,"1,018","2,519,270"
incakoin,"Apr 25, 2018",0.000097,0.000194,0.000089,0.000175,"13,068","1,375,110"
incakoin,"Apr 24, 2018",0.000093,0.000191,0.000093,0.000098,"6,063","1,317,650"
incakoin,"Apr 23, 2018",0.000175,0.000178,0.000090,0.000093,298,"2,473,690"
incakoin,"Apr 22, 2018",0.000165,0.000178,0.000090,0.000176,"2,988","2,323,020"
incakoin,"Apr 21, 2018",0.000171,0.000175,0.000093,0.000165,763,"2,414,940"
incakoin,"Apr 20, 2018",0.000085,0.000171,0.000085,0.000171,625,"1,194,860"
incakoin,"Apr 19, 2018",0.000145,0.000164,0.000083,0.000085,"1,087","2,039,770"
incakoin,"Apr 18, 2018",0.000139,0.000159,0.000092,0.000145,150,"1,959,820"
incakoin,"Apr 17, 2018",0.000150,0.000150,0.000094,0.000139,272,"2,108,570"
incakoin,"Apr 16, 2018",0.000158,0.000162,0.000080,0.000150,"2,171","2,218,140"
incakoin,"Apr 15, 2018",0.000085,0.000158,0.000085,0.000158,560,"1,200,970"
incakoin,"Apr 14, 2018",0.000153,0.000156,0.000080,0.000085,514,"2,148,500"
incakoin,"Apr 13, 2018",0.000156,0.000161,0.000082,0.000153,421,"2,188,030"
incakoin,"Apr 12, 2018",0.000072,0.000156,0.000070,0.000155,"1,306","1,010,610"
incakoin,"Apr 11, 2018",0.000087,0.000093,0.000071,0.000072,"1,184","1,196,380"
incakoin,"Apr 10, 2018",0.000133,0.000133,0.000068,0.000086,26,"1,841,800"
incakoin,"Apr 09, 2018",0.000075,0.000133,0.000069,0.000133,"1,644","1,040,510"
incakoin,"Apr 08, 2018",0.000069,0.000141,0.000069,0.000075,634,"952,595"
incakoin,"Apr 07, 2018",0.000068,0.000141,0.000067,0.000069,"5,403","940,937"
incakoin,"Apr 06, 2018",0.000077,0.000137,0.000068,0.000068,695,"1,053,570"
incakoin,"Apr 05, 2018",0.000069,0.000137,0.000067,0.000077,169,"948,970"
incakoin,"Apr 04, 2018",0.000074,0.000148,0.000068,0.000069,303,"1,020,360"
incakoin,"Apr 03, 2018",0.000141,0.000150,0.000074,0.000074,523,"1,939,540"
