Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
indahash,"Jul 02, 2018",0.014753,0.016079,0.014187,0.014626,"2,305","5,900,220"
indahash,"Jul 01, 2018",0.015034,0.015110,0.013651,0.014758,"4,212","6,012,720"
indahash,"Jun 30, 2018",0.014483,0.018811,0.013920,0.015042,"7,924","5,792,240"
indahash,"Jun 29, 2018",0.013770,0.014643,0.012823,0.014470,"14,925","5,507,160"
indahash,"Jun 28, 2018",0.015212,0.016438,0.013683,0.013763,"2,265","6,083,880"
indahash,"Jun 27, 2018",0.016035,0.016405,0.014207,0.015192,"4,015","6,412,840"
indahash,"Jun 26, 2018",0.016021,0.017931,0.015716,0.016058,"8,569","6,407,290"
indahash,"Jun 25, 2018",0.016523,0.018151,0.014908,0.016021,"12,828","6,608,120"
indahash,"Jun 24, 2018",0.018381,0.018424,0.011233,0.016570,"22,100","7,351,320"
indahash,"Jun 23, 2018",0.018305,0.019061,0.018030,0.018385,"10,861","7,320,820"
indahash,"Jun 22, 2018",0.021239,0.021247,0.018214,0.018300,"4,256","8,494,270"
indahash,"Jun 21, 2018",0.021116,0.021600,0.020588,0.021253,"7,386","8,445,180"
indahash,"Jun 20, 2018",0.022628,0.022944,0.020244,0.021120,"13,430","9,049,900"
indahash,"Jun 19, 2018",0.022292,0.022614,0.020545,0.022614,"9,313","8,915,290"
indahash,"Jun 18, 2018",0.021423,0.023564,0.020455,0.022304,"13,111","8,567,930"
indahash,"Jun 17, 2018",0.023955,0.024187,0.020964,0.021458,"9,823","9,580,530"
indahash,"Jun 16, 2018",0.024849,0.025495,0.023165,0.023923,"6,882","9,937,840"
indahash,"Jun 15, 2018",0.025339,0.029243,0.023450,0.024921,"39,927","10,134,000"
indahash,"Jun 14, 2018",0.020434,0.028837,0.020331,0.025350,"62,487","8,172,300"
indahash,"Jun 13, 2018",0.021360,0.024753,0.018884,0.020407,"70,272","8,542,580"
indahash,"Jun 12, 2018",0.021768,0.030132,0.021029,0.021286,"34,694","8,705,980"
indahash,"Jun 11, 2018",0.021345,0.022753,0.020486,0.021775,"17,875","8,536,680"
indahash,"Jun 10, 2018",0.025898,0.025898,0.020755,0.021314,"23,347","10,357,500"
indahash,"Jun 09, 2018",0.027100,0.029038,0.024925,0.025862,"43,304","10,838,200"
indahash,"Jun 08, 2018",0.027767,0.028042,0.025849,0.027214,"30,473","11,105,000"
indahash,"Jun 07, 2018",0.033593,0.033685,0.027656,0.028073,"166,717","13,435,200"
indahash,"Jun 06, 2018",0.030496,0.034328,0.029048,0.033590,"24,213","12,196,500"
indahash,"Jun 05, 2018",0.029985,0.034780,0.029488,0.030533,"14,949","11,992,100"
indahash,"Jun 04, 2018",0.033467,0.036907,0.029849,0.029979,"46,247","13,384,800"
indahash,"Jun 03, 2018",0.035107,0.037449,0.031110,0.033475,"66,096","14,040,600"
indahash,"Jun 02, 2018",0.032251,0.038337,0.031049,0.035113,"29,756","12,898,300"
indahash,"Jun 01, 2018",0.032478,0.042267,0.031209,0.032263,"95,841","12,989,300"
indahash,"May 31, 2018",0.029750,0.036020,0.028879,0.032430,"36,744","11,898,200"
indahash,"May 30, 2018",0.034571,0.035171,0.028564,0.030263,"19,110","13,826,100"
indahash,"May 29, 2018",0.031319,0.035457,0.029807,0.034549,"21,099","12,525,600"
indahash,"May 28, 2018",0.034954,0.035002,0.028674,0.031367,"8,593","13,979,600"
indahash,"May 27, 2018",0.033899,0.038422,0.031369,0.034919,"39,592","13,557,500"
indahash,"May 26, 2018",0.036900,0.038641,0.033851,0.033851,"31,464","14,757,500"
indahash,"May 25, 2018",0.037816,0.041874,0.032703,0.036931,"36,681","15,124,100"
indahash,"May 24, 2018",0.037860,0.043930,0.032194,0.037754,"48,075","15,141,700"
indahash,"May 23, 2018",0.047002,0.047208,0.033706,0.037994,"53,476","18,797,700"
indahash,"May 22, 2018",0.048842,0.049824,0.041815,0.047158,"58,259","19,533,800"
indahash,"May 21, 2018",0.052140,0.056478,0.044267,0.049076,"42,546","20,852,500"
indahash,"May 20, 2018",0.052569,0.056018,0.049145,0.052076,"37,410","21,024,400"
indahash,"May 19, 2018",0.049652,0.055416,0.048887,0.052348,"31,866","19,857,400"
indahash,"May 18, 2018",0.048277,0.055662,0.047288,0.049657,"54,459","19,307,900"
indahash,"May 17, 2018",0.050302,0.055532,0.044648,0.048256,"39,672","20,117,500"
indahash,"May 16, 2018",0.049153,0.055417,0.042374,0.055417,"47,348","19,657,900"
indahash,"May 15, 2018",0.051562,0.053328,0.044173,0.049161,"49,755","20,621,400"
indahash,"May 14, 2018",0.050583,0.053808,0.047186,0.051647,"44,075","20,229,900"
indahash,"May 13, 2018",0.050148,0.054164,0.048669,0.050599,"37,610","20,056,100"
indahash,"May 12, 2018",0.046342,0.053640,0.044406,0.050162,"39,486","18,533,700"
