Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
inflationcoin,"Jul 02, 2018",0.000015,0.000019,0.000015,0.000016,"2,415","679,582"
inflationcoin,"Jul 01, 2018",0.000025,0.000028,0.000015,0.000016,"7,237","1,114,290"
inflationcoin,"Jun 30, 2018",0.000013,0.000037,0.000013,0.000025,"3,059","599,233"
inflationcoin,"Jun 29, 2018",0.000013,0.000014,0.000012,0.000013,399,"564,095"
inflationcoin,"Jun 28, 2018",0.000013,0.000014,0.000012,0.000013,"1,052","566,311"
inflationcoin,"Jun 27, 2018",0.000011,0.000013,0.000011,0.000013,347,"487,481"
inflationcoin,"Jun 26, 2018",0.000010,0.000013,0.000010,0.000011,"1,534","437,517"
inflationcoin,"Jun 25, 2018",0.000012,0.000013,0.000010,0.000010,748,"538,326"
inflationcoin,"Jun 24, 2018",0.000012,0.000013,0.000011,0.000012,748,"525,708"
inflationcoin,"Jun 23, 2018",0.000013,0.000013,0.000011,0.000012,635,"588,090"
inflationcoin,"Jun 22, 2018",0.000015,0.000019,0.000012,0.000013,613,"690,823"
inflationcoin,"Jun 21, 2018",0.000016,0.000016,0.000015,0.000016,160,"698,811"
inflationcoin,"Jun 20, 2018",0.000016,0.000017,0.000015,0.000016,738,"706,365"
inflationcoin,"Jun 19, 2018",0.000017,0.000017,0.000015,0.000016,507,"744,797"
inflationcoin,"Jun 18, 2018",0.000017,0.000018,0.000014,0.000017,"1,996","752,788"
inflationcoin,"Jun 17, 2018",0.000013,0.000022,0.000013,0.000017,"4,839","586,908"
inflationcoin,"Jun 16, 2018",0.000013,0.000015,0.000012,0.000013,"1,549","562,253"
inflationcoin,"Jun 15, 2018",0.000013,0.000017,0.000012,0.000013,868,"603,185"
inflationcoin,"Jun 14, 2018",0.000011,0.000014,0.000011,0.000013,"1,303","490,386"
inflationcoin,"Jun 13, 2018",0.000012,0.000013,0.000011,0.000011,"2,421","528,775"
inflationcoin,"Jun 12, 2018",0.000011,0.000012,0.000011,0.000012,"2,796","513,268"
inflationcoin,"Jun 11, 2018",0.000011,0.000013,0.000011,0.000011,"2,380","506,559"
inflationcoin,"Jun 10, 2018",0.000013,0.000013,0.000011,0.000011,"3,186","578,982"
inflationcoin,"Jun 09, 2018",0.000013,0.000014,0.000013,0.000013,"1,698","574,287"
inflationcoin,"Jun 08, 2018",0.000014,0.000014,0.000012,0.000013,"7,123","617,980"
