Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
ink-protocol,"Jul 02, 2018",0.020612,0.022795,0.020293,0.021250,"84,230","3,640,620"
ink-protocol,"Jul 01, 2018",0.020999,0.023085,0.020615,0.020615,"77,469","3,709,110"
ink-protocol,"Jun 30, 2018",0.021908,0.022967,0.020158,0.021013,"85,889","3,869,640"
ink-protocol,"Jun 29, 2018",0.022777,0.023146,0.018311,0.021981,"835,561","4,023,020"
ink-protocol,"Jun 28, 2018",0.021686,0.025979,0.019595,0.022761,"2,198,750","3,830,400"
ink-protocol,"Jun 27, 2018",0.021806,0.022059,0.020944,0.021672,"295,096","3,851,530"
ink-protocol,"Jun 26, 2018",0.023892,0.024053,0.017566,0.021843,"490,940","4,220,110"
ink-protocol,"Jun 25, 2018",0.024439,0.024802,0.023233,0.023823,"857,574","4,316,650"
ink-protocol,"Jun 24, 2018",0.025493,0.025546,0.022938,0.024534,"316,495","4,502,760"
ink-protocol,"Jun 23, 2018",0.026172,0.027030,0.024642,0.025493,"223,817","4,622,690"
ink-protocol,"Jun 22, 2018",0.027455,0.028490,0.024387,0.026129,"382,620","4,849,360"
ink-protocol,"Jun 21, 2018",0.028722,0.029414,0.025600,0.028479,"828,100","5,073,150"
ink-protocol,"Jun 20, 2018",0.029666,0.030059,0.028084,0.028762,"363,060","5,239,930"
ink-protocol,"Jun 19, 2018",0.029834,0.030678,0.028454,0.029647,"643,078","5,193,920"
ink-protocol,"Jun 18, 2018",0.026502,0.030370,0.025824,0.029822,"126,594","4,613,830"
ink-protocol,"Jun 17, 2018",0.026898,0.027435,0.026289,0.026585,"149,314","4,682,820"
ink-protocol,"Jun 16, 2018",0.026162,0.027720,0.026038,0.026915,"191,919","4,554,590"
ink-protocol,"Jun 15, 2018",0.028542,0.030155,0.024930,0.026282,"162,614","4,969,050"
ink-protocol,"Jun 14, 2018",0.027710,0.029064,0.025533,0.028548,"94,698","4,824,100"
ink-protocol,"Jun 13, 2018",0.027275,0.028201,0.023081,0.027738,"86,850","4,748,450"
ink-protocol,"Jun 12, 2018",0.029295,0.031093,0.025888,0.027185,"81,978","5,100,070"
ink-protocol,"Jun 11, 2018",0.028272,0.031538,0.025358,0.029363,"81,260","4,922,040"
ink-protocol,"Jun 10, 2018",0.034646,0.034646,0.026953,0.028175,"97,151","6,031,570"
ink-protocol,"Jun 09, 2018",0.036252,0.036399,0.030722,0.034539,"112,351","6,311,180"
ink-protocol,"Jun 08, 2018",0.036529,0.036734,0.035699,0.036276,"122,921","6,359,550"
ink-protocol,"Jun 07, 2018",0.037797,0.038623,0.032400,0.036449,"99,485","6,580,300"
ink-protocol,"Jun 06, 2018",0.037651,0.038034,0.027224,0.037856,"118,162","6,554,900"
ink-protocol,"Jun 05, 2018",0.026936,0.038395,0.026936,0.037773,"125,955","4,689,300"
ink-protocol,"Jun 04, 2018",0.036796,0.038884,0.026924,0.026938,"85,400","6,405,940"
ink-protocol,"Jun 03, 2018",0.034536,0.036900,0.034470,0.036887,"124,417","6,012,520"
ink-protocol,"Jun 02, 2018",0.036453,0.038178,0.033724,0.034567,"101,511","6,334,650"
ink-protocol,"Jun 01, 2018",0.035736,0.037405,0.035492,0.036466,"101,716","6,210,040"
ink-protocol,"May 31, 2018",0.037351,0.038805,0.035361,0.035729,"104,754","6,490,730"
ink-protocol,"May 30, 2018",0.034882,0.037971,0.034513,0.037341,"153,260","6,026,090"
ink-protocol,"May 29, 2018",0.032158,0.035370,0.032040,0.034900,"88,568","5,555,550"
ink-protocol,"May 28, 2018",0.034602,0.035135,0.031989,0.032432,"83,213","5,977,720"
ink-protocol,"May 27, 2018",0.039036,0.039374,0.032731,0.034555,"101,609","6,743,760"
ink-protocol,"May 26, 2018",0.039035,0.040969,0.038840,0.039343,"113,015","6,743,580"
ink-protocol,"May 25, 2018",0.036988,0.040756,0.036230,0.039145,"101,715","6,389,870"
ink-protocol,"May 24, 2018",0.037239,0.038159,0.033958,0.036967,"106,440","6,368,150"
ink-protocol,"May 23, 2018",0.043585,0.043849,0.035015,0.037414,"104,893","7,453,400"
ink-protocol,"May 22, 2018",0.047975,0.048541,0.043349,0.043654,"84,495","8,204,140"
ink-protocol,"May 21, 2018",0.048867,0.050668,0.047200,0.048362,"185,322","8,356,660"
ink-protocol,"May 20, 2018",0.048200,0.050494,0.048051,0.048950,"121,405","8,242,620"
ink-protocol,"May 19, 2018",0.050669,0.050985,0.047990,0.048210,"127,523","8,664,820"
ink-protocol,"May 18, 2018",0.050886,0.051356,0.046302,0.048689,"192,853","8,701,990"
ink-protocol,"May 17, 2018",0.054146,0.054761,0.051132,0.051726,"150,805","9,259,440"
ink-protocol,"May 16, 2018",0.055281,0.056014,0.052495,0.054057,"144,154","9,453,560"
ink-protocol,"May 15, 2018",0.058190,0.058842,0.054557,0.055361,"204,619","9,951,010"
ink-protocol,"May 14, 2018",0.054286,0.059460,0.051593,0.058377,"189,649","9,283,390"
ink-protocol,"May 13, 2018",0.052154,0.055270,0.051371,0.054346,"157,934","8,918,800"
ink-protocol,"May 12, 2018",0.051921,0.053197,0.049416,0.052237,"153,050","8,878,970"
ink-protocol,"May 11, 2018",0.056479,0.056639,0.051263,0.052074,"189,688","9,585,000"
ink-protocol,"May 10, 2018",0.057935,0.058587,0.054514,0.056349,"205,086","9,832,170"
ink-protocol,"May 09, 2018",0.054952,0.059437,0.053940,0.057813,"154,076","9,325,860"
ink-protocol,"May 08, 2018",0.060014,0.061127,0.054237,0.054420,"75,134","10,185,000"
ink-protocol,"May 07, 2018",0.063490,0.063717,0.054811,0.059668,"135,424","10,774,900"
ink-protocol,"May 06, 2018",0.061459,0.064167,0.058410,0.063441,"183,302","10,430,200"
ink-protocol,"May 05, 2018",0.066449,0.071785,0.056348,0.061377,"176,036","11,277,000"
ink-protocol,"May 04, 2018",0.062166,0.067776,0.060804,0.066376,"24,345","10,550,200"
ink-protocol,"May 03, 2018",0.058046,0.065482,0.056305,0.062368,"11,908","9,828,450"
ink-protocol,"May 02, 2018",0.052360,0.058289,0.050115,0.058052,"48,036","8,865,700"
ink-protocol,"May 01, 2018",0.053608,0.053846,0.046752,0.052512,"25,744","9,076,990"
ink-protocol,"Apr 30, 2018",0.053394,0.060176,0.048855,0.053433,"39,314","8,968,080"
ink-protocol,"Apr 29, 2018",0.051757,0.059943,0.043717,0.053388,"97,241","8,693,120"
ink-protocol,"Apr 28, 2018",0.046554,0.055043,0.046554,0.047615,"21,217","7,819,250"
ink-protocol,"Apr 27, 2018",0.056530,0.057360,0.046957,0.046957,"73,152","9,494,760"
ink-protocol,"Apr 26, 2018",0.054607,0.056618,0.050357,0.056432,"14,190","9,171,790"
ink-protocol,"Apr 25, 2018",0.058230,0.060921,0.050182,0.050182,"19,521","9,780,420"
ink-protocol,"Apr 24, 2018",0.056204,0.063543,0.056204,0.061335,"30,655","9,439,990"
ink-protocol,"Apr 23, 2018",0.056446,0.058473,0.053724,0.056202,"19,960","9,480,790"
ink-protocol,"Apr 22, 2018",0.048737,0.058557,0.047675,0.052403,"45,906","8,185,830"
