Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
innova,"Jul 02, 2018",0.172818,0.179317,0.162439,0.171777,"1,942","661,627"
innova,"Jul 01, 2018",0.181975,0.184066,0.170831,0.172798,"2,217","694,151"
innova,"Jun 30, 2018",0.181369,0.184475,0.177810,0.181934,"3,241","689,275"
innova,"Jun 29, 2018",0.170186,0.194642,0.163753,0.189799,"3,058","644,454"
innova,"Jun 28, 2018",0.169418,0.192296,0.166785,0.170077,"2,554","638,595"
innova,"Jun 27, 2018",0.187579,0.187739,0.165361,0.173221,"2,328","704,079"
innova,"Jun 26, 2018",0.192254,0.199825,0.185153,0.187655,"2,129","718,557"
innova,"Jun 25, 2018",0.198850,0.202714,0.188273,0.192254,"3,171","740,014"
innova,"Jun 24, 2018",0.187036,0.223835,0.180248,0.199234,"4,828","692,616"
innova,"Jun 23, 2018",0.184584,0.188371,0.178079,0.185026,"2,236","680,574"
innova,"Jun 22, 2018",0.203990,0.207139,0.180728,0.184560,"1,730","749,450"
innova,"Jun 21, 2018",0.212063,0.221400,0.202117,0.204216,"5,837","775,914"
innova,"Jun 20, 2018",0.207783,0.235496,0.202533,0.212020,"4,998","757,348"
innova,"Jun 19, 2018",0.216040,0.235949,0.206515,0.207655,"4,851","784,207"
innova,"Jun 18, 2018",0.226701,0.228755,0.206348,0.216156,"1,995","819,275"
innova,"Jun 17, 2018",0.255112,0.259433,0.219060,0.227478,"2,601","918,305"
innova,"Jun 16, 2018",0.253671,0.266414,0.238026,0.254437,"3,485","909,223"
innova,"Jun 15, 2018",0.209478,0.273085,0.207157,0.254600,"7,360","747,558"
innova,"Jun 14, 2018",0.191730,0.218875,0.191674,0.218875,"3,793","680,826"
innova,"Jun 13, 2018",0.206443,0.206752,0.186842,0.191815,"4,174","730,239"
innova,"Jun 12, 2018",0.220676,0.237956,0.202926,0.205910,"3,666","777,549"
innova,"Jun 11, 2018",0.235850,0.250315,0.216719,0.220795,"3,543","827,276"
innova,"Jun 10, 2018",0.300440,0.300440,0.233064,0.235513,"7,204","1,049,260"
innova,"Jun 09, 2018",0.326669,0.327470,0.248572,0.300063,"8,311","1,135,210"
innova,"Jun 08, 2018",0.351859,0.369396,0.318842,0.326886,"6,046","1,217,630"
innova,"Jun 07, 2018",0.350450,0.379178,0.350100,0.351592,"3,220","1,206,680"
innova,"Jun 06, 2018",0.348565,0.371872,0.343512,0.350128,"5,246","1,195,390"
innova,"Jun 05, 2018",0.360261,0.372640,0.343502,0.348658,"3,844","1,230,500"
innova,"Jun 04, 2018",0.394773,0.400162,0.346994,0.360088,"8,143","1,342,770"
innova,"Jun 03, 2018",0.398692,0.423714,0.385597,0.394127,"6,130","1,350,680"
innova,"Jun 02, 2018",0.391691,0.423833,0.375617,0.396981,"7,111","1,320,850"
innova,"Jun 01, 2018",0.344690,0.409623,0.343960,0.391861,"9,514","1,157,100"
innova,"May 31, 2018",0.337019,0.377980,0.333615,0.344439,"5,503","1,125,290"
innova,"May 30, 2018",0.333518,0.360672,0.324798,0.337082,"5,701","1,108,500"
innova,"May 29, 2018",0.346600,0.361839,0.321945,0.335905,"10,389","1,147,050"
innova,"May 28, 2018",0.346115,0.356858,0.330185,0.346713,"10,078","1,140,550"
innova,"May 27, 2018",0.344896,0.380871,0.340284,0.346034,"7,520","1,131,720"
innova,"May 26, 2018",0.357715,0.389614,0.344058,0.344743,"7,014","1,168,790"
innova,"May 25, 2018",0.355450,0.379297,0.348080,0.358184,"5,514","1,156,250"
innova,"May 24, 2018",0.352215,0.377907,0.339805,0.354783,"6,318","1,140,410"
innova,"May 23, 2018",0.378883,0.380063,0.349376,0.353106,"5,535","1,221,520"
innova,"May 22, 2018",0.400541,0.403650,0.375475,0.379276,"9,069","1,285,550"
innova,"May 21, 2018",0.427735,0.453304,0.387818,0.400614,"7,334","1,366,950"
innova,"May 20, 2018",0.379537,0.426471,0.377560,0.403184,"6,553","1,206,890"
innova,"May 19, 2018",0.386242,0.392759,0.376417,0.379254,"5,822","1,222,300"
innova,"May 18, 2018",0.381688,0.434947,0.374553,0.386300,"7,233","1,201,570"
innova,"May 17, 2018",0.402474,0.451535,0.371453,0.380304,"9,834","1,260,980"
innova,"May 16, 2018",0.410221,0.421271,0.372613,0.402228,"9,239","1,279,130"
innova,"May 15, 2018",0.439015,0.478091,0.408607,0.410627,"9,924","1,362,480"
innova,"May 14, 2018",0.489872,0.491823,0.439469,0.439769,"7,070","1,513,300"
innova,"May 13, 2018",0.538547,0.542152,0.457248,0.489960,"9,054","1,656,020"
innova,"May 12, 2018",0.471543,0.549075,0.434618,0.538734,"12,516","1,442,940"
innova,"May 11, 2018",0.449005,0.570584,0.423114,0.472933,"13,517","1,365,730"
innova,"May 10, 2018",0.558831,0.590462,0.447483,0.448469,"10,835","1,690,420"
innova,"May 09, 2018",0.579535,0.606619,0.539655,0.558988,"8,045","1,744,430"
innova,"May 08, 2018",0.617090,0.634110,0.568899,0.580422,"6,718","1,848,640"
innova,"May 07, 2018",0.637002,0.653168,0.611816,0.615783,"7,891","1,898,420"
innova,"May 06, 2018",0.658717,0.665181,0.623994,0.636546,"10,550","1,952,980"
innova,"May 05, 2018",0.648049,0.699813,0.636470,0.658665,"14,502","1,908,580"
innova,"May 04, 2018",0.774061,0.774061,0.637639,0.648356,"21,083","2,268,100"
innova,"May 03, 2018",0.729791,0.806918,0.727869,0.774363,"19,437","2,126,130"
innova,"May 02, 2018",0.734748,0.777124,0.712489,0.729765,"15,923","2,128,550"
innova,"May 01, 2018",0.772440,0.779574,0.724869,0.735856,"11,753","2,224,580"
innova,"Apr 30, 2018",0.794616,0.833111,0.767742,0.771765,"15,925","2,277,100"
innova,"Apr 29, 2018",0.779878,0.848820,0.770097,0.794881,"18,015","2,223,710"
innova,"Apr 28, 2018",0.734468,0.787590,0.732585,0.780089,"12,080","2,084,260"
innova,"Apr 27, 2018",0.753066,0.882712,0.737354,0.737354,"15,296","2,126,560"
innova,"Apr 26, 2018",0.754594,0.813228,0.714196,0.752025,"17,649","2,120,330"
innova,"Apr 25, 2018",0.883685,0.890145,0.747519,0.748479,"16,401","2,470,990"
innova,"Apr 24, 2018",0.887407,0.913640,0.806383,0.888851,"22,785","2,468,570"
innova,"Apr 23, 2018",0.843168,0.921912,0.841554,0.886652,"16,664","2,333,390"
innova,"Apr 22, 2018",0.853812,0.868628,0.739991,0.844872,"20,573","2,351,290"
innova,"Apr 21, 2018",1.01,1.19,0.804535,0.853812,"22,383","2,778,200"
innova,"Apr 20, 2018",0.862768,1.16,0.832928,1.01,"32,657","2,352,110"
innova,"Apr 19, 2018",0.718461,0.907680,0.679868,0.878315,"32,755","1,948,680"
innova,"Apr 18, 2018",0.474003,0.719180,0.473517,0.717847,"37,091","1,279,230"
innova,"Apr 17, 2018",0.501483,0.526207,0.453749,0.473801,"18,127","1,346,520"
innova,"Apr 16, 2018",0.517741,0.525827,0.487918,0.501231,"8,201","1,383,200"
innova,"Apr 15, 2018",0.493436,0.524880,0.493436,0.517960,"9,921","1,311,700"
innova,"Apr 14, 2018",0.538887,0.564353,0.490435,0.492908,"14,457","1,427,420"
innova,"Apr 13, 2018",0.550164,0.564201,0.498705,0.527166,"19,341","1,449,480"
innova,"Apr 12, 2018",0.559323,0.607957,0.512321,0.541957,"10,664","1,465,130"
innova,"Apr 11, 2018",0.609323,0.629488,0.480465,0.560676,"19,634","1,588,780"
innova,"Apr 10, 2018",0.624798,0.638155,0.547323,0.608736,"15,608","1,620,680"
innova,"Apr 09, 2018",0.818294,0.832870,0.615466,0.624288,"24,147","2,111,320"
innova,"Apr 08, 2018",0.827617,0.887176,0.787599,0.816970,"11,520","2,124,170"
innova,"Apr 07, 2018",0.807803,0.870368,0.806604,0.827076,"11,454","2,062,480"
innova,"Apr 06, 2018",0.850434,0.856020,0.790526,0.806839,"10,485","2,159,860"
innova,"Apr 05, 2018",0.910099,0.921905,0.840816,0.854790,"19,008","2,297,340"
innova,"Apr 04, 2018",0.997799,1.02,0.880927,0.909718,"17,544","2,502,030"
innova,"Apr 03, 2018",0.894187,1.03,0.892153,0.998488,"19,912","2,234,230"
innova,"Apr 02, 2018",0.904745,0.983038,0.883985,0.893552,"13,218","2,248,370"
innova,"Apr 01, 2018",0.931086,0.954448,0.849237,0.900315,"12,266","2,301,250"
innova,"Mar 31, 2018",0.909343,0.982170,0.874178,0.931114,"12,378","2,235,160"
innova,"Mar 30, 2018",0.889297,0.925276,0.839576,0.909204,"13,893","2,173,830"
innova,"Mar 29, 2018",1.01,1.02,0.841174,0.891513,"16,076","2,454,290"
innova,"Mar 28, 2018",0.998424,1.07,0.987076,1.01,"38,452","2,413,380"
