Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
inpay,"Jul 02, 2018",0.061435,0.064353,0.060797,0.063954,437,"614,350"
inpay,"Jul 01, 2018",0.063810,0.064168,0.060839,0.061428,166,"638,095"
inpay,"Jun 30, 2018",0.047778,0.064021,0.047775,0.063795,106,"477,776"
inpay,"Jun 29, 2018",0.050469,0.053701,0.045333,0.047713,27,"504,689"
inpay,"Jun 28, 2018",0.043612,0.052852,0.043196,0.050437,96,"436,120"
inpay,"Jun 27, 2018",0.044824,0.051020,0.043488,0.043597,108,"448,239"
inpay,"Jun 26, 2018",0.050547,0.057188,0.043940,0.044824,146,"505,471"
inpay,"Jun 25, 2018",0.065873,0.066281,0.048048,0.051797,219,"658,731"
inpay,"Jun 24, 2018",0.066354,0.067011,0.061874,0.066001,99,"663,536"
inpay,"Jun 23, 2018",0.067227,0.070732,0.065946,0.066363,13,"672,267"
inpay,"Jun 22, 2018",0.073302,0.073585,0.066033,0.067218,65,"733,020"
inpay,"Jun 21, 2018",0.074297,0.077694,0.073232,0.073383,251,"742,969"
inpay,"Jun 20, 2018",0.068385,0.078755,0.066679,0.074282,316,"683,850"
inpay,"Jun 19, 2018",0.080426,0.080802,0.057417,0.068343,850,"804,260"
inpay,"Jun 18, 2018",0.101821,0.102301,0.067311,0.080469,137,"1,018,210"
inpay,"Jun 17, 2018",0.075071,0.103390,0.074928,0.102170,2,"750,713"
inpay,"Jun 16, 2018",0.074616,0.075590,0.073178,0.074873,69,"746,155"
inpay,"Jun 14, 2018",0.077202,0.079915,0.077045,0.079801,28,"772,025"
inpay,"Jun 13, 2018",0.095454,0.096029,0.076357,0.077237,27,"954,537"
inpay,"Jun 12, 2018",0.108272,0.108272,0.094535,0.095207,11,"1,082,720"
inpay,"Jun 11, 2018",0.089415,0.110038,0.088150,0.108330,78,"894,154"
inpay,"Jun 10, 2018",0.118999,0.121197,0.086388,0.089288,29,"1,189,990"
inpay,"Jun 09, 2018",0.101077,0.125567,0.097790,0.125439,1,"1,010,770"
inpay,"Jun 08, 2018",0.107379,0.109089,0.100022,0.101121,22,"1,073,790"
inpay,"Jun 07, 2018",0.096593,0.107297,0.096526,0.107297,3,"965,934"
inpay,"Jun 06, 2018",0.138527,0.139823,0.136417,0.136575,4,"1,385,270"
inpay,"Jun 05, 2018",0.136692,0.138814,0.134339,0.138565,51,"1,366,920"
inpay,"Jun 04, 2018",0.098982,0.137377,0.098645,0.136626,364,"989,823"
inpay,"Jun 03, 2018",0.118776,0.122910,0.098510,0.098936,14,"1,187,760"
inpay,"Jun 02, 2018",0.092708,0.118840,0.090292,0.118744,49,"927,085"
inpay,"Jun 01, 2018",0.091288,0.110379,0.091262,0.092749,21,"912,884"
inpay,"May 31, 2018",0.118123,0.118123,0.084575,0.091222,173,"1,181,230"
inpay,"May 30, 2018",0.093905,0.120609,0.093786,0.118145,75,"939,046"
inpay,"May 29, 2018",0.097619,0.097985,0.089898,0.093841,41,"976,193"
inpay,"May 28, 2018",0.114157,0.116449,0.096805,0.097651,379,"1,141,570"
inpay,"May 27, 2018",0.125650,0.137931,0.095469,0.114130,196,"1,256,500"
inpay,"May 26, 2018",0.130828,0.132539,0.124918,0.125594,111,"1,308,280"
inpay,"May 25, 2018",0.137133,0.139146,0.129296,0.131000,93,"1,371,330"
inpay,"May 24, 2018",0.148666,0.172248,0.143858,0.171688,43,"1,486,660"
inpay,"May 23, 2018",0.129443,0.149042,0.121961,0.149042,82,"1,294,430"
inpay,"May 22, 2018",0.177739,0.177876,0.127466,0.129577,59,"1,777,390"
inpay,"May 21, 2018",0.172669,0.178174,0.140057,0.177771,91,"1,726,690"
inpay,"May 20, 2018",0.172204,0.179902,0.161279,0.172454,397,"1,722,040"
inpay,"May 19, 2018",0.112448,0.172075,0.106793,0.172075,126,"1,124,480"
inpay,"May 18, 2018",0.150494,0.151632,0.110494,0.112465,"1,676","1,504,940"
inpay,"May 17, 2018",0.153531,0.155275,0.142482,0.150362,12,"1,535,310"
inpay,"May 16, 2018",0.148723,0.153450,0.140608,0.153437,98,"1,487,230"
inpay,"May 15, 2018",0.172741,0.175967,0.147951,0.148809,323,"1,727,410"
inpay,"May 14, 2018",0.174867,0.182278,0.158535,0.173038,693,"1,748,670"
inpay,"May 13, 2018",0.180754,0.193777,0.167186,0.174899,"1,401","1,807,540"
inpay,"May 12, 2018",0.166606,0.182495,0.155849,0.180817,411,"1,666,060"
inpay,"May 11, 2018",0.149968,0.213220,0.147583,0.167097,"1,243","1,499,680"
inpay,"May 10, 2018",0.184701,0.216508,0.149644,0.149789,"3,897","1,847,010"
inpay,"May 09, 2018",0.247996,0.248087,0.177333,0.184753,"3,980","2,479,960"
inpay,"May 08, 2018",0.180593,0.262510,0.167748,0.248376,"5,787","1,805,930"
inpay,"May 07, 2018",0.195158,0.195258,0.177838,0.180211,155,"1,951,580"
inpay,"May 06, 2018",0.205150,0.209231,0.157111,0.195018,322,"2,051,500"
inpay,"May 05, 2018",0.195417,0.205560,0.125196,0.205011,886,"1,954,170"
inpay,"May 04, 2018",0.227625,0.227625,0.192819,0.195510,128,"2,276,250"
inpay,"May 03, 2018",0.197841,0.231836,0.183600,0.227714,"1,729","1,978,410"
inpay,"May 02, 2018",0.182574,0.198600,0.181418,0.197834,452,"1,825,740"
inpay,"May 01, 2018",0.212354,0.539046,0.170037,0.182850,"6,275","2,123,540"
inpay,"Apr 30, 2018",0.178629,0.214373,0.173838,0.212169,66,"1,786,290"
inpay,"Apr 29, 2018",0.217843,0.239285,0.177924,0.178688,298,"2,178,430"
inpay,"Apr 28, 2018",0.189813,0.219944,0.189327,0.217928,919,"1,898,130"
inpay,"Apr 27, 2018",0.230451,0.230451,0.190467,0.190467,242,"2,304,510"
inpay,"Apr 26, 2018",0.215483,0.230263,0.209576,0.229751,789,"2,154,830"
inpay,"Apr 25, 2018",0.239969,0.241240,0.211715,0.213712,547,"2,399,690"
inpay,"Apr 24, 2018",0.227473,0.301185,0.209563,0.241611,887,"2,274,730"
inpay,"Apr 23, 2018",0.159115,0.278999,0.158982,0.227279,"2,601","1,591,150"
inpay,"Apr 22, 2018",0.161602,0.200035,0.158602,0.159436,93,"1,616,020"
inpay,"Apr 21, 2018",0.217069,0.220267,0.157873,0.161602,1,"2,170,690"
inpay,"Apr 20, 2018",0.188364,0.219012,0.181139,0.216994,25,"1,883,640"
inpay,"Apr 19, 2018",0.151530,0.188373,0.150857,0.188240,33,"1,515,300"
inpay,"Apr 18, 2018",0.291768,0.320758,0.151264,0.151418,23,"2,917,680"
inpay,"Apr 17, 2018",0.142235,0.293116,0.141092,0.291618,88,"1,422,350"
inpay,"Apr 16, 2018",0.147545,0.148375,0.139988,0.142163,4,"1,475,450"
inpay,"Apr 15, 2018",0.165305,0.172940,0.146377,0.147607,4,"1,653,050"
inpay,"Apr 14, 2018",0.186368,0.190795,0.161737,0.165128,8,"1,863,680"
inpay,"Apr 13, 2018",0.204846,0.210894,0.136109,0.186368,314,"2,048,460"
inpay,"Apr 12, 2018",0.162337,0.205557,0.124971,0.204588,"1,026","1,623,370"
inpay,"Apr 11, 2018",0.146661,0.162730,0.124658,0.162730,71,"1,466,610"
inpay,"Apr 10, 2018",0.157991,0.158486,0.127049,0.146520,114,"1,579,910"
inpay,"Apr 09, 2018",0.152868,0.157862,0.132532,0.157862,464,"1,528,680"
inpay,"Apr 08, 2018",0.148373,0.163843,0.123348,0.152621,579,"1,483,730"
inpay,"Apr 07, 2018",0.138651,0.148239,0.118412,0.148239,348,"1,386,510"
inpay,"Apr 06, 2018",0.156605,0.158223,0.103476,0.138485,27,"1,566,050"
inpay,"Apr 05, 2018",0.131761,0.157452,0.127566,0.157393,168,"1,317,610"
inpay,"Apr 04, 2018",0.122187,0.149069,0.107494,0.131705,794,"1,221,870"
inpay,"Apr 03, 2018",0.099111,0.150667,0.097968,0.149164,947,"991,113"
inpay,"Apr 02, 2018",0.095962,0.099802,0.095338,0.099041,11,"959,619"
inpay,"Apr 01, 2018",0.096393,0.097930,0.090663,0.095492,17,"963,934"
inpay,"Mar 31, 2018",0.085738,0.100112,0.085487,0.096396,1,"857,381"
inpay,"Mar 30, 2018",0.102360,0.104039,0.082938,0.085725,3,"1,023,600"
inpay,"Mar 29, 2018",0.112130,0.112314,0.089384,0.102616,134,"1,121,300"
inpay,"Mar 28, 2018",0.109950,0.114347,0.109339,0.111999,82,"1,099,500"
inpay,"Mar 27, 2018",0.114040,0.114739,0.108310,0.109975,81,"1,140,400"
inpay,"Mar 26, 2018",0.096890,0.114844,0.092128,0.114213,1,"968,898"
inpay,"Mar 25, 2018",0.106458,0.125853,0.096529,0.096964,188,"1,064,580"
inpay,"Mar 24, 2018",0.110507,0.112217,0.107098,0.107944,102,"1,105,070"
inpay,"Mar 23, 2018",0.107896,0.122643,0.103110,0.108921,256,"1,078,960"
inpay,"Mar 22, 2018",0.130142,0.132729,0.106167,0.107899,663,"1,301,420"
inpay,"Mar 21, 2018",0.130270,0.133979,0.129154,0.130379,1,"1,302,700"
inpay,"Mar 20, 2018",0.125985,0.131824,0.121940,0.130035,61,"1,259,850"
inpay,"Mar 19, 2018",0.140136,0.144282,0.119230,0.124595,372,"1,401,360"
inpay,"Mar 18, 2018",0.128551,0.142187,0.122494,0.140729,"1,913","1,285,510"
inpay,"Mar 17, 2018",0.128884,0.131060,0.126281,0.128864,2,"1,288,840"
inpay,"Mar 14, 2018",0.154532,0.156026,0.154532,0.156026,2,"1,545,320"
inpay,"Mar 13, 2018",0.154172,0.160162,0.149882,0.154511,2,"1,541,720"
inpay,"Mar 11, 2018",0.154796,0.155274,0.149511,0.154278,7,"1,547,960"
inpay,"Mar 10, 2018",0.166033,0.167144,0.153920,0.155331,7,"1,660,330"
inpay,"Mar 09, 2018",0.143862,0.145559,0.129851,0.143278,14,"1,438,620"
inpay,"Mar 08, 2018",0.175346,0.178034,0.144606,0.144779,16,"1,753,460"
inpay,"Mar 06, 2018",0.169473,0.169473,0.159803,0.161444,88,"1,694,730"
inpay,"Mar 05, 2018",0.169360,0.171933,0.168198,0.169942,92,"1,693,600"
inpay,"Mar 04, 2018",0.168432,0.169484,0.167763,0.169484,53,"1,684,320"
inpay,"Mar 03, 2018",0.162315,0.167342,0.162315,0.167066,85,"1,623,150"
inpay,"Mar 02, 2018",0.222325,0.227347,0.159155,0.162514,248,"2,223,250"
inpay,"Mar 01, 2018",0.218929,0.225582,0.218552,0.222898,73,"2,189,290"
inpay,"Feb 25, 2018",0.185776,0.188996,0.178542,0.179881,5,"1,857,760"
inpay,"Feb 24, 2018",0.186518,0.186816,0.180035,0.186058,5,"1,865,180"
inpay,"Feb 22, 2018",0.177406,0.184879,0.165254,0.167321,7,"1,774,060"
inpay,"Feb 21, 2018",0.175763,0.189480,0.167451,0.177587,19,"1,757,630"
inpay,"Feb 20, 2018",0.181648,0.190304,0.174100,0.175982,96,"1,816,480"
inpay,"Feb 19, 2018",0.151245,0.181931,0.150778,0.181483,1,"1,512,450"
inpay,"Feb 18, 2018",0.243281,0.247435,0.151587,0.151943,578,"2,432,810"
inpay,"Feb 17, 2018",0.169518,0.243971,0.167337,0.242537,136,"1,695,180"
inpay,"Feb 16, 2018",0.232080,0.236291,0.165005,0.169557,77,"2,320,800"
inpay,"Feb 15, 2018",0.138429,0.234656,0.136860,0.233076,86,"1,384,290"
inpay,"Feb 14, 2018",0.116585,0.218518,0.116585,0.138354,"1,051","1,165,850"
inpay,"Feb 13, 2018",0.122074,0.122630,0.114972,0.116933,83,"1,220,740"
inpay,"Feb 12, 2018",0.120790,0.123253,0.117109,0.121853,122,"1,207,900"
inpay,"Feb 11, 2018",0.151587,0.151587,0.139313,0.147879,2,"1,515,870"
inpay,"Feb 10, 2018",0.148463,0.152040,0.145032,0.151716,2,"1,484,630"
inpay,"Feb 09, 2018",0.146361,0.146361,0.139178,0.139584,1,"1,463,610"
inpay,"Feb 08, 2018",0.148935,0.149889,0.142986,0.145912,1,"1,489,350"
inpay,"Feb 05, 2018",0.112430,0.114753,0.101463,0.102667,181,"1,124,300"
inpay,"Feb 04, 2018",0.125035,0.125698,0.108506,0.113531,201,"1,250,350"
inpay,"Feb 03, 2018",0.167417,0.172406,0.154923,0.171503,10,"1,674,170"
inpay,"Feb 02, 2018",0.171639,0.171955,0.145751,0.166847,10,"1,716,390"
inpay,"Feb 01, 2018",0.126825,0.182606,0.121964,0.171995,93,"1,268,250"
inpay,"Jan 31, 2018",0.198032,0.199459,0.123104,0.126531,84,"1,980,320"
inpay,"Jan 30, 2018",0.136413,0.218996,0.132610,0.197722,6,"1,364,130"
inpay,"Jan 29, 2018",0.228169,0.231123,0.135241,0.136368,67,"2,281,690"
inpay,"Jan 28, 2018",0.224919,0.235247,0.224234,0.228387,144,"2,249,190"
inpay,"Jan 27, 2018",0.219398,0.228443,0.214633,0.223774,3,"2,193,980"
inpay,"Jan 26, 2018",0.217296,0.220608,0.212812,0.219544,3,"2,172,960"
inpay,"Jan 25, 2018",0.226070,0.231453,0.222680,0.225637,1,"2,260,700"
inpay,"Jan 24, 2018",0.214736,0.226888,0.208849,0.222410,1,"2,147,360"
inpay,"Jan 23, 2018",0.222037,0.222923,0.214859,0.214859,1,"2,220,370"
inpay,"Jan 20, 2018",0.319407,0.351931,0.319241,0.349820,8,"3,194,070"
inpay,"Jan 19, 2018",0.314953,0.330505,0.305874,0.315973,19,"3,149,530"
inpay,"Jan 18, 2018",0.305213,0.322571,0.299749,0.319875,1,"3,052,130"
inpay,"Jan 17, 2018",0.314109,0.322130,0.255025,0.304040,1,"3,141,090"
inpay,"Jan 16, 2018",0.353517,0.364514,0.279242,0.315711,320,"3,535,170"
inpay,"Jan 15, 2018",0.273783,0.372585,0.272322,0.353077,1,"2,737,830"
inpay,"Jan 14, 2018",0.373241,0.377123,0.271464,0.275783,71,"3,732,410"
inpay,"Jan 13, 2018",0.361618,0.379645,0.361618,0.372997,13,"3,616,180"
inpay,"Jan 12, 2018",0.159918,0.365160,0.155210,0.362032,70,"1,599,180"
inpay,"Jan 11, 2018",0.379932,0.394119,0.158034,0.158868,119,"3,799,320"
inpay,"Jan 10, 2018",0.370515,0.380359,0.347293,0.380359,25,"3,705,150"
inpay,"Jan 09, 2018",0.381918,0.391265,0.364831,0.370030,169,"3,819,180"
inpay,"Jan 08, 2018",0.401098,0.402602,0.370316,0.382962,228,"4,010,980"
inpay,"Jan 07, 2018",0.423699,0.423699,0.391367,0.401660,12,"4,236,990"
inpay,"Jan 06, 2018",0.418485,0.425147,0.403015,0.424010,534,"4,184,850"
inpay,"Jan 05, 2018",0.372546,0.421694,0.367364,0.418152,31,"3,725,460"
