Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
internxt,"Jul 02, 2018",4.14,4.90,4.11,4.74,608,"2,607,460"
internxt,"Jul 01, 2018",4.52,4.58,4.09,4.14,"2,373","2,847,430"
internxt,"Jun 30, 2018",4.41,4.60,4.30,4.52,"5,964","2,773,470"
internxt,"Jun 29, 2018",4.65,4.68,4.07,4.40,"1,575","2,930,810"
internxt,"Jun 28, 2018",4.49,4.73,2.73,4.65,"5,705","2,825,120"
internxt,"Jun 27, 2018",4.71,4.71,4.28,4.48,"5,142","2,962,540"
internxt,"Jun 26, 2018",4.93,4.94,4.43,4.71,"2,204","3,101,020"
internxt,"Jun 25, 2018",4.79,4.93,4.37,4.93,"1,468","3,015,760"
internxt,"Jun 24, 2018",4.73,4.80,4.33,4.80,"8,675","2,976,430"
internxt,"Jun 23, 2018",4.62,4.84,4.61,4.73,"4,722","2,909,500"
internxt,"Jun 22, 2018",5.25,5.26,4.61,4.62,"2,105","3,307,860"
internxt,"Jun 21, 2018",5.24,5.29,5.08,5.26,"5,342","3,297,120"
internxt,"Jun 20, 2018",5.96,5.96,5.14,5.24,"6,138","3,751,510"
internxt,"Jun 19, 2018",5.54,6.01,5.23,5.95,"7,555","3,489,860"
internxt,"Jun 18, 2018",5.19,5.53,5.07,5.50,"5,258","3,269,120"
internxt,"Jun 17, 2018",4.91,5.40,4.89,5.38,"1,593","3,090,990"
internxt,"Jun 16, 2018",4.92,5.27,4.75,4.90,"3,751","3,099,910"
internxt,"Jun 15, 2018",5.53,5.53,4.92,4.94,"8,826","3,478,990"
internxt,"Jun 14, 2018",5.48,5.92,5.32,5.53,"8,143","3,452,360"
internxt,"Jun 13, 2018",5.00,5.80,4.71,5.48,"8,083","3,150,450"
internxt,"Jun 12, 2018",5.40,6.31,4.92,4.99,"7,337","3,398,040"
internxt,"Jun 11, 2018",5.58,5.71,5.23,5.52,"3,461","3,510,760"
internxt,"Jun 10, 2018",6.24,6.24,5.26,5.57,"10,164","3,930,410"
internxt,"Jun 09, 2018",6.49,6.85,6.08,6.23,"14,536","4,087,860"
internxt,"Jun 08, 2018",6.07,7.18,6.04,6.49,"35,546","3,820,310"
internxt,"Jun 07, 2018",5.58,6.06,5.54,6.06,"12,168","3,515,730"
internxt,"Jun 06, 2018",5.96,5.96,5.45,5.58,"43,786","3,750,420"
internxt,"Jun 05, 2018",5.71,5.97,5.47,5.96,"34,740","3,595,090"
internxt,"Jun 04, 2018",6.33,6.36,5.46,5.71,"34,149","3,983,710"
internxt,"Jun 03, 2018",5.62,6.39,4.65,6.34,"30,915","3,540,900"
internxt,"Jun 02, 2018",5.22,6.11,5.18,5.62,"22,239","3,286,280"
internxt,"Jun 01, 2018",6.66,6.82,5.22,5.22,"26,333","4,191,250"
internxt,"May 31, 2018",6.22,6.82,5.71,6.65,"7,918","3,914,190"
internxt,"May 30, 2018",6.55,6.71,5.43,6.22,"7,718","4,124,990"
internxt,"May 29, 2018",5.61,6.62,5.13,6.56,"9,035","3,530,820"
internxt,"May 28, 2018",5.83,5.83,4.59,5.61,"36,077","3,671,220"
internxt,"May 27, 2018",6.31,6.71,5.70,5.83,"2,530","3,971,850"
internxt,"May 26, 2018",5.64,6.32,5.55,6.30,"6,608","3,547,920"
internxt,"May 25, 2018",5.41,6.58,5.41,5.64,"17,692","3,403,930"
internxt,"May 24, 2018",6.33,6.81,3.99,5.40,"13,540","3,986,130"
internxt,"May 23, 2018",6.42,7.49,5.99,6.35,"1,652","4,039,860"
internxt,"May 22, 2018",7.67,8.08,6.42,6.42,"19,350","4,828,820"
internxt,"May 21, 2018",8.02,8.18,7.56,7.67,"6,641","5,051,410"
internxt,"May 20, 2018",7.47,8.01,6.89,8.01,"12,035","4,701,780"
internxt,"May 19, 2018",7.01,7.73,6.86,7.46,"3,477","4,414,120"
internxt,"May 18, 2018",7.26,7.66,6.52,7.01,"10,476","4,573,030"
internxt,"May 17, 2018",8.01,9.19,7.24,7.26,"15,050","5,040,300"
internxt,"May 16, 2018",7.52,8.18,6.94,8.00,"5,844","4,736,190"
internxt,"May 15, 2018",8.43,8.71,7.32,7.41,"12,833","5,308,180"
internxt,"May 14, 2018",8.20,8.60,7.55,8.46,"12,071","5,162,220"
internxt,"May 13, 2018",8.19,8.67,6.91,8.18,"31,120","5,157,770"
