Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
interstellar-holdings,"Jul 02, 2018",0.002095,0.002499,0.002084,0.002299,"5,597","1,462,770"
interstellar-holdings,"Jul 01, 2018",0.002426,0.002607,0.002095,0.002095,"2,891","1,678,920"
interstellar-holdings,"Jun 30, 2018",0.002172,0.002543,0.002045,0.002425,"8,829","1,500,190"
interstellar-holdings,"Jun 29, 2018",0.002171,0.002297,0.002051,0.002169,"1,973","1,497,230"
interstellar-holdings,"Jun 28, 2018",0.002203,0.002502,0.002136,0.002170,"1,910","1,516,360"
interstellar-holdings,"Jun 27, 2018",0.002135,0.002499,0.002058,0.002202,"3,939","1,466,580"
interstellar-holdings,"Jun 26, 2018",0.002749,0.003109,0.002106,0.002136,"6,806","1,884,610"
interstellar-holdings,"Jun 25, 2018",0.002717,0.003274,0.002499,0.002749,"7,579","1,857,840"
interstellar-holdings,"Jun 24, 2018",0.003269,0.003275,0.002662,0.002723,"6,961","2,230,500"
interstellar-holdings,"Jun 23, 2018",0.003261,0.003608,0.002771,0.003270,"23,068","2,217,800"
interstellar-holdings,"Jun 22, 2018",0.004304,0.004373,0.003209,0.003260,"16,043","2,916,710"
interstellar-holdings,"Jun 21, 2018",0.004603,0.004663,0.003978,0.004308,"6,093","3,106,930"
interstellar-holdings,"Jun 20, 2018",0.004593,0.004649,0.004284,0.004602,"7,719","3,078,130"
interstellar-holdings,"Jun 19, 2018",0.005268,0.005409,0.004128,0.004591,"57,499","3,489,640"
interstellar-holdings,"Jun 18, 2018",0.005696,0.005777,0.004881,0.005271,"92,972","3,724,750"
interstellar-holdings,"Jun 17, 2018",0.005795,0.005852,0.005276,0.005716,"67,160","3,739,520"
interstellar-holdings,"Jun 16, 2018",0.005818,0.006347,0.005169,0.005780,"49,193","3,709,780"
interstellar-holdings,"Jun 15, 2018",0.005116,0.007715,0.005088,0.005839,"94,457","3,219,530"
interstellar-holdings,"Jun 14, 2018",0.004044,0.005124,0.003980,0.005124,"5,457","2,405,800"
interstellar-holdings,"Jun 13, 2018",0.004345,0.004768,0.003928,0.004046,"7,652","2,536,650"
interstellar-holdings,"Jun 12, 2018",0.004408,0.004862,0.004186,0.004334,"1,200","2,542,680"
interstellar-holdings,"Jun 11, 2018",0.004404,0.005338,0.004101,0.004410,"4,550","2,509,000"
interstellar-holdings,"Jun 10, 2018",0.004578,0.004881,0.004067,0.004398,"3,198","2,573,990"
interstellar-holdings,"Jun 09, 2018",0.005339,0.005378,0.004573,0.004573,521,"2,959,010"
interstellar-holdings,"Jun 08, 2018",0.004610,0.005595,0.004606,0.005341,"1,935","2,524,330"
interstellar-holdings,"Jun 07, 2018",0.005283,0.006622,0.004590,0.004606,"5,820","2,857,510"
interstellar-holdings,"Jun 06, 2018",0.004803,0.006184,0.004731,0.005278,"5,291","2,567,640"
interstellar-holdings,"Jun 05, 2018",0.004876,0.005738,0.003885,0.004804,"4,924","2,575,170"
interstellar-holdings,"Jun 04, 2018",0.004934,0.005389,0.004781,0.004874,"2,946","2,575,570"
interstellar-holdings,"Jun 03, 2018",0.005039,0.006044,0.004844,0.004931,"1,466","2,598,400"
interstellar-holdings,"Jun 02, 2018",0.005036,0.006112,0.004945,0.005038,"3,482","2,567,800"
interstellar-holdings,"Jun 01, 2018",0.005094,0.006018,0.004641,0.005038,"3,636","2,567,690"
interstellar-holdings,"May 31, 2018",0.005980,0.007140,0.004776,0.005091,"10,516","2,957,860"
interstellar-holdings,"May 30, 2018",0.006420,0.008263,0.005207,0.005981,"7,476","3,135,810"
interstellar-holdings,"May 29, 2018",0.007261,0.008541,0.004329,0.006415,"10,662","3,505,560"
interstellar-holdings,"May 28, 2018",0.009107,0.009794,0.006648,0.007264,"47,162","4,343,750"
interstellar-holdings,"May 27, 2018",0.008729,0.017945,0.008390,0.009105,"137,294","4,098,160"
interstellar-holdings,"May 26, 2018",0.007393,0.011286,0.006861,0.008725,"31,560","3,406,360"
interstellar-holdings,"May 25, 2018",0.007563,0.008492,0.006886,0.007403,"25,539","3,415,470"
interstellar-holdings,"May 24, 2018",0.006467,0.008759,0.006467,0.006871,"34,132","2,866,260"
interstellar-holdings,"May 23, 2018",0.007843,0.007843,0.006396,0.006483,"27,609","3,409,570"
interstellar-holdings,"May 22, 2018",0.006237,0.007951,0.006093,0.007771,"42,923","2,658,860"
interstellar-holdings,"May 21, 2018",0.006480,0.006737,0.005926,0.006238,"18,344","2,711,830"
interstellar-holdings,"May 20, 2018",0.006108,0.006947,0.005916,0.006472,"14,111","2,508,140"
interstellar-holdings,"May 19, 2018",0.006349,0.007018,0.005763,0.006104,"11,058","2,558,390"
interstellar-holdings,"May 18, 2018",0.006477,0.006612,0.005276,0.006350,"13,747","2,498,550"
interstellar-holdings,"May 17, 2018",0.006929,0.007419,0.005326,0.006472,"26,445","2,635,210"
interstellar-holdings,"May 16, 2018",0.007213,0.007474,0.006634,0.006925,"7,278","2,713,470"
interstellar-holdings,"May 15, 2018",0.007547,0.008096,0.006768,0.007217,"16,205","2,807,040"
interstellar-holdings,"May 14, 2018",0.007213,0.008305,0.006662,0.007212,"12,644","2,652,420"
interstellar-holdings,"May 13, 2018",0.007198,0.007312,0.006498,0.007301,"7,187","2,619,710"
interstellar-holdings,"May 12, 2018",0.007136,0.008096,0.006847,0.007369,"14,088","2,569,750"
interstellar-holdings,"May 11, 2018",0.007765,0.008114,0.006720,0.007073,"12,386","2,766,730"
interstellar-holdings,"May 10, 2018",0.006427,0.008893,0.006259,0.007756,"34,044","2,265,310"
interstellar-holdings,"May 09, 2018",0.006071,0.006755,0.004983,0.006428,"21,091","2,117,020"
interstellar-holdings,"May 08, 2018",0.006464,0.006464,0.005648,0.006081,"40,435","2,228,980"
interstellar-holdings,"May 07, 2018",0.006923,0.007277,0.005700,0.006450,"55,096","2,360,640"
interstellar-holdings,"May 06, 2018",0.007961,0.008228,0.005727,0.006918,"59,651","2,686,650"
interstellar-holdings,"May 05, 2018",0.008238,0.009623,0.007576,0.007956,"22,099","2,750,490"
interstellar-holdings,"May 04, 2018",0.008285,0.008772,0.007368,0.008242,"19,099","2,738,100"
interstellar-holdings,"May 03, 2018",0.008113,0.008872,0.007734,0.008289,"22,141","2,652,200"
interstellar-holdings,"May 02, 2018",0.007721,0.009236,0.007358,0.008113,"31,398","2,495,610"
interstellar-holdings,"May 01, 2018",0.007947,0.008384,0.006109,0.007732,"52,168","2,540,860"
interstellar-holdings,"Apr 30, 2018",0.007897,0.009800,0.006991,0.007940,"47,394","2,498,980"
interstellar-holdings,"Apr 29, 2018",0.007757,0.010680,0.007462,0.007900,"33,462","2,427,920"
interstellar-holdings,"Apr 28, 2018",0.006598,0.010334,0.006573,0.007947,"66,699","2,042,940"
interstellar-holdings,"Apr 27, 2018",0.006322,0.013349,0.006264,0.006264,"49,628","1,936,690"
interstellar-holdings,"Apr 26, 2018",0.005141,0.007497,0.004946,0.006313,"37,013","1,558,440"
interstellar-holdings,"Apr 25, 2018",0.006302,0.007444,0.004964,0.005098,"19,869","1,888,070"
interstellar-holdings,"Apr 24, 2018",0.004641,0.006687,0.004639,0.006053,"13,092","1,376,410"
interstellar-holdings,"Apr 23, 2018",0.004303,0.004829,0.004103,0.004637,"4,613","1,261,730"
interstellar-holdings,"Apr 22, 2018",0.004018,0.004466,0.003792,0.004311,"3,127","1,166,080"
interstellar-holdings,"Apr 21, 2018",0.003979,0.004161,0.003686,0.004018,"5,342","1,142,650"
interstellar-holdings,"Apr 20, 2018",0.003721,0.004201,0.003576,0.003977,"14,501","1,056,940"
interstellar-holdings,"Apr 19, 2018",0.004330,0.004447,0.003708,0.003719,"6,485","1,214,100"
interstellar-holdings,"Apr 18, 2018",0.004106,0.004427,0.003799,0.004326,"4,648","1,136,840"
interstellar-holdings,"Apr 17, 2018",0.004266,0.004316,0.003853,0.004102,"4,324","1,167,070"
interstellar-holdings,"Apr 16, 2018",0.004508,0.004780,0.003595,0.004264,"11,646","1,219,350"
interstellar-holdings,"Apr 15, 2018",0.005121,0.005512,0.004398,0.004594,"3,819","1,370,230"
interstellar-holdings,"Apr 14, 2018",0.005271,0.005989,0.004766,0.005115,"2,819","1,393,260"
interstellar-holdings,"Apr 13, 2018",0.004518,0.005768,0.004123,0.005035,"5,658","1,180,050"
interstellar-holdings,"Apr 12, 2018",0.004237,0.004791,0.003651,0.004512,"6,396","1,093,740"
interstellar-holdings,"Apr 11, 2018",0.004508,0.004724,0.004043,0.004248,"3,633","1,151,890"
interstellar-holdings,"Apr 10, 2018",0.004394,0.004709,0.004152,0.004504,"4,494","1,109,480"
interstellar-holdings,"Apr 09, 2018",0.004777,0.004984,0.004236,0.004391,972,"1,192,190"
interstellar-holdings,"Apr 08, 2018",0.004486,0.004873,0.004299,0.004769,927,"1,106,480"
interstellar-holdings,"Apr 07, 2018",0.004171,0.005214,0.004165,0.004482,"2,724","1,016,680"
interstellar-holdings,"Apr 06, 2018",0.004472,0.005355,0.003966,0.004166,"2,899","1,075,550"
interstellar-holdings,"Apr 05, 2018",0.004904,0.005004,0.003761,0.004495,"4,907","1,164,920"
interstellar-holdings,"Apr 04, 2018",0.005930,0.005930,0.004761,0.004901,"2,928","1,392,600"
interstellar-holdings,"Apr 03, 2018",0.004090,0.006153,0.003937,0.005934,"6,502","949,387"
interstellar-holdings,"Apr 02, 2018",0.003413,0.005287,0.002856,0.004087,"14,266","782,421"
interstellar-holdings,"Apr 01, 2018",0.004088,0.004379,0.002671,0.003397,"21,819","926,882"
interstellar-holdings,"Mar 31, 2018",0.004107,0.004440,0.003682,0.004089,"7,618","920,830"
interstellar-holdings,"Mar 30, 2018",0.004610,0.005038,0.003409,0.004107,"17,357","1,021,670"
interstellar-holdings,"Mar 29, 2018",0.006587,0.006674,0.004500,0.004834,"7,421","1,442,800"
interstellar-holdings,"Mar 28, 2018",0.006695,0.006861,0.006275,0.006579,"3,649","1,448,230"
interstellar-holdings,"Mar 27, 2018",0.007008,0.007679,0.006314,0.006697,"7,458","1,497,500"
interstellar-holdings,"Mar 26, 2018",0.007427,0.009196,0.006834,0.007019,"2,732","1,567,810"
interstellar-holdings,"Mar 25, 2018",0.008074,0.008361,0.007046,0.007433,"3,555","1,682,200"
interstellar-holdings,"Mar 24, 2018",0.007478,0.009203,0.007418,0.008187,"4,538","1,541,360"
interstellar-holdings,"Mar 23, 2018",0.007384,0.007687,0.006817,0.007370,"2,344","1,504,320"
interstellar-holdings,"Mar 22, 2018",0.007574,0.007971,0.006830,0.007384,"5,989","1,523,730"
interstellar-holdings,"Mar 21, 2018",0.008462,0.008877,0.007412,0.007587,"16,444","1,681,780"
interstellar-holdings,"Mar 20, 2018",0.009227,0.009439,0.007751,0.008446,"9,821","1,812,550"
interstellar-holdings,"Mar 19, 2018",0.009582,0.011572,0.008609,0.009296,"6,740","1,860,510"
interstellar-holdings,"Mar 18, 2018",0.010488,0.010488,0.008739,0.009623,"3,476","2,011,720"
interstellar-holdings,"Mar 17, 2018",0.010407,0.012229,0.008361,0.010514,"6,905","1,971,600"
interstellar-holdings,"Mar 16, 2018",0.011155,0.011947,0.009761,0.010389,"7,250","2,088,330"
interstellar-holdings,"Mar 15, 2018",0.009959,0.013185,0.009326,0.010750,"5,687","1,842,700"
interstellar-holdings,"Mar 14, 2018",0.012080,0.012627,0.009702,0.009963,"5,102","2,208,580"
interstellar-holdings,"Mar 13, 2018",0.012552,0.013631,0.011597,0.012079,"3,222","2,250,520"
interstellar-holdings,"Mar 12, 2018",0.015271,0.016227,0.012624,0.012624,"7,524","2,689,060"
interstellar-holdings,"Mar 11, 2018",0.013163,0.017705,0.012713,0.015319,"11,250","2,272,680"
interstellar-holdings,"Mar 10, 2018",0.015552,0.015950,0.013088,0.013208,"4,608","2,614,330"
interstellar-holdings,"Mar 09, 2018",0.016978,0.017360,0.011766,0.015546,"9,321","2,770,560"
interstellar-holdings,"Mar 08, 2018",0.018204,0.021016,0.016809,0.017086,"7,437","2,935,080"
interstellar-holdings,"Mar 07, 2018",0.017172,0.024082,0.015993,0.018230,"20,635","2,739,190"
interstellar-holdings,"Mar 06, 2018",0.019329,0.020385,0.015766,0.017194,"6,919","3,058,560"
interstellar-holdings,"Mar 05, 2018",0.020581,0.020647,0.016223,0.019382,"7,500","3,227,730"
interstellar-holdings,"Mar 04, 2018",0.021902,0.022885,0.019262,0.020596,"10,540","3,406,510"
interstellar-holdings,"Mar 03, 2018",0.025543,0.025661,0.020950,0.022505,"12,872","3,939,730"
interstellar-holdings,"Mar 02, 2018",0.025842,0.027497,0.023793,0.024698,"11,511","3,951,540"
interstellar-holdings,"Mar 01, 2018",0.024372,0.031536,0.024183,0.025909,"11,673","3,697,640"
interstellar-holdings,"Feb 28, 2018",0.030555,0.030594,0.024024,0.024336,"8,367","4,591,230"
interstellar-holdings,"Feb 27, 2018",0.025588,0.030698,0.024119,0.030591,"7,768","3,815,500"
interstellar-holdings,"Feb 26, 2018",0.028717,0.030064,0.024401,0.025513,"16,889","4,247,100"
interstellar-holdings,"Feb 25, 2018",0.033341,0.041088,0.024351,0.027729,"24,507","4,889,730"
interstellar-holdings,"Feb 24, 2018",0.028307,0.036844,0.027522,0.033392,"18,644","4,118,320"
interstellar-holdings,"Feb 23, 2018",0.023336,0.028645,0.023336,0.028343,"9,684","3,365,450"
interstellar-holdings,"Feb 22, 2018",0.029069,0.030172,0.021978,0.023358,"18,489","4,157,880"
interstellar-holdings,"Feb 21, 2018",0.030399,0.031558,0.026937,0.029099,"6,147","4,313,780"
interstellar-holdings,"Feb 20, 2018",0.033519,0.034653,0.029333,0.030437,"10,877","4,718,380"
interstellar-holdings,"Feb 19, 2018",0.032458,0.036387,0.031378,0.033489,"6,151","4,531,850"
interstellar-holdings,"Feb 18, 2018",0.037163,0.043777,0.031288,0.032608,"19,858","5,139,580"
interstellar-holdings,"Feb 17, 2018",0.035814,0.040892,0.035269,0.036718,"7,888","4,914,690"
interstellar-holdings,"Feb 16, 2018",0.036527,0.039301,0.032629,0.035822,"6,411","4,971,630"
interstellar-holdings,"Feb 15, 2018",0.039226,0.040361,0.028989,0.036684,"43,116","5,294,330"
interstellar-holdings,"Feb 14, 2018",0.037975,0.039820,0.036834,0.038542,"26,744","5,076,650"
interstellar-holdings,"Feb 13, 2018",0.039610,0.040097,0.035941,0.038088,"14,270","5,252,650"
interstellar-holdings,"Feb 12, 2018",0.040609,0.044696,0.035689,0.039538,"27,633","5,341,030"
interstellar-holdings,"Feb 11, 2018",0.044374,0.044374,0.038520,0.040352,"20,097","5,781,100"
interstellar-holdings,"Feb 10, 2018",0.046051,0.052233,0.042946,0.043473,"19,763","5,935,880"
interstellar-holdings,"Feb 09, 2018",0.040376,0.046160,0.038131,0.046017,"34,747","5,141,900"
interstellar-holdings,"Feb 08, 2018",0.032123,0.040435,0.032123,0.040252,"24,703","4,039,130"
interstellar-holdings,"Feb 07, 2018",0.036077,0.040108,0.032252,0.032252,"17,069","4,498,220"
interstellar-holdings,"Feb 06, 2018",0.031704,0.036911,0.025050,0.036442,"35,782","3,920,990"
