Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
investfeed,"Jul 02, 2018",0.033177,0.037739,0.028714,0.033718,"3,373","6,349,530"
investfeed,"Jul 01, 2018",0.027808,0.036800,0.026757,0.033174,"5,548","5,321,910"
investfeed,"Jun 30, 2018",0.031641,0.032973,0.026546,0.027802,"13,518","6,055,490"
investfeed,"Jun 29, 2018",0.032361,0.032533,0.030020,0.031598,"1,132","6,193,370"
investfeed,"Jun 28, 2018",0.035467,0.035571,0.030526,0.032341,"4,894","6,787,730"
investfeed,"Jun 27, 2018",0.035756,0.036665,0.033452,0.035454,846,"6,843,130"
investfeed,"Jun 26, 2018",0.036466,0.036880,0.034717,0.035771,435,"6,978,840"
investfeed,"Jun 25, 2018",0.034544,0.037992,0.034115,0.036466,"1,825","6,611,050"
investfeed,"Jun 24, 2018",0.030874,0.037260,0.029924,0.034611,"24,527","5,908,720"
investfeed,"Jun 23, 2018",0.036237,0.036274,0.028335,0.030878,"7,518","6,935,000"
investfeed,"Jun 22, 2018",0.039379,0.039736,0.032660,0.036232,"7,671","7,536,340"
investfeed,"Jun 21, 2018",0.038245,0.042952,0.036549,0.039422,"12,293","7,319,430"
investfeed,"Jun 20, 2018",0.040266,0.040975,0.038234,0.038237,362,"7,706,130"
investfeed,"Jun 19, 2018",0.037062,0.040286,0.036077,0.040241,"10,959","7,093,010"
investfeed,"Jun 18, 2018",0.036030,0.038497,0.033606,0.037082,"10,307","6,895,500"
investfeed,"Jun 17, 2018",0.035200,0.038226,0.032890,0.036154,"6,137","6,736,530"
investfeed,"Jun 16, 2018",0.036734,0.038323,0.034354,0.034354,"2,221","7,030,230"
investfeed,"Jun 15, 2018",0.038713,0.041997,0.035996,0.036869,"5,619","7,408,880"
investfeed,"Jun 14, 2018",0.034300,0.042585,0.033482,0.038777,"7,738","6,564,480"
investfeed,"Jun 13, 2018",0.036807,0.037130,0.030183,0.034316,"15,992","7,044,130"
investfeed,"Jun 12, 2018",0.037832,0.041153,0.036243,0.036712,"14,234","7,240,380"
investfeed,"Jun 11, 2018",0.038544,0.041568,0.036339,0.037852,"12,680","7,376,530"
investfeed,"Jun 10, 2018",0.041996,0.043418,0.035655,0.038489,"40,047","8,037,230"
investfeed,"Jun 09, 2018",0.040993,0.046038,0.039680,0.041943,"9,708","7,845,190"
investfeed,"Jun 08, 2018",0.038770,0.045436,0.037656,0.041010,"28,712","7,419,830"
investfeed,"Jun 07, 2018",0.043149,0.045660,0.038654,0.038740,"16,511","8,257,910"
