Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
ion,"Jul 02, 2018",0.887249,0.909830,0.872885,0.906587,"131,063","18,990,000"
ion,"Jul 01, 2018",0.921877,0.927056,0.865651,0.887209,"102,537","19,720,000"
ion,"Jun 30, 2018",0.866243,0.923082,0.865280,0.920787,"61,937","18,515,900"
ion,"Jun 29, 2018",0.864760,0.892962,0.831683,0.877880,"28,207","18,470,100"
ion,"Jun 28, 2018",0.902340,0.912818,0.861257,0.864512,"153,897","19,258,100"
ion,"Jun 27, 2018",0.893805,0.931873,0.886684,0.902061,"125,166","19,114,900"
ion,"Jun 26, 2018",0.915820,0.955522,0.889809,0.893965,"150,390","19,570,800"
ion,"Jun 25, 2018",0.884614,0.958545,0.881407,0.921843,"209,530","18,889,400"
ion,"Jun 24, 2018",0.850044,0.947187,0.822512,0.886324,"253,089","18,137,400"
ion,"Jun 23, 2018",0.856699,0.877377,0.829937,0.850228,"91,746","18,265,400"
ion,"Jun 22, 2018",0.909028,0.977601,0.855896,0.858286,"361,514","19,366,200"
ion,"Jun 21, 2018",0.892012,0.946190,0.877288,0.909969,"60,013","19,323,700"
ion,"Jun 20, 2018",0.912963,0.913347,0.866709,0.891940,"105,795","19,769,600"
ion,"Jun 19, 2018",0.909324,0.933419,0.900248,0.914831,"179,755","19,676,000"
ion,"Jun 18, 2018",0.903760,0.916558,0.852997,0.910019,"196,391","19,544,400"
ion,"Jun 17, 2018",1.00,1.05,0.904212,0.907269,"214,179","21,646,300"
ion,"Jun 16, 2018",0.913138,1.06,0.913138,0.999498,"315,705","19,719,500"
ion,"Jun 15, 2018",0.882904,0.933978,0.870995,0.915531,"202,523","19,052,200"
ion,"Jun 14, 2018",0.820210,0.889025,0.812715,0.883912,"244,467","17,695,800"
ion,"Jun 13, 2018",0.938740,0.942633,0.806199,0.818524,"272,873","20,237,600"
ion,"Jun 12, 2018",0.998429,1.02,0.927185,0.936906,"155,944","21,508,100"
ion,"Jun 11, 2018",0.975770,1.01,0.969856,0.992297,"242,787","21,005,200"
ion,"Jun 10, 2018",1.20,1.20,0.967629,0.974769,"192,176","25,779,000"
ion,"Jun 09, 2018",1.23,1.25,1.20,1.20,"155,978","26,406,900"
ion,"Jun 08, 2018",1.29,1.30,1.22,1.23,"192,722","27,661,900"
ion,"Jun 07, 2018",1.35,1.37,1.26,1.29,"226,140","28,869,200"
ion,"Jun 06, 2018",1.31,1.36,1.28,1.34,"250,270","28,115,400"
ion,"Jun 05, 2018",1.32,1.32,1.26,1.31,"175,662","28,200,800"
ion,"Jun 04, 2018",1.44,1.45,1.31,1.32,"163,405","30,772,100"
ion,"Jun 03, 2018",1.50,1.53,1.40,1.43,"462,595","31,996,700"
ion,"Jun 02, 2018",1.39,1.50,1.36,1.49,"358,990","29,680,300"
ion,"Jun 01, 2018",1.36,1.53,1.35,1.39,"653,118","29,117,800"
ion,"May 31, 2018",1.38,1.42,1.35,1.36,"224,750","29,389,500"
ion,"May 30, 2018",1.60,1.63,1.37,1.38,"223,228","34,183,200"
ion,"May 29, 2018",1.41,1.70,1.38,1.60,"312,739","30,167,200"
ion,"May 28, 2018",1.62,1.62,1.40,1.41,"287,721","34,362,200"
ion,"May 27, 2018",1.55,1.69,1.52,1.62,"100,473","33,038,400"
ion,"May 26, 2018",1.55,1.71,1.53,1.55,"665,847","32,908,200"
ion,"May 25, 2018",1.68,1.74,1.52,1.55,"463,027","35,793,200"
ion,"May 24, 2018",1.60,1.69,1.46,1.68,"493,996","34,037,500"
ion,"May 23, 2018",1.93,1.94,1.53,1.60,"554,361","40,951,300"
ion,"May 22, 2018",1.88,2.01,1.84,1.93,"312,669","39,965,500"
ion,"May 21, 2018",2.01,2.02,1.79,1.89,"529,334","42,565,300"
ion,"May 20, 2018",1.85,2.03,1.84,2.01,"286,620","39,204,800"
ion,"May 19, 2018",1.98,2.07,1.81,1.85,"220,669","41,961,600"
ion,"May 18, 2018",1.99,2.00,1.93,1.99,"332,089","42,181,400"
ion,"May 17, 2018",2.12,2.21,1.99,1.99,"595,636","44,762,100"
ion,"May 16, 2018",2.08,2.30,1.93,2.12,"1,373,500","43,994,100"
ion,"May 15, 2018",2.30,2.31,2.06,2.08,"362,027","48,432,200"
ion,"May 14, 2018",2.19,2.32,2.10,2.27,"436,549","46,170,700"
ion,"May 13, 2018",2.08,2.23,2.01,2.19,"368,759","43,816,800"
ion,"May 12, 2018",2.05,2.17,2.02,2.08,"226,081","43,227,800"
ion,"May 11, 2018",2.45,2.47,2.03,2.09,"408,111","51,545,200"
ion,"May 10, 2018",2.69,2.74,2.48,2.48,"395,276","56,467,600"
ion,"May 09, 2018",2.71,2.86,2.49,2.69,"681,159","57,036,200"
