Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
iungo,"Jul 02, 2018",0.052729,0.060355,0.051590,0.059017,"218,283","2,109,160"
iungo,"Jul 01, 2018",0.050548,0.055063,0.050068,0.052669,"43,243","2,021,940"
iungo,"Jun 30, 2018",0.049783,0.053902,0.049783,0.050525,"1,325","1,991,300"
iungo,"Jun 29, 2018",0.051607,0.053597,0.046601,0.049734,"33,841","2,064,290"
iungo,"Jun 28, 2018",0.052255,0.055140,0.050065,0.051783,"56,210","2,090,190"
iungo,"Jun 27, 2018",0.048847,0.052602,0.048174,0.052483,"50,996","1,953,860"
iungo,"Jun 26, 2018",0.053211,0.055405,0.048505,0.049361,"58,136","2,128,420"
iungo,"Jun 25, 2018",0.047332,0.055523,0.046897,0.053225,"54,655","1,893,280"
iungo,"Jun 24, 2018",0.050953,0.052002,0.044128,0.047686,"55,406","2,038,110"
iungo,"Jun 23, 2018",0.056828,0.058155,0.046081,0.050981,"60,425","2,273,100"
iungo,"Jun 22, 2018",0.064108,0.064996,0.050317,0.056417,"61,597","2,564,340"
iungo,"Jun 21, 2018",0.067635,0.068977,0.060837,0.064201,"72,539","2,705,390"
iungo,"Jun 20, 2018",0.065388,0.071330,0.062413,0.067024,"77,132","2,615,530"
iungo,"Jun 19, 2018",0.054755,0.066330,0.054577,0.065495,"56,463","2,190,200"
iungo,"Jun 18, 2018",0.052617,0.057508,0.052102,0.055146,"26,487","2,104,670"
iungo,"Jun 17, 2018",0.053594,0.055578,0.052536,0.052860,"13,514","2,143,740"
iungo,"Jun 16, 2018",0.054671,0.057958,0.053450,0.053501,"15,227","2,186,850"
iungo,"Jun 15, 2018",0.056770,0.058589,0.053101,0.054862,"16,293","2,270,820"
iungo,"Jun 14, 2018",0.056428,0.061871,0.055055,0.056486,"56,947","2,257,130"
iungo,"Jun 13, 2018",0.060655,0.062163,0.055014,0.056383,"26,653","2,426,210"
iungo,"Jun 12, 2018",0.061848,0.062448,0.057820,0.060581,"26,145","2,473,930"
iungo,"Jun 11, 2018",0.061638,0.066173,0.058572,0.061851,"76,563","2,465,510"
iungo,"Jun 10, 2018",0.068899,0.069248,0.059559,0.061479,"150,280","2,755,960"
iungo,"Jun 09, 2018",0.074049,0.075162,0.068876,0.069730,"70,355","2,961,960"
iungo,"Jun 08, 2018",0.078139,0.078490,0.071721,0.074240,"48,614","3,125,570"
iungo,"Jun 07, 2018",0.078120,0.083925,0.077620,0.078004,"127,297","3,124,790"
iungo,"Jun 06, 2018",0.076409,0.079774,0.075481,0.077912,"106,634","3,056,370"
iungo,"Jun 05, 2018",0.074273,0.078689,0.072014,0.076433,"56,635","2,970,930"
iungo,"Jun 04, 2018",0.079043,0.081811,0.072809,0.074358,"74,620","3,161,710"
iungo,"Jun 03, 2018",0.080561,0.084597,0.078933,0.079074,"50,866","3,222,450"
iungo,"Jun 02, 2018",0.085022,0.086012,0.078703,0.082116,"51,959","3,400,880"
iungo,"Jun 01, 2018",0.085765,0.088132,0.081609,0.084053,"31,200","3,430,590"
iungo,"May 31, 2018",0.087992,0.092159,0.085183,0.085723,"65,449","3,519,680"
iungo,"May 30, 2018",0.087400,0.090465,0.084626,0.088082,"114,063","3,495,980"
iungo,"May 29, 2018",0.074752,0.092916,0.073891,0.087905,"110,542","2,990,070"
iungo,"May 28, 2018",0.078322,0.081676,0.073705,0.074779,"46,475","3,132,900"
iungo,"May 27, 2018",0.074389,0.083515,0.072358,0.078513,"23,345","2,975,570"
iungo,"May 26, 2018",0.076203,0.080627,0.073467,0.074997,"64,917","3,048,130"
iungo,"May 25, 2018",0.081791,0.082817,0.075237,0.076657,"124,839","3,271,630"
iungo,"May 24, 2018",0.069144,0.092846,0.061097,0.081640,"105,810","2,765,760"
iungo,"May 23, 2018",0.080089,0.087447,0.062341,0.070392,"71,451","3,203,540"
iungo,"May 22, 2018",0.086523,0.089979,0.080484,0.080868,"58,816","3,460,910"
iungo,"May 21, 2018",0.094700,0.099986,0.085851,0.086047,"108,697","3,787,980"
iungo,"May 20, 2018",0.092099,0.116394,0.085610,0.094663,"166,044","3,683,970"
iungo,"May 19, 2018",0.084549,0.094778,0.083075,0.091702,"98,542","3,381,950"
iungo,"May 18, 2018",0.083520,0.084523,0.080158,0.083196,"50,985","3,340,780"
iungo,"May 17, 2018",0.083439,0.085704,0.079985,0.083456,"37,348","3,337,540"
