Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
javascript-token,"Jul 02, 2018",0.007212,0.007645,0.007197,0.007598,430,"57,635"
javascript-token,"Jul 01, 2018",0.006323,0.006359,0.006222,0.006259,0,"50,537"
javascript-token,"Jun 30, 2018",0.006205,0.006466,0.004895,0.006322,0,"49,589"
javascript-token,"Jun 29, 2018",0.005886,0.006303,0.005872,0.006196,0,"47,042"
javascript-token,"Jun 27, 2018",0.004135,0.004159,0.004108,0.004135,1,"33,044"
javascript-token,"Jun 26, 2018",0.004235,0.004239,0.004132,0.004136,1,"33,848"
javascript-token,"Jun 25, 2018",0.004305,0.004368,0.004272,0.004272,1,"34,409"
javascript-token,"Jun 24, 2018",0.004378,0.004385,0.004044,0.004314,1,"34,992"
javascript-token,"Jun 23, 2018",0.004297,0.004429,0.004289,0.004379,0,"34,341"
javascript-token,"Jun 22, 2018",0.004736,0.004736,0.004221,0.004296,1,"37,847"
javascript-token,"Jun 18, 2018",0.004534,0.004747,0.004497,0.004735,1,"36,236"
javascript-token,"Jun 17, 2018",0.004643,0.004650,0.004534,0.004550,1,"37,108"
javascript-token,"Jun 16, 2018",0.004560,0.004613,0.004552,0.004607,1,"36,441"
javascript-token,"Jun 15, 2018",0.007486,0.007555,0.004551,0.004576,1,"59,825"
javascript-token,"Jun 13, 2018",0.004937,0.004967,0.004788,0.004809,0,"39,459"
javascript-token,"Jun 12, 2018",0.004752,0.005153,0.004711,0.004925,0,"37,981"
javascript-token,"Jun 11, 2018",0.004675,0.004780,0.004618,0.004755,0,"37,363"
javascript-token,"Jun 10, 2018",0.005179,0.005179,0.004600,0.004668,0,"41,388"
javascript-token,"Jun 09, 2018",0.009132,0.024574,0.005172,0.005172,561,"72,980"
javascript-token,"Jun 08, 2018",0.005455,0.005466,0.005368,0.005373,1,"43,593"
javascript-token,"Jun 07, 2018",0.005436,0.005501,0.005432,0.005450,1,"43,447"
javascript-token,"Jun 06, 2018",0.005337,0.005459,0.005261,0.005431,1,"42,651"
javascript-token,"Jun 05, 2018",0.005332,0.005341,0.005325,0.005338,1,"42,615"
javascript-token,"Jun 02, 2018",0.009546,0.009742,0.009493,0.009694,0,"76,293"
javascript-token,"Jun 01, 2018",0.009640,0.009641,0.005082,0.009550,2,"77,043"
javascript-token,"May 27, 2018",0.009829,0.009887,0.009693,0.009789,0,"78,553"
javascript-token,"May 26, 2018",0.004630,0.010156,0.004582,0.009825,0,"37,004"
javascript-token,"May 25, 2018",0.010512,0.010636,0.004577,0.004636,3,"84,014"
javascript-token,"May 24, 2018",0.010242,0.010565,0.010127,0.010493,10,"81,852"
javascript-token,"May 20, 2018",0.011461,0.011520,0.011387,0.011505,0,"91,597"
javascript-token,"May 19, 2018",0.010389,0.011578,0.010245,0.011453,0,"83,033"
javascript-token,"May 18, 2018",0.010043,0.010402,0.009878,0.010389,252,"80,266"
javascript-token,"May 17, 2018",0.008162,0.010476,0.002789,0.010053,488,"65,229"
javascript-token,"May 16, 2018",0.008266,0.009130,0.008014,0.008152,23,"66,061"
javascript-token,"May 15, 2018",0.008361,0.010308,0.008154,0.008263,40,"66,823"
javascript-token,"May 14, 2018",0.008025,0.010357,0.006216,0.008373,438,"64,132"
javascript-token,"May 13, 2018",0.012702,0.012787,0.007059,0.008028,8,"101,511"
javascript-token,"May 12, 2018",0.006771,0.012824,0.006579,0.012706,2,"54,110"
javascript-token,"May 11, 2018",0.008848,0.009228,0.006036,0.006787,35,"70,716"
javascript-token,"May 10, 2018",0.008674,0.018585,0.006484,0.008838,"1,304","69,320"
javascript-token,"May 09, 2018",0.009912,0.009922,0.005081,0.008676,106,"79,217"
javascript-token,"May 08, 2018",0.010493,0.010645,0.005410,0.009926,439,"83,859"
javascript-token,"May 07, 2018",0.011501,0.011532,0.010294,0.010456,353,"91,915"
javascript-token,"May 06, 2018",0.005386,0.011494,0.004994,0.011494,206,"43,047"
javascript-token,"May 05, 2018",0.006907,0.009333,0.005285,0.005387,16,"55,200"
javascript-token,"May 04, 2018",0.005631,0.009145,0.005104,0.006907,10,"45,001"
javascript-token,"May 03, 2018",0.015119,0.015150,0.004245,0.005641,95,"120,835"
javascript-token,"May 02, 2018",0.008251,0.015177,0.008173,0.015119,1,"65,945"
javascript-token,"May 01, 2018",0.014745,0.015125,0.005940,0.008273,69,"117,844"
javascript-token,"Apr 30, 2018",0.003446,0.014928,0.003436,0.014730,290,"27,539"
javascript-token,"Apr 29, 2018",0.004840,0.004840,0.003388,0.003445,106,"38,681"
javascript-token,"Apr 28, 2018",0.004430,0.004700,0.004430,0.004633,8,"35,405"
javascript-token,"Apr 27, 2018",0.004391,0.004704,0.004335,0.004468,16,"35,089"
javascript-token,"Apr 26, 2018",0.004002,0.004397,0.003906,0.004383,18,"31,987"
javascript-token,"Apr 25, 2018",0.004579,0.004579,0.003875,0.003964,42,"36,591"
javascript-token,"Apr 24, 2018",0.004005,0.004581,0.003702,0.004581,83,"32,004"
javascript-token,"Apr 23, 2018",0.007903,0.007974,0.003956,0.004003,23,"63,161"
javascript-token,"Apr 22, 2018",0.009928,0.011591,0.007878,0.007919,112,"79,347"
javascript-token,"Apr 21, 2018",0.003979,0.010054,0.003948,0.009928,2,"31,799"
javascript-token,"Apr 20, 2018",0.005472,0.005539,0.003819,0.003977,1,"43,732"
javascript-token,"Apr 19, 2018",0.005736,0.005865,0.004288,0.005473,21,"45,841"
javascript-token,"Apr 18, 2018",0.004828,0.005743,0.004345,0.005733,83,"38,585"
javascript-token,"Apr 17, 2018",0.003864,0.006111,0.003835,0.004825,138,"30,879"
javascript-token,"Apr 16, 2018",0.005279,0.005309,0.003840,0.003862,2,"42,189"
javascript-token,"Apr 15, 2018",0.004258,0.005286,0.004258,0.005272,29,"34,029"
javascript-token,"Apr 14, 2018",0.004980,0.005157,0.004062,0.004260,16,"39,800"
javascript-token,"Apr 13, 2018",0.007760,0.007817,0.004959,0.004980,10,"62,017"
javascript-token,"Apr 12, 2018",0.004585,0.007787,0.004463,0.007750,3,"36,640"
javascript-token,"Apr 11, 2018",0.008388,0.008407,0.004538,0.004596,3,"67,037"
javascript-token,"Apr 10, 2018",0.004529,0.004576,0.004458,0.004576,1,"36,200"
javascript-token,"Apr 09, 2018",0.002801,0.004526,0.002771,0.004526,1,"22,387"
javascript-token,"Apr 08, 2018",0.008354,0.008580,0.002794,0.002795,5,"66,767"
javascript-token,"Apr 07, 2018",0.008277,0.008626,0.003946,0.008347,19,"66,147"
javascript-token,"Apr 06, 2018",0.008470,0.008559,0.008156,0.008267,0,"67,696"
javascript-token,"Apr 05, 2018",0.008761,0.008816,0.007338,0.008514,208,"70,021"
javascript-token,"Apr 04, 2018",0.009418,0.009533,0.008678,0.008758,17,"75,270"
javascript-token,"Apr 03, 2018",0.008248,0.008710,0.008221,0.008651,4,"65,914"
javascript-token,"Apr 02, 2018",0.008941,0.009299,0.003638,0.008242,4,"71,456"
javascript-token,"Apr 01, 2018",0.009147,0.009278,0.005100,0.008897,7,"73,105"
javascript-token,"Mar 31, 2018",0.004786,0.009404,0.004567,0.009148,124,"38,250"
javascript-token,"Mar 30, 2018",0.005097,0.005380,0.002438,0.004785,0,"40,731"
javascript-token,"Mar 29, 2018",0.002347,0.005804,0.002133,0.005111,17,"18,754"
javascript-token,"Mar 28, 2018",0.002918,0.007450,0.002333,0.002343,13,"23,324"
javascript-token,"Mar 27, 2018",0.003758,0.003770,0.002911,0.002917,78,"30,032"
javascript-token,"Mar 26, 2018",0.002931,0.003784,0.002628,0.003763,0,"23,424"
javascript-token,"Mar 25, 2018",0.002605,0.003003,0.002577,0.002937,6,"20,821"
javascript-token,"Mar 24, 2018",0.003823,0.003834,0.002626,0.002637,354,"30,556"
javascript-token,"Mar 23, 2018",0.003797,0.003804,0.003581,0.003788,7,"30,347"
javascript-token,"Mar 22, 2018",0.002580,0.004685,0.002576,0.003798,23,"20,617"
javascript-token,"Mar 21, 2018",0.003909,0.004500,0.002560,0.002584,13,"31,244"
javascript-token,"Mar 20, 2018",0.005573,0.005573,0.003743,0.003886,47,"44,542"
javascript-token,"Mar 19, 2018",0.003494,0.005523,0.003381,0.005513,49,"27,926"
javascript-token,"Mar 18, 2018",0.004139,0.004139,0.002973,0.003508,7,"33,081"
javascript-token,"Mar 17, 2018",0.009132,0.009151,0.004100,0.004143,8,"72,979"
javascript-token,"Mar 16, 2018",0.005248,0.009381,0.005038,0.009117,0,"41,944"
javascript-token,"Mar 15, 2018",0.009028,0.009084,0.005091,0.005254,31,"72,150"
javascript-token,"Mar 14, 2018",0.009473,0.009630,0.005616,0.009032,1,"75,705"
javascript-token,"Mar 13, 2018",0.006320,0.012839,0.005972,0.009471,90,"50,513"
javascript-token,"Mar 12, 2018",0.005192,0.008715,0.005142,0.006356,40,"41,491"
javascript-token,"Mar 11, 2018",0.006180,0.006189,0.004925,0.005198,138,"49,392"
