Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
jin-coin,"Jul 02, 2018",0.015866,0.016620,0.015702,0.016497,0,"158,037"
jin-coin,"Jul 01, 2018",0.010284,0.015981,0.010152,0.015865,768,"102,429"
jin-coin,"Jun 30, 2018",0.011789,0.012972,0.009140,0.010281,531,"117,426"
jin-coin,"Jun 29, 2018",0.008216,0.012805,0.008146,0.011773,263,"81,833"
jin-coin,"Jun 28, 2018",0.009017,0.013161,0.008116,0.008211,502,"89,811"
jin-coin,"Jun 27, 2018",0.012951,0.013332,0.008327,0.009014,667,"128,999"
jin-coin,"Jun 26, 2018",0.014995,0.015028,0.012944,0.012956,754,"149,361"
jin-coin,"Jun 25, 2018",0.013448,0.015109,0.012299,0.014995,892,"133,951"
jin-coin,"Jun 24, 2018",0.008325,0.008447,0.007799,0.008284,108,"82,921"
jin-coin,"Jun 23, 2018",0.007868,0.008362,0.007738,0.008326,718,"78,364"
jin-coin,"Jun 22, 2018",0.008662,0.011401,0.007609,0.007867,783,"86,275"
jin-coin,"Jun 21, 2018",0.011747,0.012321,0.008654,0.008671,262,"117,010"
jin-coin,"Jun 20, 2018",0.010859,0.012170,0.010831,0.011745,"1,047","108,161"
jin-coin,"Jun 18, 2018",0.014250,0.014920,0.014132,0.014859,297,"141,934"
jin-coin,"Jun 17, 2018",0.014884,0.014995,0.011745,0.014299,664,"148,248"
jin-coin,"Jun 16, 2018",0.014707,0.014986,0.012418,0.014844,17,"146,483"
jin-coin,"Jun 15, 2018",0.012490,0.015102,0.012190,0.014760,109,"124,408"
jin-coin,"Jun 14, 2018",0.014598,0.015111,0.011830,0.012511,165,"145,400"
jin-coin,"Jun 13, 2018",0.013166,0.014604,0.012407,0.014604,22,"131,139"
jin-coin,"Jun 12, 2018",0.015944,0.015962,0.013039,0.013132,793,"158,806"
jin-coin,"Jun 11, 2018",0.014974,0.015068,0.014762,0.014901,64,"149,142"
jin-coin,"Jun 10, 2018",0.014985,0.015101,0.014733,0.014952,416,"149,254"
jin-coin,"Jun 09, 2018",0.017237,0.017326,0.017232,0.017326,91,"171,690"
jin-coin,"Jun 08, 2018",0.017362,0.017398,0.017086,0.017245,91,"172,937"
jin-coin,"Jun 07, 2018",0.016998,0.018162,0.016998,0.017349,167,"169,307"
jin-coin,"Jun 06, 2018",0.018526,0.018571,0.016653,0.016982,160,"184,527"
jin-coin,"Jun 05, 2018",0.018140,0.018543,0.017863,0.018531,173,"180,685"
jin-coin,"Jun 04, 2018",0.018579,0.018628,0.018005,0.018045,33,"185,049"
jin-coin,"Jun 03, 2018",0.017277,0.018648,0.017178,0.018570,151,"172,089"
jin-coin,"Jun 02, 2018",0.016988,0.017336,0.016892,0.017263,12,"169,203"
jin-coin,"Jun 01, 2018",0.016856,0.018675,0.016645,0.016995,325,"167,894"
jin-coin,"May 31, 2018",0.016463,0.018895,0.016163,0.016844,522,"163,982"
jin-coin,"May 30, 2018",0.016870,0.018350,0.016144,0.016466,"1,387","168,032"
jin-coin,"May 29, 2018",0.015020,0.018083,0.014974,0.016859,"2,378","149,606"
jin-coin,"May 28, 2018",0.016968,0.017194,0.015334,0.015381,"1,236","169,007"
jin-coin,"May 27, 2018",0.016724,0.016823,0.015985,0.016450,712,"166,578"
jin-coin,"May 26, 2018",0.017102,0.017381,0.015989,0.016717,728,"170,339"
jin-coin,"May 25, 2018",0.017092,0.017523,0.015376,0.017124,742,"170,242"
jin-coin,"May 24, 2018",0.017295,0.017477,0.015862,0.016229,914,"172,264"
jin-coin,"May 23, 2018",0.018248,0.018319,0.016288,0.017339,345,"181,756"
jin-coin,"May 22, 2018",0.018833,0.018848,0.017360,0.018267,489,"187,586"
jin-coin,"May 21, 2018",0.018590,0.019240,0.018267,0.018837,669,"185,162"
jin-coin,"May 20, 2018",0.018882,0.018882,0.018016,0.018567,75,"188,073"
jin-coin,"May 19, 2018",0.018867,0.019161,0.017902,0.018868,348,"187,925"
jin-coin,"May 18, 2018",0.017449,0.018938,0.017190,0.018870,10,"173,795"
jin-coin,"May 17, 2018",0.019034,0.019094,0.017333,0.017433,366,"189,588"
jin-coin,"May 16, 2018",0.017821,0.024338,0.017801,0.019023,41,"177,504"
jin-coin,"May 15, 2018",0.025937,0.026170,0.017729,0.017831,102,"258,339"
jin-coin,"May 14, 2018",0.022247,0.025981,0.018156,0.025981,500,"221,591"
jin-coin,"May 13, 2018",0.019306,0.025218,0.019081,0.022251,114,"192,300"
jin-coin,"May 12, 2018",0.018637,0.019492,0.015401,0.019313,231,"185,630"
jin-coin,"May 11, 2018",0.018980,0.026003,0.018569,0.018692,180,"189,045"
jin-coin,"May 10, 2018",0.018535,0.019961,0.018064,0.018957,596,"184,612"
jin-coin,"May 09, 2018",0.017754,0.018603,0.017357,0.018540,946,"176,837"
jin-coin,"May 08, 2018",0.018546,0.027759,0.015877,0.017781,202,"184,730"
jin-coin,"May 07, 2018",0.018074,0.018524,0.016323,0.018507,667,"180,022"
jin-coin,"May 06, 2018",0.017692,0.018077,0.017000,0.018061,314,"176,216"
jin-coin,"May 05, 2018",0.019482,0.022905,0.017000,0.017680,695,"194,050"
jin-coin,"May 04, 2018",0.021445,0.021445,0.019277,0.019491,256,"213,599"
jin-coin,"May 03, 2018",0.019914,0.021535,0.018555,0.021453,21,"198,346"
jin-coin,"May 02, 2018",0.019983,0.020149,0.019045,0.019913,351,"199,041"
jin-coin,"May 01, 2018",0.020330,0.020330,0.019505,0.020013,79,"202,493"
jin-coin,"Apr 30, 2018",0.018803,0.020416,0.018299,0.020312,344,"187,286"
jin-coin,"Apr 29, 2018",0.020560,0.020956,0.018501,0.018809,32,"204,786"
jin-coin,"Apr 28, 2018",0.017831,0.020618,0.015090,0.020568,44,"177,606"
jin-coin,"Apr 27, 2018",0.018408,0.018426,0.015054,0.017893,155,"183,354"
jin-coin,"Apr 26, 2018",0.018080,0.019246,0.016761,0.018383,344,"180,089"
jin-coin,"Apr 25, 2018",0.020269,0.020640,0.016185,0.018196,808,"201,886"
jin-coin,"Apr 24, 2018",0.018742,0.020408,0.015792,0.020408,54,"186,682"
jin-coin,"Apr 23, 2018",0.018089,0.018781,0.015460,0.018726,789,"180,176"
jin-coin,"Apr 22, 2018",0.018482,0.018482,0.016718,0.017422,397,"184,084"
jin-coin,"Apr 21, 2018",0.018303,0.018572,0.016038,0.018482,475,"182,303"
jin-coin,"Apr 20, 2018",0.017199,0.018467,0.014906,0.018297,361,"171,310"
jin-coin,"Apr 19, 2018",0.016982,0.017346,0.016512,0.017188,973,"169,146"
jin-coin,"Apr 18, 2018",0.012081,0.017003,0.012058,0.016969,"1,143","120,332"
jin-coin,"Apr 17, 2018",0.015777,0.015794,0.010044,0.012070,809,"157,145"
jin-coin,"Apr 16, 2018",0.013436,0.015910,0.012799,0.015769,"1,267","133,827"
jin-coin,"Apr 15, 2018",0.016002,0.016741,0.013327,0.013442,780,"159,391"
jin-coin,"Apr 14, 2018",0.012587,0.016153,0.012544,0.015985,714,"125,373"
jin-coin,"Apr 13, 2018",0.012432,0.015552,0.012060,0.012587,864,"123,825"
jin-coin,"Apr 12, 2018",0.011670,0.015899,0.011605,0.012416,562,"116,237"
jin-coin,"Apr 11, 2018",0.010998,0.011698,0.010947,0.011698,550,"109,543"
jin-coin,"Apr 10, 2018",0.009667,0.011054,0.009601,0.010987,326,"96,291"
jin-coin,"Apr 09, 2018",0.010802,0.010863,0.009464,0.009660,"1,359",-
jin-coin,"Apr 03, 2018",0.014310,0.015015,0.014264,0.014865,32,"142,533"
jin-coin,"Apr 02, 2018",0.013855,0.014410,0.013765,0.014300,31,"138,004"
jin-coin,"Apr 01, 2018",0.013648,0.014139,0.008319,0.013787,203,"135,942"
jin-coin,"Mar 30, 2018",0.014026,0.014256,0.013075,0.013456,20,"139,705"
