Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
kin,"Jul 02, 2018",0.000136,0.000139,0.000132,0.000139,"298,181","102,591,000"
kin,"Jul 01, 2018",0.000140,0.000140,0.000132,0.000136,"337,729","105,659,000"
kin,"Jun 30, 2018",0.000135,0.000141,0.000135,0.000140,"387,477","101,699,000"
kin,"Jun 29, 2018",0.000133,0.000136,0.000128,0.000135,"488,467","100,879,000"
kin,"Jun 28, 2018",0.000144,0.000157,0.000133,0.000133,"676,556","108,807,000"
kin,"Jun 27, 2018",0.000133,0.000145,0.000128,0.000144,"464,045","100,270,000"
kin,"Jun 26, 2018",0.000134,0.000158,0.000126,0.000133,"490,388","101,107,000"
kin,"Jun 25, 2018",0.000119,0.000137,0.000119,0.000133,"437,097","90,066,300"
kin,"Jun 24, 2018",0.000134,0.000135,0.000111,0.000123,"703,111","101,380,000"
kin,"Jun 23, 2018",0.000137,0.000138,0.000130,0.000135,"276,752","103,385,000"
kin,"Jun 22, 2018",0.000145,0.000147,0.000135,0.000136,"265,707","109,502,000"
kin,"Jun 21, 2018",0.000149,0.000151,0.000142,0.000145,"333,149","112,860,000"
kin,"Jun 20, 2018",0.000148,0.000152,0.000144,0.000149,"374,240","111,562,000"
kin,"Jun 19, 2018",0.000145,0.000154,0.000143,0.000147,"368,180","109,783,000"
kin,"Jun 18, 2018",0.000144,0.000151,0.000125,0.000145,"254,847","108,634,000"
kin,"Jun 17, 2018",0.000153,0.000157,0.000143,0.000145,"278,358","115,517,000"
kin,"Jun 16, 2018",0.000141,0.000155,0.000141,0.000153,"294,266","106,572,000"
kin,"Jun 15, 2018",0.000158,0.000162,0.000141,0.000141,"327,788","119,245,000"
kin,"Jun 14, 2018",0.000134,0.000163,0.000134,0.000158,"450,534","100,972,000"
kin,"Jun 13, 2018",0.000154,0.000158,0.000130,0.000133,"420,749","116,439,000"
kin,"Jun 12, 2018",0.000167,0.000170,0.000153,0.000154,"417,839","126,380,000"
kin,"Jun 11, 2018",0.000164,0.000170,0.000157,0.000166,"434,739","123,727,000"
kin,"Jun 10, 2018",0.000185,0.000186,0.000155,0.000163,"527,731","139,604,000"
kin,"Jun 09, 2018",0.000184,0.000188,0.000181,0.000185,"420,955","139,149,000"
kin,"Jun 08, 2018",0.000182,0.000184,0.000162,0.000184,"1,293,510","137,799,000"
kin,"Jun 07, 2018",0.000194,0.000198,0.000176,0.000182,"1,501,660","146,975,000"
kin,"Jun 06, 2018",0.000192,0.000197,0.000185,0.000194,"470,320","145,430,000"
kin,"Jun 05, 2018",0.000193,0.000196,0.000187,0.000192,"568,378","145,575,000"
kin,"Jun 04, 2018",0.000198,0.000204,0.000186,0.000192,"734,374","149,452,000"
kin,"Jun 03, 2018",0.000194,0.000203,0.000193,0.000200,"401,822","146,579,000"
kin,"Jun 02, 2018",0.000186,0.000201,0.000185,0.000194,"534,147","140,841,000"
kin,"Jun 01, 2018",0.000189,0.000192,0.000181,0.000187,"500,396","142,988,000"
kin,"May 31, 2018",0.000191,0.000198,0.000184,0.000189,"663,375","144,407,000"
kin,"May 30, 2018",0.000192,0.000204,0.000185,0.000191,"984,716","145,197,000"
kin,"May 29, 2018",0.000171,0.000198,0.000166,0.000192,"789,140","129,032,000"
kin,"May 28, 2018",0.000185,0.000187,0.000165,0.000171,"905,770","139,510,000"
kin,"May 27, 2018",0.000193,0.000197,0.000182,0.000184,"652,424","146,041,000"
kin,"May 26, 2018",0.000202,0.000208,0.000193,0.000194,"385,022","152,356,000"
kin,"May 25, 2018",0.000203,0.000221,0.000196,0.000201,"814,540","153,338,000"
kin,"May 24, 2018",0.000185,0.000202,0.000181,0.000202,"852,259","139,794,000"
kin,"May 23, 2018",0.000212,0.000216,0.000182,0.000186,"854,211","160,081,000"
kin,"May 22, 2018",0.000244,0.000244,0.000210,0.000212,"526,470","184,766,000"
kin,"May 21, 2018",0.000237,0.000245,0.000230,0.000244,"665,493","179,195,000"
kin,"May 20, 2018",0.000227,0.000241,0.000224,0.000236,"701,274","171,931,000"
kin,"May 19, 2018",0.000225,0.000236,0.000220,0.000227,"540,466","169,975,000"
kin,"May 18, 2018",0.000230,0.000235,0.000215,0.000227,"1,285,450","174,148,000"
kin,"May 17, 2018",0.000247,0.000263,0.000228,0.000230,"1,429,930","187,107,000"
kin,"May 16, 2018",0.000261,0.000271,0.000226,0.000242,"2,134,560","197,113,000"
kin,"May 15, 2018",0.000303,0.000311,0.000250,0.000261,"4,270,840","229,135,000"
kin,"May 14, 2018",0.000276,0.000387,0.000274,0.000305,"9,210,890","208,418,000"
kin,"May 13, 2018",0.000190,0.000297,0.000188,0.000276,"4,489,580","143,559,000"
kin,"May 12, 2018",0.000193,0.000197,0.000180,0.000190,"1,237,390","146,032,000"
kin,"May 11, 2018",0.000173,0.000220,0.000172,0.000193,"3,047,220","130,561,000"
kin,"May 10, 2018",0.000172,0.000194,0.000163,0.000175,"2,015,140","129,949,000"
kin,"May 09, 2018",0.000175,0.000175,0.000164,0.000171,"1,114,700","132,548,000"
kin,"May 08, 2018",0.000179,0.000193,0.000170,0.000176,"1,359,700","135,205,000"
kin,"May 07, 2018",0.000207,0.000207,0.000165,0.000178,"2,015,360","156,248,000"
kin,"May 06, 2018",0.000245,0.000247,0.000196,0.000206,"778,952","185,526,000"
kin,"May 05, 2018",0.000244,0.000262,0.000235,0.000244,"594,765","184,506,000"
kin,"May 04, 2018",0.000257,0.000258,0.000230,0.000244,"459,715","194,414,000"
kin,"May 03, 2018",0.000240,0.000259,0.000239,0.000257,"567,574","181,790,000"
kin,"May 02, 2018",0.000236,0.000253,0.000229,0.000240,"372,674","178,655,000"
kin,"May 01, 2018",0.000234,0.000242,0.000221,0.000237,"310,943","176,862,000"
kin,"Apr 30, 2018",0.000245,0.000252,0.000225,0.000234,"621,502","185,347,000"
kin,"Apr 29, 2018",0.000262,0.000268,0.000238,0.000245,"668,002","197,755,000"
kin,"Apr 28, 2018",0.000248,0.000264,0.000246,0.000261,"429,432","187,669,000"
kin,"Apr 27, 2018",0.000266,0.000275,0.000236,0.000250,"1,137,750","201,090,000"
kin,"Apr 26, 2018",0.000247,0.000267,0.000237,0.000266,"623,788","186,751,000"
kin,"Apr 25, 2018",0.000289,0.000290,0.000240,0.000249,"556,109","218,838,000"
kin,"Apr 24, 2018",0.000265,0.000296,0.000265,0.000289,"1,286,110","200,639,000"
kin,"Apr 23, 2018",0.000216,0.000278,0.000215,0.000264,"662,280","163,278,000"
kin,"Apr 22, 2018",0.000218,0.000228,0.000213,0.000217,"410,094","164,574,000"
kin,"Apr 21, 2018",0.000238,0.000243,0.000206,0.000218,"791,693","179,966,000"
kin,"Apr 20, 2018",0.000218,0.000251,0.000210,0.000237,"1,201,270","165,142,000"
kin,"Apr 19, 2018",0.000179,0.000233,0.000177,0.000217,"1,285,250","135,584,000"
kin,"Apr 18, 2018",0.000169,0.000179,0.000168,0.000179,"439,684","127,952,000"
kin,"Apr 17, 2018",0.000162,0.000179,0.000156,0.000170,"413,748","122,498,000"
kin,"Apr 16, 2018",0.000172,0.000177,0.000152,0.000162,"532,344","129,817,000"
kin,"Apr 15, 2018",0.000144,0.000172,0.000143,0.000172,"491,701","108,625,000"
kin,"Apr 14, 2018",0.000128,0.000159,0.000128,0.000144,"582,114","97,030,100"
kin,"Apr 13, 2018",0.000120,0.000133,0.000115,0.000128,"649,480","90,773,200"
kin,"Apr 12, 2018",0.000118,0.000121,0.000102,0.000121,"760,188","88,887,400"
kin,"Apr 11, 2018",0.000111,0.000118,0.000103,0.000118,"607,688","83,672,000"
kin,"Apr 10, 2018",0.000113,0.000116,0.000103,0.000110,"687,349","85,264,100"
kin,"Apr 09, 2018",0.000123,0.000129,0.000108,0.000111,"741,938","92,703,600"
kin,"Apr 08, 2018",0.000130,0.000135,0.000119,0.000123,"553,739","97,953,700"
kin,"Apr 07, 2018",0.000141,0.000146,0.000124,0.000130,"807,868","106,518,000"
kin,"Apr 06, 2018",0.000141,0.000144,0.000126,0.000141,"315,324","106,659,000"
kin,"Apr 05, 2018",0.000153,0.000155,0.000135,0.000141,"330,023","115,904,000"
kin,"Apr 04, 2018",0.000173,0.000174,0.000148,0.000154,"426,893","130,611,000"
kin,"Apr 03, 2018",0.000170,0.000177,0.000164,0.000172,"317,395","128,534,000"
kin,"Apr 02, 2018",0.000172,0.000175,0.000166,0.000170,"243,876","129,801,000"
kin,"Apr 01, 2018",0.000184,0.000193,0.000167,0.000172,"235,036","138,848,000"
kin,"Mar 31, 2018",0.000185,0.000207,0.000181,0.000184,"335,350","139,821,000"
kin,"Mar 30, 2018",0.000186,0.000193,0.000170,0.000186,"517,534","140,561,000"
kin,"Mar 29, 2018",0.000181,0.000193,0.000167,0.000186,"509,987","137,148,000"
kin,"Mar 28, 2018",0.000169,0.000190,0.000167,0.000181,"388,697","127,548,000"
kin,"Mar 27, 2018",0.000181,0.000182,0.000165,0.000168,"221,628","136,588,000"
kin,"Mar 26, 2018",0.000191,0.000195,0.000165,0.000181,"253,788","144,671,000"
kin,"Mar 25, 2018",0.000183,0.000205,0.000180,0.000192,"378,089","138,327,000"
kin,"Mar 24, 2018",0.000174,0.000206,0.000172,0.000185,"409,603","131,262,000"
kin,"Mar 23, 2018",0.000187,0.000187,0.000162,0.000172,"457,722","141,366,000"
kin,"Mar 22, 2018",0.000183,0.000232,0.000166,0.000186,"386,135","138,475,000"
kin,"Mar 21, 2018",0.000179,0.000203,0.000174,0.000183,"456,383","135,317,000"
kin,"Mar 20, 2018",0.000178,0.000190,0.000169,0.000178,"417,320","134,785,000"
kin,"Mar 19, 2018",0.000180,0.000187,0.000166,0.000177,"428,568","136,011,000"
kin,"Mar 18, 2018",0.000180,0.000181,0.000145,0.000179,"351,419","136,088,000"
kin,"Mar 17, 2018",0.000192,0.000198,0.000173,0.000180,"138,774","145,202,000"
kin,"Mar 16, 2018",0.000195,0.000206,0.000176,0.000192,"159,232","147,749,000"
kin,"Mar 15, 2018",0.000197,0.000221,0.000175,0.000196,"657,771","148,989,000"
kin,"Mar 14, 2018",0.000214,0.000253,0.000186,0.000194,"305,270","161,428,000"
kin,"Mar 13, 2018",0.000221,0.000242,0.000211,0.000211,"283,490","166,957,000"
kin,"Mar 12, 2018",0.000236,0.000243,0.000216,0.000222,"159,176","178,455,000"
kin,"Mar 11, 2018",0.000213,0.000237,0.000203,0.000226,"269,536","160,974,000"
kin,"Mar 10, 2018",0.000220,0.000236,0.000214,0.000217,"182,924","166,618,000"
kin,"Mar 09, 2018",0.000237,0.000237,0.000213,0.000220,"317,348","178,947,000"
kin,"Mar 08, 2018",0.000256,0.000261,0.000230,0.000236,"289,491","193,314,000"
kin,"Mar 07, 2018",0.000267,0.000289,0.000238,0.000256,"373,233","201,570,000"
kin,"Mar 06, 2018",0.000276,0.000289,0.000266,0.000268,"211,449","208,673,000"
kin,"Mar 05, 2018",0.000269,0.000307,0.000262,0.000277,"389,389","203,087,000"
kin,"Mar 04, 2018",0.000272,0.000302,0.000262,0.000269,"302,136","205,369,000"
kin,"Mar 03, 2018",0.000289,0.000295,0.000261,0.000272,"469,144","218,219,000"
kin,"Mar 02, 2018",0.000295,0.000302,0.000280,0.000287,"432,630","223,332,000"
kin,"Mar 01, 2018",0.000289,0.000311,0.000266,0.000294,"544,285","218,643,000"
kin,"Feb 28, 2018",0.000300,0.000313,0.000267,0.000288,"424,584","226,621,000"
kin,"Feb 27, 2018",0.000257,0.000305,0.000246,0.000298,"758,341","194,043,000"
kin,"Feb 26, 2018",0.000282,0.000288,0.000235,0.000259,"564,973","213,203,000"
kin,"Feb 25, 2018",0.000271,0.000291,0.000264,0.000279,"169,718","204,785,000"
kin,"Feb 24, 2018",0.000275,0.000293,0.000261,0.000272,"386,139","208,096,000"
kin,"Feb 23, 2018",0.000290,0.000309,0.000251,0.000274,"601,834","219,249,000"
kin,"Feb 22, 2018",0.000311,0.000317,0.000277,0.000290,"339,997","235,090,000"
kin,"Feb 21, 2018",0.000317,0.000366,0.000273,0.000310,"678,707","239,508,000"
kin,"Feb 20, 2018",0.000360,0.000398,0.000309,0.000317,"731,637","272,351,000"
kin,"Feb 19, 2018",0.000294,0.000366,0.000277,0.000360,"650,326","222,649,000"
kin,"Feb 18, 2018",0.000381,0.000385,0.000274,0.000295,"562,187","288,122,000"
kin,"Feb 17, 2018",0.000340,0.000379,0.000274,0.000379,"300,899","257,328,000"
kin,"Feb 16, 2018",0.000319,0.000340,0.000293,0.000339,"379,335","240,977,000"
kin,"Feb 15, 2018",0.000315,0.000329,0.000303,0.000304,"244,425","238,136,000"
kin,"Feb 14, 2018",0.000269,0.000315,0.000267,0.000310,"640,655","203,742,000"
kin,"Feb 13, 2018",0.000295,0.000301,0.000236,0.000270,"242,780","223,014,000"
kin,"Feb 12, 2018",0.000261,0.000298,0.000252,0.000295,"238,214","197,376,000"
kin,"Feb 11, 2018",0.000298,0.000299,0.000232,0.000261,"459,251","225,044,000"
kin,"Feb 10, 2018",0.000306,0.000322,0.000266,0.000295,"263,406","231,128,000"
kin,"Feb 09, 2018",0.000278,0.000307,0.000264,0.000288,"181,140","210,142,000"
kin,"Feb 08, 2018",0.000261,0.000304,0.000253,0.000278,"507,425","197,510,000"
kin,"Feb 07, 2018",0.000285,0.000323,0.000252,0.000261,"476,514","215,126,000"
kin,"Feb 06, 2018",0.000224,0.000286,0.000189,0.000284,"529,429","169,736,000"
kin,"Feb 05, 2018",0.000287,0.000305,0.000219,0.000224,"371,970","216,810,000"
kin,"Feb 04, 2018",0.000321,0.000353,0.000270,0.000289,"376,059","242,409,000"
kin,"Feb 03, 2018",0.000322,0.000350,0.000282,0.000320,"415,971","243,776,000"
kin,"Feb 02, 2018",0.000300,0.000324,0.000227,0.000321,"703,576","226,823,000"
kin,"Feb 01, 2018",0.000336,0.000375,0.000278,0.000301,"408,922","254,271,000"
kin,"Jan 31, 2018",0.000343,0.000351,0.000305,0.000335,"594,485","259,419,000"
kin,"Jan 30, 2018",0.000384,0.000387,0.000313,0.000324,"644,100","290,203,000"
kin,"Jan 29, 2018",0.000415,0.000422,0.000365,0.000393,"604,270","314,135,000"
kin,"Jan 28, 2018",0.000365,0.000431,0.000365,0.000424,"502,410","276,207,000"
kin,"Jan 27, 2018",0.000400,0.000400,0.000324,0.000374,"1,171,870","302,442,000"
kin,"Jan 26, 2018",0.000420,0.000436,0.000362,0.000400,"954,713","317,264,000"
kin,"Jan 25, 2018",0.000416,0.000447,0.000395,0.000421,"882,501","314,880,000"
kin,"Jan 24, 2018",0.000374,0.000413,0.000342,0.000413,"1,720,210","282,524,000"
kin,"Jan 23, 2018",0.000471,0.000496,0.000373,0.000373,"1,729,800","355,947,000"
kin,"Jan 22, 2018",0.000498,0.000510,0.000406,0.000472,"1,466,880","376,792,000"
kin,"Jan 21, 2018",0.000590,0.000590,0.000449,0.000495,"791,488","445,786,000"
kin,"Jan 20, 2018",0.000531,0.000614,0.000511,0.000593,"1,097,490","401,753,000"
kin,"Jan 19, 2018",0.000484,0.000567,0.000480,0.000527,"1,247,160","366,133,000"
kin,"Jan 18, 2018",0.000386,0.000556,0.000375,0.000530,"2,083,880","291,599,000"
kin,"Jan 17, 2018",0.000435,0.000464,0.000297,0.000384,"1,645,830","328,713,000"
kin,"Jan 16, 2018",0.000529,0.000529,0.000343,0.000438,"803,864","399,883,000"
kin,"Jan 15, 2018",0.000628,0.000638,0.000492,0.000526,"2,531,570","475,071,000"
kin,"Jan 14, 2018",0.000685,0.000747,0.000566,0.000628,"3,012,810","517,708,000"
kin,"Jan 13, 2018",0.000600,0.000747,0.000554,0.000684,"3,081,840","453,752,000"
kin,"Jan 12, 2018",0.000713,0.000752,0.000494,0.000600,"5,200,620","539,223,000"
kin,"Jan 11, 2018",0.000853,0.000953,0.000659,0.000666,"2,713,920","644,679,000"
kin,"Jan 10, 2018",0.000816,0.000931,0.000734,0.000853,"3,839,860","616,907,000"
kin,"Jan 09, 2018",0.001113,0.001127,0.000734,0.000813,"6,499,060","841,402,000"
kin,"Jan 08, 2018",0.001261,0.001383,0.000849,0.001109,"4,189,820","953,421,000"
kin,"Jan 07, 2018",0.001322,0.001434,0.000971,0.001250,"5,366,240","999,563,000"
kin,"Jan 06, 2018",0.000872,0.001493,0.000871,0.001229,"16,813,400","659,640,000"
kin,"Jan 05, 2018",0.000511,0.000909,0.000481,0.000875,"8,001,870","386,519,000"
kin,"Jan 04, 2018",0.000454,0.000546,0.000429,0.000467,"2,733,460","343,636,000"
kin,"Jan 03, 2018",0.000395,0.000497,0.000394,0.000455,"1,164,250","298,612,000"
kin,"Jan 02, 2018",0.000365,0.000407,0.000338,0.000394,"1,568,590","275,748,000"
kin,"Jan 01, 2018",0.000453,0.000459,0.000323,0.000364,"3,381,860","342,448,000"
