Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
kingn-coin,"Jul 02, 2018",10.79,11.27,10.68,11.25,2,"21,676"
kingn-coin,"Jul 01, 2018",10.86,10.92,10.68,10.79,2,"21,815"
kingn-coin,"Jun 30, 2018",10.81,10.89,10.75,10.86,2,"21,724"
kingn-coin,"Jun 29, 2018",9.98,10.07,9.86,10.00,1,"20,043"
kingn-coin,"Jun 28, 2018",10.43,10.46,9.91,9.97,1,"20,949"
kingn-coin,"Jun 27, 2018",10.40,10.47,10.39,10.42,1,"20,898"
kingn-coin,"Jun 21, 2018",10.80,10.85,10.72,10.80,6,"21,703"
kingn-coin,"Jun 20, 2018",10.81,10.86,10.54,10.80,6,"21,715"
kingn-coin,"Jun 19, 2018",12.11,12.24,10.75,10.80,1,"24,336"
kingn-coin,"Jun 18, 2018",11.66,12.21,11.56,12.12,7,"23,423"
kingn-coin,"Jun 17, 2018",10.44,11.79,10.37,11.70,3,"20,984"
kingn-coin,"Jun 16, 2018",10.28,10.52,10.18,10.42,1,"20,644"
kingn-coin,"Jun 15, 2018",13.05,13.07,10.26,10.31,21,"26,227"
kingn-coin,"Jun 14, 2018",12.42,13.14,12.39,13.08,101,"24,946"
kingn-coin,"Jun 13, 2018",11.85,13.02,11.79,12.42,182,"23,806"
kingn-coin,"Jun 12, 2018",11.02,12.18,10.76,11.82,8,"22,140"
kingn-coin,"Jun 11, 2018",10.57,11.08,10.42,11.03,41,"21,238"
kingn-coin,"Jun 10, 2018",9.20,11.37,8.82,10.56,10,"18,473"
kingn-coin,"Jun 09, 2018",9.16,15.03,9.16,9.18,119,"18,398"
kingn-coin,"Jun 08, 2018",9.17,9.20,9.08,9.16,31,"18,419"
kingn-coin,"Jun 07, 2018",9.19,9.30,9.19,9.24,0,"18,469"
kingn-coin,"Jun 06, 2018",9.17,9.23,9.01,9.18,2,"18,414"
kingn-coin,"Jun 05, 2018",12.70,12.71,12.49,12.56,2,"25,505"
kingn-coin,"Jun 04, 2018",9.25,12.76,9.12,12.69,2,"18,585"
kingn-coin,"Jun 03, 2018",11.42,11.54,9.21,9.25,15,"22,942"
