Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
komodo,"Jul 02, 2018",1.56,1.75,1.49,1.70,"1,761,130","162,920,000"
komodo,"Jul 01, 2018",1.56,1.60,1.50,1.55,"1,028,310","162,850,000"
komodo,"Jun 30, 2018",1.47,1.58,1.46,1.56,"689,064","153,110,000"
komodo,"Jun 29, 2018",1.37,1.48,1.34,1.46,"689,710","143,148,000"
komodo,"Jun 28, 2018",1.58,1.63,1.37,1.38,"643,905","164,387,000"
komodo,"Jun 27, 2018",1.56,1.60,1.51,1.57,"418,785","162,427,000"
komodo,"Jun 26, 2018",1.63,1.63,1.56,1.57,"411,830","169,758,000"
komodo,"Jun 25, 2018",1.59,1.67,1.58,1.63,"337,689","165,870,000"
komodo,"Jun 24, 2018",1.71,1.75,1.48,1.59,"602,532","177,982,000"
komodo,"Jun 23, 2018",1.67,1.75,1.61,1.71,"593,440","174,366,000"
komodo,"Jun 22, 2018",1.81,1.90,1.52,1.66,"1,297,500","188,394,000"
komodo,"Jun 21, 2018",1.88,1.89,1.79,1.81,"360,455","196,256,000"
komodo,"Jun 20, 2018",1.95,1.96,1.80,1.88,"463,961","203,780,000"
komodo,"Jun 19, 2018",1.95,1.97,1.86,1.96,"564,820","203,153,000"
komodo,"Jun 18, 2018",1.89,1.98,1.85,1.94,"333,350","197,426,000"
komodo,"Jun 17, 2018",1.94,1.97,1.90,1.90,"277,315","201,847,000"
komodo,"Jun 16, 2018",1.92,1.98,1.90,1.94,"235,339","200,428,000"
komodo,"Jun 15, 2018",2.02,2.05,1.91,1.91,"322,321","211,013,000"
komodo,"Jun 14, 2018",1.86,2.05,1.81,2.02,"919,596","193,848,000"
komodo,"Jun 13, 2018",1.98,1.99,1.76,1.86,"721,964","206,913,000"
komodo,"Jun 12, 2018",2.11,2.15,1.91,1.98,"925,644","220,228,000"
komodo,"Jun 11, 2018",2.14,2.15,2.03,2.12,"834,996","223,049,000"
komodo,"Jun 10, 2018",2.45,2.45,2.12,2.14,"997,044","255,421,000"
komodo,"Jun 09, 2018",2.45,2.51,2.44,2.45,"534,171","255,769,000"
komodo,"Jun 08, 2018",2.52,2.54,2.37,2.46,"862,509","262,720,000"
komodo,"Jun 07, 2018",2.55,2.61,2.50,2.51,"1,131,830","265,389,000"
komodo,"Jun 06, 2018",2.60,2.62,2.45,2.54,"747,391","271,523,000"
komodo,"Jun 05, 2018",2.52,2.64,2.48,2.61,"697,490","263,212,000"
komodo,"Jun 04, 2018",2.68,2.70,2.50,2.52,"716,914","279,372,000"
komodo,"Jun 03, 2018",2.62,2.72,2.61,2.68,"901,451","273,546,000"
komodo,"Jun 02, 2018",2.52,2.67,2.50,2.62,"825,192","263,207,000"
komodo,"Jun 01, 2018",2.59,2.59,2.49,2.53,"774,573","269,571,000"
komodo,"May 31, 2018",2.52,2.62,2.51,2.58,"827,442","262,888,000"
komodo,"May 30, 2018",2.57,2.66,2.44,2.54,"1,567,240","267,893,000"
komodo,"May 29, 2018",2.32,2.61,2.28,2.57,"1,377,760","241,470,000"
komodo,"May 28, 2018",2.53,2.59,2.31,2.31,"836,946","264,153,000"
komodo,"May 27, 2018",2.57,2.58,2.48,2.53,"564,991","267,964,000"
komodo,"May 26, 2018",2.60,2.66,2.51,2.58,"1,202,100","270,670,000"
komodo,"May 25, 2018",2.72,2.75,2.57,2.60,"1,042,220","283,179,000"
komodo,"May 24, 2018",2.73,2.82,2.51,2.71,"1,842,720","283,870,000"
komodo,"May 23, 2018",2.96,3.03,2.63,2.74,"1,738,870","308,351,000"
komodo,"May 22, 2018",3.34,3.34,2.97,2.97,"1,747,910","347,907,000"
komodo,"May 21, 2018",3.52,3.57,3.24,3.34,"2,924,960","366,429,000"
komodo,"May 20, 2018",3.36,3.57,3.31,3.51,"3,517,140","349,968,000"
komodo,"May 19, 2018",3.15,3.41,3.14,3.35,"3,436,100","328,269,000"
komodo,"May 18, 2018",2.96,3.26,2.88,3.14,"2,625,830","308,485,000"
komodo,"May 17, 2018",3.05,3.31,2.92,2.96,"4,937,600","317,351,000"
komodo,"May 16, 2018",3.13,3.15,2.89,3.05,"1,763,660","325,513,000"
komodo,"May 15, 2018",3.25,3.44,3.12,3.13,"3,754,620","337,712,000"
komodo,"May 14, 2018",3.24,3.31,3.06,3.25,"3,983,610","337,621,000"
komodo,"May 13, 2018",3.16,3.27,2.99,3.25,"4,015,840","328,701,000"
komodo,"May 12, 2018",2.86,3.68,2.86,3.15,"16,765,300","297,712,000"
komodo,"May 11, 2018",3.27,3.27,2.82,2.87,"4,210,270","340,769,000"
komodo,"May 10, 2018",3.42,3.62,3.27,3.27,"2,861,190","355,784,000"
komodo,"May 09, 2018",3.53,3.58,3.24,3.41,"3,166,000","367,319,000"
komodo,"May 08, 2018",3.70,3.80,3.49,3.54,"2,392,280","384,620,000"
