Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
latiumx,"Jul 02, 2018",0.086501,0.087615,0.082450,0.087062,"832,853","7,190,830"
latiumx,"Jul 01, 2018",0.085015,0.088173,0.082469,0.086491,"912,263","7,067,310"
latiumx,"Jun 30, 2018",0.082990,0.087251,0.082413,0.085188,"912,571","6,898,840"
latiumx,"Jun 29, 2018",0.077290,0.084176,0.071319,0.082878,"968,073","6,424,890"
latiumx,"Jun 28, 2018",0.076610,0.083635,0.072993,0.077123,"1,317,890","6,365,540"
latiumx,"Jun 27, 2018",0.081659,0.091297,0.071849,0.075236,"1,243,230","6,785,080"
latiumx,"Jun 26, 2018",0.112347,0.120366,0.079655,0.082178,"3,292,490","9,333,630"
latiumx,"Jun 25, 2018",0.099157,0.129691,0.077037,0.114031,"6,652,550","8,221,440"
latiumx,"Jun 24, 2018",0.128456,0.128849,0.084782,0.099902,"8,077,430","10,646,800"
latiumx,"Jun 23, 2018",0.104519,0.133955,0.103543,0.129087,"8,762,570","8,662,040"
latiumx,"Jun 22, 2018",0.101054,0.112680,0.090182,0.106197,"7,313,080","8,354,320"
latiumx,"Jun 21, 2018",0.084934,0.104826,0.081875,0.099822,"6,496,650","7,013,780"
latiumx,"Jun 20, 2018",0.089772,0.089772,0.076690,0.084984,"5,571,090","7,413,350"
latiumx,"Jun 19, 2018",0.077664,0.091879,0.077066,0.087689,"5,655,730","6,413,460"
latiumx,"Jun 18, 2018",0.071831,0.079615,0.067946,0.077773,"5,029,400","5,931,570"
latiumx,"Jun 17, 2018",0.066323,0.074756,0.066025,0.072142,"4,590,280","5,476,550"
latiumx,"Jun 16, 2018",0.065697,0.070259,0.065130,0.066083,"4,525,950","5,424,840"
latiumx,"Jun 15, 2018",0.070452,0.074976,0.064317,0.065744,"3,914,210","5,814,940"
latiumx,"Jun 14, 2018",0.076854,0.077274,0.065389,0.070701,"3,808,030","6,340,550"
latiumx,"Jun 13, 2018",0.056543,0.088368,0.052864,0.076825,"4,138,870","4,664,910"
latiumx,"Jun 12, 2018",0.048971,0.062001,0.047115,0.056069,"1,853,340","4,039,990"
latiumx,"Jun 11, 2018",0.047761,0.050132,0.046572,0.048997,"175,485","3,939,680"
latiumx,"Jun 10, 2018",0.051714,0.060055,0.046373,0.048941,"204,216","4,263,160"
