Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
leacoin,"Jul 02, 2018",0.000396,0.000457,0.000377,0.000454,130,"146,810"
leacoin,"Jul 01, 2018",0.000388,0.000506,0.000377,0.000396,"1,148","143,560"
leacoin,"Jun 30, 2018",0.000400,0.000449,0.000384,0.000388,839,"147,862"
leacoin,"Jun 29, 2018",0.000378,0.000415,0.000365,0.000399,248,"139,562"
leacoin,"Jun 28, 2018",0.000395,0.000428,0.000375,0.000377,91,"146,005"
leacoin,"Jun 27, 2018",0.000384,0.000430,0.000379,0.000395,265,"141,615"
leacoin,"Jun 26, 2018",0.000390,0.000446,0.000380,0.000384,253,"143,636"
leacoin,"Jun 25, 2018",0.000372,0.000400,0.000369,0.000390,145,"137,095"
leacoin,"Jun 24, 2018",0.000394,0.000397,0.000351,0.000373,"1,539","144,995"
leacoin,"Jun 23, 2018",0.000368,0.000430,0.000368,0.000394,163,"135,453"
leacoin,"Jun 22, 2018",0.000417,0.000456,0.000365,0.000368,254,"153,247"
leacoin,"Jun 21, 2018",0.000406,0.000536,0.000405,0.000417,251,"149,293"
leacoin,"Jun 20, 2018",0.000525,0.000526,0.000401,0.000406,756,"192,812"
leacoin,"Jun 19, 2018",0.000438,0.000723,0.000438,0.000525,"1,504","160,546"
leacoin,"Jun 18, 2018",0.000410,0.000454,0.000407,0.000438,88,"150,100"
leacoin,"Jun 17, 2018",0.000457,0.000460,0.000410,0.000411,167,"167,309"
leacoin,"Jun 16, 2018",0.000476,0.000532,0.000412,0.000456,571,"174,331"
leacoin,"Jun 15, 2018",0.000493,0.000531,0.000474,0.000478,281,"180,272"
leacoin,"Jun 14, 2018",0.000454,0.000535,0.000452,0.000494,437,"165,911"
leacoin,"Jun 13, 2018",0.000536,0.000537,0.000446,0.000454,490,"195,757"
leacoin,"Jun 12, 2018",0.000534,0.000661,0.000480,0.000535,"6,321","195,005"
leacoin,"Jun 11, 2018",0.000407,0.000537,0.000401,0.000535,"1,114","148,259"
leacoin,"Jun 10, 2018",0.000458,0.000497,0.000400,0.000406,366,"167,076"
leacoin,"Jun 09, 2018",0.000458,0.000478,0.000456,0.000458,430,"166,684"
leacoin,"Jun 08, 2018",0.000461,0.000537,0.000454,0.000458,56,"167,751"
leacoin,"Jun 07, 2018",0.000479,0.000528,0.000459,0.000461,"1,242","174,313"
leacoin,"Jun 06, 2018",0.000478,0.000527,0.000458,0.000479,"1,123","173,656"
leacoin,"Jun 05, 2018",0.000485,0.000544,0.000430,0.000478,597,"176,137"
leacoin,"Jun 04, 2018",0.000463,0.000487,0.000448,0.000486,420,"167,733"
leacoin,"Jun 03, 2018",0.000518,0.000518,0.000456,0.000462,165,"187,804"
leacoin,"Jun 02, 2018",0.000451,0.000526,0.000448,0.000518,267,"163,334"
leacoin,"Jun 01, 2018",0.000449,0.000502,0.000442,0.000451,477,"162,664"
leacoin,"May 31, 2018",0.000443,0.000531,0.000367,0.000449,167,"160,165"
leacoin,"May 30, 2018",0.000448,0.000453,0.000438,0.000443,249,"161,838"
leacoin,"May 29, 2018",0.000427,0.000525,0.000425,0.000448,306,"154,254"
leacoin,"May 28, 2018",0.000514,0.000516,0.000426,0.000427,468,"185,444"
leacoin,"May 27, 2018",0.000440,0.000516,0.000434,0.000514,366,"158,779"
leacoin,"May 26, 2018",0.000448,0.000608,0.000438,0.000440,407,"161,541"
