Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
leadcoin,"Jul 02, 2018",0.004508,0.004614,0.004356,0.004607,"454,880","3,536,090"
leadcoin,"Jul 01, 2018",0.004677,0.004695,0.004478,0.004508,"452,243","3,669,010"
leadcoin,"Jun 30, 2018",0.004531,0.004736,0.004531,0.004676,"408,080","3,554,180"
leadcoin,"Jun 29, 2018",0.004679,0.004686,0.004180,0.004530,"310,011","3,670,110"
leadcoin,"Jun 28, 2018",0.004564,0.005282,0.004533,0.004683,"415,886","3,580,050"
leadcoin,"Jun 27, 2018",0.004596,0.004618,0.004431,0.004559,"458,452","3,605,150"
leadcoin,"Jun 26, 2018",0.004817,0.004836,0.004533,0.004604,"392,421","3,778,580"
leadcoin,"Jun 25, 2018",0.004715,0.005001,0.004664,0.004823,"442,546","3,698,480"
leadcoin,"Jun 24, 2018",0.004993,0.004995,0.004420,0.004726,"450,886","3,916,330"
leadcoin,"Jun 23, 2018",0.004869,0.004999,0.004844,0.004990,"381,677","3,819,040"
leadcoin,"Jun 22, 2018",0.005492,0.005600,0.004790,0.004867,"412,065","4,308,280"
leadcoin,"Jun 21, 2018",0.005478,0.005542,0.005426,0.005488,"424,496","4,296,860"
leadcoin,"Jun 20, 2018",0.005784,0.005784,0.005442,0.005477,"505,410","4,536,600"
leadcoin,"Jun 19, 2018",0.005839,0.006495,0.005730,0.005778,"494,009","4,579,860"
leadcoin,"Jun 18, 2018",0.005166,0.006308,0.005099,0.005852,"472,171","4,052,160"
leadcoin,"Jun 17, 2018",0.005082,0.005174,0.005071,0.005171,"343,445","3,986,150"
leadcoin,"Jun 16, 2018",0.004991,0.005151,0.004957,0.005077,"371,644","3,915,010"
leadcoin,"Jun 15, 2018",0.005352,0.005434,0.004966,0.004992,"325,214","4,198,060"
leadcoin,"Jun 14, 2018",0.004873,0.005390,0.004812,0.005348,"365,954","3,822,590"
leadcoin,"Jun 13, 2018",0.005259,0.005259,0.004729,0.004858,"363,088","4,124,960"
leadcoin,"Jun 12, 2018",0.005351,0.005588,0.005144,0.005245,"527,530","4,197,540"
leadcoin,"Jun 11, 2018",0.005331,0.005393,0.005194,0.005335,"558,828","4,181,750"
leadcoin,"Jun 10, 2018",0.005996,0.005996,0.005204,0.005322,"546,491","4,702,990"
leadcoin,"Jun 09, 2018",0.006315,0.006425,0.006006,0.006006,"570,416","4,953,140"
leadcoin,"Jun 08, 2018",0.006298,0.006369,0.006180,0.006318,"610,038","4,940,180"
leadcoin,"Jun 07, 2018",0.007082,0.007161,0.006239,0.006291,"633,275","5,555,060"
leadcoin,"Jun 06, 2018",0.007516,0.007576,0.006962,0.007079,"686,326","5,895,580"
leadcoin,"Jun 05, 2018",0.007878,0.007896,0.007362,0.007524,"670,194","6,179,150"
leadcoin,"Jun 04, 2018",0.008704,0.008759,0.007831,0.007878,"722,213","6,827,210"
leadcoin,"Jun 03, 2018",0.009365,0.009479,0.008682,0.008730,"744,306","7,345,760"
leadcoin,"Jun 02, 2018",0.008145,0.009513,0.008133,0.009404,"780,456","6,389,240"
leadcoin,"Jun 01, 2018",0.008075,0.008225,0.007903,0.008148,"638,296","6,333,640"
leadcoin,"May 31, 2018",0.008435,0.008445,0.007931,0.008064,"664,549","6,616,780"
leadcoin,"May 30, 2018",0.008495,0.008737,0.008314,0.008453,"752,898","6,663,580"
leadcoin,"May 29, 2018",0.007276,0.017545,0.007274,0.008472,"821,040","5,707,540"
leadcoin,"May 28, 2018",0.008543,0.008614,0.007268,0.007268,"721,364","6,701,140"
leadcoin,"May 27, 2018",0.009072,0.009076,0.008442,0.008547,"728,595","7,115,820"
leadcoin,"May 26, 2018",0.009221,0.009496,0.009045,0.009072,"690,340","7,233,220"
leadcoin,"May 25, 2018",0.009330,0.009634,0.009090,0.009227,"649,487","7,318,290"
leadcoin,"May 24, 2018",0.009103,0.009365,0.008624,0.009307,"725,037","7,140,510"
leadcoin,"May 23, 2018",0.010447,0.010517,0.009009,0.009097,"757,199","8,194,560"
leadcoin,"May 22, 2018",0.010717,0.011083,0.010479,0.010479,"654,552","8,406,710"
leadcoin,"May 21, 2018",0.012458,0.012512,0.010053,0.010731,"925,848","9,772,090"
leadcoin,"May 20, 2018",0.012353,0.012849,0.012251,0.012434,"837,944","9,689,360"
leadcoin,"May 19, 2018",0.012111,0.012508,0.012111,0.012348,"753,602","9,499,650"
leadcoin,"May 18, 2018",0.012450,0.012486,0.011921,0.012107,"749,447","9,765,680"
leadcoin,"May 17, 2018",0.013329,0.013570,0.012345,0.012428,"775,156","10,455,400"
leadcoin,"May 16, 2018",0.013670,0.013685,0.012819,0.013302,"803,809","10,722,800"
leadcoin,"May 15, 2018",0.014074,0.014453,0.013538,0.013662,"772,670","11,039,900"
leadcoin,"May 14, 2018",0.015274,0.015586,0.013787,0.014112,"860,496","11,981,000"
leadcoin,"May 13, 2018",0.014859,0.015415,0.014483,0.015278,"896,639","11,655,600"
leadcoin,"May 12, 2018",0.014149,0.015095,0.013801,0.014876,"745,917","11,098,700"
leadcoin,"May 11, 2018",0.016348,0.016348,0.013958,0.014184,"831,770","12,823,000"
