Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
lightchain,"Jul 02, 2018",0.000869,0.000987,0.000814,0.000912,"303,162",-
lightchain,"Jul 01, 2018",0.000851,0.000904,0.000817,0.000869,"123,388",-
lightchain,"Jun 30, 2018",0.000806,0.000906,0.000806,0.000853,"206,283",-
lightchain,"Jun 29, 2018",0.000812,0.000863,0.000707,0.000807,"168,063",-
lightchain,"Jun 28, 2018",0.000852,0.000863,0.000802,0.000812,"65,413",-
lightchain,"Jun 27, 2018",0.000813,0.000865,0.000778,0.000850,"424,545",-
lightchain,"Jun 26, 2018",0.000882,0.000883,0.000803,0.000816,"171,625",-
lightchain,"Jun 25, 2018",0.000804,0.000896,0.000799,0.000882,"39,896",-
lightchain,"Jun 24, 2018",0.000884,0.000884,0.000710,0.000805,"247,455",-
lightchain,"Jun 23, 2018",0.000872,0.000886,0.000795,0.000884,"76,384",-
lightchain,"Jun 22, 2018",0.001078,0.001078,0.000828,0.000842,"499,515",-
lightchain,"Jun 21, 2018",0.001019,0.001093,0.000960,0.001078,"211,792",-
lightchain,"Jun 20, 2018",0.001005,0.001087,0.001000,0.001020,"510,622",-
lightchain,"Jun 19, 2018",0.001000,0.001079,0.000967,0.001004,"233,287",-
lightchain,"Jun 18, 2018",0.000918,0.001000,0.000899,0.001000,"474,066",-
lightchain,"Jun 17, 2018",0.000929,0.000965,0.000898,0.000918,"452,825",-
lightchain,"Jun 16, 2018",0.000950,0.000991,0.000887,0.000934,"386,308",-
lightchain,"Jun 15, 2018",0.000977,0.001000,0.000887,0.000952,"243,932",-
lightchain,"Jun 14, 2018",0.000889,0.001002,0.000842,0.000977,"163,943",-
lightchain,"Jun 13, 2018",0.000990,0.000990,0.000860,0.000888,"296,287",-
lightchain,"Jun 12, 2018",0.001002,0.001032,0.000958,0.000987,"848,998",-
lightchain,"Jun 11, 2018",0.000959,0.001011,0.000931,0.001007,"560,139",-
lightchain,"Jun 10, 2018",0.001129,0.001143,0.000955,0.000958,"492,435",-
lightchain,"Jun 09, 2018",0.001188,0.001206,0.001113,0.001136,"389,513",-
lightchain,"Jun 08, 2018",0.001271,0.001282,0.001122,0.001188,"273,297",-
lightchain,"Jun 07, 2018",0.001221,0.001271,0.001124,0.001270,"408,515",-
lightchain,"Jun 06, 2018",0.001140,0.001244,0.001131,0.001221,"857,287",-
lightchain,"Jun 05, 2018",0.001174,0.001212,0.001110,0.001142,"519,435",-
lightchain,"Jun 04, 2018",0.001211,0.001244,0.001120,0.001174,"799,581",-
lightchain,"Jun 03, 2018",0.001142,0.001262,0.001133,0.001213,"708,099",-
lightchain,"Jun 02, 2018",0.001178,0.001263,0.001131,0.001200,"223,254",-
lightchain,"Jun 01, 2018",0.001229,0.001241,0.001137,0.001179,"328,087",-
