Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
linker-coin,"Jul 02, 2018",0.039349,0.046228,0.039289,0.042944,"108,529","4,437,610"
linker-coin,"Jul 01, 2018",0.039601,0.040821,0.038967,0.039344,"13,681","4,466,100"
linker-coin,"Jun 30, 2018",0.039711,0.041030,0.038085,0.039593,"23,449","4,478,480"
linker-coin,"Jun 29, 2018",0.039906,0.040339,0.034811,0.039658,"154,760","4,500,410"
linker-coin,"Jun 28, 2018",0.055205,0.055367,0.038949,0.039880,"407,666","6,225,810"
linker-coin,"Jun 27, 2018",0.055331,0.067462,0.051450,0.055185,"568,450","6,240,060"
linker-coin,"Jun 26, 2018",0.053734,0.077533,0.047992,0.055354,"704,923","6,059,880"
linker-coin,"Jun 25, 2018",0.044900,0.053734,0.041869,0.053734,"319,326","5,063,600"
linker-coin,"Jun 24, 2018",0.042550,0.045231,0.038707,0.044986,"8,299","4,798,650"
linker-coin,"Jun 23, 2018",0.042364,0.044978,0.037359,0.042556,"8,953","4,777,610"
linker-coin,"Jun 22, 2018",0.053717,0.053809,0.041996,0.042358,"147,178","6,057,980"
linker-coin,"Jun 21, 2018",0.048611,0.058643,0.041817,0.053776,"183,649","5,482,100"
linker-coin,"Jun 20, 2018",0.041881,0.048600,0.038201,0.048600,"94,027","4,723,160"
linker-coin,"Jun 19, 2018",0.042400,0.042832,0.037615,0.041855,"58,408","4,781,740"
linker-coin,"Jun 18, 2018",0.040806,0.042423,0.034981,0.042423,"64,044","4,601,970"
linker-coin,"Jun 17, 2018",0.045696,0.045787,0.038277,0.040946,"3,274","5,153,370"
linker-coin,"Jun 16, 2018",0.040459,0.046583,0.037234,0.045575,"20,788","4,562,800"
linker-coin,"Jun 15, 2018",0.043849,0.043901,0.037765,0.040607,"52,349","4,945,100"
linker-coin,"Jun 14, 2018",0.036652,0.044130,0.036551,0.043921,"38,569","4,133,520"
linker-coin,"Jun 13, 2018",0.040156,0.047957,0.035756,0.036669,"25,587","4,528,680"
linker-coin,"Jun 12, 2018",0.039259,0.047935,0.037000,0.040053,"46,829","4,427,470"
linker-coin,"Jun 11, 2018",0.036587,0.041423,0.035712,0.039280,"53,152","4,126,130"
linker-coin,"Jun 10, 2018",0.044282,0.044765,0.036245,0.036535,"18,470","4,993,920"
linker-coin,"Jun 09, 2018",0.043475,0.047280,0.041349,0.044226,"20,429","4,902,890"
linker-coin,"Jun 08, 2018",0.046095,0.047521,0.041662,0.043493,"45,298","5,198,430"
linker-coin,"Jun 07, 2018",0.047472,0.051138,0.044569,0.046060,"43,376","5,353,700"
linker-coin,"Jun 06, 2018",0.052605,0.055711,0.045733,0.047428,"50,646","5,932,580"
linker-coin,"Jun 05, 2018",0.045764,0.052619,0.044958,0.052619,"64,960","5,161,100"
