Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
linkeye,"Jul 02, 2018",0.043339,0.044129,0.040481,0.042567,"2,737,340","26,003,400"
linkeye,"Jul 01, 2018",0.040135,0.044083,0.039170,0.043129,"2,430,320","24,081,100"
linkeye,"Jun 30, 2018",0.039452,0.040948,0.038111,0.039885,"1,024,410","23,671,100"
linkeye,"Jun 29, 2018",0.031935,0.039930,0.031935,0.039652,"3,498,460","19,161,300"
linkeye,"Jun 28, 2018",0.033406,0.036706,0.031791,0.031791,"1,877,560","20,043,800"
linkeye,"Jun 27, 2018",0.033860,0.034444,0.031167,0.033445,"519,221","20,315,700"
linkeye,"Jun 26, 2018",0.032455,0.038070,0.032455,0.033574,"1,274,910","19,473,300"
linkeye,"Jun 25, 2018",0.030896,0.033458,0.030319,0.032585,"658,095","18,537,600"
linkeye,"Jun 24, 2018",0.028550,0.032583,0.023835,0.031147,"1,471,440","17,129,900"
linkeye,"Jun 23, 2018",0.029459,0.031185,0.027369,0.028547,"481,690","17,675,600"
linkeye,"Jun 22, 2018",0.037139,0.037374,0.028782,0.029555,"1,127,390","22,283,300"
linkeye,"Jun 21, 2018",0.038900,0.039409,0.036676,0.037156,"568,690","23,340,300"
linkeye,"Jun 20, 2018",0.040382,0.040632,0.037180,0.038751,"529,038","24,229,300"
linkeye,"Jun 19, 2018",0.039453,0.040098,0.038108,0.040098,"610,817","23,671,900"
linkeye,"Jun 18, 2018",0.038973,0.039545,0.037765,0.039436,"858,744","23,383,600"
linkeye,"Jun 17, 2018",0.039470,0.039864,0.038723,0.038954,"1,458,800","23,681,800"
linkeye,"Jun 16, 2018",0.039589,0.040039,0.038524,0.039457,"1,820,420","23,753,200"
linkeye,"Jun 15, 2018",0.041426,0.041602,0.039506,0.039777,"1,430,310","24,855,700"
linkeye,"Jun 14, 2018",0.038693,0.042408,0.038367,0.041329,"2,440,500","23,215,800"
linkeye,"Jun 13, 2018",0.041306,0.041306,0.035294,0.038788,"1,705,460","24,783,800"
linkeye,"Jun 12, 2018",0.048269,0.048269,0.040317,0.041264,"875,553","28,961,600"
linkeye,"Jun 11, 2018",0.046446,0.048747,0.043327,0.048323,"1,826,590","27,867,500"
linkeye,"Jun 10, 2018",0.052667,0.054863,0.046208,0.046648,"1,777,580","31,600,500"
linkeye,"Jun 09, 2018",0.058135,0.060532,0.052801,0.052865,"858,683","34,880,900"
linkeye,"Jun 08, 2018",0.058493,0.060227,0.057323,0.058194,"1,426,780","35,096,100"
linkeye,"Jun 07, 2018",0.069568,0.070306,0.058713,0.059254,"1,807,730","41,740,700"
linkeye,"Jun 06, 2018",0.066377,0.072883,0.066377,0.069883,"2,787,590","39,826,000"
linkeye,"Jun 05, 2018",0.060464,0.066886,0.059136,0.066307,"5,133,070","36,278,700"
linkeye,"Jun 04, 2018",0.057493,0.062683,0.055605,0.060611,"5,813,020","34,495,900"
linkeye,"Jun 03, 2018",0.057053,0.059325,0.056434,0.057827,"9,061,930","34,232,100"
linkeye,"Jun 02, 2018",0.057763,0.059362,0.056577,0.057172,"8,690,850","34,657,900"
linkeye,"Jun 01, 2018",0.057336,0.059638,0.055247,0.057884,"9,799,160","34,401,600"
linkeye,"May 31, 2018",0.057153,0.059645,0.054911,0.056944,"9,981,220","34,291,700"
linkeye,"May 30, 2018",0.052524,0.061126,0.051886,0.057323,"12,594,700","31,514,700"
linkeye,"May 29, 2018",0.048221,0.054389,0.047295,0.053076,"7,787,530","28,932,400"
linkeye,"May 28, 2018",0.051078,0.051791,0.046795,0.048352,"6,395,850","30,647,100"
linkeye,"May 27, 2018",0.048929,0.051940,0.046765,0.051532,"6,140,420","29,357,400"
linkeye,"May 26, 2018",0.049458,0.051765,0.048633,0.048852,"4,928,880","29,674,500"
linkeye,"May 25, 2018",0.050577,0.050577,0.048193,0.049482,"722,655","30,346,000"
linkeye,"May 24, 2018",0.048889,0.052588,0.046737,0.050419,"1,133,090","29,333,500"
linkeye,"May 23, 2018",0.055118,0.055753,0.047103,0.049276,"2,225,710","33,070,600"
linkeye,"May 22, 2018",0.057802,0.058013,0.054999,0.055033,"1,228,000","34,680,900"
linkeye,"May 21, 2018",0.060297,0.060814,0.056456,0.057994,"1,312,790","36,178,100"
linkeye,"May 20, 2018",0.057322,0.061809,0.056350,0.060218,"2,093,230","34,393,100"
linkeye,"May 19, 2018",0.068419,0.068419,0.054115,0.057266,"7,151,110","41,051,200"
linkeye,"May 18, 2018",0.068336,0.068986,0.065933,0.068092,"1,301,020","41,001,400"
linkeye,"May 17, 2018",0.072867,0.077488,0.068414,0.068439,"1,907,990","43,720,400"
linkeye,"May 16, 2018",0.079778,0.085253,0.071854,0.072868,"4,253,470","47,866,600"
linkeye,"May 15, 2018",0.075418,0.085674,0.075418,0.079822,"3,915,980","45,250,900"
linkeye,"May 14, 2018",0.081817,0.082374,0.073446,0.075559,"2,464,000","49,089,900"
linkeye,"May 13, 2018",0.076399,0.084123,0.072300,0.082282,"3,704,260","45,839,200"
linkeye,"May 12, 2018",0.080775,0.083557,0.066634,0.077217,"5,624,850","48,465,100"
linkeye,"May 11, 2018",0.091767,0.094955,0.073766,0.080778,"11,371,300","55,060,100"
linkeye,"May 10, 2018",0.077898,0.097763,0.077898,0.091912,"15,483,600","46,738,600"
linkeye,"May 09, 2018",0.064160,0.079194,0.063524,0.077852,"9,657,310","38,496,000"
linkeye,"May 08, 2018",0.061730,0.069473,0.061730,0.064240,"5,076,360","37,038,000"
linkeye,"May 07, 2018",0.060565,0.064967,0.055548,0.061783,"2,066,270","36,338,800"
linkeye,"May 06, 2018",0.066991,0.069638,0.057597,0.060499,"2,308,300","40,194,500"
linkeye,"May 05, 2018",0.061173,0.066922,0.061086,0.066922,"2,576,440","36,704,100"
linkeye,"May 04, 2018",0.062652,0.064665,0.060186,0.061325,"2,598,140","37,591,500"
linkeye,"May 03, 2018",0.059586,0.065437,0.059415,0.062929,"4,671,290","35,751,500"
linkeye,"May 02, 2018",0.058412,0.060859,0.057316,0.059648,"3,352,200","35,047,500"
linkeye,"May 01, 2018",0.057849,0.058454,0.053997,0.058454,"3,739,000","34,709,200"
linkeye,"Apr 30, 2018",0.062610,0.063494,0.057557,0.057766,"3,381,950","37,565,800"
linkeye,"Apr 29, 2018",0.062537,0.065517,0.059484,0.062487,"4,090,740","37,522,000"
linkeye,"Apr 28, 2018",0.059140,0.064934,0.059140,0.062571,"4,437,470","35,483,900"
linkeye,"Apr 27, 2018",0.063452,0.063755,0.059431,0.059431,"4,190,390","38,071,400"
linkeye,"Apr 26, 2018",0.055505,0.064036,0.054005,0.063506,"6,100,170","33,303,000"
linkeye,"Apr 25, 2018",0.068877,0.068877,0.052808,0.055409,"6,849,170","41,326,300"
linkeye,"Apr 24, 2018",0.058977,0.071847,0.058722,0.068657,"8,217,570","35,386,300"
linkeye,"Apr 23, 2018",0.060129,0.062626,0.056673,0.059003,"5,732,640","36,077,600"
linkeye,"Apr 22, 2018",0.050527,0.063747,0.049717,0.059713,"9,136,410","30,316,000"
linkeye,"Apr 21, 2018",0.051500,0.052882,0.047101,0.050778,"6,249,810","30,900,300"
linkeye,"Apr 20, 2018",0.047966,0.054088,0.046580,0.051853,"6,194,510","28,779,800"
linkeye,"Apr 19, 2018",0.045094,0.047939,0.044430,0.047937,"5,594,230","27,056,500"
linkeye,"Apr 18, 2018",0.043097,0.045212,0.043097,0.045110,"5,461,490","25,858,400"
linkeye,"Apr 17, 2018",0.044492,0.045535,0.042609,0.043089,"5,177,010","26,695,500"
linkeye,"Apr 16, 2018",0.045597,0.046981,0.041941,0.044506,"6,338,010","27,358,000"
linkeye,"Apr 15, 2018",0.044750,0.046721,0.043442,0.045426,"5,726,820","26,850,100"
linkeye,"Apr 14, 2018",0.044968,0.046588,0.042743,0.044729,"5,627,010","26,981,000"
linkeye,"Apr 13, 2018",0.046236,0.051475,0.044526,0.045990,"6,838,530","27,741,800"
linkeye,"Apr 12, 2018",0.038935,0.046245,0.038791,0.046141,"7,113,530","23,361,300"
linkeye,"Apr 11, 2018",0.035780,0.042792,0.035772,0.038936,"6,378,460","21,467,900"
linkeye,"Apr 10, 2018",0.033519,0.036942,0.033483,0.035713,"5,509,700","20,111,500"
linkeye,"Apr 09, 2018",0.034306,0.035330,0.033083,0.033456,"5,003,310","20,583,300"
linkeye,"Apr 08, 2018",0.033944,0.035355,0.033916,0.034314,"4,613,540","20,366,600"
linkeye,"Apr 07, 2018",0.032828,0.035819,0.032710,0.033984,"4,837,220","19,696,600"
linkeye,"Apr 06, 2018",0.033541,0.034043,0.032405,0.032763,"4,516,170","20,124,800"
linkeye,"Apr 05, 2018",0.033593,0.035226,0.032941,0.033653,"4,749,290","20,156,000"
linkeye,"Apr 04, 2018",0.036632,0.036786,0.033634,0.033634,"4,771,530","21,978,900"
linkeye,"Apr 03, 2018",0.035191,0.038071,0.034726,0.036628,"5,430,140","21,114,800"
linkeye,"Apr 02, 2018",0.033747,0.036712,0.033265,0.034905,"5,520,540","20,248,200"
linkeye,"Apr 01, 2018",0.033514,0.034997,0.031756,0.033653,"4,832,300","20,108,200"
linkeye,"Mar 31, 2018",0.032690,0.035981,0.032690,0.033501,"4,643,800","19,614,000"
linkeye,"Mar 30, 2018",0.034483,0.035456,0.032003,0.032623,"4,932,980","20,689,800"
linkeye,"Mar 29, 2018",0.037881,0.038855,0.034512,0.034573,"5,166,780","22,728,900"
linkeye,"Mar 28, 2018",0.031975,0.040769,0.031336,0.037888,"6,251,840","19,185,200"
linkeye,"Mar 27, 2018",0.033505,0.033875,0.030679,0.032071,"3,640,750","20,103,000"
linkeye,"Mar 26, 2018",0.035989,0.037771,0.032069,0.033572,"4,952,580","21,593,300"
linkeye,"Mar 25, 2018",0.036759,0.037626,0.035674,0.036011,"4,911,420","22,055,600"
linkeye,"Mar 24, 2018",0.036572,0.040806,0.035840,0.037427,"5,138,510","21,943,300"
linkeye,"Mar 23, 2018",0.035106,0.036367,0.032271,0.036367,"4,887,650","21,063,800"
linkeye,"Mar 22, 2018",0.036332,0.038744,0.032865,0.035040,"5,010,500","21,799,100"
linkeye,"Mar 21, 2018",0.034451,0.042069,0.034266,0.036630,"5,521,760","20,670,800"
linkeye,"Mar 20, 2018",0.034700,0.034700,0.030573,0.034245,"5,512,180","20,820,100"
linkeye,"Mar 19, 2018",0.031270,0.038239,0.029705,0.034284,"5,298,900","18,762,200"
linkeye,"Mar 18, 2018",0.032789,0.032933,0.027020,0.031211,"4,850,500","19,673,200"
linkeye,"Mar 17, 2018",0.034869,0.035824,0.032019,0.032776,"4,469,240","20,921,400"
linkeye,"Mar 16, 2018",0.033102,0.037472,0.031713,0.034858,"4,908,460","19,861,500"
linkeye,"Mar 15, 2018",0.035391,0.036130,0.031344,0.033029,"4,890,140","21,234,700"
linkeye,"Mar 14, 2018",0.037223,0.038013,0.035143,0.035471,"5,053,460","22,333,900"
linkeye,"Mar 13, 2018",0.035890,0.038129,0.035083,0.037189,"2,400,160","21,534,000"
linkeye,"Mar 12, 2018",0.038461,0.038994,0.034627,0.035942,"9,072,820","23,076,300"
linkeye,"Mar 11, 2018",0.034214,0.038748,0.033397,0.038072,"3,960,060","20,528,100"
linkeye,"Mar 10, 2018",0.036485,0.039092,0.034414,0.034414,"3,895,890","21,891,000"
linkeye,"Mar 09, 2018",0.038182,0.041608,0.032683,0.037265,"5,305,480","22,909,300"
linkeye,"Mar 08, 2018",0.041487,0.045262,0.037638,0.037922,"5,027,780","24,892,300"
linkeye,"Mar 07, 2018",0.050255,0.051178,0.038192,0.041578,"5,294,670",-
linkeye,"Mar 06, 2018",0.057969,0.058143,0.050024,0.050062,"6,955,420",-
linkeye,"Mar 05, 2018",0.062680,0.063213,0.056813,0.058013,"9,162,980",-
linkeye,"Mar 04, 2018",0.063166,0.063433,0.061004,0.062785,"6,125,400",-
linkeye,"Mar 03, 2018",0.063261,0.064615,0.062299,0.063230,"6,423,600",-
linkeye,"Mar 02, 2018",0.065400,0.069795,0.061283,0.063213,"8,510,250",-
linkeye,"Mar 01, 2018",0.061972,0.066686,0.060469,0.065233,"6,552,570",-
linkeye,"Feb 28, 2018",0.066339,0.067308,0.062205,0.062205,"6,612,210",-
linkeye,"Feb 27, 2018",0.068225,0.072301,0.064409,0.066077,"7,238,730",-
linkeye,"Feb 26, 2018",0.065928,0.073387,0.063525,0.068050,"6,262,910",-
linkeye,"Feb 25, 2018",0.069047,0.069223,0.065224,0.065876,"6,240,760",-
linkeye,"Feb 24, 2018",0.071150,0.073786,0.067443,0.069157,"6,692,480",-
linkeye,"Feb 23, 2018",0.068555,0.073044,0.067465,0.071202,"7,299,670",-
linkeye,"Feb 22, 2018",0.071866,0.079944,0.068036,0.068449,"7,571,420",-
linkeye,"Feb 21, 2018",0.079653,0.079653,0.070654,0.071981,"7,239,450",-
linkeye,"Feb 20, 2018",0.089395,0.090036,0.079273,0.079788,"7,892,450",-
linkeye,"Feb 19, 2018",0.084936,0.091478,0.083574,0.089296,"9,473,940",-
linkeye,"Feb 18, 2018",0.087504,0.098065,0.085113,0.085113,"12,786,200",-
linkeye,"Feb 17, 2018",0.077598,0.087476,0.076774,0.087476,"8,468,080",-
linkeye,"Feb 16, 2018",0.075096,0.078208,0.073598,0.077658,"7,877,440",-
linkeye,"Feb 15, 2018",0.071483,0.077448,0.071449,0.075083,"8,073,340",-
linkeye,"Feb 14, 2018",0.068656,0.075206,0.067591,0.071423,"8,520,290",-
linkeye,"Feb 13, 2018",0.071740,0.076453,0.068551,0.068810,"7,853,130",-
linkeye,"Feb 12, 2018",0.070802,0.073260,0.069409,0.071909,"6,846,620",-
linkeye,"Feb 11, 2018",0.069702,0.075079,0.063280,0.070483,"7,536,620",-
