Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
lisk,"Jul 02, 2018",5.41,5.95,5.30,5.89,"9,046,320","581,679,000"
lisk,"Jul 01, 2018",5.33,5.42,5.24,5.40,"6,178,680","572,580,000"
lisk,"Jun 30, 2018",5.03,5.40,5.03,5.35,"5,954,970","541,073,000"
lisk,"Jun 29, 2018",4.91,5.09,4.75,5.04,"7,560,270","527,311,000"
lisk,"Jun 28, 2018",5.29,5.30,4.87,4.92,"6,763,450","567,848,000"
lisk,"Jun 27, 2018",5.27,5.32,5.17,5.28,"7,105,660","566,250,000"
lisk,"Jun 26, 2018",5.57,5.57,5.27,5.27,"6,490,590","597,452,000"
lisk,"Jun 25, 2018",5.46,5.63,5.38,5.57,"7,010,470","585,412,000"
lisk,"Jun 24, 2018",5.65,5.66,5.15,5.47,"7,790,030","605,664,000"
lisk,"Jun 23, 2018",5.35,5.67,5.33,5.63,"7,248,650","573,532,000"
lisk,"Jun 22, 2018",6.20,6.25,5.27,5.35,"8,159,990","664,076,000"
lisk,"Jun 21, 2018",6.36,6.41,6.13,6.25,"7,975,460","680,999,000"
lisk,"Jun 20, 2018",6.50,6.50,6.21,6.36,"8,584,190","696,289,000"
lisk,"Jun 19, 2018",6.44,6.55,6.36,6.49,"8,982,000","689,884,000"
lisk,"Jun 18, 2018",6.27,6.46,6.02,6.45,"10,209,800","671,372,000"
lisk,"Jun 17, 2018",6.59,6.65,6.27,6.31,"8,341,200","705,380,000"
lisk,"Jun 16, 2018",6.51,6.66,6.40,6.59,"8,184,370","696,477,000"
lisk,"Jun 15, 2018",6.95,6.95,6.50,6.53,"9,167,900","743,227,000"
lisk,"Jun 14, 2018",6.35,6.96,6.33,6.96,"11,741,800","679,337,000"
lisk,"Jun 13, 2018",6.76,6.79,6.25,6.35,"13,095,700","722,404,000"
lisk,"Jun 12, 2018",7.25,7.35,6.68,6.75,"13,486,100","774,935,000"
lisk,"Jun 11, 2018",7.11,7.32,7.03,7.26,"11,379,400","759,868,000"
lisk,"Jun 10, 2018",8.31,8.31,7.02,7.11,"17,518,000","887,054,000"
lisk,"Jun 09, 2018",8.57,8.70,8.28,8.28,"11,530,600","914,497,000"
lisk,"Jun 08, 2018",8.76,8.79,8.46,8.57,"12,189,500","934,786,000"
lisk,"Jun 07, 2018",8.86,8.99,8.60,8.69,"10,212,200","944,932,000"
lisk,"Jun 06, 2018",9.14,9.17,8.70,8.86,"12,988,300","974,339,000"
lisk,"Jun 05, 2018",9.09,9.27,8.84,9.15,"12,839,900","968,528,000"
lisk,"Jun 04, 2018",9.97,10.04,8.96,9.07,"22,264,100","1,062,580,000"
lisk,"Jun 03, 2018",9.36,10.16,9.25,10.01,"22,641,100","997,354,000"
lisk,"Jun 02, 2018",8.62,9.49,8.57,9.37,"20,983,000","917,820,000"
lisk,"Jun 01, 2018",8.55,8.71,8.42,8.65,"12,625,300","910,684,000"
lisk,"May 31, 2018",8.44,8.77,8.37,8.56,"13,467,900","898,716,000"
lisk,"May 30, 2018",8.82,8.96,8.31,8.48,"11,308,400","938,860,000"
lisk,"May 29, 2018",7.98,8.98,7.90,8.88,"13,833,600","849,085,000"
lisk,"May 28, 2018",8.80,8.89,7.95,7.99,"12,253,000","935,690,000"
lisk,"May 27, 2018",8.79,8.86,8.67,8.83,"10,511,600","934,365,000"
lisk,"May 26, 2018",8.98,9.26,8.77,8.83,"10,313,000","954,499,000"
lisk,"May 25, 2018",9.37,9.44,8.84,8.97,"12,017,200","995,174,000"
lisk,"May 24, 2018",9.16,9.53,8.65,9.35,"14,486,800","972,780,000"
lisk,"May 23, 2018",9.87,9.89,8.66,9.19,"17,130,400","1,047,730,000"
lisk,"May 22, 2018",10.98,10.98,9.84,9.85,"14,666,800","1,164,860,000"
lisk,"May 21, 2018",11.31,11.66,10.78,10.91,"16,534,900","1,199,670,000"
lisk,"May 20, 2018",10.58,11.31,10.55,11.31,"15,834,700","1,122,300,000"
