Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
litebar,"Jul 02, 2018",0.196808,0.224738,0.194827,0.206793,135,"184,806"
litebar,"Jul 01, 2018",0.208483,0.210090,0.194899,0.196786,66,"195,713"
litebar,"Jun 30, 2018",0.195454,0.216832,0.194277,0.208436,621,"183,447"
litebar,"Jun 29, 2018",0.187850,0.204152,0.187592,0.195190,197,"176,256"
litebar,"Jun 28, 2018",0.202235,0.254152,0.186671,0.187730,133,"189,730"
litebar,"Jun 27, 2018",0.231662,0.232320,0.201683,0.202163,386,"217,268"
litebar,"Jun 26, 2018",0.196003,0.277306,0.193603,0.231755,415,"183,741"
litebar,"Jun 25, 2018",0.191592,0.216706,0.187484,0.196003,143,"179,519"
litebar,"Jun 24, 2018",0.191846,0.214059,0.180018,0.191962,281,"179,677"
litebar,"Jun 23, 2018",0.188034,0.211616,0.187708,0.191872,84,"176,020"
litebar,"Jun 22, 2018",0.208354,0.209317,0.184648,0.188009,50,"194,976"
litebar,"Jun 21, 2018",0.205177,0.234597,0.204154,0.208585,57,"191,971"
litebar,"Jun 20, 2018",0.204338,0.238063,0.199371,0.205135,153,"191,121"
litebar,"Jun 19, 2018",0.199416,0.301312,0.199354,0.204212,647,"186,482"
litebar,"Jun 18, 2018",0.176633,0.217069,0.175337,0.199523,159,"165,129"
litebar,"Jun 17, 2018",0.177233,0.201594,0.176326,0.177238,296,"165,615"
litebar,"Jun 16, 2018",0.175900,0.200039,0.172318,0.176765,178,"164,306"
litebar,"Jun 15, 2018",0.192337,0.209869,0.175526,0.176544,114,"179,586"
litebar,"Jun 14, 2018",0.170939,0.214096,0.170857,0.192655,65,"159,556"
litebar,"Jun 13, 2018",0.210656,0.210904,0.169067,0.171015,133,"196,535"
litebar,"Jun 12, 2018",0.183828,0.210112,0.174689,0.210112,367,"171,432"
litebar,"Jun 11, 2018",0.199602,0.202505,0.179761,0.183927,124,"186,077"
litebar,"Jun 10, 2018",0.205647,0.221871,0.182466,0.199317,402,"191,662"
litebar,"Jun 09, 2018",0.208754,0.236152,0.205389,0.205389,153,"194,492"
