Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
litebitcoin,"Jul 02, 2018",0.003038,0.003861,0.002235,0.002842,"10,340","87,926"
litebitcoin,"Jul 01, 2018",0.003803,0.004182,0.002872,0.003038,"11,152","110,074"
litebitcoin,"Jun 30, 2018",0.003508,0.004144,0.003153,0.003803,"10,017","101,530"
litebitcoin,"Jun 29, 2018",0.003533,0.003706,0.003161,0.003462,"9,634","102,258"
litebitcoin,"Jun 28, 2018",0.003483,0.004062,0.003056,0.003531,"9,053","100,801"
litebitcoin,"Jun 27, 2018",0.003416,0.003633,0.002383,0.003481,"7,010","98,853"
litebitcoin,"Jun 26, 2018",0.002305,0.004073,0.002227,0.003544,"9,809","66,714"
litebitcoin,"Jun 25, 2018",0.001292,0.002633,0.001206,0.002305,"2,479","37,380"
litebitcoin,"Jun 24, 2018",0.001371,0.001678,0.001128,0.001294,"1,216","39,689"
litebitcoin,"Jun 23, 2018",0.001464,0.001603,0.001053,0.001372,560,"42,357"
litebitcoin,"Jun 22, 2018",0.001750,0.001753,0.001382,0.001463,"2,479","50,659"
litebitcoin,"Jun 21, 2018",0.001755,0.001786,0.001713,0.001752,364,"50,777"
litebitcoin,"Jun 20, 2018",0.001842,0.001844,0.001505,0.001754,975,"53,315"
litebitcoin,"Jun 19, 2018",0.001750,0.001843,0.001613,0.001841,768,"50,640"
litebitcoin,"Jun 18, 2018",0.001726,0.001836,0.001683,0.001751,812,"49,947"
litebitcoin,"Jun 17, 2018",0.001632,0.001842,0.001631,0.001732,342,"47,230"
litebitcoin,"Jun 16, 2018",0.001582,0.001730,0.001582,0.001628,557,"45,772"
litebitcoin,"Jun 15, 2018",0.001831,0.002023,0.001579,0.001587,"1,160","52,984"
litebitcoin,"Jun 14, 2018",0.001644,0.001834,0.001600,0.001834,"1,514","47,584"
litebitcoin,"Jun 13, 2018",0.001649,0.001748,0.001614,0.001645,"1,140","47,735"
litebitcoin,"Jun 12, 2018",0.001733,0.001860,0.001633,0.001645,620,"50,161"
litebitcoin,"Jun 11, 2018",0.001715,0.001801,0.001697,0.001734,740,"49,626"
litebitcoin,"Jun 10, 2018",0.001892,0.002062,0.001694,0.001712,"1,096","54,764"
litebitcoin,"Jun 09, 2018",0.002160,0.002319,0.001869,0.001890,"4,833","62,500"
litebitcoin,"Jun 08, 2018",0.002229,0.002373,0.002068,0.002161,"1,237","64,517"
litebitcoin,"Jun 07, 2018",0.002441,0.002538,0.002145,0.002228,938,"70,631"
litebitcoin,"Jun 06, 2018",0.002435,0.002498,0.002209,0.002438,"1,569","70,476"
litebitcoin,"Jun 05, 2018",0.002476,0.002547,0.002206,0.002436,977,"71,659"
litebitcoin,"Jun 04, 2018",0.002158,0.002948,0.002151,0.002475,"5,386","62,466"
litebitcoin,"Jun 03, 2018",0.002360,0.002365,0.002148,0.002157,406,"68,311"
litebitcoin,"Jun 02, 2018",0.002158,0.002362,0.002132,0.002360,952,"62,457"
litebitcoin,"Jun 01, 2018",0.002469,0.002476,0.002006,0.002159,"1,161","71,440"
litebitcoin,"May 31, 2018",0.002295,0.002524,0.002266,0.002467,748,"66,418"
litebitcoin,"May 30, 2018",0.002376,0.002481,0.002279,0.002295,622,"68,754"
litebitcoin,"May 29, 2018",0.002148,0.002551,0.002142,0.002374,828,"62,155"
litebitcoin,"May 28, 2018",0.002497,0.002576,0.002148,0.002148,"1,754","72,253"
