Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
litecred,"Jul 02, 2018",0.000825,0.000864,0.000816,0.000859,1,"24,940"
litecred,"Jul 01, 2018",0.000830,0.000835,0.000817,0.000825,37,"25,100"
litecred,"Jun 30, 2018",0.000827,0.000833,0.000822,0.000830,8,"24,996"
litecred,"Jun 21, 2018",0.000743,0.000746,0.000737,0.000739,2,"22,449"
litecred,"Jun 20, 2018",0.000743,0.000743,0.000738,0.000743,2,"22,466"
litecred,"Jun 19, 2018",0.000808,0.000810,0.000803,0.000809,8,"24,413"
litecred,"Jun 18, 2018",0.000777,0.000814,0.000771,0.000808,8,"23,472"
litecred,"Jun 14, 2018",0.000632,0.000654,0.000631,0.000654,9,"19,102"
litecred,"Jun 13, 2018",0.000647,0.000650,0.000620,0.000632,8,"19,547"
litecred,"Jun 12, 2018",0.000964,0.000964,0.000959,0.000961,1,"29,147"
litecred,"Jun 11, 2018",0.000951,0.000970,0.000935,0.000965,1,"28,744"
litecred,"Jun 10, 2018",0.001051,0.001051,0.001007,0.001015,2,"31,762"
litecred,"Jun 09, 2018",0.001070,0.001072,0.001049,0.001049,2,"32,351"
litecred,"Jun 08, 2018",0.000768,0.000770,0.000767,0.000768,10,"23,223"
litecred,"Jun 07, 2018",0.000772,0.000773,0.000765,0.000768,10,"23,348"
litecred,"Jun 05, 2018",0.000825,0.000840,0.000812,0.000839,3,"24,946"
litecred,"Jun 04, 2018",0.000824,0.000829,0.000823,0.000825,2,"24,893"
litecred,"Jun 03, 2018",0.001069,0.001082,0.001064,0.001077,1,"32,310"
litecred,"Jun 02, 2018",0.001052,0.001074,0.001046,0.001069,1,"31,810"
litecred,"Jun 01, 2018",0.000824,0.001055,0.000744,0.001053,104,"24,910"
litecred,"May 31, 2018",0.000886,0.000886,0.000818,0.000823,1,"26,779"
litecred,"May 30, 2018",0.000900,0.000905,0.000877,0.000886,1,"27,201"
litecred,"May 29, 2018",0.000783,0.000820,0.000779,0.000817,1,"23,669"
litecred,"May 28, 2018",0.000809,0.000815,0.000723,0.000783,86,"24,444"
litecred,"May 24, 2018",0.000902,0.000927,0.000873,0.000903,2,"27,276"
litecred,"May 23, 2018",0.000903,0.000916,0.000897,0.000905,3,"27,284"
litecred,"May 21, 2018",0.000853,0.000858,0.000840,0.000840,18,"25,777"
litecred,"May 20, 2018",0.000907,0.001004,0.000836,0.000852,26,"27,417"
litecred,"May 19, 2018",0.000824,0.000916,0.000817,0.000906,1,"24,905"
litecred,"May 18, 2018",0.000826,0.000827,0.000822,0.000824,58,"24,978"
litecred,"May 16, 2018",0.000849,0.000849,0.000813,0.000829,1,"25,652"
litecred,"May 15, 2018",0.001041,0.001058,0.000844,0.000849,1,"31,465"
litecred,"May 14, 2018",0.001008,0.001063,0.001003,0.001043,8,"30,477"
litecred,"May 13, 2018",0.000847,0.000876,0.000837,0.000872,1,"25,596"
litecred,"May 12, 2018",0.001091,0.001096,0.000843,0.000847,14,"32,989"
litecred,"May 11, 2018",0.000904,0.001098,0.000890,0.001095,6,"27,320"
litecred,"May 10, 2018",0.000931,0.000939,0.000902,0.000903,1,"28,154"
litecred,"May 09, 2018",0.001012,0.001023,0.000924,0.000932,99,"30,587"
litecred,"May 08, 2018",0.001030,0.001126,0.000907,0.001013,156,"31,145"
litecred,"May 07, 2018",0.001346,0.001347,0.001019,0.001028,44,"40,684"
litecred,"May 06, 2018",0.001190,0.001346,0.001133,0.001345,52,"35,986"
litecred,"May 05, 2018",0.001163,0.001195,0.001161,0.001181,3,"35,158"
litecred,"May 04, 2018",0.001170,0.001172,0.001148,0.001164,10,"35,358"
litecred,"May 03, 2018",0.001110,0.001176,0.001102,0.001170,78,"33,547"
litecred,"May 02, 2018",0.001083,0.001100,0.001083,0.001100,3,"32,750"
litecred,"May 01, 2018",0.001109,0.001109,0.001064,0.001090,3,"33,520"
litecred,"Apr 30, 2018",0.001410,0.001416,0.001102,0.001108,3,"42,628"
litecred,"Apr 29, 2018",0.001423,0.001423,0.001388,0.001411,1,"43,017"
litecred,"Apr 28, 2018",0.001427,0.001508,0.001423,0.001498,12,"43,120"
litecred,"Apr 27, 2018",0.001209,0.001499,0.001198,0.001431,12,"36,534"
litecred,"Apr 26, 2018",0.001064,0.001210,0.001038,0.001207,1,"32,149"
litecred,"Apr 25, 2018",0.001261,0.001267,0.001053,0.001055,122,"38,110"
litecred,"Apr 24, 2018",0.001160,0.001269,0.001160,0.001269,142,"35,072"
litecred,"Apr 23, 2018",0.001405,0.001418,0.001148,0.001159,52,"42,470"
litecred,"Apr 22, 2018",0.001339,0.001417,0.001313,0.001408,12,"40,482"
litecred,"Apr 21, 2018",0.001415,0.001436,0.001307,0.001339,4,"42,763"
litecred,"Apr 20, 2018",0.001158,0.001427,0.001153,0.001414,168,"34,993"
litecred,"Apr 19, 2018",0.001470,0.001728,0.001151,0.001157,192,"44,422"
litecred,"Apr 18, 2018",0.001579,0.001626,0.001437,0.001468,28,"47,736"
litecred,"Apr 17, 2018",0.001690,0.001710,0.001573,0.001578,3,"51,097"
litecred,"Apr 16, 2018",0.001502,0.001693,0.001425,0.001690,12,"45,407"
litecred,"Apr 15, 2018",0.001520,0.001541,0.001454,0.001503,61,"45,953"
litecred,"Apr 14, 2018",0.001180,0.001535,0.001176,0.001519,4,"35,670"
litecred,"Apr 13, 2018",0.001663,0.001808,0.001173,0.001180,92,"50,264"
litecred,"Apr 12, 2018",0.001459,0.001669,0.001420,0.001661,74,"44,094"
litecred,"Apr 11, 2018",0.001435,0.001462,0.001430,0.001462,70,"43,362"
litecred,"Apr 10, 2018",0.001420,0.001442,0.001148,0.001433,27,"42,914"
litecred,"Apr 09, 2018",0.001616,0.001638,0.001125,0.001419,98,"48,842"
litecred,"Apr 08, 2018",0.001519,0.001625,0.001519,0.001613,2,"45,914"
litecred,"Apr 07, 2018",0.001655,0.001971,0.001299,0.001518,677,"50,037"
litecred,"Apr 06, 2018",0.001830,0.001849,0.001639,0.001653,22,"55,305"
litecred,"Apr 05, 2018",0.002038,0.002050,0.001832,0.001839,1,"61,590"
litecred,"Apr 04, 2018",0.002225,0.002225,0.002018,0.002037,61,"67,254"
litecred,"Apr 03, 2018",0.001833,0.002248,0.001825,0.002226,67,"55,401"
litecred,"Apr 02, 2018",0.001979,0.002055,0.001795,0.001831,78,"59,830"
litecred,"Apr 01, 2018",0.001871,0.002013,0.001677,0.001970,15,"56,557"
litecred,"Mar 31, 2018",0.001846,0.001943,0.001841,0.001871,1,"55,802"
litecred,"Mar 30, 2018",0.001913,0.001944,0.001783,0.001846,1,"57,814"
litecred,"Mar 29, 2018",0.002144,0.002148,0.001862,0.001917,16,"64,812"
litecred,"Mar 28, 2018",0.002119,0.002187,0.002109,0.002142,2,"64,048"
litecred,"Mar 27, 2018",0.002369,0.002377,0.002250,0.002288,1,"71,610"
litecred,"Mar 26, 2018",0.002448,0.002461,0.002277,0.002373,1,"73,984"
litecred,"Mar 25, 2018",0.002211,0.002504,0.002192,0.002449,6,"66,828"
litecred,"Mar 24, 2018",0.002313,0.002338,0.002236,0.002242,21,"69,930"
litecred,"Mar 23, 2018",0.002436,0.002436,0.002328,0.002408,19,"73,646"
litecred,"Mar 22, 2018",0.002491,0.002540,0.002386,0.002436,19,"75,290"
litecred,"Mar 21, 2018",0.002226,0.002506,0.002223,0.002495,19,"67,290"
litecred,"Mar 20, 2018",0.002414,0.002420,0.002133,0.002222,41,"72,985"
litecred,"Mar 19, 2018",0.002375,0.002483,0.002309,0.002388,52,"71,797"
litecred,"Mar 18, 2018",0.002287,0.002410,0.002063,0.002385,15,"69,134"
litecred,"Mar 17, 2018",0.002241,0.002332,0.001942,0.002293,57,"67,752"
litecred,"Mar 16, 2018",0.002396,0.002488,0.002238,0.002238,59,"72,413"
litecred,"Mar 15, 2018",0.002544,0.002560,0.002289,0.002397,54,"76,905"
litecred,"Mar 14, 2018",0.002836,0.002901,0.002479,0.002545,8,"85,735"
litecred,"Mar 13, 2018",0.002727,0.002855,0.002680,0.002836,36,"82,420"
litecred,"Mar 12, 2018",0.002672,0.002770,0.002402,0.002742,158,"80,781"
litecred,"Mar 11, 2018",0.002633,0.002749,0.002543,0.002681,8,"79,577"
litecred,"Mar 10, 2018",0.002593,0.002823,0.002564,0.002642,37,"78,372"
litecred,"Mar 09, 2018",0.002881,0.003436,0.002341,0.002592,280,"87,085"
litecred,"Mar 08, 2018",0.003066,0.003105,0.002538,0.002899,15,"92,681"
litecred,"Mar 07, 2018",0.003430,0.003710,0.002613,0.003070,177,"103,683"
litecred,"Mar 06, 2018",0.003452,0.003479,0.002808,0.003435,218,"104,334"
litecred,"Mar 05, 2018",0.003564,0.003969,0.003460,0.003461,100,"107,739"
litecred,"Mar 04, 2018",0.003661,0.003664,0.003441,0.003567,86,"110,656"
litecred,"Mar 03, 2018",0.003526,0.004367,0.003526,0.003667,77,"106,589"
litecred,"Mar 02, 2018",0.003489,0.003568,0.003458,0.003531,76,"105,470"
litecred,"Mar 01, 2018",0.003407,0.003651,0.003381,0.003498,16,"102,993"
litecred,"Feb 28, 2018",0.003413,0.003951,0.003392,0.003402,54,"103,156"
litecred,"Feb 27, 2018",0.003403,0.003998,0.003356,0.003417,184,"102,860"
litecred,"Feb 26, 2018",0.003068,0.003437,0.003011,0.003393,31,"92,729"
litecred,"Feb 25, 2018",0.003684,0.003913,0.002982,0.003064,80,"111,374"
litecred,"Feb 24, 2018",0.003348,0.003730,0.003020,0.003690,87,"101,215"
litecred,"Feb 23, 2018",0.003249,0.003365,0.002877,0.003353,7,"98,204"
litecred,"Feb 22, 2018",0.004710,0.004710,0.002730,0.003252,158,"142,370"
litecred,"Feb 21, 2018",0.003701,0.004784,0.002920,0.004715,533,"111,886"
litecred,"Feb 20, 2018",0.003016,0.004098,0.003016,0.003706,187,"91,176"
litecred,"Feb 19, 2018",0.003012,0.003880,0.002825,0.003014,101,"91,059"
litecred,"Feb 18, 2018",0.003328,0.003665,0.003019,0.003026,260,"100,600"
litecred,"Feb 17, 2018",0.003568,0.003797,0.003179,0.003318,150,"107,844"
litecred,"Feb 16, 2018",0.001718,0.004260,0.001660,0.003569,202,"51,933"
litecred,"Feb 15, 2018",0.001727,0.002623,0.001209,0.001725,"1,544","52,194"
litecred,"Feb 14, 2018",0.000296,0.002353,0.000295,0.001725,"1,612","8,944"
litecred,"Feb 13, 2018",0.000953,0.001319,0.000297,0.000297,424,"28,803"
litecred,"Feb 12, 2018",0.000745,0.001623,0.000705,0.000951,233,"22,510"
litecred,"Feb 11, 2018",0.002101,0.002101,0.000619,0.000740,774,"63,507"
litecred,"Feb 10, 2018",0.001769,0.003036,0.001532,0.002103,"1,019","53,483"
litecred,"Feb 09, 2018",0.000330,0.002635,0.000314,0.001768,933,"9,981"
litecred,"Feb 08, 2018",0.000530,0.000601,0.000323,0.000329,201,"16,029"
litecred,"Feb 07, 2018",0.000540,0.000942,0.000506,0.000532,95,"16,310"
litecred,"Feb 06, 2018",0.002221,0.002327,0.000480,0.000545,6,"67,133"
litecred,"Feb 05, 2018",0.002150,0.002933,0.002069,0.002218,176,"64,996"
litecred,"Feb 04, 2018",0.001741,0.002737,0.001133,0.002171,136,"52,640"
litecred,"Feb 03, 2018",0.000905,0.002019,0.000701,0.001741,"1,536","27,354"
litecred,"Feb 02, 2018",0.002513,0.002514,0.000874,0.000902,485,"75,961"
litecred,"Feb 01, 2018",0.001978,0.002662,0.001837,0.002518,204,"59,775"
litecred,"Jan 31, 2018",0.003048,0.003053,0.001906,0.001973,352,"92,147"
litecred,"Jan 30, 2018",0.001149,0.003523,0.001148,0.003044,240,"34,725"
litecred,"Jan 29, 2018",0.004606,0.004666,0.001140,0.001148,680,"139,238"
litecred,"Jan 28, 2018",0.003282,0.004647,0.002986,0.004611,962,"99,215"
litecred,"Jan 27, 2018",0.002722,0.003333,0.002071,0.003266,225,"82,284"
litecred,"Jan 26, 2018",0.003906,0.004021,0.002564,0.002724,491,"118,073"
litecred,"Jan 25, 2018",0.004104,0.004202,0.003493,0.003917,39,"124,059"
litecred,"Jan 24, 2018",0.004135,0.004431,0.003557,0.004038,398,"124,980"
litecred,"Jan 23, 2018",0.002382,0.004436,0.002201,0.004137,412,"72,010"
litecred,"Jan 22, 2018",0.004063,0.004136,0.002238,0.002389,81,"122,809"
litecred,"Jan 21, 2018",0.003245,0.004087,0.003091,0.004008,574,"98,098"
litecred,"Jan 20, 2018",0.003122,0.004294,0.003120,0.003238,"1,178","94,361"
litecred,"Jan 19, 2018",0.003211,0.004128,0.003049,0.003088,680,"97,060"
litecred,"Jan 18, 2018",0.002629,0.003621,0.002585,0.003245,319,"79,457"
litecred,"Jan 17, 2018",0.003020,0.003539,0.002338,0.002619,716,"91,273"
litecred,"Jan 16, 2018",0.003791,0.004083,0.002787,0.003035,513,"114,587"
litecred,"Jan 15, 2018",0.003604,0.004930,0.003604,0.003786,847,"108,930"
litecred,"Jan 14, 2018",0.003312,0.004903,0.003306,0.003630,"1,953","100,127"
litecred,"Jan 13, 2018",0.002913,0.003809,0.002778,0.003310,"1,052","88,051"
litecred,"Jan 12, 2018",0.002302,0.003490,0.002196,0.002916,780,"69,594"
litecred,"Jan 11, 2018",0.003244,0.003256,0.002248,0.002287,63,"98,063"
litecred,"Jan 10, 2018",0.002783,0.003345,0.002440,0.003248,547,"84,132"
litecred,"Jan 09, 2018",0.002682,0.003549,0.002624,0.002780,137,"81,066"
litecred,"Jan 08, 2018",0.002939,0.003438,0.002602,0.002689,"1,061","88,838"
litecred,"Jan 07, 2018",0.002598,0.003324,0.002437,0.002943,758,"78,520"
litecred,"Jan 06, 2018",0.002208,0.003169,0.002154,0.002600,760,"66,740"
litecred,"Jan 05, 2018",0.002691,0.002811,0.001885,0.002206,605,"81,358"
litecred,"Jan 04, 2018",0.003638,0.003697,0.001858,0.002691,534,"109,975"
litecred,"Jan 03, 2018",0.001747,0.003317,0.001604,0.003316,911,"52,795"
