Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
litedoge,"Jul 02, 2018",0.000075,0.000102,0.000063,0.000096,604,"1,130,050"
litedoge,"Jul 01, 2018",0.000064,0.000075,0.000063,0.000075,934,"963,402"
litedoge,"Jun 30, 2018",0.000062,0.000105,0.000062,0.000064,852,"932,166"
litedoge,"Jun 29, 2018",0.000099,0.000104,0.000058,0.000062,650,"1,481,450"
litedoge,"Jun 28, 2018",0.000061,0.000119,0.000061,0.000098,595,"921,708"
litedoge,"Jun 27, 2018",0.000084,0.000086,0.000060,0.000061,"3,828","1,269,230"
litedoge,"Jun 26, 2018",0.000102,0.000103,0.000061,0.000085,"2,189","1,538,140"
litedoge,"Jun 25, 2018",0.000108,0.000109,0.000062,0.000102,998,"1,616,480"
litedoge,"Jun 24, 2018",0.000094,0.000110,0.000059,0.000108,826,"1,406,370"
litedoge,"Jun 23, 2018",0.000087,0.000097,0.000071,0.000094,"1,493","1,306,540"
litedoge,"Jun 22, 2018",0.000129,0.000129,0.000062,0.000087,"2,224","1,936,310"
litedoge,"Jun 21, 2018",0.000076,0.000130,0.000068,0.000129,"6,917","1,145,720"
litedoge,"Jun 20, 2018",0.000075,0.000124,0.000071,0.000076,437,"1,128,870"
litedoge,"Jun 19, 2018",0.000072,0.000128,0.000069,0.000075,"1,435","1,083,340"
litedoge,"Jun 18, 2018",0.000083,0.000090,0.000071,0.000072,"1,222","1,254,180"
litedoge,"Jun 17, 2018",0.000078,0.000090,0.000067,0.000084,817,"1,171,060"
litedoge,"Jun 16, 2018",0.000085,0.000085,0.000069,0.000078,"1,788","1,272,050"
litedoge,"Jun 15, 2018",0.000127,0.000128,0.000066,0.000085,"1,255","1,911,480"
litedoge,"Jun 14, 2018",0.000087,0.000128,0.000067,0.000127,"8,068","1,303,220"
litedoge,"Jun 13, 2018",0.000100,0.000101,0.000063,0.000087,"1,641","1,508,720"
litedoge,"Jun 12, 2018",0.000073,0.000118,0.000066,0.000100,"3,312","1,099,370"
litedoge,"Jun 11, 2018",0.000094,0.000102,0.000073,0.000073,"1,519","1,405,460"
litedoge,"Jun 10, 2018",0.000081,0.000121,0.000070,0.000093,"2,449","1,213,880"
litedoge,"Jun 09, 2018",0.000085,0.000131,0.000081,0.000081,"1,015","1,283,530"
litedoge,"Jun 08, 2018",0.000087,0.000129,0.000084,0.000086,"2,583","1,299,780"
litedoge,"Jun 07, 2018",0.000104,0.000130,0.000077,0.000087,"15,247","1,560,980"
litedoge,"Jun 06, 2018",0.000121,0.000124,0.000098,0.000103,"1,934","1,816,020"
litedoge,"Jun 05, 2018",0.000121,0.000126,0.000093,0.000121,"1,097","1,823,190"
litedoge,"Jun 04, 2018",0.000121,0.000122,0.000087,0.000121,"1,901","1,813,950"
litedoge,"Jun 03, 2018",0.000114,0.000133,0.000114,0.000120,"1,463","1,709,980"
litedoge,"Jun 02, 2018",0.000137,0.000137,0.000084,0.000114,"2,314","2,055,160"
litedoge,"Jun 01, 2018",0.000090,0.000137,0.000078,0.000137,"4,431","1,343,860"
litedoge,"May 31, 2018",0.000082,0.000134,0.000082,0.000089,"1,325","1,232,320"
litedoge,"May 30, 2018",0.000134,0.000135,0.000079,0.000083,"1,718","2,006,110"
litedoge,"May 29, 2018",0.000105,0.000142,0.000079,0.000134,"6,156","1,574,800"
litedoge,"May 28, 2018",0.000098,0.000126,0.000085,0.000105,"1,986","1,465,470"
litedoge,"May 27, 2018",0.000111,0.000112,0.000096,0.000098,"1,537","1,669,010"
litedoge,"May 26, 2018",0.000126,0.000133,0.000081,0.000111,"1,523","1,884,000"
litedoge,"May 25, 2018",0.000109,0.000137,0.000077,0.000126,"7,408","1,633,350"
litedoge,"May 24, 2018",0.000116,0.000130,0.000084,0.000109,"1,967","1,742,610"
litedoge,"May 23, 2018",0.000096,0.000125,0.000088,0.000116,"3,317","1,437,040"
litedoge,"May 22, 2018",0.000132,0.000132,0.000095,0.000096,"1,330","1,975,690"
litedoge,"May 21, 2018",0.000132,0.000134,0.000100,0.000131,"2,465","1,985,280"
litedoge,"May 20, 2018",0.000143,0.000150,0.000092,0.000130,"4,176","2,152,510"
litedoge,"May 19, 2018",0.000135,0.000147,0.000096,0.000143,"6,268","2,033,030"
litedoge,"May 18, 2018",0.000084,0.000147,0.000082,0.000137,"1,779","1,261,280"
litedoge,"May 17, 2018",0.000157,0.000158,0.000079,0.000082,"3,767","2,358,740"
litedoge,"May 16, 2018",0.000116,0.000157,0.000090,0.000157,"1,752","1,735,890"
litedoge,"May 15, 2018",0.000152,0.000161,0.000107,0.000116,"3,632","2,283,700"
litedoge,"May 14, 2018",0.000161,0.000162,0.000112,0.000152,"2,374","2,421,690"
litedoge,"May 13, 2018",0.000151,0.000164,0.000103,0.000162,"6,532","2,260,500"
litedoge,"May 12, 2018",0.000105,0.000152,0.000098,0.000149,"1,934","1,577,960"
litedoge,"May 11, 2018",0.000169,0.000169,0.000104,0.000105,"7,208","2,532,390"
litedoge,"May 10, 2018",0.000166,0.000181,0.000101,0.000170,"5,457","2,485,200"
litedoge,"May 09, 2018",0.000115,0.000172,0.000109,0.000166,"7,066","1,723,140"
litedoge,"May 08, 2018",0.000162,0.000165,0.000113,0.000115,"4,111","2,425,670"
litedoge,"May 07, 2018",0.000183,0.000184,0.000112,0.000161,"2,788","2,750,280"
litedoge,"May 06, 2018",0.000176,0.000186,0.000112,0.000183,"4,637","2,637,270"
litedoge,"May 05, 2018",0.000155,0.000180,0.000140,0.000176,"6,378","2,327,680"
litedoge,"May 04, 2018",0.000163,0.000175,0.000138,0.000155,"4,538","2,444,930"
litedoge,"May 03, 2018",0.000164,0.000167,0.000131,0.000163,"4,669","2,452,740"
litedoge,"May 02, 2018",0.000149,0.000168,0.000118,0.000163,"3,230","2,237,680"
litedoge,"May 01, 2018",0.000144,0.000151,0.000120,0.000147,"1,958","2,159,570"
litedoge,"Apr 30, 2018",0.000119,0.000171,0.000116,0.000131,"3,962","1,778,960"
litedoge,"Apr 29, 2018",0.000163,0.000175,0.000116,0.000119,"2,494","2,446,240"
litedoge,"Apr 28, 2018",0.000152,0.000168,0.000134,0.000164,"1,062","2,273,330"
litedoge,"Apr 27, 2018",0.000183,0.000183,0.000103,0.000152,"4,025","2,739,680"
litedoge,"Apr 26, 2018",0.000164,0.000183,0.000093,0.000183,"14,420","2,464,850"
litedoge,"Apr 25, 2018",0.000173,0.000174,0.000127,0.000163,"3,459","2,589,030"
litedoge,"Apr 24, 2018",0.000174,0.000182,0.000111,0.000173,"4,403","2,609,290"
litedoge,"Apr 23, 2018",0.000157,0.000175,0.000099,0.000174,"9,161","2,356,500"
litedoge,"Apr 22, 2018",0.000161,0.000169,0.000131,0.000157,"1,400","2,405,710"
litedoge,"Apr 21, 2018",0.000162,0.000164,0.000124,0.000160,"4,496","2,430,760"
litedoge,"Apr 20, 2018",0.000130,0.000164,0.000118,0.000160,"6,602","1,941,120"
litedoge,"Apr 19, 2018",0.000155,0.000158,0.000122,0.000129,"4,283","2,320,250"
litedoge,"Apr 18, 2018",0.000138,0.000155,0.000124,0.000155,"2,816","2,066,160"
litedoge,"Apr 17, 2018",0.000146,0.000164,0.000126,0.000138,"5,504","2,193,470"
litedoge,"Apr 16, 2018",0.000166,0.000168,0.000081,0.000146,"5,745","2,485,200"
litedoge,"Apr 15, 2018",0.000138,0.000167,0.000081,0.000166,"10,257","2,061,080"
litedoge,"Apr 14, 2018",0.000151,0.000161,0.000116,0.000137,907,"2,260,320"
litedoge,"Apr 13, 2018",0.000154,0.000160,0.000084,0.000151,"2,121","2,301,410"
litedoge,"Apr 12, 2018",0.000073,0.000154,0.000073,0.000153,"2,201","1,092,780"
