Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
lunyr,"Jul 02, 2018",7.42,8.51,7.42,8.26,"4,422,780","17,056,300"
lunyr,"Jul 01, 2018",7.22,7.76,7.09,7.40,"3,179,670","16,598,400"
lunyr,"Jun 30, 2018",6.56,7.30,6.55,7.21,"2,631,870","15,070,800"
lunyr,"Jun 29, 2018",6.25,6.76,5.94,6.56,"4,053,900","14,360,800"
lunyr,"Jun 28, 2018",6.21,7.56,6.17,6.24,"3,734,240","14,263,800"
lunyr,"Jun 27, 2018",6.20,6.26,6.02,6.21,"1,859,330","14,248,200"
lunyr,"Jun 26, 2018",6.85,6.86,6.20,6.20,"1,443,580","15,738,800"
lunyr,"Jun 25, 2018",6.53,6.93,6.50,6.83,"2,071,430","15,016,100"
lunyr,"Jun 24, 2018",7.30,7.35,5.97,6.55,"3,000,370","16,763,200"
lunyr,"Jun 23, 2018",7.41,7.56,7.22,7.30,"1,865,460","17,020,600"
lunyr,"Jun 22, 2018",8.70,8.76,7.28,7.41,"2,782,310","20,000,100"
lunyr,"Jun 21, 2018",8.95,8.98,8.66,8.70,"2,800,350","20,558,900"
lunyr,"Jun 20, 2018",8.75,9.22,8.62,8.96,"3,288,160","20,097,700"
lunyr,"Jun 19, 2018",8.67,8.90,8.58,8.74,"2,034,270","19,918,300"
lunyr,"Jun 18, 2018",8.53,8.79,8.29,8.67,"3,009,760","19,594,000"
lunyr,"Jun 17, 2018",8.86,9.02,8.54,8.54,"2,347,960","20,365,700"
lunyr,"Jun 16, 2018",8.42,8.87,8.34,8.83,"3,298,380","19,339,300"
lunyr,"Jun 15, 2018",8.91,8.92,8.40,8.44,"2,657,520","20,476,200"
lunyr,"Jun 14, 2018",7.80,8.95,7.80,8.93,"4,484,470","17,933,000"
lunyr,"Jun 13, 2018",8.54,8.57,7.54,7.80,"5,392,330","19,616,200"
lunyr,"Jun 12, 2018",9.31,9.37,8.46,8.56,"7,634,390","21,382,400"
lunyr,"Jun 11, 2018",9.27,9.42,8.88,9.31,"6,154,830","21,301,600"
lunyr,"Jun 10, 2018",10.54,10.54,9.04,9.24,"7,688,970","24,219,100"
lunyr,"Jun 09, 2018",11.10,11.13,10.54,10.54,"5,042,510","25,496,100"
lunyr,"Jun 08, 2018",11.33,11.44,11.05,11.11,"5,831,430","26,029,400"
lunyr,"Jun 07, 2018",11.55,11.85,11.26,11.30,"6,952,660","26,533,700"
lunyr,"Jun 06, 2018",11.92,11.93,11.33,11.56,"7,055,020","27,390,200"
lunyr,"Jun 05, 2018",11.78,11.98,11.26,11.90,"5,520,330","27,073,200"
lunyr,"Jun 04, 2018",12.37,12.47,11.42,11.73,"6,877,670","28,415,200"
