Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
maecenas,"Jul 02, 2018",0.362615,0.455309,0.346391,0.416230,"23,735","10,932,900"
maecenas,"Jul 01, 2018",0.390699,0.409060,0.185016,0.343997,"54,014","11,779,600"
maecenas,"Jun 30, 2018",0.440009,0.459199,0.386055,0.390580,"3,246","13,266,300"
maecenas,"Jun 29, 2018",0.440445,0.444725,0.387482,0.439451,"1,662","13,279,500"
maecenas,"Jun 28, 2018",0.496845,0.520824,0.223120,0.440173,"82,984","14,980,000"
maecenas,"Jun 27, 2018",0.522912,0.535138,0.453552,0.496670,"146,825","15,765,900"
maecenas,"Jun 26, 2018",0.543585,0.544765,0.491205,0.523122,"5,745","16,389,200"
maecenas,"Jun 25, 2018",0.559706,0.600005,0.538466,0.543585,"8,488","16,875,200"
maecenas,"Jun 24, 2018",0.561169,0.611749,0.509885,0.560788,"24,033","16,919,300"
maecenas,"Jun 23, 2018",0.496171,0.616134,0.495310,0.561245,"84,415","14,959,600"
maecenas,"Jun 22, 2018",0.644602,0.674554,0.484620,0.496105,"32,065","19,434,900"
maecenas,"Jun 21, 2018",0.607631,0.793539,0.586110,0.645317,"121,441","18,320,200"
maecenas,"Jun 20, 2018",0.662626,0.668548,0.567394,0.594006,"10,073","19,978,300"
maecenas,"Jun 19, 2018",0.659620,0.798180,0.633861,0.662216,"142,961","19,887,600"
maecenas,"Jun 18, 2018",0.599121,0.707856,0.556425,0.659975,"130,783","18,063,600"
maecenas,"Jun 17, 2018",0.565953,0.605740,0.533185,0.601107,"6,265","17,063,600"
maecenas,"Jun 16, 2018",0.522693,0.566566,0.503928,0.564476,"6,932","15,759,300"
maecenas,"Jun 15, 2018",0.618310,0.620081,0.521419,0.522649,"22,387","18,642,200"
maecenas,"Jun 14, 2018",0.503866,0.673222,0.469408,0.619586,"142,038","15,191,600"
maecenas,"Jun 13, 2018",0.497934,0.550475,0.446981,0.504016,"26,819","15,012,800"
maecenas,"Jun 12, 2018",0.637739,0.637739,0.437713,0.496602,"16,527","19,227,900"
maecenas,"Jun 11, 2018",0.672669,0.677093,0.583391,0.638031,"2,105","20,281,100"
maecenas,"Jun 10, 2018",0.768448,0.815169,0.663758,0.671702,"16,300","23,168,800"
maecenas,"Jun 09, 2018",0.859115,0.992548,0.729990,0.767084,"57,300","25,902,400"
maecenas,"Jun 08, 2018",0.769466,0.860265,0.686851,0.859589,"52,409","23,199,500"
maecenas,"Jun 07, 2018",0.620197,0.827277,0.620197,0.768775,"62,031","18,699,000"
maecenas,"Jun 06, 2018",0.503177,0.628852,0.417743,0.619628,"21,047","15,170,900"
maecenas,"Jun 05, 2018",0.422153,0.507998,0.421670,0.503313,"3,569","12,728,000"
