Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
magiccoin,"Jul 02, 2018",0.144385,0.146105,0.137983,0.138941,105,"1,070,110"
magiccoin,"Jul 01, 2018",0.143651,0.146576,0.140263,0.144369,49,"1,064,610"
magiccoin,"Jun 30, 2018",0.150096,0.159012,0.142659,0.143619,134,"1,112,300"
magiccoin,"Jun 29, 2018",0.146125,0.156880,0.144464,0.149893,48,"1,082,800"
magiccoin,"Jun 28, 2018",0.154145,0.154598,0.140910,0.146032,569,"1,142,160"
magiccoin,"Jun 27, 2018",0.153408,0.154581,0.150922,0.154090,314,"1,136,640"
magiccoin,"Jun 26, 2018",0.179445,0.179835,0.149378,0.153469,414,"1,329,490"
magiccoin,"Jun 25, 2018",0.190669,0.200962,0.153805,0.179445,"1,247","1,412,580"
magiccoin,"Jun 24, 2018",0.222124,0.222485,0.182964,0.191038,584,"1,645,540"
magiccoin,"Jun 23, 2018",0.201530,0.245979,0.193103,0.222154,"4,261","1,492,910"
magiccoin,"Jun 22, 2018",0.232661,0.253103,0.190871,0.201503,"2,071","1,723,450"
magiccoin,"Jun 21, 2018",0.263577,0.271899,0.226704,0.232919,"1,570","1,952,360"
magiccoin,"Jun 20, 2018",0.307351,0.307650,0.237652,0.263523,"2,457","2,276,390"
magiccoin,"Jun 19, 2018",0.308378,0.336257,0.280956,0.307162,848,"2,283,780"
magiccoin,"Jun 18, 2018",0.293416,0.338352,0.269988,0.308544,"1,602","2,172,770"
magiccoin,"Jun 17, 2018",0.365173,0.367044,0.293445,0.294421,"3,009","2,703,890"
magiccoin,"Jun 16, 2018",0.370424,0.389666,0.333977,0.343568,"3,119","2,742,520"
magiccoin,"Jun 15, 2018",0.387730,0.392280,0.346404,0.371780,"3,865","2,870,380"
magiccoin,"Jun 14, 2018",0.326143,0.388388,0.326143,0.388371,"1,647","2,414,230"
magiccoin,"Jun 13, 2018",0.352586,0.395420,0.304786,0.326289,"6,932","2,609,720"
magiccoin,"Jun 12, 2018",0.310697,0.369972,0.308096,0.351675,"1,921","2,299,450"
magiccoin,"Jun 11, 2018",0.327114,0.335517,0.301509,0.310863,814,"2,420,740"
magiccoin,"Jun 10, 2018",0.311248,0.395333,0.281768,0.326647,"2,810","2,303,110"
magiccoin,"Jun 09, 2018",0.309432,0.395824,0.270367,0.310857,"3,794","2,289,460"
magiccoin,"Jun 08, 2018",0.259439,0.310958,0.254243,0.309565,389,"1,919,380"
magiccoin,"Jun 07, 2018",0.290497,0.305206,0.257757,0.259242,"4,071","2,148,960"
magiccoin,"Jun 06, 2018",0.356722,0.356999,0.273210,0.290230,"6,111","2,638,610"
magiccoin,"Jun 05, 2018",0.420204,0.445801,0.274460,0.356818,"4,114","3,107,880"
magiccoin,"Jun 04, 2018",0.370181,0.458050,0.361406,0.420002,"3,303","2,737,640"
magiccoin,"Jun 03, 2018",0.399990,0.400876,0.364425,0.366002,"3,145","2,957,810"
magiccoin,"Jun 02, 2018",0.342006,0.431227,0.340088,0.399882,"2,370","2,528,780"
magiccoin,"Jun 01, 2018",0.239807,0.498344,0.239456,0.342154,"21,373","1,772,950"
