Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
magnetcoin,"Jul 02, 2018",0.053375,0.054846,0.052084,0.054506,27,-
magnetcoin,"Jul 01, 2018",0.053718,0.054020,0.053261,0.053369,21,-
magnetcoin,"Jun 30, 2018",0.052245,0.054444,0.052242,0.053705,63,-
magnetcoin,"Jun 29, 2018",0.049413,0.053071,0.048851,0.052174,40,-
magnetcoin,"Jun 28, 2018",0.051709,0.051861,0.049102,0.049381,22,-
magnetcoin,"Jun 27, 2018",0.051197,0.051938,0.050708,0.051691,40,-
magnetcoin,"Jun 26, 2018",0.052921,0.053036,0.051169,0.051217,89,-
magnetcoin,"Jun 25, 2018",0.059292,0.062270,0.051581,0.052921,244,-
magnetcoin,"Jun 24, 2018",0.051307,0.060316,0.048488,0.059407,169,-
magnetcoin,"Jun 23, 2018",0.058885,0.059951,0.050934,0.051314,16,-
magnetcoin,"Jun 22, 2018",0.055530,0.060717,0.050294,0.058878,27,-
magnetcoin,"Jun 21, 2018",0.058670,0.071239,0.055399,0.055591,86,-
magnetcoin,"Jun 20, 2018",0.064848,0.065118,0.055505,0.055823,734,-
magnetcoin,"Jun 19, 2018",0.055726,0.079411,0.055437,0.064808,410,-
magnetcoin,"Jun 18, 2018",0.053238,0.056155,0.052905,0.055756,511,-
magnetcoin,"Jun 17, 2018",0.056858,0.057285,0.056467,0.056991,7,-
magnetcoin,"Jun 16, 2018",0.064349,0.065096,0.056708,0.056708,129,-
magnetcoin,"Jun 15, 2018",0.059794,0.066621,0.059097,0.064585,106,-
magnetcoin,"Jun 14, 2018",0.062246,0.064319,0.059450,0.059893,50,-
magnetcoin,"Jun 13, 2018",0.064250,0.071128,0.060630,0.062274,93,-
magnetcoin,"Jun 12, 2018",0.077322,0.077844,0.063698,0.064084,103,-
magnetcoin,"Jun 11, 2018",0.059555,0.059931,0.058712,0.059309,155,-
magnetcoin,"Jun 10, 2018",0.066122,0.066122,0.058600,0.059470,155,-
magnetcoin,"Jun 09, 2018",0.067393,0.067393,0.066039,0.066039,17,-
