Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
masternodecoin,"Jul 02, 2018",0.012312,0.017830,0.012282,0.017574,571,"654,337"
masternodecoin,"Jul 01, 2018",0.012583,0.012654,0.012193,0.012311,168,"668,248"
masternodecoin,"Jun 30, 2018",0.010983,0.012625,0.010982,0.012580,50,"582,850"
masternodecoin,"Jun 29, 2018",0.010211,0.011439,0.010153,0.010968,110,"541,538"
masternodecoin,"Jun 28, 2018",0.012452,0.012488,0.010147,0.010205,269,"659,910"
masternodecoin,"Jun 27, 2018",0.011431,0.012507,0.011357,0.012447,78,"605,395"
masternodecoin,"Jun 26, 2018",0.014496,0.014552,0.011425,0.011436,77,"767,165"
masternodecoin,"Jun 25, 2018",0.014331,0.014653,0.014122,0.014496,559,"757,929"
masternodecoin,"Jun 24, 2018",0.014122,0.014491,0.013288,0.014359,277,"746,348"
masternodecoin,"Jun 23, 2018",0.013617,0.014286,0.013593,0.014124,103,"719,164"
masternodecoin,"Jun 22, 2018",0.012825,0.014594,0.012415,0.013555,855,"676,758"
masternodecoin,"Jun 21, 2018",0.011477,0.012860,0.011049,0.012839,179,"605,334"
masternodecoin,"Jun 20, 2018",0.012835,0.012847,0.010791,0.011475,764,"676,432"
masternodecoin,"Jun 19, 2018",0.012787,0.012887,0.011217,0.012826,135,"673,484"
masternodecoin,"Jun 18, 2018",0.011659,0.012879,0.010373,0.012794,600,"613,609"
masternodecoin,"Jun 17, 2018",0.012011,0.013473,0.010417,0.011699,"1,811","631,709"
masternodecoin,"Jun 16, 2018",0.014000,0.014963,0.010433,0.011980,852,"735,769"
masternodecoin,"Jun 15, 2018",0.015281,0.015299,0.012644,0.014051,670,"802,496"
masternodecoin,"Jun 14, 2018",0.014598,0.015379,0.014568,0.015306,165,"766,085"
masternodecoin,"Jun 13, 2018",0.016194,0.017098,0.014578,0.014604,18,"849,127"
masternodecoin,"Jun 12, 2018",0.015290,0.016728,0.015162,0.016152,58,"801,276"
masternodecoin,"Jun 11, 2018",0.018632,0.018632,0.014857,0.015298,718,"975,694"
masternodecoin,"Jun 10, 2018",0.016662,0.028715,0.016223,0.018606,"1,064","871,884"
masternodecoin,"Jun 09, 2018",0.020898,0.021053,0.016641,0.016641,188,"1,092,770"
masternodecoin,"Jun 08, 2018",0.015672,0.030438,0.015587,0.020907,"1,190","818,910"
masternodecoin,"Jun 07, 2018",0.015620,0.015969,0.015463,0.015660,86,"815,580"
masternodecoin,"Jun 06, 2018",0.019441,0.019488,0.015251,0.015605,392,"1,014,370"
masternodecoin,"Jun 05, 2018",0.023032,0.023057,0.018008,0.019446,667,"1,200,890"
masternodecoin,"Jun 04, 2018",0.027983,0.030143,0.019532,0.023021,"2,149","1,458,000"
masternodecoin,"Jun 03, 2018",0.014583,0.035890,0.013465,0.027970,"9,781","759,254"
masternodecoin,"Jun 02, 2018",0.014357,0.014590,0.012785,0.014579,297,"746,978"
masternodecoin,"Jun 01, 2018",0.012886,0.016246,0.012576,0.014363,"2,278","669,968"
masternodecoin,"May 31, 2018",0.014470,0.014869,0.012797,0.012876,575,"751,821"
masternodecoin,"May 30, 2018",0.016497,0.016686,0.014318,0.014473,310,"856,520"
masternodecoin,"May 29, 2018",0.013952,0.018267,0.013876,0.016486,"1,134","723,904"
masternodecoin,"May 28, 2018",0.016454,0.018395,0.013914,0.013957,"2,762","853,087"
masternodecoin,"May 27, 2018",0.019951,0.019951,0.016431,0.016450,"1,023","1,033,710"
masternodecoin,"May 26, 2018",0.020612,0.021040,0.019835,0.019943,35,"1,067,160"
masternodecoin,"May 25, 2018",0.021856,0.022025,0.019580,0.020639,108,"1,130,820"
masternodecoin,"May 24, 2018",0.021882,0.022469,0.021056,0.021815,172,"1,131,330"
masternodecoin,"May 23, 2018",0.025371,0.025445,0.021593,0.021937,120,"1,310,790"
masternodecoin,"May 22, 2018",0.026148,0.033392,0.025175,0.025397,"1,349","1,350,000"
masternodecoin,"May 21, 2018",0.024559,0.034065,0.024479,0.026153,"2,061","1,267,080"
masternodecoin,"May 20, 2018",0.023664,0.024718,0.023511,0.024528,81,"1,220,050"
masternodecoin,"May 19, 2018",0.023893,0.024039,0.023563,0.023647,55,"1,230,970"
masternodecoin,"May 18, 2018",0.023507,0.024197,0.023159,0.023897,239,"1,210,230"
masternodecoin,"May 17, 2018",0.026130,0.026601,0.023400,0.023487,967,"1,344,340"
masternodecoin,"May 16, 2018",0.033690,0.033718,0.025375,0.026114,667,"1,732,050"
masternodecoin,"May 15, 2018",0.026284,0.039687,0.026239,0.033710,"3,341","1,350,330"
masternodecoin,"May 14, 2018",0.027287,0.029550,0.024981,0.026329,399,"1,400,890"
masternodecoin,"May 13, 2018",0.023286,0.029508,0.022658,0.027292,"1,289","1,194,620"
masternodecoin,"May 12, 2018",0.021827,0.031055,0.021413,0.023294,"1,291","1,118,940"
masternodecoin,"May 11, 2018",0.026391,0.026391,0.021852,0.021891,"4,273","1,351,940"
masternodecoin,"May 10, 2018",0.027383,0.027576,0.026334,0.026359,392,"1,401,740"
masternodecoin,"May 09, 2018",0.028333,0.028343,0.026348,0.027390,235,"1,449,350"
masternodecoin,"May 08, 2018",0.028756,0.029022,0.026741,0.028376,650,"1,469,950"
masternodecoin,"May 07, 2018",0.031148,0.031249,0.028086,0.028695,916,"1,591,090"
masternodecoin,"May 06, 2018",0.040101,0.040382,0.024872,0.031126,"4,080","2,046,920"
masternodecoin,"May 05, 2018",0.040127,0.040869,0.039155,0.040074,"1,695","2,046,770"
masternodecoin,"May 04, 2018",0.040063,0.040349,0.039217,0.040147,157,"2,041,990"
masternodecoin,"May 03, 2018",0.041579,0.043817,0.036836,0.040079,"1,573","2,117,730"
masternodecoin,"May 02, 2018",0.043600,0.045181,0.040717,0.041577,443,"2,219,080"
masternodecoin,"May 01, 2018",0.047868,0.047868,0.042539,0.043666,546,"2,434,520"
masternodecoin,"Apr 30, 2018",0.060264,0.060359,0.047408,0.047826,"1,090","3,062,810"
masternodecoin,"Apr 29, 2018",0.045980,0.060328,0.045980,0.060284,276,"2,335,170"
masternodecoin,"Apr 28, 2018",0.051711,0.056940,0.045620,0.045998,477,"2,624,340"
masternodecoin,"Apr 27, 2018",0.048717,0.053041,0.047080,0.051889,"1,743","2,470,620"
masternodecoin,"Apr 26, 2018",0.054064,0.054285,0.041951,0.048649,790,"2,739,830"
masternodecoin,"Apr 25, 2018",0.063037,0.064999,0.053545,0.053620,361,"3,201,480"
masternodecoin,"Apr 24, 2018",0.059440,0.066610,0.059413,0.063468,298,"3,016,640"
masternodecoin,"Apr 23, 2018",0.050053,0.074266,0.050011,0.059389,"4,207","2,538,370"
masternodecoin,"Apr 22, 2018",0.055891,0.055891,0.049891,0.050154,267,"2,832,390"
masternodecoin,"Apr 21, 2018",0.053051,0.070665,0.052646,0.055891,"2,329","2,686,530"
masternodecoin,"Apr 20, 2018",0.050605,0.059207,0.050572,0.053033,"4,462","2,560,800"
masternodecoin,"Apr 19, 2018",0.032657,0.057568,0.032546,0.050572,"6,189","1,651,400"
masternodecoin,"Apr 18, 2018",0.039086,0.041321,0.029014,0.032633,"1,953","1,975,060"
masternodecoin,"Apr 17, 2018",0.044755,0.045790,0.037743,0.039050,"2,418","2,259,930"
masternodecoin,"Apr 16, 2018",0.048069,0.048069,0.044103,0.044733,"1,384","2,425,520"
masternodecoin,"Apr 15, 2018",0.044647,0.048089,0.044647,0.048089,304,"2,251,240"
masternodecoin,"Apr 14, 2018",0.044920,0.045987,0.044153,0.044599,219,"2,263,380"
masternodecoin,"Apr 13, 2018",0.046955,0.048898,0.044670,0.044920,"1,617","2,364,230"
masternodecoin,"Apr 12, 2018",0.041748,0.047118,0.039222,0.046896,783,"2,100,500"
masternodecoin,"Apr 11, 2018",0.039961,0.049120,0.039847,0.041849,"2,231","2,008,890"
