Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
maverick-chain,"Jul 02, 2018",0.016952,0.019154,0.016355,0.018883,"1,006,310","1,711,440"
maverick-chain,"Jul 01, 2018",0.018012,0.019186,0.015778,0.017090,"1,184,270","1,818,480"
maverick-chain,"Jun 30, 2018",0.016836,0.019396,0.016283,0.017178,"644,476","1,699,320"
maverick-chain,"Jun 29, 2018",0.016412,0.018718,0.015443,0.017324,"1,093,910","1,656,560"
maverick-chain,"Jun 28, 2018",0.017236,0.018107,0.016238,0.016405,"1,177,400","1,739,760"
maverick-chain,"Jun 27, 2018",0.017825,0.018134,0.016411,0.017169,"639,218","1,799,160"
maverick-chain,"Jun 26, 2018",0.018276,0.019386,0.017639,0.017869,"928,512","1,844,730"
maverick-chain,"Jun 25, 2018",0.018631,0.018868,0.017557,0.018250,"633,720","1,880,510"
maverick-chain,"Jun 24, 2018",0.017712,0.018873,0.014913,0.018673,"364,576","1,787,760"
maverick-chain,"Jun 23, 2018",0.016464,0.018824,0.015970,0.017764,"274,730","1,661,790"
maverick-chain,"Jun 22, 2018",0.019218,0.019791,0.016156,0.016479,"455,938","1,939,800"
maverick-chain,"Jun 21, 2018",0.019794,0.020561,0.018594,0.019051,"240,223","1,988,350"
maverick-chain,"Jun 20, 2018",0.020196,0.020974,0.017651,0.019516,"247,014","2,025,650"
maverick-chain,"Jun 19, 2018",0.019787,0.021146,0.018533,0.020627,"261,752","1,978,870"
maverick-chain,"Jun 18, 2018",0.021285,0.021285,0.018897,0.019797,"206,202","2,128,750"
maverick-chain,"Jun 17, 2018",0.017358,0.022026,0.017358,0.021455,"490,426","1,736,020"
maverick-chain,"Jun 16, 2018",0.018413,0.018710,0.016507,0.017334,"501,422","1,841,510"
maverick-chain,"Jun 15, 2018",0.019271,0.019806,0.016588,0.018465,"556,547","1,927,310"
maverick-chain,"Jun 14, 2018",0.018029,0.029279,0.016979,0.019291,"785,853","1,803,100"
maverick-chain,"Jun 13, 2018",0.023297,0.023807,0.016813,0.018007,"688,419","2,329,920"
maverick-chain,"Jun 12, 2018",0.023557,0.029578,0.021838,0.023312,"994,377","2,355,970"
maverick-chain,"Jun 11, 2018",0.024651,0.024749,0.023256,0.023652,"896,948","2,465,380"
maverick-chain,"Jun 10, 2018",0.025745,0.032655,0.024065,0.024686,"1,076,450","2,574,800"
maverick-chain,"Jun 09, 2018",0.025480,0.026831,0.025443,0.025667,"1,165,870","2,548,250"
maverick-chain,"Jun 08, 2018",0.025167,0.025859,0.024415,0.025522,"740,072","2,517,030"
maverick-chain,"Jun 07, 2018",0.024979,0.035713,0.023642,0.025214,"1,432,480","2,498,180"
maverick-chain,"Jun 06, 2018",0.025366,0.028449,0.023887,0.024976,"1,151,460","2,536,900"
maverick-chain,"Jun 05, 2018",0.025973,0.026006,0.023434,0.025364,"2,065,670","2,597,560"
maverick-chain,"Jun 04, 2018",0.025485,0.026589,0.021697,0.025956,"1,764,660","2,548,500"
maverick-chain,"Jun 03, 2018",0.024112,0.024916,0.023313,0.024916,"1,616,940","2,411,200"
maverick-chain,"Jun 02, 2018",0.022857,0.024507,0.016914,0.024259,"1,425,550","2,285,690"
maverick-chain,"Jun 01, 2018",0.023165,0.023927,0.022180,0.022869,"976,841","2,316,500"
maverick-chain,"May 31, 2018",0.023102,0.024229,0.022694,0.023245,"1,057,330","2,310,180"
maverick-chain,"May 30, 2018",0.024686,0.025556,0.022475,0.023103,"1,062,990","2,468,580"
maverick-chain,"May 29, 2018",0.026849,0.036074,0.024082,0.024719,"951,384","2,684,880"
maverick-chain,"May 28, 2018",0.026007,0.032951,0.025137,0.026866,"1,036,710","2,600,750"
maverick-chain,"May 27, 2018",0.025492,0.032726,0.025216,0.025995,"5,258","2,549,210"
maverick-chain,"May 26, 2018",0.026493,0.029111,0.025170,0.025779,"535,188","2,649,280"
maverick-chain,"May 25, 2018",0.030882,0.032890,0.026305,0.026418,"387,409","3,088,270"
maverick-chain,"May 24, 2018",0.026565,0.031391,0.026565,0.030726,"544,593","2,656,490"
maverick-chain,"May 23, 2018",0.032128,0.035870,0.020854,0.026610,"702,086","3,212,830"
maverick-chain,"May 22, 2018",0.032067,0.041343,0.030957,0.032301,"835,062","3,206,710"
maverick-chain,"May 21, 2018",0.028934,0.039828,0.028442,0.031452,"800,564","2,893,430"
maverick-chain,"May 20, 2018",0.031067,0.041147,0.027340,0.029204,"762,405","3,106,700"
maverick-chain,"May 19, 2018",0.030890,0.031562,0.030592,0.031070,"726,011","3,089,070"
maverick-chain,"May 18, 2018",0.030632,0.032140,0.029046,0.030646,"348,797","3,063,190"
maverick-chain,"May 17, 2018",0.033314,0.039510,0.028446,0.030594,"238,116","3,331,450"
maverick-chain,"May 16, 2018",0.032378,0.033297,0.029861,0.033294,"12,722","3,237,860"
maverick-chain,"May 15, 2018",0.035283,0.039698,0.030674,0.032267,"523,768","3,528,340"
maverick-chain,"May 14, 2018",0.032733,0.036547,0.031700,0.035342,"17,960","3,273,370"
maverick-chain,"May 13, 2018",0.032249,0.041191,0.031649,0.032809,"101,443","3,224,920"
maverick-chain,"May 12, 2018",0.032644,0.041395,0.031508,0.032288,"284,391","3,264,440"
maverick-chain,"May 11, 2018",0.036223,0.036441,0.032292,0.033481,"21,817","3,622,340"
maverick-chain,"May 10, 2018",0.035128,0.041528,0.034874,0.036182,"21,975","3,512,840"
maverick-chain,"May 09, 2018",0.035105,0.039829,0.034656,0.035124,"420,663","3,510,550"
maverick-chain,"May 08, 2018",0.035176,0.041382,0.034282,0.035243,"287,099","3,517,660"
maverick-chain,"May 07, 2018",0.033793,0.041694,0.033402,0.035169,"405,882","3,379,320"
maverick-chain,"May 06, 2018",0.038679,0.042376,0.033399,0.034370,"479,986","3,867,950"
maverick-chain,"May 05, 2018",0.039824,0.040441,0.032490,0.038678,"823,948","3,982,460"
maverick-chain,"May 04, 2018",0.038984,0.041729,0.036075,0.039780,"735,627","3,898,400"
maverick-chain,"May 03, 2018",0.037874,0.039244,0.033222,0.038950,"647,351","3,787,440"
maverick-chain,"May 02, 2018",0.040190,0.041714,0.033029,0.037857,"729,196","4,019,040"
maverick-chain,"May 01, 2018",0.038643,0.041742,0.032169,0.040280,"662,108","3,864,290"
maverick-chain,"Apr 30, 2018",0.041043,0.041744,0.036593,0.038608,"16,543","4,104,290"
maverick-chain,"Apr 29, 2018",0.041856,0.042808,0.037904,0.040759,"347,080","4,185,670"
maverick-chain,"Apr 28, 2018",0.038436,0.045047,0.037979,0.041880,"23,754","3,843,590"
maverick-chain,"Apr 27, 2018",0.037868,0.041500,0.036290,0.038560,"12,246","3,786,820"
maverick-chain,"Apr 26, 2018",0.036365,0.039531,0.034784,0.036843,"286,372","3,636,570"
maverick-chain,"Apr 25, 2018",0.035047,0.039630,0.034718,0.036297,"296,231","3,504,680"
maverick-chain,"Apr 24, 2018",0.035822,0.040434,0.034830,0.039179,"324,636","3,582,200"
maverick-chain,"Apr 23, 2018",0.038084,0.040439,0.034864,0.035820,"1,059","3,808,470"
maverick-chain,"Apr 22, 2018",0.029469,0.039752,0.028598,0.038162,"267,569","2,946,900"
maverick-chain,"Apr 21, 2018",0.041301,0.050827,0.028592,0.029466,"60,868","4,130,100"
maverick-chain,"Apr 20, 2018",0.041662,0.306828,0.032624,0.042872,"4,306","4,166,220"
maverick-chain,"Apr 19, 2018",0.041368,0.044294,0.029697,0.041598,"21,141","4,136,790"
maverick-chain,"Apr 18, 2018",0.035680,0.041397,0.034014,0.041100,"38,363","3,568,080"
maverick-chain,"Apr 17, 2018",0.036823,0.037657,0.034666,0.035804,"16,690","3,682,360"
maverick-chain,"Apr 16, 2018",0.037073,0.041904,0.034561,0.036725,"16,614","3,707,280"
maverick-chain,"Apr 15, 2018",0.029141,0.045522,0.029141,0.041032,"18,704","2,914,120"
maverick-chain,"Apr 14, 2018",0.027791,0.033791,0.027537,0.029113,"498,731","2,779,140"
maverick-chain,"Apr 13, 2018",0.028701,0.035057,0.017926,0.027811,"378,632","2,870,100"
maverick-chain,"Apr 12, 2018",0.014032,0.087866,0.013660,0.023939,"271,322","1,403,180"
maverick-chain,"Apr 11, 2018",0.025873,0.032123,0.013787,0.014066,"4,537","2,587,330"
maverick-chain,"Apr 10, 2018",0.015476,0.032405,0.011787,0.023673,"6,479","1,547,620"
maverick-chain,"Apr 09, 2018",0.052245,0.060397,0.014399,0.015456,"2,082","5,224,560"
maverick-chain,"Apr 08, 2018",0.017692,0.051414,0.011569,0.051414,"1,240","1,769,250"
maverick-chain,"Apr 07, 2018",0.020895,0.032416,0.011637,0.015532,"6,676","2,089,480"
maverick-chain,"Apr 06, 2018",0.011145,0.034815,0.010829,0.030523,"7,626","1,114,500"
maverick-chain,"Apr 05, 2018",0.011614,0.016315,0.010894,0.011199,"2,364","1,161,400"
maverick-chain,"Apr 04, 2018",0.014364,0.017614,0.012209,0.015139,"7,167","1,436,440"
maverick-chain,"Apr 03, 2018",0.013389,0.017841,0.013373,0.015561,"6,577",-
maverick-chain,"Apr 02, 2018",0.020336,0.021999,0.011894,0.015634,"6,946",-
maverick-chain,"Apr 01, 2018",0.012956,0.032631,0.011440,0.012698,"5,869",-
maverick-chain,"Mar 31, 2018",0.031614,0.033084,0.011933,0.013857,"6,076",-
maverick-chain,"Mar 30, 2018",0.034320,0.035895,0.030829,0.032016,"8,559",-
maverick-chain,"Mar 29, 2018",0.038553,0.038786,0.033628,0.034409,"13,752",-
maverick-chain,"Mar 28, 2018",0.035590,0.038903,0.034067,0.038506,"7,230",-
maverick-chain,"Mar 27, 2018",0.031049,0.037553,0.027885,0.035594,"24,512",-
maverick-chain,"Mar 26, 2018",0.030473,0.041674,0.024647,0.030504,"21,936",-
maverick-chain,"Mar 25, 2018",0.042923,0.044140,0.026790,0.040505,"24,839",-
maverick-chain,"Mar 24, 2018",0.048051,0.057170,0.025000,0.043518,"31,686",-
maverick-chain,"Mar 23, 2018",0.069251,0.072663,0.037363,0.047958,"29,788",-
maverick-chain,"Mar 22, 2018",0.044564,0.074354,0.037657,0.043276,"30,164",-
maverick-chain,"Mar 21, 2018",0.042199,0.083621,0.036042,0.066242,"52,419",-
maverick-chain,"Mar 20, 2018",0.064467,0.082195,0.028555,0.058626,"28,835",-
maverick-chain,"Mar 19, 2018",0.071040,0.078114,0.029250,0.041161,"12,511",-
maverick-chain,"Mar 18, 2018",0.026882,0.088535,0.021701,0.074084,"47,010",-
maverick-chain,"Mar 17, 2018",0.030819,0.032236,0.021309,0.028210,"16,268",-
maverick-chain,"Mar 16, 2018",0.032853,0.043013,0.015227,0.028776,"9,458",-
maverick-chain,"Mar 15, 2018",0.045517,0.045801,0.027914,0.032042,"14,104",-
maverick-chain,"Mar 14, 2018",0.039574,0.059880,0.024816,0.045538,"17,547",-
maverick-chain,"Mar 13, 2018",0.051901,0.061457,0.030689,0.041537,"20,698",-
maverick-chain,"Mar 12, 2018",0.062663,0.065107,0.033924,0.052200,"42,655",-
maverick-chain,"Mar 11, 2018",0.056126,0.065378,0.052224,0.062861,"55,595",-
maverick-chain,"Mar 10, 2018",0.060919,0.062793,0.053833,0.056320,"39,853",-
maverick-chain,"Mar 09, 2018",0.057375,0.062793,0.050268,0.060893,"49,108",-
maverick-chain,"Mar 08, 2018",0.063223,0.067901,0.054104,0.057738,"46,012",-
maverick-chain,"Mar 07, 2018",0.083200,0.084091,0.056455,0.063313,"38,679",-
maverick-chain,"Mar 06, 2018",0.099181,0.099181,0.066633,0.083331,"17,314",-
maverick-chain,"Mar 05, 2018",0.120187,0.203519,0.059023,0.099480,"88,224",-
maverick-chain,"Mar 04, 2018",0.089265,0.200646,0.064901,0.177891,"132,438",-
maverick-chain,"Mar 03, 2018",0.092237,0.111242,0.062023,0.089419,"80,486",-
maverick-chain,"Mar 02, 2018",0.079170,0.095797,0.058037,0.092366,"61,366",-
maverick-chain,"Mar 01, 2018",0.060771,0.094958,0.057187,0.079374,"53,142",-
maverick-chain,"Feb 28, 2018",0.072109,0.095036,0.056415,0.060683,"44,513",-
maverick-chain,"Feb 27, 2018",0.077337,0.094199,0.056484,0.063572,"53,737",-
maverick-chain,"Feb 26, 2018",0.087333,0.088617,0.077115,0.077115,"12,877",-
maverick-chain,"Feb 25, 2018",0.081447,0.088561,0.080120,0.087221,287,-
maverick-chain,"Feb 24, 2018",0.101162,0.104670,0.078509,0.081570,"7,325",-
maverick-chain,"Feb 23, 2018",0.081220,0.104448,0.079216,0.101290,"6,627",-
maverick-chain,"Feb 22, 2018",0.106862,0.107491,0.079845,0.081296,"1,284",-
maverick-chain,"Feb 21, 2018",0.117998,0.118216,0.089400,0.106971,"1,927",-
maverick-chain,"Feb 20, 2018",0.111715,0.125426,0.097887,0.118145,"16,230",-
maverick-chain,"Feb 19, 2018",0.108032,0.112573,0.105235,0.111613,67,-
maverick-chain,"Feb 18, 2018",0.110935,0.117596,0.104789,0.108531,"9,381",-
maverick-chain,"Feb 17, 2018",0.111925,0.119606,0.106084,0.110596,"1,852",-
maverick-chain,"Feb 16, 2018",0.110995,0.113009,0.098209,0.111950,"18,046",-
maverick-chain,"Feb 15, 2018",0.103846,0.112227,0.097530,0.111471,"1,285",-
maverick-chain,"Feb 14, 2018",0.106288,0.106822,0.088313,0.103789,"1,146",-
maverick-chain,"Feb 13, 2018",0.106770,0.109615,0.087816,0.106606,"6,131",-
maverick-chain,"Feb 12, 2018",0.097276,0.112116,0.094852,0.106577,"7,856",-
maverick-chain,"Feb 11, 2018",0.088148,0.106099,0.072614,0.096660,"12,013",-
maverick-chain,"Feb 10, 2018",0.086020,0.100647,0.079836,0.088223,"58,981",-
maverick-chain,"Feb 09, 2018",0.075368,0.086331,0.066394,0.085957,"17,086",-
maverick-chain,"Feb 08, 2018",0.064843,0.084184,0.064843,0.075137,681,-
maverick-chain,"Feb 07, 2018",0.069297,0.082079,0.062470,0.065103,750,-
maverick-chain,"Feb 06, 2018",0.061769,0.070643,0.053067,0.069998,"2,130",-
maverick-chain,"Feb 05, 2018",0.082208,0.083718,0.056589,0.061691,"3,059",-
maverick-chain,"Feb 04, 2018",0.084123,0.108007,0.079527,0.083013,"10,329",-
maverick-chain,"Feb 03, 2018",0.071877,0.086356,0.069055,0.084080,969,-
maverick-chain,"Feb 02, 2018",0.074559,0.080153,0.062619,0.071632,"12,217",-
maverick-chain,"Feb 01, 2018",0.084618,0.092802,0.069829,0.074713,"9,389",-
maverick-chain,"Jan 31, 2018",0.084942,0.090812,0.079150,0.084422,"17,464",-
maverick-chain,"Jan 30, 2018",0.100686,0.102497,0.081042,0.084809,"21,011",-
maverick-chain,"Jan 29, 2018",0.127598,0.127682,0.087394,0.100653,"35,510",-
maverick-chain,"Jan 28, 2018",0.105038,0.128358,0.099580,0.127720,"27,969",-
maverick-chain,"Jan 27, 2018",0.121826,0.134002,0.104503,0.104503,"49,999",-
maverick-chain,"Jan 26, 2018",0.103568,0.125563,0.095450,0.121907,"14,789",-
maverick-chain,"Jan 25, 2018",0.103848,0.112195,0.089853,0.103844,"59,462",-
maverick-chain,"Jan 24, 2018",0.097558,0.112382,0.095444,0.102167,"32,223",-
maverick-chain,"Jan 23, 2018",0.097455,0.122695,0.081744,0.097614,"51,780",-
maverick-chain,"Jan 22, 2018",0.125947,0.127579,0.092923,0.097714,"82,121",-
maverick-chain,"Jan 21, 2018",0.147870,0.147870,0.090703,0.124248,"150,410",-
maverick-chain,"Jan 20, 2018",0.150992,0.172830,0.118788,0.147526,"51,359",-
maverick-chain,"Jan 19, 2018",0.116264,0.183971,0.111382,0.149369,"96,460",-
maverick-chain,"Jan 18, 2018",0.125873,0.175006,0.088770,0.117500,"131,239",-
maverick-chain,"Jan 17, 2018",0.101505,0.127851,0.082127,0.125389,"17,846",-
