Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
maxcoin,"Jul 02, 2018",0.070862,0.071513,0.051446,0.064582,"6,873","4,354,180"
maxcoin,"Jul 01, 2018",0.070324,0.077428,0.063657,0.070855,"3,090","4,321,100"
maxcoin,"Jun 30, 2018",0.059257,0.077306,0.059254,0.070308,"5,630","3,641,080"
maxcoin,"Jun 29, 2018",0.059449,0.062976,0.056310,0.059177,"1,682","3,652,900"
maxcoin,"Jun 28, 2018",0.061510,0.067174,0.057829,0.059411,"2,000","3,779,530"
maxcoin,"Jun 27, 2018",0.065095,0.065095,0.058625,0.061458,594,"3,999,830"
maxcoin,"Jun 26, 2018",0.060669,0.071167,0.058862,0.065121,"4,907","3,727,830"
maxcoin,"Jun 25, 2018",0.057176,0.061536,0.056817,0.060669,"1,525","3,513,230"
maxcoin,"Jun 24, 2018",0.056981,0.065151,0.053326,0.057287,"1,996","3,501,230"
maxcoin,"Jun 23, 2018",0.055446,0.071506,0.055409,0.056988,"1,234","3,406,910"
maxcoin,"Jun 22, 2018",0.073197,0.073582,0.054348,0.055439,"1,123","4,497,660"
maxcoin,"Jun 21, 2018",0.065312,0.077016,0.065312,0.073278,"1,276","4,013,180"
maxcoin,"Jun 20, 2018",0.068675,0.077601,0.064300,0.065299,"1,273","4,219,770"
maxcoin,"Jun 19, 2018",0.070530,0.071213,0.068110,0.068632,"1,039","4,333,750"
maxcoin,"Jun 18, 2018",0.072228,0.072595,0.068476,0.070568,"2,416","4,438,110"
maxcoin,"Jun 17, 2018",0.075870,0.077220,0.072181,0.072475,573,"4,661,920"
maxcoin,"Jun 16, 2018",0.080652,0.081878,0.072821,0.075595,"6,696","4,955,710"
maxcoin,"Jun 15, 2018",0.080870,0.091511,0.079565,0.080947,"2,100","4,969,100"
maxcoin,"Jun 14, 2018",0.084365,0.101587,0.075907,0.081004,"8,800","5,183,910"
maxcoin,"Jun 13, 2018",0.071124,0.094792,0.069487,0.084403,"12,622","4,370,240"
maxcoin,"Jun 12, 2018",0.075705,0.078700,0.068146,0.070940,"4,405","4,651,740"
maxcoin,"Jun 11, 2018",0.073597,0.076138,0.066314,0.075745,"3,114","4,522,240"
maxcoin,"Jun 10, 2018",0.082212,0.085105,0.072286,0.073495,"1,686","5,051,600"
maxcoin,"Jun 09, 2018",0.085696,0.089878,0.078288,0.082109,"1,497","5,265,660"
maxcoin,"Jun 08, 2018",0.077227,0.091910,0.076664,0.085732,"3,625","4,745,280"
maxcoin,"Jun 07, 2018",0.081777,0.087013,0.069298,0.077168,"3,469","5,024,870"
maxcoin,"Jun 06, 2018",0.084699,0.087523,0.075947,0.080942,"12,539","5,204,400"
maxcoin,"Jun 05, 2018",0.083741,0.085086,0.080527,0.084661,"6,036","5,145,550"
maxcoin,"Jun 04, 2018",0.087946,0.089381,0.082027,0.083701,"3,155","5,403,930"
maxcoin,"Jun 03, 2018",0.087097,0.105246,0.081757,0.088670,"6,079","5,351,780"
maxcoin,"Jun 02, 2018",0.085537,0.091073,0.078765,0.087074,"6,141","5,255,860"
maxcoin,"Jun 01, 2018",0.083886,0.094345,0.077336,0.085574,"5,952","5,154,420"
maxcoin,"May 31, 2018",0.073083,0.091336,0.067226,0.083825,"10,888","4,490,620"
maxcoin,"May 30, 2018",0.063477,0.088131,0.060936,0.073096,"21,301","3,900,380"
maxcoin,"May 29, 2018",0.058661,0.066803,0.057130,0.063219,"3,455","3,604,470"
maxcoin,"May 28, 2018",0.056971,0.059901,0.054518,0.058680,"2,271","3,500,610"
maxcoin,"May 27, 2018",0.056185,0.062711,0.054895,0.056957,"2,520","3,452,350"
maxcoin,"May 26, 2018",0.056157,0.071613,0.055849,0.056087,"4,182","3,450,630"
maxcoin,"May 25, 2018",0.058215,0.061316,0.050495,0.056231,"8,816","3,577,050"
maxcoin,"May 24, 2018",0.056396,0.075740,0.053910,0.058106,"7,312","3,465,300"
maxcoin,"May 23, 2018",0.060401,0.065496,0.052824,0.056539,"7,234","3,711,380"
maxcoin,"May 22, 2018",0.062422,0.075522,0.055811,0.060464,"13,249","3,835,560"
maxcoin,"May 21, 2018",0.063894,0.065216,0.060693,0.062433,"1,549","3,926,040"
maxcoin,"May 20, 2018",0.060768,0.066272,0.057913,0.063815,"1,096","3,733,960"
maxcoin,"May 19, 2018",0.060459,0.064843,0.057256,0.060723,"7,466","3,714,960"
maxcoin,"May 18, 2018",0.059654,0.063931,0.056953,0.060466,"4,175","3,665,460"
maxcoin,"May 17, 2018",0.062198,0.071154,0.059253,0.059601,"2,154","3,821,820"
maxcoin,"May 16, 2018",0.061867,0.073347,0.050374,0.062160,"4,664","3,801,490"
maxcoin,"May 15, 2018",0.073104,0.084911,0.055345,0.061903,"11,034","4,491,930"
maxcoin,"May 14, 2018",0.071279,0.086071,0.070461,0.073230,"3,693","4,379,820"
maxcoin,"May 13, 2018",0.076558,0.079330,0.067705,0.071292,"2,546","4,704,160"
maxcoin,"May 12, 2018",0.075622,0.098380,0.058196,0.082153,"8,529","4,646,660"
maxcoin,"May 11, 2018",0.067480,0.097201,0.029788,0.078355,"19,095","4,146,400"
maxcoin,"May 10, 2018",0.073850,0.077021,0.067335,0.067400,"1,705","4,537,770"
maxcoin,"May 09, 2018",0.080858,0.082409,0.073245,0.073871,"4,567","4,968,410"
maxcoin,"May 08, 2018",0.084018,0.100619,0.075093,0.080982,"5,145","5,162,580"
maxcoin,"May 07, 2018",0.085653,0.086810,0.076830,0.083841,"3,393","5,263,010"
maxcoin,"May 06, 2018",0.087660,0.090911,0.083969,0.085592,"1,769","5,386,310"
maxcoin,"May 05, 2018",0.086743,0.092368,0.086503,0.087600,"2,219","5,330,020"
maxcoin,"May 04, 2018",0.084058,0.103458,0.082466,0.086785,"3,812","5,164,990"
maxcoin,"May 03, 2018",0.081588,0.088964,0.079240,0.084090,"1,661","5,013,250"
maxcoin,"May 02, 2018",0.072938,0.093053,0.072594,0.081585,"4,905","4,481,710"
maxcoin,"May 01, 2018",0.099195,0.099195,0.071532,0.073048,"5,985","6,095,140"
maxcoin,"Apr 30, 2018",0.076069,0.099338,0.075550,0.099109,"3,926","4,674,140"
maxcoin,"Apr 29, 2018",0.071680,0.126877,0.071680,0.076093,"42,718","4,404,410"
