Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
medibloc,"Jul 02, 2018",0.005241,0.005619,0.005064,0.005383,"172,473","15,546,000"
medibloc,"Jul 01, 2018",0.005627,0.005700,0.005209,0.005305,"184,521","16,690,500"
medibloc,"Jun 30, 2018",0.005602,0.005924,0.005493,0.005550,"137,871","16,617,500"
medibloc,"Jun 29, 2018",0.005533,0.005639,0.005118,0.005618,"134,829","16,412,900"
medibloc,"Jun 28, 2018",0.005845,0.006208,0.005233,0.005509,"175,998","17,338,300"
medibloc,"Jun 27, 2018",0.006244,0.006257,0.005658,0.005803,"195,621","18,521,600"
medibloc,"Jun 26, 2018",0.006624,0.007323,0.006130,0.006194,"275,345","19,650,100"
medibloc,"Jun 25, 2018",0.006154,0.006845,0.005995,0.006626,"131,060","18,254,600"
medibloc,"Jun 24, 2018",0.005898,0.006227,0.005489,0.006165,"215,146","17,495,600"
medibloc,"Jun 23, 2018",0.006076,0.006346,0.005565,0.005857,"174,580","18,023,200"
medibloc,"Jun 22, 2018",0.006782,0.006844,0.005550,0.006055,"294,340","20,117,500"
medibloc,"Jun 21, 2018",0.007571,0.007588,0.006713,0.006813,"278,507","22,459,900"
medibloc,"Jun 20, 2018",0.008703,0.008718,0.007175,0.007582,"373,474","25,815,900"
medibloc,"Jun 19, 2018",0.008693,0.008883,0.008226,0.008705,"262,495","25,785,600"
medibloc,"Jun 18, 2018",0.008640,0.008767,0.008293,0.008680,"231,777","25,630,000"
medibloc,"Jun 17, 2018",0.009019,0.009107,0.008459,0.008651,"162,820","26,755,000"
medibloc,"Jun 16, 2018",0.009141,0.009493,0.008802,0.009018,"243,910","27,116,500"
medibloc,"Jun 15, 2018",0.008924,0.010814,0.008534,0.009093,"549,947","26,471,600"
medibloc,"Jun 14, 2018",0.008321,0.009038,0.008120,0.008930,"234,609","24,683,400"
medibloc,"Jun 13, 2018",0.008615,0.008841,0.007932,0.008291,"215,812","25,556,100"
medibloc,"Jun 12, 2018",0.009222,0.009437,0.008031,0.008590,"258,817","27,355,100"
medibloc,"Jun 11, 2018",0.008717,0.009279,0.008053,0.009222,"300,871","25,857,800"
medibloc,"Jun 10, 2018",0.010746,0.010746,0.008624,0.008729,"305,596","31,878,100"
medibloc,"Jun 09, 2018",0.011148,0.011327,0.010761,0.010761,"281,556","33,069,700"
medibloc,"Jun 08, 2018",0.012398,0.012398,0.010818,0.011150,"738,421","36,778,400"
medibloc,"Jun 07, 2018",0.013008,0.013389,0.012403,0.012403,"544,230","38,588,300"
medibloc,"Jun 06, 2018",0.013742,0.013895,0.012688,0.012942,"695,864","40,765,600"
medibloc,"Jun 05, 2018",0.013920,0.014066,0.013165,0.013702,"634,764","41,291,100"
