Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
medishares,"Jul 02, 2018",0.070027,0.074139,0.063069,0.068810,"3,255,600","71,252,700"
medishares,"Jul 01, 2018",0.068608,0.074189,0.064213,0.069628,"4,096,170","69,808,400"
medishares,"Jun 30, 2018",0.066140,0.072231,0.056456,0.066921,"4,116,360","67,297,600"
medishares,"Jun 29, 2018",0.064459,0.064897,0.055778,0.061417,"1,762,990","65,586,600"
medishares,"Jun 28, 2018",0.051770,0.069955,0.051770,0.062077,"6,738,080","52,676,300"
medishares,"Jun 27, 2018",0.049046,0.053180,0.048471,0.051729,"787,918","49,904,800"
medishares,"Jun 26, 2018",0.051727,0.053671,0.049164,0.049164,"872,303","52,631,700"
medishares,"Jun 25, 2018",0.050960,0.053336,0.049318,0.051648,"1,165,850","51,852,300"
medishares,"Jun 24, 2018",0.051018,0.052442,0.047215,0.051201,"812,424","51,910,700"
medishares,"Jun 23, 2018",0.049870,0.052472,0.048462,0.051123,"705,047","50,742,300"
medishares,"Jun 22, 2018",0.057695,0.057918,0.049096,0.050096,"1,131,750","58,704,200"
medishares,"Jun 21, 2018",0.066751,0.067361,0.055994,0.057937,"1,355,300","67,918,900"
medishares,"Jun 20, 2018",0.066896,0.070321,0.066028,0.066516,"1,274,150","68,066,200"
medishares,"Jun 19, 2018",0.067257,0.069986,0.064298,0.066753,"1,803,420","68,434,200"
medishares,"Jun 18, 2018",0.060431,0.067254,0.059225,0.067209,"1,172,880","61,488,700"
medishares,"Jun 17, 2018",0.061404,0.062220,0.059122,0.060459,"946,981","62,478,600"
medishares,"Jun 16, 2018",0.054561,0.061991,0.053908,0.061225,"1,007,930","55,515,700"
medishares,"Jun 15, 2018",0.057332,0.061530,0.054646,0.054683,"1,263,010","58,335,500"
medishares,"Jun 14, 2018",0.051346,0.060823,0.051346,0.057072,"1,657,440","52,244,700"
medishares,"Jun 13, 2018",0.050845,0.054550,0.048474,0.051358,"1,664,120","51,734,900"
medishares,"Jun 12, 2018",0.054954,0.055950,0.049156,0.050959,"1,404,970","53,455,300"
medishares,"Jun 11, 2018",0.053542,0.055633,0.051131,0.054893,"1,084,670","52,082,300"
medishares,"Jun 10, 2018",0.068969,0.068969,0.050628,0.052973,"1,887,950","67,088,000"
medishares,"Jun 09, 2018",0.070974,0.071322,0.068820,0.069380,"1,002,000","69,039,100"
medishares,"Jun 08, 2018",0.072446,0.073065,0.068841,0.071271,"1,672,370","70,470,900"
medishares,"Jun 07, 2018",0.074986,0.077125,0.068300,0.072399,"2,258,120","72,941,600"
medishares,"Jun 06, 2018",0.082948,0.083778,0.073109,0.074690,"3,004,510","61,111,900"
medishares,"Jun 05, 2018",0.084144,0.084932,0.080584,0.083004,"1,625,550","61,993,500"
medishares,"Jun 04, 2018",0.092476,0.095035,0.083152,0.084509,"1,947,640","68,131,500"
medishares,"Jun 03, 2018",0.093311,0.097291,0.090315,0.094776,"4,535,040","68,746,600"
medishares,"Jun 02, 2018",0.092637,0.098115,0.089402,0.093268,"3,792,420","68,250,600"
medishares,"Jun 01, 2018",0.087424,0.095088,0.086331,0.093023,"3,130,910","64,409,300"
medishares,"May 31, 2018",0.086025,0.090316,0.085383,0.087485,"3,109,630","63,379,200"
medishares,"May 30, 2018",0.083747,0.088535,0.082725,0.085591,"3,581,280","61,700,300"
medishares,"May 29, 2018",0.085105,0.086394,0.078743,0.083766,"3,480,790","62,701,200"
medishares,"May 28, 2018",0.080955,0.090814,0.078340,0.085690,"4,668,870","59,643,400"
medishares,"May 27, 2018",0.077588,0.082733,0.075581,0.081182,"2,066,020","57,163,000"
medishares,"May 26, 2018",0.078143,0.081077,0.076299,0.077714,"1,493,040","57,571,800"
medishares,"May 25, 2018",0.082508,0.082567,0.076954,0.078189,"965,967","43,461,200"
medishares,"May 24, 2018",0.073475,0.084311,0.073235,0.082243,"1,557,510","38,703,100"
medishares,"May 23, 2018",0.089854,0.090200,0.072394,0.073256,"1,489,720","47,330,400"
medishares,"May 22, 2018",0.096471,0.097865,0.089377,0.090344,"1,035,790","50,816,000"
medishares,"May 21, 2018",0.104820,0.105386,0.095508,0.096619,"1,072,220","55,213,700"
medishares,"May 20, 2018",0.098914,0.106185,0.096783,0.105037,"1,522,100","52,103,000"
medishares,"May 19, 2018",0.099465,0.102467,0.096677,0.098958,"1,303,070","52,393,000"
medishares,"May 18, 2018",0.103030,0.103324,0.097680,0.099275,"1,723,150","54,271,000"
medishares,"May 17, 2018",0.107187,0.113143,0.102618,0.102708,"2,548,390","54,317,300"
medishares,"May 16, 2018",0.122305,0.122417,0.102659,0.107715,"2,904,360","61,978,100"
medishares,"May 15, 2018",0.121455,0.125069,0.117576,0.122100,"4,269,180","61,547,400"
medishares,"May 14, 2018",0.129281,0.130483,0.119043,0.121630,"5,292,430","65,513,300"
medishares,"May 13, 2018",0.127551,0.141055,0.119636,0.129479,"7,387,740","64,636,800"
medishares,"May 12, 2018",0.142937,0.142937,0.110651,0.128307,"13,181,600","72,433,500"
medishares,"May 11, 2018",0.134923,0.171145,0.130159,0.142081,"22,280,800","68,372,400"
medishares,"May 10, 2018",0.106113,0.161839,0.106113,0.134249,"15,026,800","53,772,700"
medishares,"May 09, 2018",0.109842,0.110533,0.102749,0.106302,"2,177,100","55,662,300"
medishares,"May 08, 2018",0.110264,0.118352,0.107100,0.110106,"3,276,930","55,876,500"
medishares,"May 07, 2018",0.103822,0.117235,0.093850,0.110308,"5,836,610","52,612,000"
medishares,"May 06, 2018",0.114038,0.114374,0.100627,0.103874,"4,762,170","57,788,900"
medishares,"May 05, 2018",0.105591,0.118127,0.104110,0.114220,"4,771,030","53,508,100"
medishares,"May 04, 2018",0.107195,0.107195,0.101817,0.105421,"4,259,660","54,321,200"
medishares,"May 03, 2018",0.102160,0.109712,0.101878,0.107174,"6,040,780","51,769,500"
medishares,"May 02, 2018",0.100483,0.104411,0.097177,0.102144,"5,642,260","50,919,900"
medishares,"May 01, 2018",0.099919,0.101455,0.092605,0.100130,"3,893,600","50,634,000"
medishares,"Apr 30, 2018",0.104245,0.107843,0.097266,0.099859,"4,780,010","52,826,000"
medishares,"Apr 29, 2018",0.103085,0.108866,0.098688,0.104195,"5,870,870","52,238,500"
medishares,"Apr 28, 2018",0.100572,0.106117,0.098702,0.103111,"4,613,040","50,965,000"
medishares,"Apr 27, 2018",0.102885,0.106818,0.098700,0.100446,"5,322,020","52,137,300"
medishares,"Apr 26, 2018",0.093971,0.103947,0.089208,0.102579,"6,762,330","47,619,700"
medishares,"Apr 25, 2018",0.114545,0.114545,0.090886,0.093881,"8,470,890","58,045,600"
medishares,"Apr 24, 2018",0.111028,0.118109,0.109706,0.114453,"9,008,120","56,263,500"
medishares,"Apr 23, 2018",0.102659,0.120274,0.102540,0.111614,"10,143,900","52,022,600"
medishares,"Apr 22, 2018",0.096834,0.108332,0.095502,0.102929,"10,452,500","49,070,500"
medishares,"Apr 21, 2018",0.104975,0.106199,0.091991,0.097189,"9,282,990","53,196,400"
medishares,"Apr 20, 2018",0.100354,0.105500,0.095055,0.104925,"9,431,890","50,854,600"
medishares,"Apr 19, 2018",0.094317,0.101811,0.094253,0.099893,"11,222,600","47,795,300"
medishares,"Apr 18, 2018",0.092032,0.094480,0.091380,0.094365,"8,482,410","46,637,000"
medishares,"Apr 17, 2018",0.091508,0.095811,0.091206,0.091992,"8,347,780","46,371,800"
medishares,"Apr 16, 2018",0.098312,0.098617,0.091325,0.091773,"8,866,180","49,819,600"
medishares,"Apr 15, 2018",0.092163,0.102063,0.090032,0.097762,"10,523,300","46,750,000"
medishares,"Apr 14, 2018",0.101126,0.105593,0.089029,0.092277,"7,982,880","51,296,100"
medishares,"Apr 13, 2018",0.087190,0.111256,0.083398,0.101853,"11,086,400","44,227,300"
medishares,"Apr 12, 2018",0.074869,0.089862,0.073820,0.087594,"8,924,100","37,977,200"
medishares,"Apr 11, 2018",0.073186,0.077754,0.073069,0.074826,"7,240,600","37,123,900"
medishares,"Apr 10, 2018",0.071459,0.074784,0.070618,0.073166,"6,958,240","36,247,600"
medishares,"Apr 09, 2018",0.073048,0.076613,0.070525,0.071316,"6,942,620","37,053,900"
medishares,"Apr 08, 2018",0.078495,0.080338,0.072647,0.072901,"6,884,220","37,953,100"
medishares,"Apr 07, 2018",0.068622,0.086146,0.068170,0.078047,"7,854,440","33,179,600"
medishares,"Apr 06, 2018",0.074145,0.074145,0.068004,0.068639,"6,528,950","35,850,100"
medishares,"Apr 05, 2018",0.074525,0.075021,0.071080,0.074258,"6,554,760","36,033,900"
medishares,"Apr 04, 2018",0.084111,0.084229,0.073809,0.074650,"7,075,540","40,668,900"
medishares,"Apr 03, 2018",0.084872,0.087501,0.082861,0.084013,"8,653,760","41,036,600"
medishares,"Apr 02, 2018",0.084000,0.089180,0.083044,0.084898,"7,780,520","40,614,900"
medishares,"Apr 01, 2018",0.088259,0.089459,0.079846,0.083640,"7,764,280","42,674,200"
medishares,"Mar 31, 2018",0.088053,0.092820,0.087603,0.088094,"8,042,240","42,574,800"
medishares,"Mar 30, 2018",0.089216,0.091650,0.082895,0.087931,"8,085,710","43,137,000"
medishares,"Mar 29, 2018",0.101537,0.103298,0.088863,0.089277,"8,379,960","49,094,100"
medishares,"Mar 28, 2018",0.094414,0.105877,0.092390,0.101598,"9,387,780","45,650,400"
medishares,"Mar 27, 2018",0.100853,0.105562,0.089479,0.093504,"4,534,790","48,763,600"
medishares,"Mar 26, 2018",0.112990,0.120382,0.089080,0.099132,"6,368,810","54,631,900"
medishares,"Mar 25, 2018",0.106595,0.117894,0.104755,0.113402,"5,940,200","51,540,100"
medishares,"Mar 24, 2018",0.108663,0.117301,0.105010,0.106998,"5,900,950","52,539,900"
medishares,"Mar 23, 2018",0.109747,0.110814,0.103203,0.107177,"5,808,940","53,064,100"
medishares,"Mar 22, 2018",0.110048,0.126908,0.105756,0.109741,"6,021,550","53,209,400"
medishares,"Mar 21, 2018",0.102960,0.114824,0.102960,0.110013,"5,651,470","49,782,600"
medishares,"Mar 20, 2018",0.105018,0.106310,0.097309,0.102673,"5,875,620","50,777,200"
medishares,"Mar 19, 2018",0.096881,0.106040,0.096538,0.104380,"5,642,990","46,843,300"
medishares,"Mar 18, 2018",0.101079,0.101079,0.079082,0.097144,"6,451,370","48,872,800"
medishares,"Mar 17, 2018",0.112168,0.115421,0.100102,0.101022,"5,626,310","54,234,700"
medishares,"Mar 16, 2018",0.095707,0.121599,0.091534,0.113001,"6,082,720","46,275,500"
medishares,"Mar 15, 2018",0.102803,0.104037,0.089866,0.095808,"6,068,870","49,706,300"
medishares,"Mar 14, 2018",0.113256,0.122755,0.098829,0.102184,"5,316,160","54,760,600"
medishares,"Mar 13, 2018",0.116353,0.119540,0.111176,0.112926,"4,351,980","56,257,800"
medishares,"Mar 12, 2018",0.122985,0.126735,0.115839,0.116829,"27,552,600","59,464,700"
medishares,"Mar 11, 2018",0.118681,0.129064,0.115385,0.123233,"3,111,390","57,383,800"
medishares,"Mar 10, 2018",0.124906,0.130209,0.119122,0.119122,"3,039,000","60,393,600"
medishares,"Mar 09, 2018",0.138860,0.140405,0.104946,0.126490,"4,086,850","67,140,600"
medishares,"Mar 08, 2018",0.151000,0.176345,0.135322,0.139095,"4,687,520","73,010,300"
medishares,"Mar 07, 2018",0.189121,0.196314,0.146566,0.149028,"2,944,390","91,442,200"
medishares,"Mar 06, 2018",0.215621,0.215626,0.187254,0.189191,"3,786,620","104,255,000"
medishares,"Mar 05, 2018",0.226780,0.226780,0.210016,0.216542,"5,752,230","109,651,000"
medishares,"Mar 04, 2018",0.234533,0.234533,0.224017,0.226174,"4,426,740","113,399,000"
medishares,"Mar 03, 2018",0.224595,0.250029,0.217146,0.234780,"5,314,070","108,594,000"
medishares,"Mar 02, 2018",0.213246,0.271676,0.205403,0.225192,"9,643,340","103,107,000"
medishares,"Mar 01, 2018",0.195620,0.233194,0.193624,0.213626,"5,945,250","94,584,500"
medishares,"Feb 28, 2018",0.204523,0.209303,0.194867,0.195410,"4,470,040","98,889,500"
medishares,"Feb 27, 2018",0.195897,0.214955,0.192679,0.204616,"4,827,600","94,718,400"
medishares,"Feb 26, 2018",0.183122,0.197421,0.181075,0.195249,"3,575,930","88,358,600"
medishares,"Feb 25, 2018",0.183712,0.187449,0.179415,0.182231,"3,941,580","88,643,300"
medishares,"Feb 24, 2018",0.187253,0.197870,0.179519,0.183957,"5,141,210","90,351,800"
medishares,"Feb 23, 2018",0.188039,0.196830,0.182191,0.188179,"4,252,440","90,731,200"
medishares,"Feb 22, 2018",0.197769,0.202809,0.184318,0.188200,"4,431,740","95,426,100"
medishares,"Feb 21, 2018",0.242289,0.242289,0.188446,0.196404,"3,674,450","116,907,000"
medishares,"Feb 20, 2018",0.241950,0.252200,0.240336,0.242486,"5,441,050","116,744,000"
medishares,"Feb 19, 2018",0.226253,0.243130,0.225460,0.241818,"3,770,620","109,170,000"
medishares,"Feb 18, 2018",0.240091,0.245942,0.223527,0.227288,"3,262,760","115,847,000"
medishares,"Feb 17, 2018",0.220270,0.240325,0.218254,0.240078,"4,137,930","106,283,000"
medishares,"Feb 16, 2018",0.202465,0.222427,0.195188,0.220284,"4,070,230","97,691,800"
medishares,"Feb 15, 2018",0.190527,0.203789,0.188017,0.202973,"2,984,210","91,931,600"
medishares,"Feb 14, 2018",0.170765,0.196713,0.170765,0.190125,"3,126,860","82,396,200"
medishares,"Feb 13, 2018",0.178203,0.185345,0.170287,0.171364,"3,444,500","85,984,900"
medishares,"Feb 12, 2018",0.167878,0.185477,0.167878,0.177753,"2,853,780","81,003,300"
medishares,"Feb 11, 2018",0.176418,0.181759,0.162569,0.167015,"7,019,380","85,123,700"
medishares,"Feb 10, 2018",0.188104,0.193431,0.169993,0.176600,"5,633,830","90,762,600"
medishares,"Feb 09, 2018",0.173650,0.188434,0.165841,0.188008,"8,591,320","83,788,000"
medishares,"Feb 08, 2018",0.172935,0.185339,0.162431,0.173293,"7,505,770","83,443,000"
medishares,"Feb 07, 2018",0.188481,0.206576,0.171145,0.171307,"17,769,800","90,944,400"
medishares,"Feb 06, 2018",0.185311,0.195916,0.144951,0.189581,"16,593,400","89,415,000"
medishares,"Feb 05, 2018",0.179523,0.236323,0.139709,0.180568,"25,425,300","86,622,100"
medishares,"Feb 04, 2018",0.190575,0.190575,0.164419,0.181313,"21,004,400","91,954,700"
medishares,"Feb 03, 2018",0.186365,0.194876,0.168224,0.190583,"16,556,600","89,923,300"
medishares,"Feb 02, 2018",0.169514,0.193697,0.141818,0.185315,"6,012,710","81,792,500"
medishares,"Feb 01, 2018",0.201995,0.204492,0.161790,0.170420,"14,492,300","97,464,900"
medishares,"Jan 31, 2018",0.197280,0.202025,0.186531,0.201043,"26,101,900","95,189,900"
medishares,"Jan 30, 2018",0.222960,0.223976,0.132766,0.196439,"24,649,200","107,581,000"
medishares,"Jan 29, 2018",0.208958,0.226254,0.191950,0.222877,"33,330,100","100,825,000"
medishares,"Jan 28, 2018",0.221514,0.236432,0.202275,0.208907,"51,210,800","106,883,000"
medishares,"Jan 27, 2018",0.254454,0.256699,0.214759,0.218916,"29,723,000","122,777,000"
medishares,"Jan 26, 2018",0.251940,0.259719,0.194986,0.254338,"33,160,100","121,564,000"
medishares,"Jan 25, 2018",0.188091,0.263215,0.184051,0.254229,"34,625,300","90,756,100"
medishares,"Jan 24, 2018",0.170018,0.199657,0.160782,0.184618,"29,071,000","82,035,700"
