Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
melon,"Jul 02, 2018",28.14,29.68,27.98,29.68,"197,950","16,867,700"
melon,"Jul 01, 2018",27.78,28.24,27.68,28.17,"195,009","16,649,400"
melon,"Jun 30, 2018",26.97,28.27,26.97,27.76,"187,610","16,164,900"
melon,"Jun 29, 2018",26.68,27.11,25.79,26.95,"199,482","15,992,600"
melon,"Jun 28, 2018",26.60,27.78,26.50,26.68,"185,123","15,944,900"
melon,"Jun 27, 2018",25.97,26.72,25.82,26.62,"182,333","15,565,300"
melon,"Jun 26, 2018",28.49,28.55,25.93,26.00,"191,201","17,076,500"
melon,"Jun 25, 2018",28.38,28.61,26.35,28.49,"215,703","17,011,500"
melon,"Jun 24, 2018",29.75,29.77,27.01,28.38,"142,460","17,833,000"
melon,"Jun 23, 2018",29.43,29.97,29.24,29.76,"80,484","17,641,600"
melon,"Jun 22, 2018",34.44,34.52,29.07,29.40,"94,173","20,645,000"
melon,"Jun 21, 2018",35.61,35.83,34.34,34.41,"92,317","21,341,900"
melon,"Jun 20, 2018",36.27,36.29,34.93,35.56,"86,857","21,740,100"
melon,"Jun 19, 2018",34.13,36.88,34.05,36.23,"123,832","20,460,400"
melon,"Jun 18, 2018",32.51,34.17,32.35,34.15,"82,587","19,489,200"
melon,"Jun 17, 2018",32.68,32.92,32.46,32.56,"80,001","19,585,700"
melon,"Jun 16, 2018",32.23,32.86,32.08,32.64,"199,840","19,316,800"
melon,"Jun 15, 2018",33.77,33.97,32.17,32.29,"128,201","20,242,600"
melon,"Jun 14, 2018",32.15,34.00,31.61,33.78,"160,072","19,268,900"
melon,"Jun 13, 2018",35.18,35.18,31.07,32.12,"208,322","21,085,800"
melon,"Jun 12, 2018",36.89,37.04,34.88,35.10,"219,497","22,113,100"
melon,"Jun 11, 2018",36.94,37.02,36.04,36.88,"231,480","22,139,200"
melon,"Jun 10, 2018",42.08,42.08,36.29,36.89,"310,325","25,221,800"
melon,"Jun 09, 2018",41.17,42.75,41.17,42.15,"299,972","24,675,600"
melon,"Jun 08, 2018",39.67,41.24,39.62,41.05,"342,667","23,775,900"
melon,"Jun 07, 2018",38.88,39.61,38.88,39.54,"270,662","23,306,100"
melon,"Jun 06, 2018",39.20,39.35,38.35,38.87,"267,245","23,495,800"
melon,"Jun 05, 2018",38.73,39.45,38.12,39.29,"259,269","23,215,000"
melon,"Jun 04, 2018",40.38,40.58,38.40,38.73,"268,663","24,205,500"
melon,"Jun 03, 2018",40.14,41.02,40.07,40.44,"286,122","24,059,300"
melon,"Jun 02, 2018",39.33,40.32,39.12,40.15,"289,703","23,575,400"
melon,"Jun 01, 2018",39.41,40.08,38.75,39.34,"265,567","23,622,900"
melon,"May 31, 2018",39.72,41.07,39.12,39.37,"273,736","23,811,000"
melon,"May 30, 2018",40.62,41.15,39.24,39.70,"265,338","24,347,000"
melon,"May 29, 2018",38.61,41.20,38.12,40.60,"289,028","23,143,100"
melon,"May 28, 2018",44.32,44.46,38.35,38.68,"348,694","26,564,900"
melon,"May 27, 2018",44.87,44.89,43.51,44.27,"247,908","26,896,500"
melon,"May 26, 2018",45.48,45.97,44.49,44.84,"190,757","27,262,800"
melon,"May 25, 2018",46.72,47.23,44.91,45.45,"217,228","28,004,800"
melon,"May 24, 2018",46.60,47.67,44.49,46.62,"174,028","27,932,900"
melon,"May 23, 2018",50.55,50.91,46.27,46.70,"234,150","30,299,000"
melon,"May 22, 2018",53.24,53.25,50.57,50.60,"259,601","31,913,400"
melon,"May 21, 2018",56.16,56.42,52.88,53.28,"329,776","33,660,700"
melon,"May 20, 2018",56.72,58.58,55.53,56.18,"388,093","34,000,900"
melon,"May 19, 2018",55.39,62.69,54.97,56.69,"335,696","33,203,600"
melon,"May 18, 2018",53.04,55.95,51.88,55.42,"332,449","31,794,500"
melon,"May 17, 2018",57.38,58.10,52.69,52.91,"327,817","34,394,300"
melon,"May 16, 2018",62.15,62.34,57.09,57.34,"393,508","37,253,700"
melon,"May 15, 2018",60.83,66.07,60.78,62.27,"434,931","36,459,900"
melon,"May 14, 2018",59.37,61.02,56.89,61.02,"339,759","35,586,800"
melon,"May 13, 2018",55.52,59.64,54.78,59.23,"333,607","33,278,700"
melon,"May 12, 2018",56.67,57.22,53.28,55.58,"331,680","33,969,300"
melon,"May 11, 2018",63.30,63.30,56.10,56.82,"334,428","37,942,100"
melon,"May 10, 2018",64.89,66.00,63.25,63.26,"290,095","38,893,000"
melon,"May 09, 2018",65.71,66.28,63.53,64.84,"370,676","39,387,700"
melon,"May 08, 2018",70.75,71.94,65.84,65.88,"390,543","42,405,600"
melon,"May 07, 2018",74.69,75.02,69.01,70.62,"321,464","44,771,300"
melon,"May 06, 2018",77.27,78.36,73.90,74.77,"394,665","46,313,900"
melon,"May 05, 2018",78.29,79.28,76.75,77.25,"419,953","46,928,600"
melon,"May 04, 2018",78.47,79.25,76.07,78.22,"511,061","47,034,600"
melon,"May 03, 2018",74.06,78.74,73.93,78.63,"411,603","44,389,400"
melon,"May 02, 2018",72.85,74.53,72.47,74.13,"369,546","43,666,900"
melon,"May 01, 2018",75.28,75.28,71.41,73.26,"343,436","45,120,100"
melon,"Apr 30, 2018",71.40,76.40,68.97,75.18,"637,275","42,796,300"
melon,"Apr 29, 2018",73.23,74.04,67.68,71.31,"580,384","43,896,400"
melon,"Apr 28, 2018",72.29,77.03,72.03,73.21,"485,795","43,329,400"
melon,"Apr 27, 2018",74.82,75.57,72.39,72.39,"283,185","44,846,500"
melon,"Apr 26, 2018",68.02,74.88,65.78,74.77,"431,218","40,768,900"
melon,"Apr 25, 2018",81.82,86.26,67.16,67.25,"877,961","49,045,500"
melon,"Apr 24, 2018",67.52,82.17,67.43,82.17,"500,477","40,470,100"
melon,"Apr 23, 2018",65.48,67.65,65.42,67.65,"365,988","39,245,800"
melon,"Apr 22, 2018",68.35,68.58,65.15,65.63,"445,049","40,969,500"
melon,"Apr 21, 2018",71.76,71.86,66.79,68.24,"351,683","43,011,400"
melon,"Apr 20, 2018",66.86,72.02,66.52,71.79,"351,349","40,077,200"
melon,"Apr 19, 2018",62.30,66.91,62.07,66.91,"379,327","37,343,400"
melon,"Apr 18, 2018",58.84,62.26,58.82,62.11,"267,497","35,266,300"
melon,"Apr 17, 2018",60.09,60.81,58.81,58.81,"269,474","36,017,500"
melon,"Apr 16, 2018",62.35,63.44,59.13,60.08,"272,650","37,372,500"
melon,"Apr 15, 2018",61.32,64.09,60.97,62.37,"157,244","36,756,700"
melon,"Apr 14, 2018",59.56,63.34,59.46,61.24,"209,845","35,700,700"
melon,"Apr 13, 2018",57.03,60.68,56.31,59.52,"299,936","34,185,800"
melon,"Apr 12, 2018",49.01,57.04,48.68,56.99,"264,944","29,375,200"
melon,"Apr 11, 2018",47.89,49.19,47.77,49.19,"260,634","28,703,000"
melon,"Apr 10, 2018",46.46,48.29,46.46,48.00,"207,462","27,850,500"
melon,"Apr 09, 2018",46.71,49.09,45.49,46.41,"210,814","27,995,400"
melon,"Apr 08, 2018",44.45,46.64,44.36,46.64,"254,893","26,641,400"
melon,"Apr 07, 2018",40.89,44.50,40.82,44.12,"257,976","24,507,700"
melon,"Apr 06, 2018",43.84,44.28,40.66,40.87,"253,632","26,276,900"
melon,"Apr 05, 2018",42.75,44.11,41.71,44.11,"246,990","25,624,400"
melon,"Apr 04, 2018",45.57,45.57,42.06,42.83,"260,402","27,312,900"
melon,"Apr 03, 2018",42.23,45.65,41.68,45.65,"361,254","25,310,900"
melon,"Apr 02, 2018",46.80,48.33,41.74,41.93,"345,650","28,051,300"
melon,"Apr 01, 2018",50.54,50.99,45.41,46.64,"294,495","30,294,900"
melon,"Mar 31, 2018",50.12,52.16,49.73,50.47,"238,375","30,042,100"
melon,"Mar 30, 2018",53.72,54.06,49.74,50.14,"303,839","32,202,000"
melon,"Mar 29, 2018",62.14,62.24,52.93,53.75,"230,382","37,244,500"
melon,"Mar 28, 2018",61.63,63.16,60.73,62.02,"423,899","36,942,500"
melon,"Mar 27, 2018",64.33,64.58,60.48,61.63,"296,733","38,561,000"
melon,"Mar 26, 2018",68.44,68.85,62.87,64.32,"292,133","41,020,100"
melon,"Mar 25, 2018",68.43,69.69,67.68,68.51,"258,076","41,017,400"
melon,"Mar 24, 2018",70.83,71.27,68.87,69.05,"274,506","42,458,200"
melon,"Mar 23, 2018",70.22,70.28,67.03,70.28,"292,899","42,088,100"
melon,"Mar 22, 2018",68.83,77.35,68.63,70.22,"537,218","41,254,700"
melon,"Mar 21, 2018",69.21,70.62,66.56,68.94,"368,572","41,487,100"
melon,"Mar 20, 2018",61.04,69.44,59.89,68.68,"232,508","36,589,700"
melon,"Mar 19, 2018",55.21,60.93,54.26,60.93,"282,360","33,090,400"
melon,"Mar 18, 2018",57.15,57.15,49.27,55.46,"339,998","34,256,800"
melon,"Mar 17, 2018",63.72,63.72,55.91,57.14,"356,237","38,195,600"
melon,"Mar 16, 2018",65.80,67.94,62.36,63.62,"334,862","39,439,500"
melon,"Mar 15, 2018",69.31,70.72,65.15,65.88,"311,796","41,546,900"
melon,"Mar 14, 2018",84.07,85.09,68.09,69.26,"305,185","50,392,600"
melon,"Mar 13, 2018",84.47,87.02,83.17,83.89,"264,548","50,632,600"
melon,"Mar 12, 2018",90.82,91.68,82.74,84.67,"318,390","54,436,300"
melon,"Mar 11, 2018",89.07,93.24,86.80,91.12,"335,536","53,386,000"
melon,"Mar 10, 2018",92.23,96.50,88.64,89.28,"335,101","55,284,400"
melon,"Mar 09, 2018",96.99,97.66,86.67,92.19,"341,196","58,134,200"
melon,"Mar 08, 2018",104.79,106.96,96.63,97.30,"355,614","62,812,800"
melon,"Mar 07, 2018",116.69,118.84,102.35,105.01,"392,592","69,943,200"
