Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
merculet,"Jul 02, 2018",0.010304,0.011288,0.008475,0.010134,"2,898,730","13,173,400"
merculet,"Jul 01, 2018",0.008825,0.010328,0.007906,0.010300,"2,008,670","11,282,400"
merculet,"Jun 30, 2018",0.008201,0.010273,0.007742,0.008905,"1,557,810","10,485,300"
merculet,"Jun 29, 2018",0.008109,0.008642,0.007039,0.008226,"2,056,690","7,397,790"
merculet,"Jun 28, 2018",0.007992,0.008803,0.007417,0.008119,"4,770,650","7,290,400"
merculet,"Jun 27, 2018",0.007963,0.008130,0.007339,0.008090,"4,761,620",-
merculet,"Jun 26, 2018",0.008426,0.008725,0.007700,0.007909,"4,082,800",-
merculet,"Jun 25, 2018",0.008887,0.009006,0.006126,0.008428,"3,805,260",-
merculet,"Jun 24, 2018",0.008933,0.008992,0.007221,0.008977,"4,791,430",-
merculet,"Jun 23, 2018",0.008844,0.009217,0.008599,0.009027,"4,321,520",-
merculet,"Jun 22, 2018",0.010163,0.010298,0.008687,0.008945,"5,216,940",-
merculet,"Jun 21, 2018",0.009376,0.010280,0.009340,0.010218,"6,400,800",-
merculet,"Jun 20, 2018",0.009710,0.010066,0.009353,0.009353,"7,767,890",-
