Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
micromoney,"Jul 02, 2018",0.122395,0.134418,0.107517,0.114411,"342,623","1,369,820"
micromoney,"Jul 01, 2018",0.115736,0.122405,0.103736,0.122405,"202,662","1,295,300"
micromoney,"Jun 30, 2018",0.102449,0.124182,0.100044,0.115679,"192,229","1,146,590"
micromoney,"Jun 29, 2018",0.093839,0.101907,0.088995,0.096626,"52,706","1,050,230"
micromoney,"Jun 28, 2018",0.107198,0.109827,0.094445,0.099958,"87,961","1,199,750"
micromoney,"Jun 27, 2018",0.087303,0.133770,0.086136,0.107159,"321,870","976,541"
micromoney,"Jun 26, 2018",0.089755,0.093546,0.086577,0.087386,"119,171","1,003,550"
micromoney,"Jun 25, 2018",0.091877,0.099977,0.082933,0.089760,"121,077","1,027,280"
micromoney,"Jun 24, 2018",0.089233,0.094363,0.086734,0.092039,"127,265","997,265"
micromoney,"Jun 23, 2018",0.086767,0.097112,0.083497,0.089274,"64,635","969,714"
micromoney,"Jun 22, 2018",0.106369,0.107133,0.084467,0.086758,"172,990","1,185,620"
micromoney,"Jun 21, 2018",0.095472,0.115920,0.091661,0.106398,"61,815","1,064,150"
micromoney,"Jun 20, 2018",0.108216,0.113432,0.095321,0.095478,"55,316","1,205,860"
micromoney,"Jun 19, 2018",0.116348,0.119193,0.105883,0.108178,"183,206","1,296,220"
micromoney,"Jun 18, 2018",0.100177,0.116408,0.095169,0.116408,"82,863","1,116,060"
micromoney,"Jun 17, 2018",0.096691,0.134252,0.093975,0.100331,"204,798","1,077,220"
micromoney,"Jun 16, 2018",0.120927,0.125383,0.085512,0.096575,"208,496","1,346,610"
micromoney,"Jun 15, 2018",0.127233,0.129773,0.117052,0.121324,"55,020","1,416,830"
micromoney,"Jun 14, 2018",0.113926,0.132043,0.113851,0.123770,"45,856","1,268,040"
micromoney,"Jun 13, 2018",0.122456,0.128320,0.110913,0.120390,"76,248","1,362,490"
micromoney,"Jun 12, 2018",0.136241,0.140625,0.117604,0.121920,"66,975","1,510,030"
micromoney,"Jun 11, 2018",0.139436,0.147828,0.123801,0.136135,"68,252","1,545,020"
micromoney,"Jun 10, 2018",0.152460,0.179705,0.130776,0.139098,"95,346","1,689,330"
