Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
mithril,"Jul 02, 2018",0.451556,0.476775,0.431801,0.469428,"57,315,200","151,974,000"
mithril,"Jul 01, 2018",0.486783,0.486783,0.427769,0.451453,"45,609,500","163,830,000"
mithril,"Jun 30, 2018",0.435069,0.502409,0.435069,0.485855,"79,310,700","146,425,000"
mithril,"Jun 29, 2018",0.426190,0.470122,0.372562,0.431252,"44,071,200","130,652,000"
mithril,"Jun 28, 2018",0.379663,0.546593,0.367451,0.429473,"95,175,300","116,389,000"
mithril,"Jun 27, 2018",0.355365,0.384265,0.350889,0.379808,"27,261,800","108,939,000"
mithril,"Jun 26, 2018",0.370725,0.378961,0.359257,0.359257,"17,897,200","113,647,000"
mithril,"Jun 25, 2018",0.360865,0.380530,0.345740,0.370353,"31,467,200","110,608,000"
mithril,"Jun 24, 2018",0.380417,0.381250,0.324545,0.361603,"38,643,800","116,601,000"
mithril,"Jun 23, 2018",0.384120,0.397223,0.359502,0.380760,"14,685,900","117,735,000"
mithril,"Jun 22, 2018",0.441099,0.450183,0.380858,0.384107,"29,670,900","135,200,000"
mithril,"Jun 21, 2018",0.440755,0.461580,0.428443,0.441148,"38,081,900","135,094,000"
mithril,"Jun 20, 2018",0.463817,0.464336,0.417838,0.438978,"36,563,300","142,163,000"
mithril,"Jun 19, 2018",0.484431,0.497891,0.449738,0.462482,"31,900,300","148,482,000"
mithril,"Jun 18, 2018",0.475054,0.484562,0.441119,0.484365,"58,849,400","145,607,000"
mithril,"Jun 17, 2018",0.422560,0.478529,0.420015,0.476906,"92,353,900","129,518,000"
mithril,"Jun 16, 2018",0.406768,0.446326,0.400840,0.422719,"58,262,400","124,677,000"
mithril,"Jun 15, 2018",0.359285,0.449592,0.359285,0.403641,"121,146,000","110,123,000"
mithril,"Jun 14, 2018",0.364835,0.366181,0.268361,0.358888,"103,124,000","111,824,000"
mithril,"Jun 13, 2018",0.410442,0.414518,0.336257,0.365603,"67,860,700","125,803,000"
mithril,"Jun 12, 2018",0.467888,0.468011,0.402380,0.408930,"9,189,330","143,411,000"
mithril,"Jun 11, 2018",0.440166,0.468405,0.425973,0.468405,"11,196,300","134,874,000"
mithril,"Jun 10, 2018",0.529206,0.534629,0.423860,0.438934,"51,163,000","162,158,000"
mithril,"Jun 09, 2018",0.566080,0.568011,0.539892,0.539892,"19,158,500","173,457,000"
mithril,"Jun 08, 2018",0.588913,0.590838,0.556858,0.567384,"46,940,600","180,453,000"
mithril,"Jun 07, 2018",0.583276,0.727532,0.578317,0.588630,"132,781,000","178,726,000"
mithril,"Jun 06, 2018",0.607326,0.616875,0.579864,0.582954,"39,519,800","186,095,000"
mithril,"Jun 05, 2018",0.599481,0.609957,0.575319,0.606843,"14,633,800","183,691,000"
mithril,"Jun 04, 2018",0.651435,0.694734,0.587661,0.599228,"45,647,700","199,611,000"
mithril,"Jun 03, 2018",0.629680,0.669235,0.626330,0.651049,"57,436,500","192,945,000"
mithril,"Jun 02, 2018",0.623716,0.657471,0.613710,0.630460,"45,503,300","191,117,000"
mithril,"Jun 01, 2018",0.607120,0.708001,0.602920,0.621992,"71,834,000","186,032,000"
mithril,"May 31, 2018",0.585530,0.624616,0.579600,0.606590,"59,132,400","179,416,000"
mithril,"May 30, 2018",0.557198,0.627942,0.556022,0.585569,"32,329,200","170,735,000"
mithril,"May 29, 2018",0.512081,0.584662,0.502793,0.555837,"29,002,600","156,910,000"
mithril,"May 28, 2018",0.586981,0.587667,0.511756,0.512615,"20,886,000","179,861,000"
mithril,"May 27, 2018",0.596528,0.598486,0.575909,0.589325,"18,861,500","182,786,000"
mithril,"May 26, 2018",0.607266,0.618402,0.595154,0.596637,"13,513,700","186,077,000"
mithril,"May 25, 2018",0.617243,0.625892,0.584879,0.605573,"30,270,700","189,134,000"
mithril,"May 24, 2018",0.572679,0.632719,0.561138,0.614576,"29,164,100","175,479,000"
mithril,"May 23, 2018",0.677714,0.680851,0.563747,0.568279,"21,553,900","207,663,000"
mithril,"May 22, 2018",0.716351,0.734472,0.675900,0.675900,"30,789,000","219,502,000"
mithril,"May 21, 2018",0.760099,0.767296,0.717719,0.718191,"40,819,900","232,907,000"
