Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
mktcoin,"Jul 02, 2018",0.003641,0.003970,0.003586,0.003872,"6,296","4,208,130"
mktcoin,"Jul 01, 2018",0.003692,0.003819,0.003539,0.003683,"6,418","4,266,570"
mktcoin,"Jun 30, 2018",0.003619,0.003877,0.003578,0.003692,"3,355","4,180,110"
mktcoin,"Jun 29, 2018",0.003449,0.003653,0.003230,0.003648,"12,290","3,982,570"
mktcoin,"Jun 28, 2018",0.003427,0.003610,0.003348,0.003401,"7,803","3,956,550"
mktcoin,"Jun 27, 2018",0.003811,0.003924,0.002782,0.003482,"28,240","4,397,630"
mktcoin,"Jun 26, 2018",0.004105,0.004170,0.003593,0.003812,"27,597","4,735,560"
mktcoin,"Jun 25, 2018",0.003757,0.004629,0.003732,0.004161,"17,927","4,332,660"
mktcoin,"Jun 24, 2018",0.003917,0.003975,0.003597,0.003764,"3,153","4,515,460"
mktcoin,"Jun 23, 2018",0.003702,0.003939,0.003693,0.003917,"6,393","4,266,390"
mktcoin,"Jun 22, 2018",0.004258,0.004354,0.003536,0.003701,"13,134","4,906,050"
mktcoin,"Jun 21, 2018",0.004512,0.004517,0.004267,0.004267,"6,681","5,196,640"
mktcoin,"Jun 20, 2018",0.004658,0.004746,0.004020,0.004510,"24,696","5,362,900"
mktcoin,"Jun 19, 2018",0.004697,0.004886,0.004558,0.004655,"11,497","5,406,230"
mktcoin,"Jun 18, 2018",0.004396,0.004768,0.004035,0.004699,"16,273","5,058,380"
mktcoin,"Jun 17, 2018",0.004512,0.004632,0.004194,0.004411,"7,982","5,190,640"
mktcoin,"Jun 16, 2018",0.004561,0.004798,0.004281,0.004444,"25,691","5,245,280"
mktcoin,"Jun 15, 2018",0.004872,0.004941,0.004553,0.004694,"13,731","5,601,240"
mktcoin,"Jun 14, 2018",0.004416,0.004965,0.004336,0.004818,"11,267","5,075,520"
mktcoin,"Jun 13, 2018",0.004619,0.004728,0.004229,0.004403,"8,710","5,306,760"
mktcoin,"Jun 12, 2018",0.005095,0.005123,0.004326,0.004548,"29,788","5,851,920"
mktcoin,"Jun 11, 2018",0.004862,0.005097,0.004649,0.005097,"10,007","5,582,790"
mktcoin,"Jun 10, 2018",0.006099,0.006119,0.004355,0.004918,"40,485","7,000,040"
