Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
monacoin,"Jul 02, 2018",2.12,2.37,2.09,2.27,"837,919","128,433,000"
monacoin,"Jul 01, 2018",2.11,2.13,2.01,2.12,"357,536","127,568,000"
monacoin,"Jun 30, 2018",2.05,2.25,2.04,2.11,"919,474","123,957,000"
monacoin,"Jun 29, 2018",2.00,2.10,1.91,2.06,"631,455","121,179,000"
monacoin,"Jun 28, 2018",2.06,2.11,1.98,2.01,"510,816","124,767,000"
monacoin,"Jun 27, 2018",2.15,2.18,2.06,2.08,"586,923","129,848,000"
monacoin,"Jun 26, 2018",2.17,2.27,2.13,2.16,"644,321","130,822,000"
monacoin,"Jun 25, 2018",2.11,2.26,2.10,2.16,"773,740","127,310,000"
monacoin,"Jun 24, 2018",2.27,2.29,2.01,2.12,"1,222,690","137,208,000"
monacoin,"Jun 23, 2018",2.41,2.42,2.26,2.28,"561,636","145,328,000"
monacoin,"Jun 22, 2018",2.64,2.64,2.34,2.40,"1,057,080","158,978,000"
monacoin,"Jun 21, 2018",2.67,2.69,2.58,2.62,"508,689","161,317,000"
monacoin,"Jun 20, 2018",2.70,2.70,2.62,2.68,"464,838","162,708,000"
monacoin,"Jun 19, 2018",2.64,2.71,2.61,2.64,"611,584","159,306,000"
monacoin,"Jun 18, 2018",2.66,2.70,2.57,2.64,"776,349","160,011,000"
monacoin,"Jun 17, 2018",2.70,2.73,2.63,2.66,"465,498","162,719,000"
monacoin,"Jun 16, 2018",2.66,2.72,2.65,2.70,"519,756","159,936,000"
monacoin,"Jun 15, 2018",2.78,2.80,2.65,2.67,"662,283","167,491,000"
monacoin,"Jun 14, 2018",2.66,2.81,2.62,2.79,"908,252","159,736,000"
monacoin,"Jun 13, 2018",2.91,2.94,2.60,2.62,"1,179,740","175,034,000"
monacoin,"Jun 12, 2018",2.98,3.06,2.83,2.91,"732,015","178,832,000"
monacoin,"Jun 11, 2018",2.96,3.09,2.88,2.99,"1,079,610","177,969,000"
monacoin,"Jun 10, 2018",3.24,3.24,2.87,2.95,"1,293,220","194,423,000"
monacoin,"Jun 09, 2018",3.19,3.32,3.18,3.24,"501,206","191,730,000"
monacoin,"Jun 08, 2018",3.25,3.26,3.18,3.19,"446,984","195,230,000"
monacoin,"Jun 07, 2018",3.25,3.34,3.20,3.25,"601,543","195,085,000"
monacoin,"Jun 06, 2018",3.30,3.32,3.17,3.25,"911,685","197,880,000"
monacoin,"Jun 05, 2018",3.30,3.34,3.26,3.30,"969,464","197,807,000"
monacoin,"Jun 04, 2018",3.38,3.45,3.29,3.31,"1,396,830","202,533,000"
monacoin,"Jun 03, 2018",3.34,3.45,3.34,3.38,"1,220,820","200,179,000"
monacoin,"Jun 02, 2018",3.32,3.40,3.30,3.34,"1,117,970","198,500,000"
monacoin,"Jun 01, 2018",3.34,3.36,3.28,3.32,"664,553","199,750,000"
monacoin,"May 31, 2018",3.30,3.38,3.28,3.33,"1,040,420","197,472,000"
monacoin,"May 30, 2018",3.38,3.43,3.23,3.30,"1,824,650","202,024,000"
monacoin,"May 29, 2018",3.38,3.47,3.31,3.36,"1,644,810","202,062,000"
monacoin,"May 28, 2018",3.33,3.48,3.32,3.38,"1,259,050","198,750,000"
