Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
monetha,"Jul 02, 2018",0.039343,0.045170,0.037142,0.042909,"667,295","8,555,980"
monetha,"Jul 01, 2018",0.036270,0.044400,0.035337,0.039336,"1,712,230","7,887,620"
monetha,"Jun 30, 2018",0.034563,0.036869,0.033666,0.036261,"234,044","7,516,550"
monetha,"Jun 29, 2018",0.033456,0.034820,0.030850,0.034578,"219,665","7,275,760"
monetha,"Jun 28, 2018",0.036059,0.036805,0.032234,0.033438,"113,201","7,841,910"
monetha,"Jun 27, 2018",0.036166,0.036625,0.034052,0.036001,"133,258","7,865,040"
monetha,"Jun 26, 2018",0.041123,0.041514,0.036216,0.036216,"301,024","8,943,030"
monetha,"Jun 25, 2018",0.036630,0.045365,0.035850,0.041135,"962,449","7,966,050"
monetha,"Jun 24, 2018",0.041119,0.041783,0.034299,0.036752,"212,497","8,942,270"
monetha,"Jun 23, 2018",0.041184,0.042658,0.039957,0.041154,"105,313","8,956,280"
monetha,"Jun 22, 2018",0.048462,0.051080,0.040246,0.041060,"556,361","10,539,100"
monetha,"Jun 21, 2018",0.050074,0.053381,0.048334,0.048534,"412,319","10,889,800"
monetha,"Jun 20, 2018",0.052759,0.053382,0.049458,0.050123,"466,422","11,473,600"
monetha,"Jun 19, 2018",0.051707,0.053204,0.051081,0.052585,"200,358","11,244,800"
monetha,"Jun 18, 2018",0.050477,0.056524,0.049256,0.051771,"786,050","10,977,400"
monetha,"Jun 17, 2018",0.048084,0.057469,0.047800,0.050570,"658,374","10,456,800"
monetha,"Jun 16, 2018",0.048722,0.050395,0.047291,0.048031,"115,488","10,595,700"
monetha,"Jun 15, 2018",0.050669,0.054669,0.048799,0.048928,"331,540","11,019,100"
monetha,"Jun 14, 2018",0.046721,0.052708,0.046642,0.050760,"239,457","10,160,600"
monetha,"Jun 13, 2018",0.050790,0.054263,0.045925,0.046669,"1,096,400","11,045,500"
monetha,"Jun 12, 2018",0.056455,0.059814,0.050811,0.051023,"847,123","12,277,300"
monetha,"Jun 11, 2018",0.054938,0.056575,0.051589,0.056575,"207,516","11,947,400"
monetha,"Jun 10, 2018",0.065436,0.065436,0.053217,0.054858,"446,951","14,230,500"
monetha,"Jun 09, 2018",0.069527,0.070849,0.065490,0.065490,"268,398","15,120,200"
monetha,"Jun 08, 2018",0.071679,0.073414,0.067518,0.069880,"291,089","15,588,200"
monetha,"Jun 07, 2018",0.070930,0.073170,0.070572,0.071786,"311,892","15,425,400"
monetha,"Jun 06, 2018",0.072940,0.073835,0.069321,0.070612,"298,388","15,862,500"
monetha,"Jun 05, 2018",0.074029,0.075188,0.069601,0.073372,"304,273","16,099,300"
monetha,"Jun 04, 2018",0.079475,0.080443,0.072764,0.073856,"468,014","17,283,600"
monetha,"Jun 03, 2018",0.081572,0.084820,0.079020,0.079305,"461,194","17,739,600"
monetha,"Jun 02, 2018",0.077434,0.084583,0.075241,0.081574,"687,966","16,839,700"
monetha,"Jun 01, 2018",0.076607,0.078030,0.072704,0.077463,"265,690","16,659,800"
monetha,"May 31, 2018",0.073370,0.078199,0.072011,0.076780,"258,412","15,956,000"
monetha,"May 30, 2018",0.073942,0.076184,0.070963,0.073695,"238,761","16,080,400"
monetha,"May 29, 2018",0.067680,0.076040,0.064837,0.074005,"483,357","14,718,600"
monetha,"May 28, 2018",0.075058,0.075396,0.066997,0.067717,"267,458","16,323,100"
monetha,"May 27, 2018",0.075715,0.075715,0.073450,0.074960,"191,873","16,465,800"
monetha,"May 26, 2018",0.076083,0.082272,0.074183,0.075545,"508,404","16,546,000"
monetha,"May 25, 2018",0.077678,0.080964,0.074122,0.076154,"897,115","16,892,700"
monetha,"May 24, 2018",0.074314,0.077492,0.069736,0.077492,"455,494","16,161,100"
monetha,"May 23, 2018",0.087353,0.088123,0.073022,0.074494,"1,210,110","18,996,800"
monetha,"May 22, 2018",0.096494,0.096897,0.087035,0.087240,"345,954","20,989,000"
monetha,"May 21, 2018",0.101120,0.102167,0.095427,0.096256,"322,379","21,995,100"
monetha,"May 20, 2018",0.097473,0.102390,0.096696,0.100762,"338,037","21,201,900"
monetha,"May 19, 2018",0.098966,0.099795,0.096173,0.097399,"279,715","21,526,700"
monetha,"May 18, 2018",0.096030,0.098918,0.093289,0.098918,"510,185","20,888,000"
monetha,"May 17, 2018",0.099442,0.101712,0.094599,0.095626,"513,252","21,630,100"
monetha,"May 16, 2018",0.104292,0.104594,0.095857,0.100068,"448,336","22,685,200"
monetha,"May 15, 2018",0.104124,0.114544,0.102562,0.104334,"1,367,810","22,648,600"
monetha,"May 14, 2018",0.106901,0.109527,0.098586,0.104548,"728,615","23,252,600"
monetha,"May 13, 2018",0.098835,0.110343,0.097706,0.106490,"950,451","21,498,100"
monetha,"May 12, 2018",0.096347,0.102096,0.091888,0.099086,"689,194","20,957,000"
monetha,"May 11, 2018",0.110809,0.110809,0.094562,0.096803,"1,169,920","24,102,700"
monetha,"May 10, 2018",0.123281,0.127234,0.110470,0.110470,"1,717,950","26,815,500"
monetha,"May 09, 2018",0.127672,0.130936,0.116736,0.123308,"932,862","27,770,700"
monetha,"May 08, 2018",0.133115,0.135686,0.122304,0.128250,"1,355,530","28,954,600"
monetha,"May 07, 2018",0.134072,0.137210,0.124113,0.132812,"1,725,500","29,162,700"
monetha,"May 06, 2018",0.141193,0.144562,0.130833,0.134136,"1,112,950","30,711,700"
monetha,"May 05, 2018",0.140452,0.152134,0.139072,0.141042,"1,576,930","30,550,500"
monetha,"May 04, 2018",0.141495,0.147262,0.134684,0.140442,"1,466,800","30,777,300"
monetha,"May 03, 2018",0.143343,0.146165,0.138589,0.141999,"2,032,120","31,179,200"
monetha,"May 02, 2018",0.141746,0.144788,0.137355,0.143597,"1,404,230","30,832,000"
monetha,"May 01, 2018",0.145701,0.145701,0.130952,0.141982,"2,296,890","31,692,200"
monetha,"Apr 30, 2018",0.140989,0.160428,0.139734,0.145414,"7,379,760","30,667,300"
monetha,"Apr 29, 2018",0.125372,0.142614,0.125372,0.141706,"3,309,780","27,270,300"
monetha,"Apr 28, 2018",0.116710,0.127854,0.116090,0.125093,"1,118,040","25,386,300"
monetha,"Apr 27, 2018",0.125188,0.128441,0.117161,0.117161,"1,358,370","27,230,400"
monetha,"Apr 26, 2018",0.111668,0.127980,0.106084,0.124618,"1,729,380","24,289,600"
monetha,"Apr 25, 2018",0.136623,0.136623,0.106297,0.111046,"1,912,820","29,717,700"
monetha,"Apr 24, 2018",0.131660,0.139918,0.128674,0.138439,"2,974,870","28,598,500"
monetha,"Apr 23, 2018",0.117224,0.138976,0.117224,0.131561,"5,523,160","25,462,800"
monetha,"Apr 22, 2018",0.108553,0.125367,0.106673,0.117016,"2,882,360","23,579,300"
monetha,"Apr 21, 2018",0.114873,0.115104,0.100061,0.109161,"1,588,900","24,952,200"
monetha,"Apr 20, 2018",0.110888,0.117106,0.106170,0.115362,"1,580,080","24,086,600"
monetha,"Apr 19, 2018",0.104166,0.113881,0.102555,0.111453,"2,209,090","22,626,500"
monetha,"Apr 18, 2018",0.095337,0.106186,0.095337,0.104104,"2,239,540","20,708,600"
monetha,"Apr 17, 2018",0.092149,0.105554,0.090852,0.095517,"2,911,100","20,016,100"
monetha,"Apr 16, 2018",0.099021,0.099191,0.090428,0.091905,"551,256","21,505,300"
monetha,"Apr 15, 2018",0.093898,0.099648,0.093193,0.099219,"923,514","20,392,700"
monetha,"Apr 14, 2018",0.091578,0.097902,0.090478,0.093640,"827,944","19,888,900"
monetha,"Apr 13, 2018",0.092915,0.100254,0.090382,0.091584,"1,250,670","20,173,300"
monetha,"Apr 12, 2018",0.078227,0.092786,0.075834,0.092786,"1,667,120","16,984,200"
