Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
mothership,"Jul 02, 2018",0.113690,0.121538,0.105918,0.117775,"114,541","15,916,600"
mothership,"Jul 01, 2018",0.117182,0.117686,0.110183,0.113653,"90,233","16,405,500"
mothership,"Jun 30, 2018",0.114122,0.120676,0.112182,0.117104,"89,614","15,977,100"
mothership,"Jun 29, 2018",0.113656,0.115489,0.101754,0.114018,"153,784","15,911,800"
mothership,"Jun 28, 2018",0.126563,0.126963,0.108795,0.113611,"89,160","17,718,900"
mothership,"Jun 27, 2018",0.120668,0.127601,0.117681,0.126392,"47,600","16,893,500"
mothership,"Jun 26, 2018",0.125593,0.126398,0.115751,0.117795,"86,937","17,583,000"
mothership,"Jun 25, 2018",0.120632,0.134827,0.116981,0.125851,"59,725","16,888,400"
mothership,"Jun 24, 2018",0.133053,0.133450,0.110977,0.121015,"87,835","18,627,400"
mothership,"Jun 23, 2018",0.132636,0.142663,0.132418,0.133087,"72,843","18,569,000"
mothership,"Jun 22, 2018",0.164062,0.164062,0.127002,0.132154,"140,539","22,968,700"
mothership,"Jun 21, 2018",0.126292,0.212505,0.124726,0.162748,"325,843","17,680,900"
mothership,"Jun 20, 2018",0.126495,0.130244,0.119696,0.126037,"143,395","17,709,200"
mothership,"Jun 19, 2018",0.125963,0.130662,0.118751,0.129672,"96,464","17,634,800"
mothership,"Jun 18, 2018",0.116833,0.127596,0.113212,0.126035,"111,772","16,356,700"
mothership,"Jun 17, 2018",0.117295,0.135902,0.112456,0.118604,"91,823","16,421,300"
mothership,"Jun 16, 2018",0.107662,0.117910,0.106580,0.116844,"108,643","15,072,600"
mothership,"Jun 15, 2018",0.122081,0.122556,0.103026,0.107970,"79,256","17,091,300"
mothership,"Jun 14, 2018",0.111299,0.124220,0.109884,0.121666,"86,446","15,581,900"
mothership,"Jun 13, 2018",0.112867,0.117476,0.105617,0.111219,"83,317","15,801,400"
mothership,"Jun 12, 2018",0.121335,0.124230,0.111266,0.112791,"67,392","16,986,900"
mothership,"Jun 11, 2018",0.118401,0.121768,0.115554,0.121314,"95,848","16,576,200"
mothership,"Jun 10, 2018",0.141244,0.141244,0.115027,0.118214,"200,309","19,774,200"
mothership,"Jun 09, 2018",0.137964,0.144656,0.137496,0.140178,"46,845","19,314,900"
mothership,"Jun 08, 2018",0.144197,0.145497,0.132146,0.139797,"115,488","20,187,600"
mothership,"Jun 07, 2018",0.141305,0.148435,0.135353,0.144005,"124,659","19,782,700"
mothership,"Jun 06, 2018",0.145342,0.148208,0.139653,0.141290,"56,853","20,347,800"
mothership,"Jun 05, 2018",0.143089,0.146928,0.139225,0.145480,"62,118","20,032,500"
mothership,"Jun 04, 2018",0.147205,0.149015,0.140264,0.142134,"17,652","20,608,600"
mothership,"Jun 03, 2018",0.142705,0.149060,0.142213,0.146816,"44,692","19,978,600"
mothership,"Jun 02, 2018",0.140695,0.159561,0.139772,0.142720,"121,709","19,697,400"
mothership,"Jun 01, 2018",0.129776,0.141019,0.129173,0.140721,"121,575","18,168,600"
mothership,"May 31, 2018",0.130880,0.134329,0.127203,0.129654,"40,506","18,323,100"
mothership,"May 30, 2018",0.128707,0.138349,0.127774,0.131134,"53,753","18,019,000"
mothership,"May 29, 2018",0.123830,0.133993,0.123830,0.132020,"77,666","17,336,100"
mothership,"May 28, 2018",0.130740,0.131072,0.122795,0.125400,"50,090","18,303,600"
mothership,"May 27, 2018",0.131243,0.132202,0.126166,0.130722,"63,241","18,374,100"
mothership,"May 26, 2018",0.140570,0.140570,0.130625,0.131446,"58,926","19,679,800"
mothership,"May 25, 2018",0.130011,0.140732,0.124117,0.140732,"79,032","18,201,500"
mothership,"May 24, 2018",0.128368,0.131881,0.121511,0.129813,"30,544","17,971,500"
mothership,"May 23, 2018",0.143112,0.146187,0.125558,0.128754,"80,577","20,035,700"
mothership,"May 22, 2018",0.153857,0.153869,0.141270,0.143264,"10,976","21,540,000"
mothership,"May 21, 2018",0.156904,0.162177,0.152048,0.154153,"56,511","21,966,500"
mothership,"May 20, 2018",0.163422,0.163422,0.151508,0.156968,"24,254","22,879,100"
mothership,"May 19, 2018",0.160610,0.163813,0.151325,0.163296,"43,806","22,485,400"
mothership,"May 18, 2018",0.148279,0.163666,0.144783,0.160050,"40,109","20,759,100"
mothership,"May 17, 2018",0.150932,0.155726,0.145515,0.148174,"25,242","21,130,500"
mothership,"May 16, 2018",0.154476,0.156080,0.146862,0.150837,"15,624","21,626,600"
mothership,"May 15, 2018",0.159595,0.165852,0.150003,0.154506,"31,417","22,343,300"
mothership,"May 14, 2018",0.171159,0.173675,0.143108,0.159970,"82,811","23,962,300"
mothership,"May 13, 2018",0.158948,0.171325,0.149219,0.170776,"86,188","22,252,700"
mothership,"May 12, 2018",0.172714,0.177456,0.154228,0.159024,"63,077","24,179,900"
mothership,"May 11, 2018",0.198251,0.198251,0.167871,0.168585,"32,229","27,755,100"
mothership,"May 10, 2018",0.204199,0.208151,0.185513,0.198025,"46,240","28,587,800"
mothership,"May 09, 2018",0.190838,0.212298,0.183261,0.204316,"43,704","26,717,400"
mothership,"May 08, 2018",0.211245,0.218891,0.186205,0.191122,"18,601","29,574,300"
mothership,"May 07, 2018",0.228663,0.228663,0.194963,0.210690,"113,525","32,012,800"
mothership,"May 06, 2018",0.224629,0.241581,0.198884,0.227820,"117,104","31,448,100"
mothership,"May 05, 2018",0.233278,0.246298,0.198399,0.225287,"119,184","32,658,900"
mothership,"May 04, 2018",0.257557,0.257821,0.219492,0.233263,"144,657","36,057,900"
mothership,"May 03, 2018",0.241977,0.266271,0.233789,0.258305,"332,968","33,876,800"
mothership,"May 02, 2018",0.198314,0.250740,0.188600,0.242507,"365,579","27,763,900"
mothership,"May 01, 2018",0.192849,0.203448,0.182902,0.199502,"69,224","26,998,900"
mothership,"Apr 30, 2018",0.199246,0.206321,0.186229,0.195946,"118,035","27,894,400"
mothership,"Apr 29, 2018",0.203282,0.206304,0.189478,0.199290,"79,301","28,459,500"
mothership,"Apr 28, 2018",0.192521,0.204370,0.177517,0.203237,"160,194","26,952,900"
mothership,"Apr 27, 2018",0.162250,0.207272,0.160527,0.193412,"158,504","22,715,000"
mothership,"Apr 26, 2018",0.154257,0.163358,0.147643,0.162003,"94,292","21,595,900"
mothership,"Apr 25, 2018",0.165440,0.168780,0.146966,0.152276,"110,324","23,161,600"
mothership,"Apr 24, 2018",0.159386,0.176393,0.157233,0.165521,"148,423","22,314,100"
mothership,"Apr 23, 2018",0.140093,0.161602,0.139228,0.160447,"91,312","19,613,100"
mothership,"Apr 22, 2018",0.153108,0.155180,0.139202,0.140436,"71,492","21,435,100"
mothership,"Apr 21, 2018",0.140897,0.156889,0.138591,0.153304,"52,598","19,725,600"
mothership,"Apr 20, 2018",0.137162,0.154058,0.131038,0.140734,"103,158","19,202,700"
mothership,"Apr 19, 2018",0.138277,0.146439,0.126858,0.137115,"37,170","19,358,800"
mothership,"Apr 18, 2018",0.121991,0.138492,0.118086,0.137982,"57,715","17,078,800"
mothership,"Apr 17, 2018",0.123658,0.129317,0.111459,0.121887,"94,088","17,312,100"
mothership,"Apr 16, 2018",0.132154,0.133061,0.120773,0.123610,"41,366","18,501,600"
mothership,"Apr 15, 2018",0.131968,0.136173,0.125329,0.132207,"68,823","18,475,500"
mothership,"Apr 14, 2018",0.138316,0.140516,0.128929,0.131500,"50,085","19,364,300"
mothership,"Apr 13, 2018",0.139751,0.142816,0.133724,0.135757,"31,284","19,565,100"
mothership,"Apr 12, 2018",0.128263,0.141366,0.119988,0.139521,"104,564","17,956,800"
mothership,"Apr 11, 2018",0.112629,0.128583,0.107776,0.128583,"32,226","15,768,100"
mothership,"Apr 10, 2018",0.105809,0.112576,0.104349,0.112515,"22,096","14,813,200"
mothership,"Apr 09, 2018",0.109770,0.122070,0.104786,0.106064,"21,692","15,367,800"
mothership,"Apr 08, 2018",0.108267,0.118159,0.108164,0.109583,"23,929","15,157,400"
mothership,"Apr 07, 2018",0.103719,0.111293,0.103565,0.108267,"5,225","14,520,600"
mothership,"Apr 06, 2018",0.111182,0.112214,0.101450,0.104578,"6,139","15,565,400"
mothership,"Apr 05, 2018",0.117554,0.119419,0.103016,0.111785,"75,558","16,457,600"
mothership,"Apr 04, 2018",0.134227,0.137711,0.115832,0.117570,"23,261","18,791,800"
mothership,"Apr 03, 2018",0.137446,0.142665,0.129766,0.138480,"29,341","19,242,500"
mothership,"Apr 02, 2018",0.130135,0.142215,0.121886,0.138070,"90,884","18,218,900"
mothership,"Apr 01, 2018",0.123208,0.141279,0.120499,0.130392,"52,793","17,249,100"
mothership,"Mar 31, 2018",0.112778,0.137773,0.112778,0.123104,"33,172","15,788,900"
mothership,"Mar 30, 2018",0.107772,0.124466,0.100262,0.112799,"76,413","15,088,100"
mothership,"Mar 29, 2018",0.115517,0.123600,0.105831,0.108058,"84,099","16,172,300"
mothership,"Mar 28, 2018",0.121029,0.121467,0.112032,0.115599,"91,615","16,944,000"
mothership,"Mar 27, 2018",0.124675,0.127087,0.117263,0.121039,"91,360","17,454,500"
mothership,"Mar 26, 2018",0.131250,0.135529,0.117545,0.124893,"25,084","18,375,000"
mothership,"Mar 25, 2018",0.132967,0.136693,0.127435,0.131263,"25,972","18,615,300"
mothership,"Mar 24, 2018",0.136560,0.142303,0.129345,0.134756,"50,599","19,118,400"
mothership,"Mar 23, 2018",0.129815,0.136094,0.119019,0.134583,"65,805","18,174,100"
mothership,"Mar 22, 2018",0.134010,0.141551,0.124524,0.128802,"85,460","18,761,400"
mothership,"Mar 21, 2018",0.133322,0.137973,0.127252,0.134151,"41,313","18,665,000"
mothership,"Mar 20, 2018",0.135580,0.137997,0.125731,0.133631,"29,843","18,981,200"
mothership,"Mar 19, 2018",0.124761,0.144425,0.122633,0.134444,"89,599","17,466,500"
mothership,"Mar 18, 2018",0.114895,0.135301,0.094935,0.126508,"94,134","16,085,300"
mothership,"Mar 17, 2018",0.128613,0.128613,0.107200,0.116562,"33,694","18,005,800"
mothership,"Mar 16, 2018",0.115364,0.137390,0.110475,0.124517,"88,962","16,150,900"
mothership,"Mar 15, 2018",0.121971,0.124857,0.109143,0.115371,"33,105","17,076,000"
mothership,"Mar 14, 2018",0.141496,0.148076,0.114378,0.122021,"57,898","19,809,400"
mothership,"Mar 13, 2018",0.129986,0.166867,0.121895,0.141656,"100,116","18,198,100"
mothership,"Mar 12, 2018",0.157214,0.162341,0.116481,0.129926,"186,717","22,009,900"
mothership,"Mar 11, 2018",0.151047,0.161719,0.146132,0.157682,"44,693","21,146,600"
mothership,"Mar 10, 2018",0.159201,0.181323,0.150790,0.151559,"58,218","22,288,200"
mothership,"Mar 09, 2018",0.149233,0.159894,0.130699,0.159188,"49,887","20,892,700"
