Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
musiconomi,"Jul 02, 2018",0.022848,0.024499,0.022610,0.023785,200,"632,643"
musiconomi,"Jul 01, 2018",0.023505,0.023716,0.022845,0.022845,969,"650,854"
musiconomi,"Jun 30, 2018",0.022338,0.023633,0.022336,0.023500,13,"618,518"
musiconomi,"Jun 29, 2018",0.021048,0.022691,0.021011,0.022307,34,"582,813"
musiconomi,"Jun 28, 2018",0.022082,0.022147,0.021902,0.021994,3,"611,442"
musiconomi,"Jun 27, 2018",0.021889,0.022180,0.021655,0.022074,24,"606,106"
musiconomi,"Jun 26, 2018",0.022618,0.022667,0.021878,0.021898,267,"626,286"
musiconomi,"Jun 25, 2018",0.023987,0.024087,0.022602,0.022618,276,"664,201"
musiconomi,"Jun 24, 2018",0.025037,0.025077,0.022531,0.024034,34,"693,258"
musiconomi,"Jun 23, 2018",0.023118,0.025327,0.023078,0.025040,148,"640,140"
musiconomi,"Jun 22, 2018",0.027060,0.029169,0.022710,0.023115,567,"749,276"
musiconomi,"Jun 21, 2018",0.027816,0.030365,0.024651,0.027090,"2,755","770,213"
musiconomi,"Jun 20, 2018",0.027311,0.027976,0.027209,0.027810,10,"756,228"
musiconomi,"Jun 19, 2018",0.027459,0.027741,0.027317,0.027512,9,"760,335"
musiconomi,"Jun 18, 2018",0.026492,0.028963,0.026273,0.027474,9,"733,542"
musiconomi,"Jun 17, 2018",0.027026,0.027209,0.026494,0.026582,117,"748,329"
musiconomi,"Jun 16, 2018",0.026459,0.028744,0.026413,0.026954,119,"732,635"
musiconomi,"Jun 15, 2018",0.028967,0.028989,0.026410,0.026556,46,"802,077"
musiconomi,"Jun 14, 2018",0.027679,0.029152,0.027623,0.029015,98,"766,417"
musiconomi,"Jun 13, 2018",0.031664,0.031702,0.027170,0.027691,30,"876,770"
musiconomi,"Jun 12, 2018",0.030925,0.033102,0.030654,0.031582,33,"856,300"
musiconomi,"Jun 11, 2018",0.030218,0.031102,0.027586,0.030942,27,"836,725"
musiconomi,"Jun 10, 2018",0.033474,0.033474,0.028899,0.030175,116,"926,880"
musiconomi,"Jun 09, 2018",0.032263,0.034077,0.031326,0.033432,89,"893,340"
