Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
mybit-token,"Jul 02, 2018",0.045039,0.055612,0.044296,0.055612,"107,422","3,099,300"
mybit-token,"Jul 01, 2018",0.041799,0.049248,0.033837,0.045022,"98,255","2,876,290"
mybit-token,"Jun 30, 2018",0.051757,0.055807,0.040309,0.041757,"119,975","3,561,460"
mybit-token,"Jun 29, 2018",0.053309,0.053472,0.045234,0.050861,"53,368","3,658,810"
mybit-token,"Jun 28, 2018",0.054020,0.054179,0.050559,0.053296,"3,886","3,705,550"
mybit-token,"Jun 27, 2018",0.055275,0.055644,0.045917,0.053925,"9,431","3,234,090"
mybit-token,"Jun 26, 2018",0.058452,0.060036,0.050379,0.055414,"56,456","3,416,920"
mybit-token,"Jun 25, 2018",0.047845,0.062669,0.047593,0.057589,"113,761","2,789,600"
mybit-token,"Jun 24, 2018",0.061673,0.082355,0.047301,0.047930,"2,632","3,594,620"
mybit-token,"Jun 23, 2018",0.050828,0.065153,0.050768,0.061697,"4,452","2,962,400"
mybit-token,"Jun 22, 2018",0.059997,0.060007,0.049879,0.050910,"3,367","3,431,260"
mybit-token,"Jun 21, 2018",0.061761,0.062747,0.059979,0.060161,"10,802","3,521,270"
mybit-token,"Jun 20, 2018",0.067593,0.067646,0.060360,0.061718,"8,503","3,831,340"
mybit-token,"Jun 19, 2018",0.062978,0.067698,0.054818,0.067530,"9,237","3,568,000"
mybit-token,"Jun 18, 2018",0.062918,0.063177,0.060192,0.062898,"2,665","3,562,330"
mybit-token,"Jun 17, 2018",0.060745,0.063224,0.059500,0.062960,"11,183","3,426,990"
mybit-token,"Jun 16, 2018",0.061491,0.061597,0.056091,0.060768,"5,307","3,469,090"
mybit-token,"Jun 15, 2018",0.064492,0.071792,0.058679,0.061518,"5,080","3,637,550"
mybit-token,"Jun 14, 2018",0.061972,0.089009,0.061150,0.064497,"1,886","3,490,340"
mybit-token,"Jun 13, 2018",0.064588,0.088142,0.056218,0.061825,451,"3,637,320"
mybit-token,"Jun 12, 2018",0.105244,0.118458,0.063506,0.064332,"12,408","5,925,380"
mybit-token,"Jun 11, 2018",0.090964,0.156108,0.073126,0.105202,"16,520","5,116,280"
mybit-token,"Jun 10, 2018",0.103155,0.105650,0.082046,0.090917,"7,771","5,782,990"
mybit-token,"Jun 09, 2018",0.092569,0.103812,0.064799,0.103115,"8,661","5,148,800"
mybit-token,"Jun 08, 2018",0.087614,0.102953,0.083417,0.092545,"18,275","4,844,970"
mybit-token,"Jun 07, 2018",0.100749,0.102901,0.087164,0.087460,"3,791","5,565,380"
mybit-token,"Jun 06, 2018",2.25,2.54,2.15,2.27,"6,086","121,955,000"
mybit-token,"Jun 05, 2018",2.22,2.45,2.14,2.25,"86,514","116,788,000"
mybit-token,"Jun 04, 2018",2.60,2.71,2.13,2.22,"260,312","134,358,000"
mybit-token,"Jun 03, 2018",3.04,3.07,2.29,2.55,"420,168","155,696,000"
mybit-token,"Jun 02, 2018",3.00,3.45,2.92,3.05,"519,277","153,310,000"
mybit-token,"Jun 01, 2018",2.92,3.01,2.86,3.00,"489,905","148,594,000"
mybit-token,"May 31, 2018",2.86,3.19,2.00,2.92,"208,013","145,165,000"
mybit-token,"May 30, 2018",3.22,3.61,2.58,2.83,"37,491","163,016,000"
mybit-token,"May 29, 2018",3.04,3.88,2.58,3.22,"117,432","152,794,000"
mybit-token,"May 28, 2018",3.68,3.99,2.58,3.05,"175,174","183,107,000"
mybit-token,"May 27, 2018",2.41,3.70,2.24,3.64,"226,031","118,533,000"
mybit-token,"May 26, 2018",2.49,2.78,2.22,2.40,"31,942","121,760,000"
mybit-token,"May 25, 2018",2.41,3.22,2.21,2.49,"44,352","116,943,000"
mybit-token,"May 24, 2018",3.15,3.19,2.02,2.41,"530,018","50,650,900"
mybit-token,"May 23, 2018",3.83,4.13,2.44,3.16,"1,455,290","61,587,500"
mybit-token,"May 22, 2018",2.51,4.66,2.25,3.84,"676,186","39,295,200"
mybit-token,"May 21, 2018",2.65,2.77,2.23,2.52,"8,159","39,247,700"
mybit-token,"May 20, 2018",2.47,2.66,2.44,2.64,"1,512","36,590,200"
mybit-token,"May 19, 2018",2.63,2.64,2.18,2.47,"3,668","7,376,250"
mybit-token,"May 18, 2018",2.18,2.64,1.85,2.63,"7,006","6,091,990"
mybit-token,"May 17, 2018",2.67,2.71,2.16,2.18,"3,142","7,470,400"
mybit-token,"May 16, 2018",2.41,2.67,2.22,2.67,"3,512","6,741,450"
mybit-token,"May 15, 2018",2.19,2.41,1.88,2.41,"2,000","6,141,290"
mybit-token,"May 14, 2018",2.24,2.49,1.96,2.20,"4,957","6,280,750"
mybit-token,"May 13, 2018",2.04,2.27,1.98,2.24,"1,903","5,711,370"
mybit-token,"May 12, 2018",2.41,2.58,2.01,2.04,"2,502","6,749,930"
mybit-token,"May 11, 2018",2.31,2.44,1.87,2.42,"2,652","6,458,480"
mybit-token,"May 10, 2018",2.27,2.55,2.17,2.30,"3,515","6,366,750"
mybit-token,"May 09, 2018",2.83,3.02,1.98,2.27,"55,113","7,924,900"
mybit-token,"May 08, 2018",2.64,2.91,2.52,2.84,"18,836","7,392,990"
mybit-token,"May 07, 2018",2.39,2.90,2.29,2.63,"8,260","6,685,660"
mybit-token,"May 06, 2018",3.01,3.03,2.12,2.65,"19,481","8,420,280"
mybit-token,"May 05, 2018",3.23,3.77,2.79,3.01,"9,420","9,043,850"
mybit-token,"May 04, 2018",3.15,3.34,2.83,3.23,"4,492","8,809,520"
mybit-token,"May 03, 2018",2.87,3.38,2.87,3.15,"19,052","8,036,240"
mybit-token,"May 02, 2018",2.90,3.25,2.84,2.87,"9,420","8,124,210"
mybit-token,"May 01, 2018",3.13,3.29,2.62,2.91,"54,959","8,748,640"
mybit-token,"Apr 30, 2018",3.03,3.36,2.99,3.12,"8,908","8,492,690"
mybit-token,"Apr 29, 2018",3.25,3.46,3.03,3.03,"25,478","9,087,590"
mybit-token,"Apr 28, 2018",3.07,3.66,3.05,3.25,"19,275","8,584,870"
mybit-token,"Apr 27, 2018",3.08,3.20,2.99,3.09,"4,884","8,627,840"
mybit-token,"Apr 26, 2018",2.92,3.13,2.83,3.08,"6,395","8,180,690"
mybit-token,"Apr 25, 2018",3.55,3.55,2.89,2.90,"13,553","9,944,040"
mybit-token,"Apr 24, 2018",3.23,3.77,3.23,3.56,"9,921","9,035,000"
mybit-token,"Apr 23, 2018",3.31,3.74,3.17,3.23,"6,814","9,259,970"
mybit-token,"Apr 22, 2018",3.52,3.57,3.12,3.32,"5,872","9,843,530"
mybit-token,"Apr 21, 2018",3.46,3.57,3.13,3.54,"5,078","9,673,200"
mybit-token,"Apr 20, 2018",3.12,3.82,2.96,3.45,"19,674","8,745,330"
mybit-token,"Apr 19, 2018",2.94,3.13,2.86,3.13,"8,692","8,241,850"
mybit-token,"Apr 18, 2018",2.56,2.96,2.41,2.94,"5,447","7,164,540"
mybit-token,"Apr 17, 2018",2.62,2.74,2.36,2.56,"10,486","7,332,860"
mybit-token,"Apr 16, 2018",2.92,3.09,2.58,2.62,"24,071","8,163,770"
mybit-token,"Apr 15, 2018",2.89,3.02,2.83,2.91,"3,238","8,078,280"
mybit-token,"Apr 14, 2018",3.27,3.39,2.77,2.88,"9,136","9,163,160"
mybit-token,"Apr 13, 2018",3.06,3.44,2.98,3.27,"5,525","8,579,050"
mybit-token,"Apr 12, 2018",2.38,3.65,2.33,3.06,"19,674","6,670,410"
mybit-token,"Apr 11, 2018",2.41,2.48,2.20,2.39,"13,361","6,734,760"
mybit-token,"Apr 10, 2018",2.43,2.43,1.91,2.40,"130,706","6,791,800"
mybit-token,"Apr 09, 2018",2.42,2.84,2.27,2.42,"25,211","6,778,710"
mybit-token,"Apr 08, 2018",2.45,2.56,2.39,2.42,"2,495","6,852,070"
mybit-token,"Apr 07, 2018",2.52,2.80,2.40,2.45,"19,134","7,050,780"
mybit-token,"Apr 06, 2018",2.82,2.85,2.27,2.52,"14,594","7,900,330"
mybit-token,"Apr 05, 2018",2.68,2.84,2.40,2.83,"92,646","7,508,160"
mybit-token,"Apr 04, 2018",2.99,3.20,2.66,2.68,"25,163","8,361,110"
mybit-token,"Apr 03, 2018",2.96,3.19,2.82,2.84,"7,950","8,275,960"
mybit-token,"Apr 02, 2018",2.85,3.09,2.81,3.07,"19,886","7,981,580"
mybit-token,"Apr 01, 2018",3.19,3.50,2.73,2.84,"89,997","8,929,800"
mybit-token,"Mar 31, 2018",3.01,4.11,2.91,3.19,"44,769","8,431,760"
mybit-token,"Mar 30, 2018",3.06,3.50,2.89,3.01,"36,287","8,557,170"
mybit-token,"Mar 29, 2018",4.26,4.34,3.00,3.06,"136,170","11,912,700"
mybit-token,"Mar 28, 2018",3.61,4.53,3.57,4.25,"56,935","10,116,800"
mybit-token,"Mar 27, 2018",3.27,4.47,3.17,3.61,"74,085","9,166,290"
mybit-token,"Mar 26, 2018",3.50,4.38,3.15,3.28,"193,831","9,797,370"
mybit-token,"Mar 25, 2018",3.43,3.73,3.28,3.51,"87,313","9,599,260"
mybit-token,"Mar 24, 2018",3.85,3.87,3.28,3.47,"11,381","10,789,300"
mybit-token,"Mar 23, 2018",3.47,3.82,3.15,3.82,"163,283","9,711,100"
mybit-token,"Mar 22, 2018",3.53,3.92,3.22,3.24,"150,261","9,892,350"
mybit-token,"Mar 21, 2018",3.13,4.23,3.12,3.53,"186,470","8,762,160"
mybit-token,"Mar 20, 2018",3.30,3.96,2.87,3.11,"91,668","9,244,900"
mybit-token,"Mar 19, 2018",2.94,3.64,2.92,3.27,"5,680","8,241,140"
mybit-token,"Mar 18, 2018",3.21,3.21,2.53,2.96,"14,481","8,994,770"
mybit-token,"Mar 17, 2018",3.15,3.56,2.93,3.22,"53,296","8,824,010"
mybit-token,"Mar 16, 2018",3.70,4.23,2.94,3.15,"30,352","10,358,700"
mybit-token,"Mar 15, 2018",3.92,3.94,3.21,3.70,"9,680","10,965,400"
mybit-token,"Mar 14, 2018",4.80,4.83,3.64,3.91,"85,390","13,445,900"
mybit-token,"Mar 13, 2018",5.27,5.37,4.66,4.68,"69,159","14,749,000"
mybit-token,"Mar 12, 2018",5.57,5.72,4.70,5.28,"109,643","15,592,500"
