Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
napoleonx,"Jul 02, 2018",0.195868,0.270628,0.193427,0.268646,"662,487","4,961,340"
napoleonx,"Jul 01, 2018",0.222032,0.234919,0.193650,0.195794,"556,131","5,624,070"
napoleonx,"Jun 30, 2018",0.233980,0.270076,0.218211,0.221916,"571,336","5,926,710"
napoleonx,"Jun 29, 2018",0.220721,0.242722,0.197761,0.233722,"604,781","5,590,860"
napoleonx,"Jun 28, 2018",0.216207,0.259927,0.201216,0.220607,"565,394","5,476,530"
napoleonx,"Jun 27, 2018",0.211826,0.253458,0.198903,0.215996,"579,904","5,365,540"
napoleonx,"Jun 26, 2018",0.213674,0.234797,0.200519,0.212147,"562,613","5,412,370"
napoleonx,"Jun 25, 2018",0.202779,0.225744,0.200257,0.213674,"629,833","5,136,390"
napoleonx,"Jun 24, 2018",0.223436,0.226690,0.189123,0.203405,"347,320","5,659,620"
napoleonx,"Jun 23, 2018",0.220651,0.242415,0.220394,0.223483,"285,208","5,589,090"
napoleonx,"Jun 22, 2018",0.260697,0.260939,0.214951,0.220574,"505,461","6,603,460"
napoleonx,"Jun 21, 2018",0.247408,0.261328,0.245428,0.260875,"363,394","6,266,850"
napoleonx,"Jun 20, 2018",0.257585,0.257603,0.229724,0.247467,"394,165","6,524,640"
napoleonx,"Jun 19, 2018",0.242857,0.261046,0.189018,0.257423,"461,935","6,151,560"
napoleonx,"Jun 18, 2018",0.232511,0.258894,0.222219,0.242996,"400,103","5,889,490"
napoleonx,"Jun 17, 2018",0.234573,0.246364,0.225322,0.232946,"289,098","5,941,730"
napoleonx,"Jun 16, 2018",0.223377,0.246061,0.222820,0.234287,"245,190","5,658,130"
napoleonx,"Jun 15, 2018",0.226081,0.251927,0.222615,0.224104,"254,950","5,726,640"
napoleonx,"Jun 14, 2018",0.229922,0.250926,0.214409,0.226320,"213,281","5,823,930"
napoleonx,"Jun 13, 2018",0.236978,0.291529,0.220048,0.229682,"160,196","6,002,660"
napoleonx,"Jun 12, 2018",0.253130,0.299673,0.224551,0.236197,"178,945","6,411,780"
napoleonx,"Jun 11, 2018",0.258026,0.266878,0.247103,0.253140,"167,982","6,535,810"
napoleonx,"Jun 10, 2018",0.306254,0.306254,0.251452,0.257619,"91,005","7,757,420"
napoleonx,"Jun 09, 2018",0.316095,0.319406,0.289713,0.305757,"42,007","8,006,680"
napoleonx,"Jun 08, 2018",0.306715,0.335175,0.298861,0.316073,"46,568","7,769,080"
napoleonx,"Jun 07, 2018",0.287639,0.339371,0.270366,0.306307,"62,939","7,285,890"
napoleonx,"Jun 06, 2018",0.251350,0.294425,0.240795,0.287668,"63,305","6,366,680"
napoleonx,"Jun 05, 2018",0.287756,0.304489,0.250800,0.251685,"95,834","7,288,870"
napoleonx,"Jun 04, 2018",0.301834,0.319198,0.284742,0.287718,"40,574","7,645,460"
napoleonx,"Jun 03, 2018",0.283703,0.315109,0.283220,0.302003,"48,957","7,186,190"
napoleonx,"Jun 02, 2018",0.308536,0.308939,0.275926,0.283965,"35,490","7,815,230"
napoleonx,"Jun 01, 2018",0.299565,0.319116,0.270304,0.308640,"60,705","7,587,970"
napoleonx,"May 31, 2018",0.286697,0.305387,0.260865,0.299188,"31,489","7,262,020"
napoleonx,"May 30, 2018",0.283212,0.320443,0.265961,0.286973,"27,063","7,173,750"
napoleonx,"May 29, 2018",0.269429,0.300322,0.252539,0.296530,"22,333","6,824,640"
napoleonx,"May 28, 2018",0.285258,0.287237,0.247880,0.270210,"19,085","7,225,580"
napoleonx,"May 27, 2018",0.277836,0.298821,0.264091,0.285275,"5,850","7,037,590"
napoleonx,"May 26, 2018",0.295387,0.306222,0.276315,0.277301,"5,719","7,482,150"
napoleonx,"May 25, 2018",0.299158,0.306628,0.273766,0.295344,"6,191","7,577,660"
napoleonx,"May 24, 2018",0.317649,0.333960,0.148062,0.298833,"28,218","8,046,050"
napoleonx,"May 23, 2018",0.353202,0.356230,0.292623,0.319084,"21,181","8,946,620"
napoleonx,"May 22, 2018",0.339501,0.379307,0.313966,0.353905,"20,215","8,599,560"
napoleonx,"May 21, 2018",0.414723,0.415022,0.335683,0.370256,"16,644","10,504,900"
napoleonx,"May 20, 2018",0.347144,0.425470,0.327387,0.414186,"19,013","8,793,160"
