Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
naviaddress,"Jul 02, 2018",0.008477,0.008690,0.005372,0.006319,"119,325","2,056,040"
naviaddress,"Jul 01, 2018",0.008446,0.008487,0.006917,0.007513,"107,653","2,048,520"
naviaddress,"Jun 30, 2018",0.007481,0.007791,0.007168,0.007663,"143,395","1,814,610"
naviaddress,"Jun 29, 2018",0.006986,0.007555,0.006546,0.007473,"112,383","1,694,500"
naviaddress,"Jun 28, 2018",0.007960,0.007985,0.006422,0.006459,"133,906","1,930,810"
naviaddress,"Jun 27, 2018",0.006892,0.008019,0.006302,0.007179,"128,355","1,671,750"
naviaddress,"Jun 26, 2018",0.007189,0.007218,0.006487,0.006495,"127,639","1,743,810"
naviaddress,"Jun 25, 2018",0.006410,0.007219,0.006071,0.006947,"133,139","1,554,790"
naviaddress,"Jun 24, 2018",0.006668,0.006679,0.005830,0.006428,"124,258","1,617,230"
naviaddress,"Jun 23, 2018",0.006596,0.006962,0.006379,0.006669,"130,666","1,599,810"
naviaddress,"Jun 22, 2018",0.007688,0.008356,0.006575,0.006593,"129,031","1,864,800"
naviaddress,"Jun 21, 2018",0.007637,0.008167,0.006385,0.007151,"141,327","1,852,480"
naviaddress,"Jun 20, 2018",0.007417,0.008300,0.007086,0.007638,"126,030","1,798,970"
naviaddress,"Jun 19, 2018",0.007619,0.008850,0.007112,0.007412,"123,540","1,847,880"
naviaddress,"Jun 18, 2018",0.011301,0.011336,0.006805,0.007623,"132,511","2,741,050"
naviaddress,"Jun 17, 2018",0.011219,0.011898,0.010111,0.011326,"125,183","2,721,130"
naviaddress,"Jun 16, 2018",0.011938,0.011938,0.009926,0.010229,"121,475","2,895,530"
naviaddress,"Jun 15, 2018",0.012264,0.012264,0.010429,0.011057,"107,848","2,974,750"
naviaddress,"Jun 14, 2018",0.012852,0.012866,0.010284,0.011591,"145,719","3,117,190"
naviaddress,"Jun 13, 2018",0.013065,0.013065,0.011302,0.011810,"124,165","3,168,850"
naviaddress,"Jun 12, 2018",0.012527,0.012950,0.010802,0.010870,"118,508","3,038,360"
naviaddress,"Jun 11, 2018",0.013648,0.013992,0.012284,0.012529,"128,809","5,321,460"
naviaddress,"Jun 10, 2018",0.015056,0.015056,0.012374,0.012662,"115,485","5,870,740"
naviaddress,"Jun 09, 2018",0.017898,0.018062,0.014516,0.014516,"116,366","6,978,810"
naviaddress,"Jun 08, 2018",0.020908,0.020936,0.016039,0.016718,"129,109","8,152,550"
naviaddress,"Jun 07, 2018",0.022118,0.022507,0.020134,0.020175,"129,582","8,624,080"
naviaddress,"Jun 06, 2018",0.021195,0.021241,0.020267,0.020814,"139,795","8,264,150"
naviaddress,"Jun 05, 2018",0.020845,0.021542,0.019267,0.020713,"115,449",-
naviaddress,"Jun 04, 2018",0.022050,0.023804,0.020102,0.020840,"126,903",-
naviaddress,"Jun 03, 2018",0.022584,0.023304,0.021839,0.022064,"134,058",-
naviaddress,"Jun 02, 2018",0.023309,0.024146,0.022084,0.023171,"128,944",-
naviaddress,"Jun 01, 2018",0.022051,0.022755,0.019925,0.021782,"125,092",-
naviaddress,"May 31, 2018",0.020667,0.022385,0.018909,0.020496,"127,508",-
naviaddress,"May 30, 2018",0.021232,0.021554,0.018518,0.020678,"64,511",-
naviaddress,"May 29, 2018",0.023801,0.026202,0.018183,0.018511,"144,703",-
naviaddress,"May 28, 2018",0.023734,0.024774,0.023012,0.024099,"194,240",-
