Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
nem,"Jul 02, 2018",0.171183,0.204329,0.166479,0.204329,"38,417,700","1,540,650,000"
nem,"Jul 01, 2018",0.164553,0.171757,0.160668,0.171366,"24,145,400","1,480,980,000"
nem,"Jun 30, 2018",0.152298,0.166162,0.152242,0.164265,"19,253,800","1,370,680,000"
nem,"Jun 29, 2018",0.145723,0.153547,0.143613,0.151737,"11,938,000","1,311,510,000"
nem,"Jun 28, 2018",0.152850,0.153710,0.144583,0.145605,"9,891,110","1,375,650,000"
nem,"Jun 27, 2018",0.151420,0.153527,0.147422,0.152838,"10,613,300","1,362,780,000"
nem,"Jun 26, 2018",0.158301,0.160905,0.151495,0.151543,"11,670,700","1,424,710,000"
nem,"Jun 25, 2018",0.152051,0.161681,0.151838,0.158214,"15,108,200","1,368,460,000"
nem,"Jun 24, 2018",0.164736,0.164943,0.143032,0.152326,"18,279,900","1,482,620,000"
nem,"Jun 23, 2018",0.164743,0.169187,0.161337,0.164567,"13,989,700","1,482,690,000"
nem,"Jun 22, 2018",0.188324,0.189052,0.158450,0.164705,"23,000,900","1,694,910,000"
nem,"Jun 21, 2018",0.195038,0.195038,0.187767,0.188716,"15,128,300","1,755,350,000"
nem,"Jun 20, 2018",0.198256,0.198991,0.191565,0.194919,"13,932,100","1,784,300,000"
nem,"Jun 19, 2018",0.197218,0.201942,0.195592,0.198289,"10,550,700","1,774,960,000"
nem,"Jun 18, 2018",0.194603,0.201285,0.190948,0.197408,"10,399,600","1,751,430,000"
nem,"Jun 17, 2018",0.195606,0.198099,0.194448,0.194889,"7,414,750","1,760,450,000"
nem,"Jun 16, 2018",0.193912,0.197480,0.191503,0.195501,"8,367,160","1,745,200,000"
nem,"Jun 15, 2018",0.204160,0.204411,0.193153,0.194370,"10,642,700","1,837,440,000"
nem,"Jun 14, 2018",0.189777,0.206521,0.189777,0.204210,"16,370,100","1,708,000,000"
nem,"Jun 13, 2018",0.207332,0.209453,0.187027,0.189397,"18,902,700","1,865,980,000"
nem,"Jun 12, 2018",0.222421,0.222421,0.203848,0.206804,"16,696,900","2,001,790,000"
nem,"Jun 11, 2018",0.217518,0.228780,0.212021,0.222905,"22,204,900","1,957,660,000"
nem,"Jun 10, 2018",0.246908,0.246908,0.210542,0.216827,"23,909,800","2,222,170,000"
nem,"Jun 09, 2018",0.253635,0.260890,0.246138,0.246138,"19,555,600","2,282,720,000"
nem,"Jun 08, 2018",0.255202,0.255482,0.249063,0.252740,"17,737,900","2,296,820,000"
nem,"Jun 07, 2018",0.251237,0.277049,0.251237,0.254645,"56,223,000","2,261,130,000"
nem,"Jun 06, 2018",0.252141,0.252469,0.245758,0.250975,"16,446,800","2,269,270,000"
nem,"Jun 05, 2018",0.249740,0.255305,0.239512,0.252357,"15,788,400","2,247,660,000"
nem,"Jun 04, 2018",0.264492,0.267138,0.244076,0.249691,"14,410,900","2,380,430,000"
nem,"Jun 03, 2018",0.263814,0.273369,0.262839,0.263974,"16,303,400","2,374,320,000"
nem,"Jun 02, 2018",0.254274,0.263849,0.253176,0.263685,"12,639,100","2,288,470,000"
nem,"Jun 01, 2018",0.245110,0.260760,0.245110,0.254621,"17,894,000","2,205,990,000"
nem,"May 31, 2018",0.241572,0.247709,0.238188,0.245114,"12,045,200","2,174,150,000"
nem,"May 30, 2018",0.238923,0.247984,0.234813,0.241666,"15,315,900","2,150,300,000"
nem,"May 29, 2018",0.228418,0.251814,0.227359,0.238668,"21,312,100","2,055,760,000"
nem,"May 28, 2018",0.256166,0.257409,0.227476,0.228315,"14,242,400","2,305,490,000"
nem,"May 27, 2018",0.259764,0.259764,0.254830,0.256728,"8,622,780","2,337,870,000"
nem,"May 26, 2018",0.264087,0.268117,0.258198,0.259076,"8,466,730","2,376,790,000"
nem,"May 25, 2018",0.272184,0.273338,0.261342,0.263889,"10,265,400","2,449,650,000"
nem,"May 24, 2018",0.261781,0.271983,0.253679,0.271747,"14,832,000","2,356,030,000"
nem,"May 23, 2018",0.287784,0.288524,0.258562,0.261433,"20,737,100","2,590,060,000"
nem,"May 22, 2018",0.311148,0.311765,0.287475,0.287475,"12,907,200","2,800,330,000"
nem,"May 21, 2018",0.322131,0.323688,0.307844,0.311285,"12,810,200","2,899,180,000"
nem,"May 20, 2018",0.307633,0.323653,0.305548,0.321398,"13,539,800","2,768,700,000"
nem,"May 19, 2018",0.312745,0.315160,0.303839,0.307566,"10,598,700","2,814,710,000"
nem,"May 18, 2018",0.302422,0.314336,0.294569,0.312504,"14,800,200","2,721,800,000"
nem,"May 17, 2018",0.327850,0.330284,0.300915,0.303940,"14,571,600","2,950,650,000"
nem,"May 16, 2018",0.334973,0.336379,0.308866,0.326662,"20,936,100","3,014,760,000"
nem,"May 15, 2018",0.368053,0.371488,0.333211,0.335998,"20,419,800","3,312,480,000"
nem,"May 14, 2018",0.355596,0.384197,0.333540,0.368996,"55,798,800","3,200,360,000"
nem,"May 13, 2018",0.332291,0.359158,0.325970,0.356028,"17,116,300","2,990,620,000"
nem,"May 12, 2018",0.320572,0.338638,0.302830,0.332630,"22,235,900","2,885,150,000"
nem,"May 11, 2018",0.351545,0.352745,0.302395,0.320185,"31,627,100","3,163,910,000"
nem,"May 10, 2018",0.380541,0.382684,0.351925,0.351925,"17,493,600","3,424,870,000"
nem,"May 09, 2018",0.377643,0.388323,0.358346,0.379517,"20,417,800","3,398,790,000"
nem,"May 08, 2018",0.391219,0.400717,0.369613,0.378160,"18,733,400","3,520,970,000"
nem,"May 07, 2018",0.418172,0.418172,0.378504,0.390551,"24,381,900","3,763,550,000"
nem,"May 06, 2018",0.426807,0.427184,0.401352,0.418524,"24,604,800","3,841,270,000"
nem,"May 05, 2018",0.431253,0.437699,0.424589,0.426755,"19,589,700","3,881,280,000"
nem,"May 04, 2018",0.434097,0.436845,0.424241,0.431269,"21,333,000","3,906,870,000"
nem,"May 03, 2018",0.420532,0.437737,0.415064,0.434050,"37,784,100","3,784,790,000"
nem,"May 02, 2018",0.403381,0.422766,0.397913,0.420621,"30,572,500","3,630,430,000"
nem,"May 01, 2018",0.408822,0.408822,0.388932,0.404853,"26,075,500","3,679,400,000"
nem,"Apr 30, 2018",0.426580,0.426580,0.403889,0.408880,"25,523,800","3,839,220,000"
nem,"Apr 29, 2018",0.420597,0.435278,0.401773,0.427005,"43,274,300","3,785,380,000"
nem,"Apr 28, 2018",0.386391,0.425454,0.386391,0.420334,"37,733,900","3,477,520,000"
nem,"Apr 27, 2018",0.401991,0.408412,0.388370,0.388561,"38,144,900","3,617,920,000"
nem,"Apr 26, 2018",0.377831,0.403456,0.362525,0.403456,"40,545,100","3,400,480,000"
nem,"Apr 25, 2018",0.431915,0.453693,0.355360,0.376121,"89,480,800","3,887,230,000"
nem,"Apr 24, 2018",0.394354,0.437799,0.394354,0.434433,"64,570,700","3,549,190,000"
nem,"Apr 23, 2018",0.385145,0.396286,0.382399,0.394801,"32,336,500","3,466,300,000"
nem,"Apr 22, 2018",0.387255,0.401667,0.380189,0.386091,"33,013,300","3,485,300,000"
nem,"Apr 21, 2018",0.406739,0.412009,0.358062,0.388677,"62,556,300","3,660,650,000"
nem,"Apr 20, 2018",0.387246,0.409838,0.376828,0.405268,"54,148,200","3,485,220,000"
nem,"Apr 19, 2018",0.374391,0.388575,0.369990,0.387630,"62,521,700","3,369,520,000"
nem,"Apr 18, 2018",0.338948,0.375668,0.338948,0.375668,"89,930,200","3,050,540,000"
nem,"Apr 17, 2018",0.344922,0.346734,0.327327,0.340167,"48,733,200","3,104,300,000"
nem,"Apr 16, 2018",0.357259,0.372672,0.315593,0.344979,"89,113,500","3,215,330,000"
nem,"Apr 15, 2018",0.306989,0.358358,0.306989,0.358358,"83,251,500","2,762,900,000"
nem,"Apr 14, 2018",0.280179,0.305177,0.278387,0.305177,"30,159,900","2,521,610,000"
nem,"Apr 13, 2018",0.276000,0.309298,0.269359,0.282566,"60,138,100","2,484,000,000"
nem,"Apr 12, 2018",0.246282,0.277684,0.236673,0.275733,"40,413,700","2,216,540,000"
nem,"Apr 11, 2018",0.235401,0.247211,0.233022,0.246886,"15,445,500","2,118,610,000"
nem,"Apr 10, 2018",0.229739,0.235359,0.224297,0.235359,"12,849,700","2,067,650,000"
nem,"Apr 09, 2018",0.235835,0.244534,0.223406,0.229289,"21,341,700","2,122,520,000"
nem,"Apr 08, 2018",0.222940,0.235490,0.220521,0.235490,"15,325,100","2,006,460,000"
nem,"Apr 07, 2018",0.219517,0.228065,0.218537,0.222968,"12,824,500","1,975,660,000"
nem,"Apr 06, 2018",0.223908,0.227781,0.213130,0.219099,"15,421,400","2,015,180,000"
nem,"Apr 05, 2018",0.237000,0.241623,0.214718,0.224768,"46,090,300","2,133,000,000"
nem,"Apr 04, 2018",0.258314,0.266589,0.224548,0.227384,"36,788,000","2,324,830,000"
nem,"Apr 03, 2018",0.226965,0.261529,0.225940,0.260692,"74,217,500","2,042,680,000"
nem,"Apr 02, 2018",0.209004,0.228825,0.207913,0.226911,"28,985,500","1,881,040,000"
nem,"Apr 01, 2018",0.221523,0.224177,0.198162,0.208790,"15,920,600","1,993,710,000"
nem,"Mar 31, 2018",0.221387,0.229381,0.218697,0.221104,"17,615,800","1,992,490,000"
nem,"Mar 30, 2018",0.220175,0.231469,0.206299,0.220901,"27,991,400","1,981,580,000"
nem,"Mar 29, 2018",0.253712,0.255246,0.221222,0.221222,"26,252,300","2,283,410,000"
nem,"Mar 28, 2018",0.249475,0.258299,0.248320,0.253923,"17,816,400","2,245,270,000"
nem,"Mar 27, 2018",0.264836,0.266302,0.246689,0.249203,"23,645,300","2,383,520,000"
nem,"Mar 26, 2018",0.288446,0.289787,0.255252,0.266100,"38,184,800","2,596,020,000"
nem,"Mar 25, 2018",0.279636,0.311647,0.275051,0.288878,"71,368,900","2,516,730,000"
nem,"Mar 24, 2018",0.279302,0.290183,0.276706,0.282152,"42,879,500","2,513,720,000"
nem,"Mar 23, 2018",0.296295,0.296295,0.268338,0.278787,"50,435,000","2,666,660,000"
nem,"Mar 22, 2018",0.293437,0.311009,0.280140,0.297499,"87,736,000","2,640,940,000"
nem,"Mar 21, 2018",0.309843,0.314733,0.285323,0.290294,"104,430,000","2,788,590,000"
nem,"Mar 20, 2018",0.294834,0.344168,0.278131,0.310745,"323,806,000","2,653,510,000"
nem,"Mar 19, 2018",0.287236,0.314138,0.275261,0.301993,"120,826,000","2,585,120,000"
nem,"Mar 18, 2018",0.283261,0.285960,0.224753,0.281759,"72,757,100","2,549,350,000"
nem,"Mar 17, 2018",0.340714,0.340714,0.279494,0.281779,"55,729,900","3,066,430,000"
nem,"Mar 16, 2018",0.381054,0.386193,0.336487,0.338381,"47,704,200","3,429,490,000"
nem,"Mar 15, 2018",0.420145,0.427301,0.338700,0.376528,"96,351,900","3,781,310,000"
nem,"Mar 14, 2018",0.472692,0.524337,0.391035,0.399253,"164,630,000","4,254,230,000"
nem,"Mar 13, 2018",0.390232,0.477692,0.390232,0.465787,"144,069,000","3,512,090,000"
nem,"Mar 12, 2018",0.350350,0.412719,0.345692,0.390672,"90,235,500","3,153,150,000"
nem,"Mar 11, 2018",0.340915,0.361351,0.334325,0.350379,"29,528,800","3,068,230,000"
nem,"Mar 10, 2018",0.338757,0.357122,0.337643,0.341924,"24,086,700","3,048,810,000"
nem,"Mar 09, 2018",0.340783,0.363011,0.320117,0.338070,"57,774,800","3,067,050,000"
nem,"Mar 08, 2018",0.296244,0.360421,0.283055,0.341636,"65,751,000","2,666,190,000"
nem,"Mar 07, 2018",0.338929,0.343410,0.286299,0.297047,"24,605,000","3,050,360,000"
nem,"Mar 06, 2018",0.352065,0.358341,0.334087,0.339163,"26,655,100","3,168,580,000"
nem,"Mar 05, 2018",0.354704,0.374990,0.336002,0.353482,"63,880,400","3,192,330,000"
nem,"Mar 04, 2018",0.377368,0.377368,0.351159,0.356651,"49,838,900","3,396,310,000"
nem,"Mar 03, 2018",0.394581,0.405506,0.374320,0.377967,"35,009,700","3,551,230,000"
nem,"Mar 02, 2018",0.418319,0.423794,0.393694,0.395159,"17,893,800","3,764,870,000"
nem,"Mar 01, 2018",0.399489,0.416245,0.392158,0.416245,"19,529,000","3,595,400,000"
nem,"Feb 28, 2018",0.400721,0.425237,0.399354,0.401794,"27,179,700","3,606,490,000"
nem,"Feb 27, 2018",0.403094,0.405143,0.393397,0.401762,"12,956,100","3,627,850,000"
nem,"Feb 26, 2018",0.398861,0.406701,0.385481,0.402877,"17,511,200","3,589,750,000"
nem,"Feb 25, 2018",0.405040,0.406462,0.380739,0.398644,"18,213,400","3,645,360,000"
nem,"Feb 24, 2018",0.438945,0.447432,0.398284,0.406426,"19,614,000","3,950,510,000"
nem,"Feb 23, 2018",0.428424,0.449053,0.417528,0.439576,"24,689,500","3,855,810,000"
nem,"Feb 22, 2018",0.463822,0.475640,0.415672,0.432245,"26,603,200","4,174,390,000"
nem,"Feb 21, 2018",0.482148,0.510921,0.458362,0.464439,"70,518,000","4,339,330,000"
nem,"Feb 20, 2018",0.529133,0.529133,0.481098,0.484397,"66,039,700","4,762,190,000"
nem,"Feb 19, 2018",0.528994,0.537727,0.518834,0.529261,"91,007,400","4,760,950,000"
nem,"Feb 18, 2018",0.595298,0.595298,0.527599,0.530407,"95,781,300","5,357,680,000"
nem,"Feb 17, 2018",0.565686,0.602952,0.560204,0.598880,"147,788,000","5,091,170,000"
nem,"Feb 16, 2018",0.560086,0.598202,0.548458,0.568887,"90,028,500","5,040,780,000"
nem,"Feb 15, 2018",0.569045,0.588881,0.544115,0.561359,"67,295,600","5,121,400,000"
nem,"Feb 14, 2018",0.531920,0.570553,0.528626,0.570005,"73,477,500","4,787,280,000"
nem,"Feb 13, 2018",0.560197,0.567745,0.526820,0.533186,"36,379,100","5,041,770,000"
nem,"Feb 12, 2018",0.532219,0.561441,0.530871,0.557894,"22,479,700","4,789,980,000"
nem,"Feb 11, 2018",0.589823,0.589823,0.514947,0.528640,"28,515,100","5,308,410,000"
nem,"Feb 10, 2018",0.598384,0.644920,0.557530,0.590511,"74,166,200","5,385,460,000"
nem,"Feb 09, 2018",0.544268,0.590486,0.517372,0.590486,"60,340,000","4,898,410,000"
nem,"Feb 08, 2018",0.536245,0.594279,0.525279,0.543094,"42,640,900","4,826,200,000"
nem,"Feb 07, 2018",0.582114,0.617025,0.521970,0.536718,"59,231,300","5,239,020,000"
nem,"Feb 06, 2018",0.455961,0.584200,0.397361,0.584200,"50,311,400","4,103,650,000"
nem,"Feb 05, 2018",0.548980,0.559763,0.440340,0.449672,"28,590,400","4,940,820,000"
nem,"Feb 04, 2018",0.627271,0.664819,0.536007,0.550870,"41,394,700","5,645,440,000"
nem,"Feb 03, 2018",0.584534,0.652762,0.512837,0.628795,"42,520,900","5,260,800,000"
nem,"Feb 02, 2018",0.613639,0.621158,0.440361,0.582652,"54,511,900","5,522,750,000"
nem,"Feb 01, 2018",0.791554,0.804491,0.614392,0.618265,"46,639,300","7,123,980,000"
nem,"Jan 31, 2018",0.785675,0.787938,0.737936,0.779857,"50,105,100","7,071,080,000"
nem,"Jan 30, 2018",0.935732,0.935732,0.776117,0.776491,"47,194,000","8,421,590,000"
nem,"Jan 29, 2018",1.03,1.03,0.923629,0.935431,"47,381,700","9,253,430,000"
nem,"Jan 28, 2018",1.06,1.06,1.01,1.03,"83,612,400","9,506,630,000"
