Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
neo,"Jul 02, 2018",31.35,36.81,31.04,35.98,"142,578,000","2,037,540,000"
neo,"Jul 01, 2018",30.81,31.61,29.76,31.33,"72,319,000","2,002,450,000"
neo,"Jun 30, 2018",29.70,31.85,29.70,30.64,"73,997,700","1,930,510,000"
neo,"Jun 29, 2018",28.36,30.11,27.26,29.64,"64,412,600","1,843,710,000"
neo,"Jun 28, 2018",30.31,30.53,28.23,28.36,"52,412,700","1,970,190,000"
neo,"Jun 27, 2018",30.45,30.58,29.61,30.32,"53,013,200","1,979,390,000"
neo,"Jun 26, 2018",31.63,31.83,30.13,30.31,"52,380,500","2,056,180,000"
neo,"Jun 25, 2018",31.17,32.58,30.75,31.71,"58,836,700","2,025,800,000"
neo,"Jun 24, 2018",34.24,34.31,29.32,31.27,"90,829,600","2,225,810,000"
neo,"Jun 23, 2018",33.09,34.78,33.06,34.27,"53,422,000","2,150,570,000"
neo,"Jun 22, 2018",37.82,37.85,32.41,33.26,"84,102,500","2,458,160,000"
neo,"Jun 21, 2018",38.98,39.69,37.45,37.84,"70,598,700","2,533,980,000"
neo,"Jun 20, 2018",39.93,40.00,37.95,38.93,"71,498,700","2,595,280,000"
neo,"Jun 19, 2018",39.63,41.01,39.18,39.94,"75,684,100","2,576,100,000"
neo,"Jun 18, 2018",38.74,40.40,37.43,39.70,"88,125,500","2,517,800,000"
neo,"Jun 17, 2018",38.57,39.57,38.00,38.76,"64,709,800","2,506,900,000"
neo,"Jun 16, 2018",38.24,39.00,36.99,38.20,"67,913,800","2,485,790,000"
neo,"Jun 15, 2018",40.85,40.94,38.20,38.26,"68,554,500","2,655,200,000"
neo,"Jun 14, 2018",38.31,41.61,38.06,40.85,"105,352,000","2,489,920,000"
neo,"Jun 13, 2018",41.50,41.81,37.25,38.15,"98,023,200","2,697,690,000"
neo,"Jun 12, 2018",45.49,46.44,41.11,41.49,"83,302,000","2,956,610,000"
neo,"Jun 11, 2018",45.56,45.92,43.27,45.60,"85,727,200","2,961,510,000"
neo,"Jun 10, 2018",51.13,51.13,44.60,45.71,"99,954,100","3,323,720,000"
neo,"Jun 09, 2018",52.56,53.45,51.09,51.09,"72,333,200","3,416,090,000"
neo,"Jun 08, 2018",53.55,53.92,51.99,52.59,"77,989,800","3,480,610,000"
neo,"Jun 07, 2018",54.01,54.99,53.18,53.82,"78,293,600","3,510,460,000"
neo,"Jun 06, 2018",54.51,54.61,52.75,53.92,"81,572,600","3,543,110,000"
neo,"Jun 05, 2018",53.50,54.95,52.09,54.45,"92,081,000","3,477,660,000"
neo,"Jun 04, 2018",56.31,57.10,52.61,53.44,"91,888,400","3,660,100,000"
neo,"Jun 03, 2018",56.65,57.80,55.85,56.42,"90,826,100","3,682,140,000"
neo,"Jun 02, 2018",55.63,57.19,54.98,56.76,"97,926,200","3,615,890,000"
neo,"Jun 01, 2018",53.20,56.09,52.95,55.45,"102,577,000","3,457,790,000"
neo,"May 31, 2018",51.44,54.08,50.92,52.93,"85,826,000","3,343,510,000"
neo,"May 30, 2018",52.36,53.31,50.53,51.54,"82,723,100","3,403,160,000"
neo,"May 29, 2018",48.12,53.43,47.96,52.11,"106,526,000","3,127,560,000"
neo,"May 28, 2018",52.86,53.06,47.96,48.26,"92,695,200","3,436,200,000"
neo,"May 27, 2018",52.32,53.03,51.20,52.93,"76,785,500","3,400,820,000"
neo,"May 26, 2018",52.74,54.32,51.55,52.26,"84,223,300","3,428,000,000"
neo,"May 25, 2018",55.10,56.26,52.01,53.03,"93,827,500","3,581,540,000"
neo,"May 24, 2018",52.36,55.12,50.68,54.76,"107,696,000","3,403,300,000"
neo,"May 23, 2018",57.45,57.80,51.81,52.47,"109,642,000","3,734,310,000"
neo,"May 22, 2018",62.41,62.50,57.10,57.38,"95,219,600","4,056,540,000"
neo,"May 21, 2018",63.59,65.85,60.95,62.46,"121,919,000","4,133,600,000"
neo,"May 20, 2018",59.23,63.77,58.75,63.51,"89,350,200","3,850,000,000"
neo,"May 19, 2018",59.66,60.64,58.15,59.17,"79,662,300","3,877,990,000"
neo,"May 18, 2018",57.72,60.28,56.99,59.68,"94,202,000","3,751,860,000"
neo,"May 17, 2018",61.94,63.22,57.18,57.82,"96,606,600","4,025,910,000"
neo,"May 16, 2018",63.06,63.37,59.88,61.85,"99,496,200","4,098,810,000"
