Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
netko,"Jul 02, 2018",0.063472,0.073695,0.060692,0.067439,499,"361,546"
netko,"Jul 01, 2018",0.063880,0.064239,0.062856,0.063464,779,"363,463"
netko,"Jun 30, 2018",0.062076,0.070085,0.062072,0.063866,673,"352,796"
netko,"Jun 29, 2018",0.060072,0.063057,0.053804,0.061992,441,"341,018"
netko,"Jun 28, 2018",0.062264,0.063997,0.053192,0.060034,"1,038","353,049"
netko,"Jun 27, 2018",0.063532,0.066950,0.061117,0.062242,423,"359,827"
netko,"Jun 26, 2018",0.067087,0.067233,0.063498,0.063558,25,"379,521"
netko,"Jun 25, 2018",0.066421,0.079581,0.066145,0.067087,58,"375,327"
netko,"Jun 24, 2018",0.067772,0.080113,0.059795,0.066550,238,"382,518"
netko,"Jun 23, 2018",0.065645,0.073586,0.065645,0.067781,327,"370,095"
netko,"Jun 22, 2018",0.072576,0.073607,0.064484,0.065637,22,"408,692"
netko,"Jun 21, 2018",0.075068,0.075427,0.072506,0.072656,439,"422,251"
netko,"Jun 20, 2018",0.073556,0.075481,0.071720,0.075052,382,"413,270"
netko,"Jun 19, 2018",0.073974,0.074465,0.073228,0.073510,71,"415,158"
netko,"Jun 18, 2018",0.066197,0.084431,0.065650,0.074013,684,"371,068"
netko,"Jun 17, 2018",0.072459,0.074590,0.066203,0.066423,140,"405,705"
netko,"Jun 16, 2018",0.070104,0.072596,0.069669,0.072267,48,"392,052"
netko,"Jun 15, 2018",0.069631,0.074531,0.066377,0.070360,177,"389,156"
netko,"Jun 14, 2018",0.081201,0.085803,0.080570,0.085441,18,"453,045"
netko,"Jun 13, 2018",0.072479,0.084996,0.071846,0.081626,277,"403,903"
netko,"Jun 12, 2018",0.089483,0.095689,0.076787,0.087065,93,"498,082"
netko,"Jun 11, 2018",0.078441,0.094936,0.073111,0.089531,"1,716","436,113"
netko,"Jun 10, 2018",0.086989,0.086989,0.072108,0.078329,535,"483,064"
netko,"Jun 09, 2018",0.094729,0.095428,0.076662,0.086879,"1,263","525,429"
netko,"Jun 08, 2018",0.086168,0.095196,0.086168,0.094769,886,"477,823"
netko,"Jun 07, 2018",0.109798,0.111108,0.109798,0.110295,6,"607,576"
netko,"Jun 06, 2018",0.106256,0.110264,0.093654,0.109697,50,"587,289"
netko,"Jun 05, 2018",0.098860,0.106476,0.097284,0.106285,250,"545,781"
netko,"Jun 04, 2018",0.084862,0.105634,0.082695,0.098228,"1,495","467,957"
netko,"Jun 03, 2018",0.092649,0.094610,0.076821,0.088754,"2,261","510,280"
netko,"Jun 02, 2018",0.100723,0.100809,0.090395,0.092623,427,"554,090"
netko,"Jun 01, 2018",0.119791,0.121390,0.089301,0.100766,821,"658,207"
netko,"May 31, 2018",0.110666,0.123502,0.110126,0.119704,450,"607,363"
netko,"May 30, 2018",0.104621,0.110732,0.102638,0.110687,"1,319","573,500"
netko,"May 29, 2018",0.100429,0.108361,0.099796,0.104550,98,"549,877"
netko,"May 28, 2018",0.101853,0.109466,0.096899,0.100462,302,"557,012"
netko,"May 27, 2018",0.103501,0.110345,0.101768,0.101829,65,"565,360"
netko,"May 26, 2018",0.122713,0.122713,0.102897,0.103456,"1,023","669,505"
netko,"May 25, 2018",0.136659,0.137713,0.098603,0.122875,"1,218","744,709"
netko,"May 24, 2018",0.100620,0.139184,0.100620,0.136403,28,"547,647"
netko,"May 23, 2018",0.131149,0.152022,0.100051,0.100874,987,"712,972"
netko,"May 22, 2018",0.142104,0.158597,0.115984,0.131285,"2,296","771,592"
netko,"May 21, 2018",0.128634,0.168833,0.126176,0.142129,"2,720","695,986"
netko,"May 20, 2018",0.123542,0.152947,0.111686,0.128474,"5,654","668,434"
netko,"May 19, 2018",0.130986,0.131336,0.104399,0.123450,"1,446","708,031"
netko,"May 18, 2018",0.123271,0.131047,0.112323,0.131006,"1,280","666,060"
netko,"May 17, 2018",0.131298,0.132968,0.116749,0.123163,268,"704,074"
netko,"May 16, 2018",0.118806,0.136447,0.107064,0.131218,252,"637,086"
netko,"May 15, 2018",0.134541,0.135905,0.118190,0.118875,54,"721,461"
netko,"May 14, 2018",0.133472,0.137373,0.119718,0.134772,18,"715,731"
netko,"May 13, 2018",0.137202,0.140153,0.112302,0.133497,207,"735,731"
netko,"May 12, 2018",0.106267,0.138524,0.106267,0.137250,385,"569,843"
