Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
neutron,"Jul 02, 2018",0.075664,0.084463,0.074084,0.080525,"1,224","2,766,590"
neutron,"Jul 01, 2018",0.075864,0.085791,0.068071,0.076552,"5,079","2,772,510"
neutron,"Jun 30, 2018",0.065454,0.091411,0.065452,0.075847,"2,347","2,390,850"
neutron,"Jun 29, 2018",0.064458,0.071159,0.060804,0.065365,385,"2,353,260"
neutron,"Jun 28, 2018",0.067480,0.072108,0.064056,0.064419,"2,957","2,462,360"
neutron,"Jun 27, 2018",0.063146,0.071148,0.062729,0.066923,"1,472","2,303,070"
neutron,"Jun 26, 2018",0.071158,0.085617,0.063112,0.063171,"2,907","2,593,970"
neutron,"Jun 25, 2018",0.069624,0.080168,0.069575,0.071158,457,"2,536,770"
neutron,"Jun 24, 2018",0.071319,0.079139,0.065916,0.069759,"2,790","2,597,210"
neutron,"Jun 23, 2018",0.069416,0.074079,0.066570,0.071328,593,"2,526,670"
neutron,"Jun 22, 2018",0.079598,0.079734,0.066609,0.069407,"1,174","2,895,860"
neutron,"Jun 21, 2018",0.072962,0.083228,0.068032,0.079684,"8,079","2,653,100"
neutron,"Jun 20, 2018",0.084248,0.094355,0.068710,0.072947,"3,743","3,061,950"
neutron,"Jun 19, 2018",0.074208,0.087603,0.068367,0.084184,"3,325","2,695,660"
neutron,"Jun 18, 2018",0.071943,0.079084,0.069151,0.074247,"2,807","2,612,080"
neutron,"Jun 17, 2018",0.077961,0.080120,0.069033,0.072236,635,"2,829,190"
neutron,"Jun 16, 2018",0.070474,0.079753,0.069562,0.077767,"3,891","2,556,200"
neutron,"Jun 15, 2018",0.073355,0.077293,0.070333,0.070730,516,"2,659,370"
neutron,"Jun 14, 2018",0.070762,0.081542,0.069912,0.073473,"1,067","2,564,100"
neutron,"Jun 13, 2018",0.073464,0.099704,0.070792,0.070792,"2,023","2,660,700"
neutron,"Jun 12, 2018",0.077059,0.083265,0.072819,0.073262,"1,690","2,789,480"
neutron,"Jun 11, 2018",0.082579,0.083890,0.072280,0.077099,"10,227","2,987,740"
neutron,"Jun 10, 2018",0.092083,0.092083,0.081148,0.082439,512,"3,329,930"
neutron,"Jun 09, 2018",0.091352,0.094987,0.091325,0.092130,"1,024","3,301,800"
neutron,"Jun 08, 2018",0.095978,0.097108,0.091387,0.091387,"4,935","3,467,230"
neutron,"Jun 07, 2018",0.102281,0.103716,0.095564,0.095923,"3,343","3,693,110"
neutron,"Jun 06, 2018",0.100675,0.104218,0.094555,0.102065,"4,333","3,633,250"
neutron,"Jun 05, 2018",0.101891,0.102987,0.092484,0.100700,"1,796","3,675,220"
neutron,"Jun 04, 2018",0.104006,0.104309,0.100226,0.101834,398,"3,749,600"
neutron,"Jun 03, 2018",0.111885,0.112272,0.100471,0.103952,"2,750","4,031,280"
neutron,"Jun 02, 2018",0.103285,0.112878,0.100257,0.112471,"3,791","3,719,550"
neutron,"Jun 01, 2018",0.094073,0.111334,0.092593,0.103325,"41,504","3,386,010"
neutron,"May 31, 2018",0.097217,0.099099,0.092847,0.093982,"1,508","3,497,350"
neutron,"May 30, 2018",0.099485,0.100644,0.092471,0.097256,"4,510","3,577,120"
neutron,"May 29, 2018",0.096938,0.102148,0.092209,0.099421,"8,375","3,483,760"
neutron,"May 28, 2018",0.105868,0.106450,0.095289,0.096950,917,"3,802,670"
neutron,"May 27, 2018",0.107120,0.113811,0.101676,0.105841,"3,442","3,845,640"
neutron,"May 26, 2018",0.112582,0.114935,0.099036,0.107075,"12,590","4,039,590"
neutron,"May 25, 2018",0.109832,0.120626,0.104425,0.112682,"5,783","3,938,860"
neutron,"May 24, 2018",0.111948,0.115078,0.102103,0.109628,"9,664","4,012,640"
neutron,"May 23, 2018",0.113415,0.121968,0.110006,0.112236,"17,482","4,063,100"
neutron,"May 22, 2018",0.129101,0.129118,0.112895,0.113533,"4,956","4,622,620"
neutron,"May 21, 2018",0.127729,0.142867,0.117976,0.129112,"6,972","4,571,130"
neutron,"May 20, 2018",0.118528,0.137810,0.117211,0.127513,"11,404","4,239,640"
neutron,"May 19, 2018",0.123906,0.131208,0.117937,0.118444,"9,852","4,429,720"
neutron,"May 18, 2018",0.122462,0.124410,0.114711,0.123968,"4,466","4,375,770"
neutron,"May 17, 2018",0.130336,0.131328,0.116258,0.122355,"5,712","4,654,680"
neutron,"May 16, 2018",0.126738,0.130226,0.121481,0.130226,475,"4,523,850"
neutron,"May 15, 2018",0.134108,0.135851,0.126152,0.126855,645,"4,784,420"
neutron,"May 14, 2018",0.137429,0.137697,0.127911,0.130810,679,"4,900,190"
neutron,"May 13, 2018",0.129400,0.138507,0.126611,0.137459,"4,286","4,611,420"
