Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
newyorkcoin,"Jul 02, 2018",0.000047,0.000049,0.000044,0.000049,"8,316","6,267,900"
newyorkcoin,"Jul 01, 2018",0.000046,0.000048,0.000042,0.000047,"3,575","6,099,660"
newyorkcoin,"Jun 30, 2018",0.000045,0.000048,0.000044,0.000045,"4,122","6,010,820"
newyorkcoin,"Jun 29, 2018",0.000043,0.000046,0.000040,0.000045,"9,204","5,783,760"
newyorkcoin,"Jun 28, 2018",0.000048,0.000048,0.000041,0.000043,"12,067","6,408,870"
newyorkcoin,"Jun 27, 2018",0.000049,0.000050,0.000045,0.000048,"3,013","6,544,970"
newyorkcoin,"Jun 26, 2018",0.000051,0.000051,0.000046,0.000049,"6,144","6,776,620"
newyorkcoin,"Jun 25, 2018",0.000051,0.000055,0.000050,0.000051,"12,291","6,892,550"
newyorkcoin,"Jun 24, 2018",0.000054,0.000056,0.000048,0.000051,"7,830","7,177,470"
newyorkcoin,"Jun 23, 2018",0.000055,0.000057,0.000053,0.000054,"6,490","7,392,500"
newyorkcoin,"Jun 22, 2018",0.000060,0.000062,0.000055,0.000055,"7,865","8,068,320"
newyorkcoin,"Jun 21, 2018",0.000062,0.000064,0.000060,0.000060,"10,715","8,266,430"
newyorkcoin,"Jun 20, 2018",0.000061,0.000063,0.000060,0.000062,"5,762","8,184,730"
newyorkcoin,"Jun 19, 2018",0.000062,0.000063,0.000060,0.000061,"6,687","8,299,850"
newyorkcoin,"Jun 18, 2018",0.000058,0.000064,0.000056,0.000062,"9,719","7,818,190"
newyorkcoin,"Jun 17, 2018",0.000060,0.000061,0.000056,0.000059,"8,179","7,984,240"
newyorkcoin,"Jun 16, 2018",0.000060,0.000063,0.000059,0.000060,"19,659","8,020,960"
newyorkcoin,"Jun 15, 2018",0.000067,0.000067,0.000059,0.000060,"5,682","8,941,980"
newyorkcoin,"Jun 14, 2018",0.000062,0.000067,0.000059,0.000067,"11,269","8,246,920"
newyorkcoin,"Jun 13, 2018",0.000065,0.000066,0.000058,0.000061,"8,721","8,738,740"
newyorkcoin,"Jun 12, 2018",0.000066,0.000069,0.000062,0.000065,"11,521","8,885,390"
newyorkcoin,"Jun 11, 2018",0.000068,0.000069,0.000065,0.000067,"31,922","9,116,130"
newyorkcoin,"Jun 10, 2018",0.000072,0.000073,0.000066,0.000066,"17,464","9,709,220"
newyorkcoin,"Jun 09, 2018",0.000075,0.000078,0.000073,0.000073,"9,872","9,991,310"
newyorkcoin,"Jun 08, 2018",0.000078,0.000078,0.000073,0.000073,"11,391","10,429,500"
newyorkcoin,"Jun 07, 2018",0.000077,0.000078,0.000073,0.000077,"25,717","10,384,100"
newyorkcoin,"Jun 06, 2018",0.000080,0.000080,0.000074,0.000077,"10,926","10,675,000"
newyorkcoin,"Jun 05, 2018",0.000076,0.000115,0.000072,0.000080,"13,240","10,156,000"
newyorkcoin,"Jun 04, 2018",0.000076,0.000104,0.000072,0.000076,"12,745","10,136,000"
newyorkcoin,"Jun 03, 2018",0.000077,0.000112,0.000075,0.000097,"15,948","10,258,500"
newyorkcoin,"Jun 02, 2018",0.000077,0.000119,0.000074,0.000076,"23,225","10,291,900"
newyorkcoin,"Jun 01, 2018",0.000077,0.000110,0.000075,0.000077,"30,137","10,352,800"
newyorkcoin,"May 31, 2018",0.000073,0.000092,0.000070,0.000089,"34,708","9,762,280"
newyorkcoin,"May 30, 2018",0.000074,0.000077,0.000072,0.000073,"17,066","9,903,830"
newyorkcoin,"May 29, 2018",0.000071,0.000076,0.000069,0.000074,"11,056","9,490,960"
newyorkcoin,"May 28, 2018",0.000075,0.000090,0.000070,0.000090,"15,230","10,003,600"
newyorkcoin,"May 27, 2018",0.000073,0.000075,0.000071,0.000075,"18,693","9,841,240"
newyorkcoin,"May 26, 2018",0.000075,0.000092,0.000073,0.000073,"8,371","10,052,100"
newyorkcoin,"May 25, 2018",0.000077,0.000101,0.000074,0.000075,"17,807","10,307,600"
newyorkcoin,"May 24, 2018",0.000078,0.000102,0.000074,0.000077,"27,446","10,441,500"
newyorkcoin,"May 23, 2018",0.000083,0.000109,0.000076,0.000078,"39,351","11,114,200"
newyorkcoin,"May 22, 2018",0.000086,0.000136,0.000083,0.000083,"22,705","11,562,800"
newyorkcoin,"May 21, 2018",0.000095,0.000121,0.000085,0.000086,"41,434","12,737,000"
newyorkcoin,"May 20, 2018",0.000091,0.000125,0.000087,0.000092,"21,289","12,199,800"
newyorkcoin,"May 19, 2018",0.000103,0.000109,0.000087,0.000091,"27,022","13,832,500"
newyorkcoin,"May 18, 2018",0.000084,0.000117,0.000081,0.000104,"21,383","11,211,000"
newyorkcoin,"May 17, 2018",0.000085,0.000135,0.000083,0.000084,"26,371","11,325,200"
newyorkcoin,"May 16, 2018",0.000082,0.000138,0.000080,0.000084,"30,403","11,024,600"
newyorkcoin,"May 15, 2018",0.000083,0.000086,0.000081,0.000082,"33,636","11,092,500"
newyorkcoin,"May 14, 2018",0.000082,0.000086,0.000079,0.000083,"14,819","10,994,300"
newyorkcoin,"May 13, 2018",0.000084,0.000085,0.000078,0.000083,"13,842","11,294,700"
newyorkcoin,"May 12, 2018",0.000084,0.000085,0.000075,0.000083,"14,455","11,222,500"
newyorkcoin,"May 11, 2018",0.000087,0.000090,0.000076,0.000084,"28,625","11,607,800"
newyorkcoin,"May 10, 2018",0.000078,0.000092,0.000077,0.000087,"27,166","10,516,500"
newyorkcoin,"May 09, 2018",0.000074,0.000083,0.000068,0.000078,"23,086","9,884,050"
newyorkcoin,"May 08, 2018",0.000067,0.000075,0.000062,0.000074,"18,430","9,032,100"
newyorkcoin,"May 07, 2018",0.000063,0.000082,0.000054,0.000062,"28,352","8,482,200"
newyorkcoin,"May 06, 2018",0.000093,0.000094,0.000025,0.000067,"59,893","12,429,000"
newyorkcoin,"May 05, 2018",0.000103,0.000103,0.000092,0.000093,"21,518","13,843,800"
newyorkcoin,"May 04, 2018",0.000097,0.000104,0.000089,0.000103,"18,817","12,961,700"
newyorkcoin,"May 03, 2018",0.000084,0.000097,0.000084,0.000097,"20,284","11,192,300"
newyorkcoin,"May 02, 2018",0.000085,0.000088,0.000082,0.000084,"13,627","11,376,100"
newyorkcoin,"May 01, 2018",0.000086,0.000086,0.000082,0.000085,"7,901","11,573,000"
newyorkcoin,"Apr 30, 2018",0.000093,0.000094,0.000083,0.000086,"12,496","12,478,000"
newyorkcoin,"Apr 29, 2018",0.000092,0.000095,0.000084,0.000091,"13,797","12,317,400"
newyorkcoin,"Apr 28, 2018",0.000087,0.000115,0.000087,0.000093,565,"11,646,700"
newyorkcoin,"Apr 27, 2018",0.000089,0.000099,0.000087,0.000087,"20,414","11,865,200"
newyorkcoin,"Apr 26, 2018",0.000084,0.000151,0.000083,0.000088,"20,072","11,297,700"
newyorkcoin,"Apr 25, 2018",0.000091,0.000093,0.000083,0.000084,"33,916","12,141,500"
newyorkcoin,"Apr 24, 2018",0.000086,0.000093,0.000086,0.000091,"38,657","11,524,800"
newyorkcoin,"Apr 23, 2018",0.000087,0.000094,0.000071,0.000086,"32,916","11,654,600"
newyorkcoin,"Apr 22, 2018",0.000089,0.000092,0.000083,0.000087,"10,166","11,932,200"
newyorkcoin,"Apr 21, 2018",0.000124,0.000125,0.000085,0.000089,"10,922","16,676,900"
newyorkcoin,"Apr 20, 2018",0.000118,0.000127,0.000084,0.000092,"23,950","15,792,400"
newyorkcoin,"Apr 19, 2018",0.000082,0.000120,0.000077,0.000118,"31,666","11,012,900"
newyorkcoin,"Apr 18, 2018",0.000084,0.000117,0.000079,0.000082,"20,292","11,196,100"
newyorkcoin,"Apr 17, 2018",0.000082,0.000107,0.000080,0.000082,"10,883","11,047,500"
newyorkcoin,"Apr 16, 2018",0.000085,0.000096,0.000078,0.000082,"13,171","11,427,900"
newyorkcoin,"Apr 15, 2018",0.000080,0.000120,0.000079,0.000085,"25,073","10,677,900"
newyorkcoin,"Apr 14, 2018",0.000080,0.000117,0.000078,0.000080,"26,749","10,733,000"
newyorkcoin,"Apr 13, 2018",0.000079,0.000127,0.000077,0.000080,"18,228","10,611,900"
newyorkcoin,"Apr 12, 2018",0.000071,0.000125,0.000069,0.000079,"25,101","9,535,480"
newyorkcoin,"Apr 11, 2018",0.000071,0.000098,0.000069,0.000071,"13,749","9,463,740"
newyorkcoin,"Apr 10, 2018",0.000069,0.000099,0.000066,0.000070,"11,518","9,296,710"
newyorkcoin,"Apr 09, 2018",0.000066,0.000072,0.000065,0.000069,"17,736","8,875,990"
newyorkcoin,"Apr 08, 2018",0.000070,0.000103,0.000066,0.000066,"19,184","9,357,210"
newyorkcoin,"Apr 07, 2018",0.000067,0.000105,0.000067,0.000070,"10,402","8,934,880"
newyorkcoin,"Apr 06, 2018",0.000068,0.000108,0.000065,0.000067,"16,644","9,164,270"
newyorkcoin,"Apr 05, 2018",0.000069,0.000075,0.000067,0.000069,"27,045","9,305,720"
newyorkcoin,"Apr 04, 2018",0.000073,0.000074,0.000069,0.000069,"12,902","9,717,810"
newyorkcoin,"Apr 03, 2018",0.000071,0.000092,0.000069,0.000072,"21,326","9,455,620"
newyorkcoin,"Apr 02, 2018",0.000068,0.000118,0.000068,0.000071,"23,196","9,123,130"
newyorkcoin,"Apr 01, 2018",0.000071,0.000116,0.000066,0.000068,"30,719","9,497,640"
