Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
noah-coin,"Jul 02, 2018",0.004150,0.004237,0.003702,0.003942,"619,821",-
noah-coin,"Jul 01, 2018",0.004326,0.004347,0.004045,0.004148,"396,114",-
noah-coin,"Jun 30, 2018",0.004452,0.004651,0.004312,0.004357,"425,994",-
noah-coin,"Jun 29, 2018",0.004325,0.004487,0.004204,0.004447,"444,234",-
noah-coin,"Jun 28, 2018",0.004579,0.004852,0.004300,0.004314,"463,234",-
noah-coin,"Jun 27, 2018",0.004655,0.005213,0.004419,0.004577,"766,965",-
noah-coin,"Jun 26, 2018",0.003982,0.004759,0.003897,0.004616,"593,474",-
noah-coin,"Jun 25, 2018",0.003417,0.004185,0.003398,0.003975,"899,555",-
noah-coin,"Jun 24, 2018",0.003379,0.003642,0.003033,0.003424,"527,918",-
noah-coin,"Jun 23, 2018",0.003512,0.003760,0.003138,0.003402,"574,029",-
noah-coin,"Jun 22, 2018",0.004800,0.004803,0.003295,0.003609,"1,022,210",-
noah-coin,"Jun 21, 2018",0.005053,0.005132,0.004750,0.004812,"471,879",-
noah-coin,"Jun 20, 2018",0.005286,0.005359,0.004963,0.005036,"709,488",-
noah-coin,"Jun 19, 2018",0.005810,0.005852,0.005167,0.005283,"1,259,830",-
noah-coin,"Jun 18, 2018",0.005484,0.005927,0.005220,0.005838,"1,080,930",-
noah-coin,"Jun 17, 2018",0.005394,0.005714,0.005304,0.005505,"691,146",-
noah-coin,"Jun 16, 2018",0.005452,0.005518,0.005203,0.005387,"495,414",-
noah-coin,"Jun 15, 2018",0.005970,0.006053,0.005401,0.005450,"942,294",-
noah-coin,"Jun 14, 2018",0.005147,0.006142,0.005143,0.005981,"2,054,690",-
noah-coin,"Jun 13, 2018",0.005767,0.005837,0.005097,0.005136,"2,190,980",-
noah-coin,"Jun 12, 2018",0.008038,0.008038,0.005657,0.005746,"4,416,100",-
noah-coin,"Jun 11, 2018",0.007040,0.008322,0.007040,0.008041,"4,276,320",-
noah-coin,"Jun 10, 2018",0.008476,0.008526,0.006926,0.007085,"2,453,010",-
noah-coin,"Jun 09, 2018",0.008843,0.009254,0.008503,0.008513,"2,969,950",-
noah-coin,"Jun 08, 2018",0.009003,0.009962,0.008417,0.008833,"5,123,670",-
noah-coin,"Jun 07, 2018",0.009279,0.011149,0.008377,0.009045,"8,592,050",-
noah-coin,"Jun 06, 2018",0.008233,0.012276,0.008233,0.009295,"14,000,800",-
noah-coin,"Jun 05, 2018",0.007762,0.008279,0.007718,0.008258,"2,107,290",-
noah-coin,"Jun 04, 2018",0.007458,0.010643,0.007388,0.007741,"4,973,080",-
noah-coin,"Jun 03, 2018",0.007053,0.008366,0.006365,0.007431,"4,829,870",-
noah-coin,"Jun 02, 2018",0.007450,0.007692,0.006529,0.007006,"4,495,980",-
noah-coin,"Jun 01, 2018",0.007615,0.007702,0.007275,0.007445,"1,416,010",-
noah-coin,"May 31, 2018",0.007491,0.007920,0.007254,0.007614,"2,916,280",-
noah-coin,"May 30, 2018",0.007574,0.007892,0.007336,0.007624,"822,387",-
noah-coin,"May 29, 2018",0.007343,0.008005,0.007208,0.007555,"2,751,260",-
noah-coin,"May 28, 2018",0.007439,0.007669,0.007113,0.007345,"1,656,070",-
noah-coin,"May 27, 2018",0.007373,0.007723,0.006939,0.007454,"2,056,100",-
noah-coin,"May 26, 2018",0.007116,0.007852,0.007025,0.007364,"2,397,080",-
noah-coin,"May 25, 2018",0.006991,0.007085,0.006791,0.007085,"709,890",-
noah-coin,"May 24, 2018",0.006930,0.007125,0.006727,0.006986,"1,314,150",-
noah-coin,"May 23, 2018",0.007403,0.007491,0.006918,0.006952,"1,199,740",-
noah-coin,"May 22, 2018",0.007679,0.007731,0.007311,0.007411,"1,005,660",-
noah-coin,"May 21, 2018",0.007852,0.008090,0.007627,0.007682,"1,334,340",-
noah-coin,"May 20, 2018",0.007553,0.007955,0.007488,0.007842,"1,130,190",-
noah-coin,"May 19, 2018",0.007993,0.007993,0.007520,0.007546,"1,952,040",-
noah-coin,"May 18, 2018",0.007624,0.008877,0.007471,0.008001,"4,555,310",-
noah-coin,"May 17, 2018",0.007781,0.007947,0.007545,0.007614,"1,444,160",-
noah-coin,"May 16, 2018",0.007936,0.007970,0.007648,0.007788,"1,474,820",-
noah-coin,"May 15, 2018",0.008174,0.008374,0.007917,0.007949,"1,785,030",-
noah-coin,"May 14, 2018",0.008387,0.008439,0.007973,0.008207,"2,038,080",-
noah-coin,"May 13, 2018",0.008289,0.008533,0.007987,0.008383,"2,031,420",-
noah-coin,"May 12, 2018",0.008337,0.008509,0.008090,0.008296,"1,793,370",-
noah-coin,"May 11, 2018",0.009152,0.009186,0.008301,0.008362,"2,703,420",-
noah-coin,"May 10, 2018",0.009579,0.010179,0.009009,0.009129,"5,247,330",-
noah-coin,"May 09, 2018",0.008530,0.010042,0.008492,0.009598,"6,109,340",-
noah-coin,"May 08, 2018",0.009343,0.009387,0.008223,0.008565,"5,270,980",-
noah-coin,"May 07, 2018",0.009518,0.009529,0.008617,0.009304,"3,811,180",-
noah-coin,"May 06, 2018",0.009748,0.009832,0.008835,0.009512,"2,241,650",-
noah-coin,"May 05, 2018",0.009794,0.010291,0.009477,0.009758,"2,084,570",-
noah-coin,"May 04, 2018",0.010973,0.010973,0.009655,0.009794,"3,520,930",-
noah-coin,"May 03, 2018",0.010534,0.011011,0.010058,0.010964,"3,519,840",-
noah-coin,"May 02, 2018",0.010086,0.010617,0.009871,0.010531,"3,356,120",-
noah-coin,"May 01, 2018",0.009885,0.010673,0.009544,0.010110,"4,951,290",-
noah-coin,"Apr 30, 2018",0.009817,0.010056,0.009184,0.009857,"2,397,820",-
noah-coin,"Apr 29, 2018",0.010401,0.010438,0.009632,0.009834,"1,879,380",-
noah-coin,"Apr 28, 2018",0.009503,0.010644,0.009336,0.010403,"1,761,910",-
noah-coin,"Apr 27, 2018",0.008969,0.011742,0.008824,0.009530,"5,640,590",-
noah-coin,"Apr 26, 2018",0.009444,0.009447,0.008493,0.008952,"3,826,310",-
noah-coin,"Apr 25, 2018",0.009019,0.010443,0.008736,0.009394,"3,461,960",-
noah-coin,"Apr 24, 2018",0.008916,0.009281,0.008324,0.009058,"3,092,840",-
noah-coin,"Apr 23, 2018",0.008868,0.009257,0.008753,0.008936,"2,316,530",-
noah-coin,"Apr 22, 2018",0.009061,0.009404,0.008850,0.008893,"1,159,070",-
noah-coin,"Apr 21, 2018",0.010721,0.010722,0.008727,0.009021,"2,834,130",-
noah-coin,"Apr 20, 2018",0.010422,0.010805,0.010051,0.010731,"1,979,920",-
noah-coin,"Apr 19, 2018",0.010497,0.010864,0.009946,0.010425,"2,313,890",-
noah-coin,"Apr 18, 2018",0.010709,0.011007,0.010101,0.010488,"1,763,290",-
noah-coin,"Apr 17, 2018",0.010900,0.010923,0.009593,0.010701,"2,581,240",-
noah-coin,"Apr 16, 2018",0.011178,0.011354,0.010128,0.010896,"3,419,280",-
noah-coin,"Apr 15, 2018",0.009157,0.011664,0.009099,0.011109,"3,866,670",-
noah-coin,"Apr 14, 2018",0.009047,0.009295,0.008899,0.009150,"1,458,220",-
noah-coin,"Apr 13, 2018",0.009353,0.009409,0.008829,0.009012,"2,465,790",-
noah-coin,"Apr 12, 2018",0.008520,0.009400,0.008275,0.009383,"2,596,280",-
noah-coin,"Apr 11, 2018",0.008635,0.008695,0.008271,0.008546,"1,241,390",-
noah-coin,"Apr 10, 2018",0.009386,0.009386,0.008535,0.008658,"2,557,460",-
noah-coin,"Apr 09, 2018",0.008673,0.009436,0.008317,0.009379,"3,372,520",-
noah-coin,"Apr 08, 2018",0.008709,0.008800,0.008493,0.008682,"1,824,070",-
noah-coin,"Apr 07, 2018",0.008137,0.008861,0.008092,0.008683,"1,545,320",-
noah-coin,"Apr 06, 2018",0.008364,0.008518,0.007962,0.008130,"1,568,930",-
noah-coin,"Apr 05, 2018",0.008388,0.008517,0.008096,0.008424,"1,996,620",-
noah-coin,"Apr 04, 2018",0.010309,0.010309,0.008257,0.008418,"1,786,230",-
noah-coin,"Apr 03, 2018",0.009982,0.010419,0.008881,0.010346,"4,336,170",-
noah-coin,"Apr 02, 2018",0.009419,0.010122,0.008950,0.009996,"2,745,970",-
noah-coin,"Apr 01, 2018",0.010395,0.010519,0.008960,0.009291,"1,845,390",-
noah-coin,"Mar 31, 2018",0.010461,0.011301,0.009883,0.010201,"1,647,330",-
noah-coin,"Mar 30, 2018",0.009747,0.013698,0.009318,0.010446,"2,633,830",-
noah-coin,"Mar 29, 2018",0.012539,0.012744,0.009439,0.009772,"1,448,170",-
noah-coin,"Mar 28, 2018",0.014951,0.016008,0.010777,0.012525,"3,539,770",-
noah-coin,"Mar 27, 2018",0.018217,0.018579,0.014489,0.014876,"1,864,690",-
noah-coin,"Mar 26, 2018",0.022188,0.022826,0.014104,0.018163,"4,506,340",-
noah-coin,"Mar 25, 2018",0.020076,0.024502,0.020076,0.022070,"1,378,430",-
noah-coin,"Mar 24, 2018",0.028714,0.031294,0.021123,0.021123,"2,761,560",-
noah-coin,"Mar 23, 2018",0.026113,0.030427,0.024846,0.028899,"2,833,410",-
noah-coin,"Mar 22, 2018",0.035671,0.037803,0.025774,0.026366,"8,155,390",-
noah-coin,"Mar 21, 2018",0.037532,0.037677,0.035154,0.035995,"2,394,110",-
