Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
numeraire,"Jul 02, 2018",6.73,7.20,6.66,6.83,"71,369","9,081,450"
numeraire,"Jul 01, 2018",7.16,7.26,6.64,6.73,"110,408","9,666,650"
numeraire,"Jun 30, 2018",6.77,7.28,6.77,7.16,"127,018","9,131,850"
numeraire,"Jun 29, 2018",6.61,6.99,6.40,6.73,"8,901","8,913,230"
numeraire,"Jun 28, 2018",6.91,7.16,6.49,6.53,"61,048","9,321,520"
numeraire,"Jun 27, 2018",6.81,7.27,6.61,6.89,"132,769","9,184,250"
numeraire,"Jun 26, 2018",6.99,7.03,6.81,6.82,"17,150","9,435,090"
numeraire,"Jun 25, 2018",6.90,7.22,6.81,6.99,"16,160","9,313,340"
numeraire,"Jun 24, 2018",7.03,7.32,6.46,6.92,"24,658","9,488,790"
numeraire,"Jun 23, 2018",6.86,7.20,6.81,7.03,"10,058","9,260,830"
numeraire,"Jun 22, 2018",7.75,7.93,6.73,6.86,"32,691","10,459,500"
numeraire,"Jun 21, 2018",8.05,8.57,7.74,7.76,"47,054","10,860,500"
numeraire,"Jun 20, 2018",8.32,8.40,7.76,8.05,"30,470","11,221,200"
numeraire,"Jun 19, 2018",7.95,8.58,7.91,8.31,"13,073","10,722,400"
numeraire,"Jun 18, 2018",7.66,8.04,7.59,7.95,"11,418","10,340,900"
numeraire,"Jun 17, 2018",8.11,8.16,7.66,7.68,"16,808","10,940,400"
numeraire,"Jun 16, 2018",7.87,8.19,7.78,8.09,"11,665","10,617,100"
numeraire,"Jun 15, 2018",8.57,8.58,7.78,7.90,"20,398","11,568,800"
numeraire,"Jun 14, 2018",7.60,8.61,7.35,8.59,"48,281","10,253,000"
numeraire,"Jun 13, 2018",7.77,7.85,6.95,7.50,"99,215","10,482,700"
numeraire,"Jun 12, 2018",8.12,8.60,7.72,7.75,"59,340","10,955,700"
numeraire,"Jun 11, 2018",8.14,8.88,8.05,8.20,"56,539","10,989,700"
numeraire,"Jun 10, 2018",9.62,9.62,8.00,8.13,"74,995","12,980,100"
numeraire,"Jun 09, 2018",9.80,9.99,9.64,9.64,"31,226","13,222,300"
numeraire,"Jun 08, 2018",9.62,10.02,9.56,9.80,"56,282","12,987,000"
numeraire,"Jun 07, 2018",10.18,10.24,9.53,9.62,"37,647","13,741,300"
numeraire,"Jun 06, 2018",9.20,10.24,9.03,10.24,"43,319","12,416,800"
numeraire,"Jun 05, 2018",9.41,9.49,9.15,9.21,"22,434","12,697,200"
numeraire,"Jun 04, 2018",10.14,10.17,9.41,9.41,"51,303","13,681,900"
numeraire,"Jun 03, 2018",9.91,10.19,9.78,10.14,"65,018","13,378,300"
numeraire,"Jun 02, 2018",9.91,10.33,9.82,9.91,"37,647","13,368,900"
numeraire,"Jun 01, 2018",9.79,10.16,9.63,9.89,"50,516","13,210,300"
numeraire,"May 31, 2018",9.22,10.01,9.12,9.78,"94,930","12,436,400"
numeraire,"May 30, 2018",9.57,9.82,8.90,9.22,"152,173","12,909,100"
numeraire,"May 29, 2018",8.77,10.17,8.77,9.56,"166,472","11,838,100"
numeraire,"May 28, 2018",10.19,10.47,8.77,8.78,"184,605","13,754,100"
numeraire,"May 27, 2018",9.92,10.57,9.60,10.19,"146,668","13,382,100"
numeraire,"May 26, 2018",10.07,10.51,9.77,9.91,"33,810","13,582,700"
numeraire,"May 25, 2018",9.94,10.29,9.21,10.08,"169,973","13,417,200"
