Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
numus,"Jul 02, 2018",0.193544,0.202832,0.191519,0.201971,224,"532,416"
numus,"Jul 01, 2018",0.194814,0.210069,0.192331,0.193522,342,"535,909"
numus,"Jun 30, 2018",0.182094,0.207256,0.182084,0.194770,262,"500,918"
numus,"Jun 29, 2018",0.174705,0.186577,0.167844,0.181848,"3,551","480,592"
numus,"Jun 28, 2018",0.195850,0.196698,0.173608,0.174593,"1,468","538,759"
numus,"Jun 27, 2018",0.190620,0.196734,0.185792,0.195781,564,"524,371"
numus,"Jun 26, 2018",0.208883,0.217971,0.188110,0.190696,"2,930","574,612"
numus,"Jun 25, 2018",0.213828,0.214530,0.204967,0.208883,391,"588,216"
numus,"Jun 24, 2018",0.220055,0.234435,0.193744,0.214242,"1,524","605,345"
numus,"Jun 23, 2018",0.217444,0.223953,0.217067,0.220085,453,"598,161"
numus,"Jun 22, 2018",0.269319,0.275995,0.213618,0.217415,"2,178","740,864"
numus,"Jun 21, 2018",0.241114,0.282466,0.240604,0.269618,840,"663,275"
numus,"Jun 20, 2018",0.262500,0.304386,0.239801,0.241063,"6,233","722,104"
numus,"Jun 19, 2018",0.223186,0.268855,0.216790,0.253028,"3,990","613,956"
numus,"Jun 18, 2018",0.212852,0.223795,0.205559,0.223306,"1,619","585,529"
numus,"Jun 17, 2018",0.209277,0.221578,0.199441,0.213581,920,"575,696"
numus,"Jun 16, 2018",0.199859,0.210723,0.193020,0.208724,815,"549,786"
numus,"Jun 15, 2018",0.207923,0.210571,0.193656,0.200590,694,"571,972"
numus,"Jun 14, 2018",0.179913,0.222064,0.176177,0.208270,"4,405","494,918"
numus,"Jun 13, 2018",0.177686,0.183080,0.169328,0.179993,"1,921","488,793"
numus,"Jun 12, 2018",0.192826,0.203671,0.176160,0.177227,"1,675","530,441"
numus,"Jun 11, 2018",0.198500,0.204139,0.187492,0.192930,334,"546,049"
numus,"Jun 10, 2018",0.204514,0.204514,0.177392,0.198217,890,"562,593"
numus,"Jun 09, 2018",0.224313,0.235085,0.204257,0.204257,"2,110","617,059"
numus,"Jun 08, 2018",0.228325,0.237236,0.222565,0.224410,"2,995","628,093"
numus,"Jun 07, 2018",0.227559,0.254385,0.227559,0.228151,"2,424","625,986"
numus,"Jun 06, 2018",0.232091,0.233494,0.222167,0.227350,313,"638,454"
numus,"Jun 05, 2018",0.218500,0.242170,0.212147,0.232154,"6,787","601,067"
numus,"Jun 04, 2018",0.222290,0.232041,0.216884,0.218395,"2,571","611,491"
numus,"Jun 03, 2018",0.224335,0.231858,0.217252,0.222497,"1,223","617,117"
numus,"Jun 02, 2018",0.228166,0.250538,0.221342,0.224274,"1,230","627,658"
numus,"Jun 01, 2018",0.227671,0.241646,0.219103,0.228265,"1,815","626,294"
numus,"May 31, 2018",0.228457,0.241931,0.216561,0.227505,"2,864","628,458"
numus,"May 30, 2018",0.224696,0.240548,0.213457,0.228500,"4,932","618,110"
numus,"May 29, 2018",0.209022,0.237222,0.191902,0.224544,"6,449","574,995"
numus,"May 28, 2018",0.205565,0.217608,0.193494,0.209091,"3,844","565,485"
numus,"May 27, 2018",0.261492,0.261492,0.202124,0.205517,"4,247","719,332"
numus,"May 26, 2018",0.286023,0.296750,0.247471,0.261376,"3,125","786,815"
numus,"May 25, 2018",0.272487,0.329825,0.256084,0.286399,"3,082","749,578"
numus,"May 24, 2018",0.241810,0.523695,0.224221,0.271976,"63,987","665,189"
numus,"May 23, 2018",0.270944,0.275993,0.225552,0.242421,"1,633","745,335"
numus,"May 22, 2018",0.270690,0.316114,0.266155,0.271226,"2,513","744,634"
numus,"May 21, 2018",0.276244,0.342133,0.226926,0.270722,"12,046","759,914"
numus,"May 20, 2018",0.247500,0.342377,0.246972,0.273845,"2,782","680,841"
numus,"May 19, 2018",0.246833,0.270076,0.220128,0.246572,"4,655","679,006"
numus,"May 18, 2018",0.242737,0.259427,0.184276,0.234611,"16,239","667,740"
numus,"May 17, 2018",0.267079,0.268224,0.225296,0.242524,"12,035","734,702"
numus,"May 16, 2018",0.315872,0.316130,0.256565,0.266917,"4,637","868,924"
numus,"May 15, 2018",0.371713,0.375054,0.290632,0.316054,"11,381","1,022,540"
numus,"May 14, 2018",0.358882,0.379786,0.339765,0.372352,"6,303","987,240"
numus,"May 13, 2018",0.362408,0.387836,0.349952,0.358946,"5,583","996,941"
numus,"May 12, 2018",0.403014,0.406297,0.361142,0.376703,"1,506","1,108,640"
numus,"May 11, 2018",0.442854,0.453066,0.375945,0.404202,"13,751","1,218,240"
numus,"May 10, 2018",0.452502,0.561468,0.441897,0.442324,"18,621","1,244,780"
numus,"May 09, 2018",0.486661,0.486839,0.443468,0.452629,"6,258","1,338,750"
numus,"May 08, 2018",0.484390,0.549958,0.462345,0.487406,"13,135","1,332,500"
numus,"May 07, 2018",0.481152,0.529197,0.449178,0.483365,"11,475","1,323,590"
numus,"May 06, 2018",0.581210,0.644951,0.468650,0.480807,"20,822","1,598,840"
numus,"May 05, 2018",0.572947,0.684888,0.570630,0.580817,"7,955","1,576,110"
numus,"May 04, 2018",0.612930,0.612930,0.553794,0.573222,"7,039","1,686,090"
numus,"May 03, 2018",0.591913,0.628367,0.506135,0.613124,"16,134","1,628,280"
numus,"May 02, 2018",0.632764,0.656334,0.551024,0.591892,"13,696","1,740,650"
numus,"May 01, 2018",0.660550,0.697558,0.538941,0.633717,"32,291","1,817,090"
numus,"Apr 30, 2018",0.546753,0.784912,0.513296,0.702536,"116,490","1,504,050"
numus,"Apr 29, 2018",0.534331,0.574456,0.494602,0.535314,"28,914","1,469,880"
numus,"Apr 28, 2018",0.488275,0.575779,0.483212,0.534539,"52,352","1,343,180"
numus,"Apr 27, 2018",0.494338,0.593473,0.465493,0.489955,"34,856","1,359,860"
numus,"Apr 26, 2018",0.508529,0.523682,0.435007,0.493654,"5,756","1,398,900"
numus,"Apr 25, 2018",0.485711,0.726058,0.455618,0.504349,"23,418","1,336,130"
numus,"Apr 24, 2018",0.403562,0.559845,0.403380,0.489034,"31,719","1,110,150"
numus,"Apr 23, 2018",0.630826,0.643285,0.403218,0.403218,"70,517","1,735,320"
numus,"Apr 22, 2018",0.673816,0.684748,0.586513,0.634453,"1,470","1,853,580"
numus,"Apr 21, 2018",0.736301,0.810632,0.625822,0.637302,"1,007","2,025,470"
numus,"Apr 20, 2018",0.685274,0.782441,0.619295,0.736048,"2,880","1,885,100"
numus,"Apr 19, 2018",0.783246,0.783246,0.492361,0.684824,"9,701","2,154,610"
numus,"Apr 18, 2018",0.770772,0.819789,0.769264,0.782665,"2,303","2,120,300"
numus,"Apr 17, 2018",0.807686,0.817192,0.341307,0.770058,"4,872","2,221,840"
numus,"Apr 16, 2018",0.909150,0.915035,0.797965,0.807279,"1,162",-
numus,"Apr 15, 2018",0.859051,0.941970,0.746266,0.909533,"1,463",-
numus,"Apr 14, 2018",0.808079,0.887868,0.805306,0.858131,830,-
numus,"Apr 13, 2018",0.872740,0.971774,0.803577,0.808080,"1,237",-
numus,"Apr 12, 2018",0.791117,0.883913,0.758346,0.871640,"1,110",-
numus,"Apr 11, 2018",0.829894,0.832000,0.758495,0.793031,537,-
numus,"Apr 10, 2018",0.883316,0.888386,0.769143,0.829095,"1,248",-
numus,"Apr 09, 2018",0.910134,0.934899,0.809774,0.882596,"3,503",-
numus,"Apr 08, 2018",0.837741,0.928374,0.837741,0.908662,383,-
numus,"Apr 07, 2018",0.837934,0.958235,0.833547,0.836984,"1,354",-
numus,"Apr 06, 2018",0.973108,0.982879,0.824148,0.836934,"20,758",-
numus,"Apr 05, 2018",0.843810,0.980682,0.816866,0.978093,"14,786",-
numus,"Apr 04, 2018",0.939970,0.955668,0.835776,0.843456,"11,831",-
numus,"Apr 03, 2018",0.904339,0.957623,0.836577,0.940620,"16,276",-
numus,"Apr 02, 2018",0.955196,0.995623,0.894654,0.903697,"15,943",-
numus,"Apr 01, 2018",0.986777,0.999226,0.867059,0.950520,"12,049",-
numus,"Mar 31, 2018",0.948554,1.05,0.912644,0.986904,"9,157",-
numus,"Mar 30, 2018",0.877099,1.27,0.809729,0.974955,"43,875",-
numus,"Mar 29, 2018",0.962718,1.01,0.843959,0.879286,"34,342",-
numus,"Mar 28, 2018",1.09,1.11,0.885616,0.961592,"58,513",-
numus,"Mar 27, 2018",1.33,1.43,1.06,1.09,"67,894",-
numus,"Mar 26, 2018",1.36,1.47,1.25,1.33,"14,105",-
numus,"Mar 25, 2018",1.48,1.64,1.24,1.36,"20,812",-
numus,"Mar 24, 2018",1.79,1.87,1.38,1.50,"14,043",-
numus,"Mar 23, 2018",1.94,2.01,1.66,1.76,"20,302",-
numus,"Mar 22, 2018",2.12,2.31,1.81,1.94,"30,331",-
numus,"Mar 21, 2018",1.94,2.30,1.45,2.13,"53,998",-
numus,"Mar 20, 2018",2.38,2.38,1.84,1.94,"23,309",-
numus,"Mar 19, 2018",2.28,2.39,2.19,2.36,"53,875",-
numus,"Mar 18, 2018",2.10,2.33,1.96,2.29,"15,308",-
numus,"Mar 17, 2018",2.26,2.29,2.07,2.10,"3,913",-
numus,"Mar 16, 2018",2.38,2.48,2.25,2.25,"15,317",-
numus,"Mar 15, 2018",2.37,2.64,2.23,2.38,"21,549",-
numus,"Mar 14, 2018",2.60,2.74,2.31,2.37,"21,777",-
